time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:42:57:713, 
0.0266,-0.74097,7.88496,6.60771
0.0499,-0.72541,8.05494,6.54786
0.0561,-0.64042,8.17106,5.92300
0.0940,-0.38545,8.10642,5.59381
0.1129,-0.27053,7.88496,6.11453
0.1129,-0.49199,7.77364,7.44924
0.1602,-0.71943,7.91728,8.29914
0.1602,-0.59134,8.17465,8.21415
0.1701,-0.47762,8.38413,7.59288
0.2181,-0.48241,8.49546,6.80762
0.2202,-0.50755,8.45356,6.27014
0.2270,-0.58177,8.44997,6.52871
0.2498,-0.59852,8.38892,6.86508
0.2839,-0.50396,8.44638,6.53230
0.2839,-0.58895,8.38653,6.01876
0.3172,-0.77329,8.13634,6.02954
0.3401,-0.89898,7.74611,6.50955
0.3401,-1.37661,7.35467,7.00513
0.3720,-1.90929,7.11167,6.68193
0.3831,-1.91288,7.04464,5.92420
0.3964,-1.75248,7.03147,5.38433
0.4165,-1.45920,6.94767,5.63810
0.4494,-1.19466,6.94289,6.12291
0.4539,-1.24014,7.12364,6.30246
0.4971,-1.44125,7.36305,6.11453
0.5108,-1.34070,7.54620,5.66204
0.5108,-1.08812,7.68266,5.26462
0.5577,-0.81040,7.78681,5.20836
0.5578,-0.71823,7.82751,5.38074
0.5670,-0.78287,7.88975,5.43580
0.6181,-0.62606,7.92207,5.41904
0.6181,-0.38665,7.89454,5.50643
0.6259,-0.16160,7.79399,6.00201
0.6508,-0.00958,7.85624,6.42217
0.6810,-0.10654,8.05734,6.15523
0.6810,-0.04429,8.35421,5.54713
0.7182,0.25258,8.60439,5.21674
0.7191,0.87145,8.74085,5.42982
0.7377,1.43646,8.66065,5.87751
0.7664,0.92173,8.53017,6.17079
0.7995,0.65000,8.49067,6.13129
0.7995,0.96841,8.26323,6.27374
0.8173,1.16114,8.15071,6.21628
0.8524,0.55543,7.82391,6.30366
0.8524,-0.08020,7.57134,6.36112
0.8982,-0.28969,7.34749,6.20431
0.9007,-0.25497,7.11885,5.97926
0.9085,-0.25377,7.02548,5.85956
0.9450,-0.02993,7.04583,5.93138
0.9455,0.33757,7.23377,5.89547
0.9645,0.39263,7.54740,5.64169
0.9829,0.05147,7.86821,5.89547
1.0176,-0.13168,8.16747,6.45928
1.0212,-0.01796,8.37216,6.41738
1.0674,0.30884,8.48947,5.54234
1.0787,0.28370,8.50504,4.55118
1.0788,-0.25856,8.49067,4.15735
1.1176,-1.04143,8.42962,4.42549
1.1176,-1.46878,8.52658,4.77503
1.1353,-1.32872,8.61756,4.55597
1.1622,-1.13001,8.75163,3.79345
1.1844,-1.12762,8.86654,3.50376
1.1920,-1.36224,9.03533,3.61389
1.2178,-1.74889,9.19932,3.54446
1.2481,-1.91528,9.41120,3.47863
1.2482,-2.09484,9.42916,3.71205
1.2996,-1.40653,9.20292,4.31656
1.2996,-0.02873,8.94914,4.71278
1.3057,-1.24613,8.87014,3.96822
1.3636,-1.55497,9.34656,3.32780
1.3636,-1.13720,10.21203,1.39815
1.3636,-1.64235,10.52446,0.07182
1.3833,-2.72448,9.80264,1.38139
1.4181,-3.09916,9.01618,4.54400
1.4199,-3.10395,8.78275,5.78654
1.4511,-2.71850,8.92520,4.20045
1.4768,-2.16067,9.21369,2.54612
1.4768,-2.05653,9.13468,2.28277
1.5175,-1.77762,9.02575,2.96629
1.5176,-2.37734,9.03892,3.15183
1.5339,-2.31270,8.98026,2.79391
1.5657,-1.84824,8.79831,3.12909
1.6064,-1.98231,8.79113,3.41398
1.6065,-1.91408,8.89288,3.75754
1.6177,-1.65791,9.07842,3.67255
1.6450,-1.40893,9.10236,3.60910
