time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:42:57:713, 
0.0561,-0.70405,7.68472,6.05142
0.1129,-0.53111,7.58780,6.18980
0.1701,-0.36778,7.59861,6.18840
0.2270,-0.27181,7.64840,6.13176
0.2839,-0.07161,7.65684,6.12683
0.3401,0.17619,7.58211,6.21699
0.3963,0.25490,7.61836,6.16976
0.4539,0.19297,7.59386,6.20214
0.5108,0.10953,7.61056,6.18367
0.5670,0.08815,7.64148,6.14576
0.6288,0.14794,7.68569,6.08922
0.6816,0.19432,7.78250,5.96367
0.7377,0.28793,7.84438,5.87819
0.7996,0.21626,7.89736,5.80993
0.8514,0.02312,7.93771,5.75869
0.9081,-0.08993,8.03699,5.61863
0.9645,-0.27672,8.11822,5.49439
1.0217,-0.55260,8.27292,5.23677
1.0787,-0.83191,8.51809,4.78754
1.1353,-0.99817,8.71659,4.38123
1.1920,-1.08455,8.90265,3.96698
1.2482,-1.17179,9.01491,3.67814
1.3069,-1.18057,9.14781,3.33078
1.3643,-1.18882,9.21126,3.14797
1.4189,-1.11284,9.07767,3.53948
1.4801,-1.17060,9.06954,3.54168
1.5340,-1.28091,9.04120,3.57581
1.6065,-1.35274,8.99664,3.66073
1.6451,-1.35700,8.98768,3.68112
1.7101,-1.35372,9.02510,3.58963
1.7613,-1.47904,9.06418,3.43852
1.8180,-1.55137,9.12731,3.23356
1.8728,-1.61477,9.05957,3.38927
1.9299,-1.61611,9.10531,3.26374
1.9863,-1.70174,9.12058,3.17641
2.0439,-1.82341,9.08650,3.20642
2.1230,-2.01007,9.08131,3.10802
2.1569,-2.13748,9.14468,2.82425
2.2131,-2.20918,9.17601,2.66284
2.2743,-2.22663,9.22706,2.46453
2.3286,-2.19834,9.22160,2.50996
2.3930,-2.21109,9.19560,2.59276
2.4408,-2.24392,9.23960,2.40102
2.5022,-2.39984,9.28120,2.06651
2.5550,-2.56949,9.33552,1.55443
2.6109,-2.71003,9.40269,0.64467
2.6683,-2.85893,9.38039,-0.07241
2.7258,-2.99063,9.31363,-0.69490
2.7818,-2.97006,9.30869,-0.83513
2.8386,-2.78536,9.37182,-0.76237
2.8999,-2.68677,9.39288,-0.85172
2.9527,-2.44362,9.44617,-0.98437
3.0087,-2.28599,9.50100,-0.82195
3.0648,-2.03485,9.55585,-0.84583
3.1219,-2.10264,9.53190,-0.94458
3.1778,-2.09538,9.53137,-0.96577
3.2358,-1.97013,9.56408,-0.90410
3.2963,-1.99207,9.55651,-0.93547
3.3492,-1.97111,9.54407,-1.09356
3.4060,-2.08382,9.52345,-1.06392
3.4623,-2.25621,9.50282,-0.88105
3.5207,-2.35756,9.46692,-0.99481
3.5769,-2.41878,9.40378,-1.37432
3.6334,-2.25965,9.42168,-1.51535
3.6903,-1.84214,9.50721,-1.54594
3.7470,-1.63249,9.50916,-1.75532
3.8030,-1.54593,9.46281,-2.05811
3.8601,-1.43133,9.45974,-2.15291
3.9180,-1.31912,9.50944,-2.00022
3.9740,-1.53888,9.51845,-1.78925
4.0309,-1.69158,9.53327,-1.55745
4.0870,-1.70244,9.56046,-1.36733
4.1440,-1.79197,9.54988,-1.32625
4.2000,-1.92067,9.52551,-1.32138
4.2574,-1.84436,9.53391,-1.36871
4.3144,-1.89997,9.51712,-1.40886
4.3728,-1.82552,9.49723,-1.62498
4.4277,-1.82926,9.45785,-1.83667
4.4854,-1.98725,9.42964,-1.81743
4.5409,-1.95094,9.45556,-1.71950
4.5985,-1.93649,9.49388,-1.51218
4.6552,-1.93887,9.51702,-1.35555
4.7109,-1.97954,9.49328,-1.45923
4.7683,-1.97444,9.44387,-1.75652
4.8269,-2.01301,9.37887,-2.03836
4.8823,-2.05958,9.29046,-2.36978
4.9396,-2.16593,9.18937,-2.65227
4.9955,-2.22030,9.17005,-2.67409
5.0533,-2.12509,9.23056,-2.53991
5.1095,-2.13256,9.23081,-2.53275
5.1700,-2.24416,9.19119,-2.57994
5.2226,-2.25057,9.17405,-2.63480
5.2799,-2.37832,9.12824,-2.68127
5.3364,-2.36521,9.14493,-2.63561
5.3931,-2.28441,9.18723,-2.55864
5.4605,-2.25763,9.17518,-2.62480
5.5060,-2.30337,9.13245,-2.73191
5.5663,-2.30295,9.09883,-2.84219
5.6231,-2.24291,9.11048,-2.85286
5.6772,-2.07261,9.17684,-2.76774
5.7358,-2.12171,9.20110,-2.64736
5.7904,-2.09367,9.21177,-2.63254
5.8594,-1.95012,9.25116,-2.60452
5.9034,-1.85367,9.30840,-2.46737
5.9638,-1.89870,9.32026,-2.38706
6.0192,-2.00797,9.29995,-2.37684
6.0748,-1.99992,9.25899,-2.53806
6.1315,-1.91809,9.19262,-2.82614
6.1880,-2.13728,9.11696,-2.91263
6.2448,-2.84110,8.98083,-2.72824
6.3015,-3.39026,8.89971,-2.33916
6.3628,-3.48595,8.97609,-1.85698
6.4154,-3.44827,9.03905,-1.60483
6.4717,-3.41802,9.02895,-1.72209
6.5285,-3.27275,9.08215,-1.72455
6.5851,-3.12119,9.17386,-1.50629
6.6429,-3.03658,9.20224,-1.50613
6.7000,-2.96670,9.21870,-1.54424
6.7562,-2.96750,9.21909,-1.54038
6.8117,-3.08137,9.15280,-1.70349
6.8684,-3.55109,9.00162,-1.59091
6.9278,-3.61829,8.95164,-1.71656
6.9818,-3.90843,8.80865,-1.81718
7.0397,-4.01071,8.75443,-1.85594
7.0969,-4.01073,8.78936,-1.68274
7.1529,-3.89249,8.88960,-1.41207
7.2098,-3.73837,8.98094,-1.24002
7.2680,-3.58281,9.05734,-1.13947
7.3235,-3.47686,9.09969,-1.13023
7.3794,-3.11554,9.22144,-1.19534
7.4373,-3.09923,9.25613,-0.94299
7.4952,-3.22834,9.20111,-1.04296
7.5507,-3.06248,9.17104,-1.63820
7.6063,-2.91334,9.19700,-1.76011
7.6635,-2.79743,9.28371,-1.46882
