time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:42:57:713, 
0.0561,0.80818,-0.11545,-0.85742
0.1129,-0.16867,0.41370,0.14077
0.1709,-0.01295,0.28326,0.16505
0.2270,-0.32218,0.45015,1.85542
0.2840,-0.45164,0.73870,0.35202
0.3401,-0.74184,0.74611,0.19023
0.3971,-1.27393,0.04559,0.27877
0.4539,-2.05304,-0.60385,-0.26460
0.5109,-1.40845,-0.66972,-0.21443
0.5686,-1.37884,-0.16884,-0.51200
0.6289,-0.91945,0.09637,-0.78928
0.6811,-0.58702,0.03713,-0.35994
0.7377,-0.34338,0.19096,0.12292
0.7996,0.63561,0.71178,-0.34567
0.8515,0.82340,0.42271,0.38420
0.9094,0.63617,-0.25873,0.62584
0.9645,0.01273,-1.01730,0.47734
1.0224,0.78970,-1.05234,0.55121
1.0798,0.80508,-0.44247,1.43593
1.1354,1.11620,-0.28007,0.33964
1.1930,-0.18807,-0.43577,0.59280
1.2494,-0.02763,-0.18586,-0.06373
1.3075,-0.73124,0.13785,0.22542
1.3636,0.30312,-0.26654,1.16313
1.4189,-0.32415,0.88600,-1.96518
1.4769,-1.79623,0.06092,0.33494
1.5349,-1.02132,-0.01827,-0.59302
1.6065,-0.79340,-0.04645,-0.71642
1.6463,-0.54865,-0.22139,-0.27263
1.7101,-0.16170,-0.01696,-0.00259
1.7609,0.03015,0.20646,-0.71355
1.8180,0.21934,-0.08772,-0.26188
1.8736,-0.44496,0.58081,-0.40537
1.9299,-0.43227,0.23135,-0.67948
1.9863,-1.47644,0.47568,1.61394
2.0439,-0.36644,0.51516,-0.48181
2.1230,0.41761,-0.24508,0.05807
2.1572,0.01216,-0.65995,1.22250
2.2140,0.26234,-0.42424,0.01483
2.2715,-0.89567,-0.24952,0.44029
2.3287,-0.23211,0.20669,0.06017
2.3930,0.16385,0.38103,0.00551
2.4418,-0.89967,0.61704,-0.43739
2.5021,-1.18284,0.58431,-0.60584
2.5579,0.01217,0.79050,0.19232
2.6110,0.23568,-0.37672,0.39230
2.6684,0.47733,0.21703,0.64790
2.7258,0.71119,0.01438,0.52461
2.7808,0.52584,0.19497,0.60426
2.8390,0.14605,0.98456,0.14953
2.8998,0.40727,-0.52269,-0.22761
2.9526,-0.70492,-1.57495,0.03968
3.0099,-1.26061,-1.21803,-0.35028
3.0661,-2.16837,-0.95219,-0.29453
3.1231,-1.38183,0.69335,-0.13074
3.1788,-0.56180,0.49802,0.01496
3.2368,-0.55320,-0.01830,-0.07395
3.2963,0.06173,-0.70884,-0.73277
3.3499,0.14496,-1.42290,-0.76635
3.4074,-0.43230,-0.34669,-0.90343
3.4633,-0.41909,0.43982,-0.94187
3.5196,0.11522,0.93416,-0.96635
3.5781,0.57133,0.53824,-0.13599
3.6327,0.25730,0.05325,0.55854
3.6903,0.13371,0.48167,0.68571
3.7476,0.76702,0.94183,0.87978
3.8043,1.47083,1.80081,1.12811
3.8719,0.49555,1.06807,1.33248
3.9191,-0.67488,-0.22134,0.81969
3.9747,-0.11393,-0.39455,-0.16479
4.0309,-0.15999,-0.79773,-0.71010
4.0897,-1.22393,-0.43401,-0.55035
4.1450,-0.46593,-0.12205,-0.61979
4.2000,-0.50184,-0.38023,-0.38342
4.2584,-0.71067,-0.25774,-0.26863
4.3151,-1.12003,-0.20666,-0.67140
4.3728,-0.94470,0.22497,-0.23223
4.4296,-0.82447,0.58378,0.58798
4.4854,-0.23691,1.09775,0.45395
4.5420,-0.08314,0.24705,0.20104
4.5986,0.35238,-0.68141,-0.34870
4.6552,0.23797,-0.52066,-0.70436
4.7109,0.06787,-0.22265,-0.97443
4.7695,-0.00338,-0.53037,-0.51244
4.8269,0.03027,-0.59140,-0.15833
4.8836,-0.12748,-0.86569,0.22503
4.9396,0.02692,0.66094,0.56518
4.9968,0.45550,1.58905,0.81607
5.0523,0.58529,0.49832,0.76318
5.1108,0.17727,0.53083,0.34137
5.1699,0.20166,-0.04766,-0.01769
5.2236,-0.03532,0.18989,0.00930
5.2794,0.17049,0.04780,0.13215
5.3364,0.23672,-0.11066,0.00007
5.3931,-0.01480,-0.08450,0.01694
5.4605,-0.20889,0.54057,-0.10559
5.5074,0.02479,0.94292,-0.17676
5.5663,0.03721,0.48236,-0.23136
5.6232,0.00726,-0.44885,-0.38236
5.6771,-0.33655,-0.86584,0.06716
5.7359,-0.01424,-0.14074,-0.06876
5.7914,0.32899,-0.05507,-0.45341
5.8593,-0.10545,-0.30125,-0.05900
5.9042,-0.46911,-0.24551,0.14088
5.9637,-0.16493,0.21121,-0.06659
6.0180,-0.21537,0.29098,-0.01824
6.0749,-0.40165,1.89623,0.20800
6.1319,-1.74161,1.84037,0.83391
6.1895,-1.86263,1.23781,0.61415
6.2575,-0.78402,0.08529,-0.30191
6.3015,1.04311,-1.84800,-1.80071
6.3628,0.73379,-3.34681,-1.87259
6.4145,0.47841,-1.70268,-1.90724
6.4722,0.65014,-0.23298,-1.28976
6.5298,0.91573,0.61177,-0.23056
6.5861,0.39393,-0.06319,0.13773
6.6429,0.53075,-0.01998,-0.39265
6.7000,-0.02666,0.13694,-0.02458
6.7562,0.35762,0.17756,-0.13844
6.8127,0.37670,-0.01820,0.34477
6.8700,1.09962,0.33379,-0.19448
6.9279,1.63167,0.35868,-0.36253
6.9818,1.22799,0.07085,0.28245
7.0402,1.11671,0.59039,0.72325
7.0970,-0.34208,0.38814,0.49257
7.1533,-1.09966,-0.39535,-0.42068
7.2098,-0.65207,-0.03751,-0.63612
7.2681,-0.48513,-0.16783,0.04334
7.3235,0.12995,0.52791,0.13896
7.3802,-0.28179,-0.69576,0.82046
7.4369,-0.30204,-0.56293,0.37385
7.4951,0.27733,1.41956,-0.86130
7.5514,-0.65594,0.10630,0.66254
7.6073,-0.10006,0.32048,0.82706
7.6636,0.24818,-1.12432,0.98232
7.7317,0.53844,0.34932,-0.44889
7.7791,-0.15786,-0.73271,-0.40449
7.8377,-0.33378,-0.45527,-0.26440
7.8922,-1.07951,0.22222,0.02239
7.9515,-0.52022,-0.29271,0.02477
8.0044,-0.42678,0.15308,0.52807
8.0607,0.03750,-0.08689,0.68871
8.1201,0.24610,0.13665,0.32406
8.1748,0.01178,0.42944,0.01398
8.2353,-0.58022,0.39149,0.24421
8.2892,-0.39859,0.07591,0.31703
8.3460,-0.09428,-0.47792,0.60271
8.4024,0.37513,-0.63075,0.57769
8.4586,-0.12392,0.49220,0.30233
8.5340,-0.21512,1.34324,-0.07305
8.5719,-0.18849,0.86690,-0.29788
8.6344,0.06877,-0.12009,0.30252
8.6867,-0.00661,0.27932,0.16256
8.7425,0.02908,-0.47126,0.52101
8.8006,-0.17306,0.36514,0.11180
8.8564,-0.21860,0.26132,-0.03315
8.9256,0.16431,-0.05321,0.19237
8.9697,-0.60174,0.63767,0.02425
9.0303,0.02527,0.36453,0.31760
9.0844,0.10270,0.40340,0.18894
9.1413,-0.18456,0.06733,0.51160
9.1976,-0.25419,-0.32278,0.84656
9.2563,0.45797,0.32147,-0.45362
9.3230,-0.01692,0.04765,-0.34946
