time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:42:57:713, 
0.0192,-15.34774,-34.83870,-21.64896
0.1175,-14.75201,-35.37338,-20.37695
0.1672,-13.93177,-35.04721,-20.49326
0.2202,-15.55817,-34.53691,-20.48062
0.3172,-15.93861,-34.56175,-19.21002
0.3720,-17.65393,-33.76941,-19.43384
0.4165,-18.60027,-33.85295,-19.49701
0.5168,-19.35225,-32.24648,-19.64017
0.5669,-17.88520,-33.01469,-20.65198
0.6181,-17.46667,-32.68552,-20.75946
0.7190,-19.78087,-31.90240,-20.36200
0.7692,-19.74884,-32.32182,-20.38858
0.8184,-19.86376,-32.31863,-19.29422
0.9350,-19.80846,-32.08820,-18.61981
0.9671,-17.44002,-32.69682,-19.15540
1.0176,-18.81563,-32.41341,-20.17523
1.1176,-15.48634,-32.84308,-21.20529
1.1788,-14.41360,-32.72980,-20.87180
1.2179,-14.00559,-33.20654,-21.18924
1.3311,-12.66418,-33.46404,-21.28516
1.3673,-12.44342,-32.13957,-22.17053
1.4181,-11.07120,-31.71118,-23.76263
1.5176,-11.14637,-31.94814,-23.58511
1.5673,-10.22006,-30.77751,-23.99390
1.6177,-9.73898,-29.57524,-25.26013
1.7176,-8.75837,-28.99915,-25.79294
1.7675,-7.16093,-28.06946,-27.07596
1.8185,-6.79166,-26.48511,-28.44351
1.9181,-3.52139,-26.69572,-28.16940
1.9827,-3.83500,-26.63762,-29.50555
2.0174,-0.88276,-26.65993,-29.51700
2.1231,0.77213,-25.09920,-29.41248
2.1669,2.47951,-24.71768,-29.86874
2.2171,5.80724,-25.84081,-29.17819
2.3180,7.71376,-25.49651,-30.10101
2.3699,9.09267,-25.95401,-28.86664
2.4182,10.23355,-25.10881,-28.50156
2.5328,13.50648,-25.18286,-26.68677
2.5667,15.30743,-26.82321,-25.55646
2.6171,17.08138,-27.63258,-23.22495
2.7181,18.32145,-29.98053,-20.65329
2.7669,20.55554,-29.65843,-17.30658
2.8193,19.13622,-30.85448,-17.30087
2.9296,20.34637,-32.02545,-18.28128
2.9667,19.42897,-31.81300,-17.05164
3.0169,19.01675,-31.41473,-17.14633
3.1173,19.30723,-32.44870,-17.07181
3.1764,20.95349,-31.45940,-15.52502
3.2173,22.29061,-30.25034,-15.06210
3.3180,24.03909,-32.40912,-13.84045
3.3675,24.11030,-31.33195,-12.70645
3.4180,25.52107,-31.00729,-11.27768
3.5195,26.70272,-31.33844,-10.96841
3.5694,26.81997,-30.69365,-11.42416
3.6177,27.21725,-31.11826,-11.30420
3.7307,25.91759,-32.84502,-9.75781
3.7669,25.81187,-34.03119,-8.96268
3.8172,25.64001,-35.30975,-5.31989
3.9183,25.64350,-35.16072,-5.23209
3.9688,24.53178,-35.39948,-3.95871
4.0179,25.27283,-34.57347,-5.05185
4.1171,27.32239,-33.37376,-6.55801
4.1669,27.44086,-33.55298,-5.83243
4.2196,27.63362,-32.40369,-5.17673
4.3173,28.59616,-34.56111,-4.70511
4.3681,28.45304,-32.81326,-4.44962
4.4178,28.68884,-32.97166,-4.66354
4.5284,28.35757,-33.26639,-3.33035
4.5672,28.55309,-33.50150,-2.20340
4.6170,29.05093,-32.61386,-2.45428
4.7173,29.64586,-34.28816,-4.46103
4.7691,28.01830,-32.99007,-3.56369
4.8182,28.48407,-33.51060,-1.50214
4.9184,30.23786,-33.79970,-0.37561
4.9671,30.64181,-32.01411,1.90146
5.0218,30.38839,-31.61761,2.67010
5.1179,29.51289,-32.19524,2.49875
5.1700,29.61607,-32.22887,2.77185
5.2172,29.64920,-31.47339,4.29691
5.3310,30.50572,-30.69221,3.42740
5.3670,29.88488,-31.43407,3.82932
5.4172,29.90742,-31.58327,3.72998
5.5173,30.71564,-32.09183,4.77087
5.5674,31.25449,-30.59763,5.65875
5.6232,31.08955,-31.32625,4.83698
5.7236,30.82673,-31.01289,6.06735
5.7669,29.57331,-32.31291,6.63394
5.8181,29.83418,-32.46674,5.16412
5.9171,28.92411,-32.63980,6.21985
5.9675,29.62444,-33.60797,5.56085
6.0192,30.34137,-33.87376,4.41141
6.1286,29.85946,-31.75558,5.69864
6.1667,29.65663,-32.26634,6.03009
6.2174,30.31439,-30.59174,6.04919
6.3176,33.41013,-28.83156,7.01907
6.3675,34.73784,-28.05547,3.98541
6.4194,35.01416,-28.10808,1.03751
6.5248,34.70738,-27.78915,1.56573
6.5670,34.71377,-27.25545,1.53851
6.6173,33.49215,-28.63057,0.16156
6.7187,34.28351,-28.36739,-1.79517
6.7675,32.83994,-28.65155,-2.48438
6.8168,32.84722,-28.90042,-4.33768
6.9275,32.30816,-29.05647,-5.38058
6.9669,31.91789,-28.09273,-8.13599
7.0173,31.59196,-28.63559,-10.22076
7.1178,31.12791,-29.96770,-11.38440
7.1669,29.65971,-29.56384,-14.50793
7.2178,26.52656,-31.94829,-16.21295
7.3223,26.68213,-33.89133,-16.15521
7.3670,24.01942,-32.56880,-18.87622
7.4173,22.93533,-34.27409,-18.51215
7.5177,21.69878,-35.88814,-18.44629
7.5677,21.25340,-34.56474,-19.27283
7.6170,20.01900,-35.96884,-17.78040
7.7316,20.05822,-36.28590,-17.17688
7.7669,18.64987,-37.38193,-18.84122
7.8200,16.94772,-36.82266,-18.51532
7.9186,14.27885,-36.80928,-18.92273
7.9749,13.97868,-37.26485,-21.08432
8.0183,13.87098,-37.20172,-20.53137
8.1200,12.26405,-37.69937,-21.09219
8.1668,12.54337,-37.37279,-19.65692
8.2173,11.19170,-38.69772,-18.86438
8.3172,10.96831,-38.62649,-18.57285
8.3676,9.99420,-39.22859,-18.42841
8.4172,9.94799,-39.71864,-17.41098
8.5340,11.87122,-40.50020,-16.51065
8.5669,10.10232,-39.41934,-15.89835
8.6179,11.39256,-38.90360,-17.06158
8.7176,10.66787,-38.58571,-15.47287
8.7679,12.02675,-39.95203,-16.61557
8.8184,11.23210,-40.57341,-16.14941
8.9257,10.65552,-39.11404,-14.79327
8.9685,11.63190,-39.74569,-16.00900
9.0179,11.16707,-39.82928,-15.85095
9.1175,10.27987,-39.13142,-16.06564
9.1674,10.58960,-39.87956,-14.22476
9.2170,11.14307,-40.22354,-13.74335
9.3231,11.66460,-38.63708,-13.59653
9.3686,10.66135,-40.38470,-14.01047
9.4209,11.74898,-39.87685,-13.90515
9.5189,10.40814,-40.57566,-13.95523
9.5698,11.78194,-39.92950,-14.41913
9.6175,11.09752,-40.30464,-14.56927
9.7187,11.45646,-40.09107,-16.95685
9.7667,11.86719,-39.37339,-18.34552
9.8174,12.65802,-39.47999,-18.35779
9.9179,13.16652,-40.05402,-17.00980
9.9668,13.21538,-40.27315,-18.35049
10.0179,14.62208,-39.76704,-17.71158
10.1251,14.93235,-40.60922,-18.60223
10.1667,14.10290,-40.07602,-17.75177
10.2183,14.05875,-38.63505,-18.83569
10.3175,15.19138,-39.89732,-18.60986
10.3673,13.56786,-38.27949,-17.87714
10.4168,14.62066,-39.65764,-18.01282
10.5196,15.60389,-37.74487,-18.65207
10.5670,14.84858,-38.33732,-19.47653
10.6163,15.38036,-38.31048,-19.08426
10.7195,15.71234,-38.05162,-20.28128
10.7680,17.06544,-38.44755,-17.43173
10.8191,17.86990,-38.91974,-18.33224
10.9200,17.50706,-38.54532,-18.59125
10.9668,18.51250,-37.65393,-18.29858
11.0173,18.44733,-38.12379,-17.96948
11.1180,19.05619,-37.57991,-16.57855
11.1680,20.06412,-36.67236,-17.47647
11.2175,19.93320,-36.93712,-17.73618
11.3278,19.65557,-38.50192,-17.36075
11.3668,18.44310,-38.44658,-18.05551
11.4175,17.90432,-39.10604,-18.48227
11.5176,18.38750,-38.73479,-18.30383
11.5671,16.56163,-39.41508,-17.76962
11.6182,15.50187,-38.33759,-18.07123
