time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:42:57:713, 
0.0561,6.22418,-51.96343,106.27332
0.1129,6.63621,-51.59357,108.34293
0.1701,4.90424,-50.69095,109.69724
0.2270,3.40114,-50.79076,109.30054
0.2840,2.53817,-51.25323,108.40575
0.3415,0.66961,-51.33208,106.58474
0.3971,-1.62334,-50.63848,105.14819
0.4554,-2.36581,-50.97367,103.93385
0.5108,-1.78211,-50.74683,102.99788
0.5686,-1.01473,-50.90131,101.48326
0.6289,-0.82177,-51.18871,99.64645
0.6815,-1.39172,-51.60268,97.96826
0.7383,-1.86624,-52.52262,96.29440
0.7996,-2.80427,-53.12098,95.63163
0.8520,-2.13169,-53.63989,95.18579
0.9081,-0.23001,-54.03946,96.14285
0.9655,0.91692,-55.03930,96.13335
1.0217,2.88327,-55.87629,95.28013
1.0797,6.02373,-57.52262,94.26843
1.1369,9.85756,-60.29668,93.13239
1.1930,12.83456,-62.72839,91.02129
1.2487,15.29066,-65.20550,88.31990
1.3072,17.67088,-66.81883,85.08868
1.3637,19.51645,-68.87836,81.77999
1.4190,20.68892,-69.93222,78.34845
1.4806,17.45358,-67.76876,72.59542
1.5350,18.28978,-67.64362,69.98438
1.6065,19.70830,-67.21218,68.12605
1.6467,20.28063,-66.54916,65.05336
1.7101,20.23577,-66.41792,62.26986
1.7609,20.66243,-66.97056,59.75331
1.8184,23.27436,-67.56144,58.36996
1.8736,25.63042,-68.54829,56.23286
1.9299,25.47474,-67.49091,53.41701
1.9882,26.34328,-68.19955,49.48919
2.0440,28.17986,-68.44105,47.05344
2.1230,29.62577,-67.90553,45.13872
2.1572,32.89228,-67.82510,44.17199
2.2145,37.11966,-68.82761,43.31950
2.2762,39.68031,-69.34036,40.82925
2.3287,42.09686,-70.20290,38.93420
2.3930,41.21338,-70.10892,34.98011
2.4413,40.45735,-69.66721,30.98465
2.5021,43.06288,-70.42052,30.40539
2.5580,49.26825,-71.15910,33.55285
2.6111,58.82795,-72.16786,39.38511
2.6683,76.61901,-73.49747,54.36292
2.7259,91.45081,-73.04482,66.89749
2.7960,103.08101,-71.75484,77.98674
2.8390,105.70502,-71.66291,79.90125
2.8999,105.30727,-72.87398,78.29401
2.9521,107.58891,-73.29697,79.89127
3.0088,111.94107,-74.41674,82.12434
3.0657,109.77648,-75.65759,77.54850
3.1222,112.57134,-77.01426,76.80431
3.1778,114.19122,-76.40538,75.17446
3.2359,114.74507,-76.39231,72.30586
3.2964,114.65065,-77.22980,68.10677
3.3494,115.15449,-77.03140,65.18244
3.4065,119.02140,-76.71127,65.90974
3.4623,117.04715,-76.19703,61.85477
3.5197,111.33073,-75.70061,54.44644
3.5769,112.87799,-74.87472,55.30291
3.6327,119.60459,-73.52002,62.77210
3.6903,123.84629,-73.89279,66.50031
3.7470,130.00352,-75.80465,71.29171
3.8030,137.07642,-75.85136,78.00982
3.8601,143.08832,-74.78278,83.36365
3.9190,146.38258,-74.71468,84.78565
3.9747,146.59570,-75.85795,82.68708
4.0316,139.30219,-76.07494,74.15134
4.0921,132.63586,-76.43963,65.80282
4.1440,128.76991,-77.13467,60.32833
4.2011,126.50536,-76.85996,57.51499
4.2580,124.52707,-76.24756,55.20965
4.3145,126.57936,-76.45539,56.02657
4.3759,126.55764,-76.04284,55.30865
4.4301,131.67380,-75.56882,59.51427
4.4861,135.11571,-74.67274,62.38873
4.5420,132.44431,-74.06130,59.97128
4.5986,131.39194,-74.62225,58.90278
4.6559,127.98594,-75.49049,55.92289
4.7112,124.95911,-76.04033,53.16762
4.7694,126.39598,-75.47665,54.94768
4.8275,131.65727,-74.36678,59.91412
4.8823,135.35843,-73.01455,62.50779
4.9401,139.00610,-71.32735,64.72294
4.9960,140.76376,-69.56278,65.62881
5.0532,140.29703,-69.24195,64.22250
5.1100,140.08144,-70.26344,62.71424
5.1699,139.90279,-70.26766,61.56385
5.2226,138.98174,-69.59323,60.30648
5.2810,139.49695,-69.30788,59.98193
5.3369,138.42650,-68.56322,58.83672
5.3951,138.09500,-68.83161,58.20437
5.4604,138.24072,-69.52695,57.91711
5.5074,139.30063,-69.32656,58.79262
5.5662,139.86462,-68.63055,59.12352
5.6232,140.98314,-68.09792,59.96044
5.6796,141.82570,-68.28111,60.91355
5.7358,143.17250,-69.35400,62.07503
5.7906,141.28989,-69.75989,60.65408
5.8594,141.50458,-69.94083,61.35912
5.9034,143.17619,-70.62290,63.48100
5.9639,143.08348,-71.65766,63.33239
6.0182,141.50078,-71.87904,61.64788
6.0759,139.80872,-71.50132,60.03078
6.1316,141.76277,-70.76140,61.75942
6.1881,145.83540,-69.61715,64.65890
6.2575,143.72888,-68.38367,61.10727
6.3009,133.83914,-66.31810,50.82219
6.3618,124.60435,-65.16457,42.14650
6.4154,118.04444,-66.24928,35.86362
6.4732,114.95730,-67.17976,33.40349
6.5298,116.74024,-67.02815,36.70907
6.5855,117.78663,-67.83810,39.24016
6.6444,115.76203,-69.30470,38.86793
6.6998,116.38115,-69.77910,41.98235
6.7562,117.49815,-70.05922,46.25007
6.8131,117.43304,-70.06589,50.54942
6.8690,118.93546,-68.95927,56.88670
6.9279,114.13264,-66.62238,57.88645
