time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:22:36:357, 
0.0281,-0.42267,0.82107,0.45012
0.0939,-0.27094,0.44641,0.42129
0.1608,-0.25735,-0.39942,0.31116
0.2277,-0.37485,-0.71485,0.48405
0.2916,0.07048,-0.32888,0.69283
0.3596,0.37767,-0.06064,0.17645
0.4255,0.14611,0.08568,0.29902
0.4928,-0.14765,0.48457,0.50760
0.5588,-0.19531,0.48815,0.50582
0.6253,0.14533,0.80374,0.41193
0.6902,0.00476,0.89598,0.94762
0.7677,-0.71090,0.51178,1.03195
0.8318,-0.43206,0.72876,0.76390
0.8981,0.13222,0.44302,0.44502
0.9672,-0.08995,0.25381,0.43859
1.0313,-0.04381,0.61158,0.12987
1.0972,0.24080,0.53983,0.10769
1.1645,0.28244,0.88904,-0.05070
1.2305,0.49117,1.22878,0.00298
1.2952,0.16094,1.00982,0.21281
1.3647,0.23029,0.28570,0.25506
1.4296,0.27963,0.22184,-0.00011
1.4944,0.24863,0.17831,-0.13737
1.5614,0.13825,0.14110,-0.02306
1.6278,0.42835,0.33769,0.11772
1.6939,0.34944,0.41710,0.20672
1.7605,0.40349,1.04322,0.31932
1.8257,0.57522,1.33998,0.06665
1.8923,0.63075,1.42760,-0.04023
1.9580,0.52833,1.20713,-0.22572
2.0247,0.31359,0.98022,0.07500
2.0913,-0.18925,0.46397,0.55914
2.1583,-0.48292,-0.11349,0.57576
2.2333,-1.12419,-0.53441,0.89919
2.3005,-1.03953,-1.08270,0.61682
2.3655,-0.21080,-0.98534,0.49929
2.4315,-0.06569,-0.43432,0.34758
2.4986,-0.05118,-0.07092,0.06554
2.5633,0.15374,0.04759,-0.02055
2.6298,0.22007,0.02752,-0.08973
2.6960,0.18942,0.01840,0.09048
2.7629,0.06141,0.17957,-0.31433
2.8289,0.34943,0.66991,-0.11754
2.8955,0.53513,0.97645,-0.44992
2.9610,0.69977,1.03809,0.06418
3.0276,0.31898,1.26982,0.32242
3.0935,0.15351,1.32853,-0.09435
3.1601,-0.20057,0.91426,-0.66643
3.2265,-0.12030,0.78386,0.14954
3.2934,-0.02570,0.71798,0.00446
3.3583,0.17834,0.46180,-0.55169
3.4256,-0.10695,0.10973,-0.43077
3.4919,-0.56071,-0.24186,-0.15832
3.5577,-0.85333,-0.22840,0.31181
3.6251,-0.25515,-0.43210,0.41257
3.6991,-0.20429,-0.34998,0.29941
3.7790,-0.39736,-0.36210,-0.04008
3.8318,-0.06128,-0.52944,-0.17160
3.9000,0.33474,-0.77178,-0.27716
3.9649,0.01100,-0.75415,-0.00426
4.0320,-0.26243,-0.79749,-0.02968
4.0958,0.00175,-0.65229,0.04647
4.1628,0.19001,-0.45685,-0.04748
4.2292,-0.02510,-0.31595,-0.06701
4.2996,-0.07149,-0.18991,0.35553
4.3620,-0.07039,-0.11488,0.19673
4.4311,0.06410,-0.08878,-0.14485
4.4946,0.04507,-0.07724,-0.02944
4.5651,-0.02031,0.04883,0.12213
4.6269,0.14313,0.06258,-0.05533
4.6943,0.07394,0.05248,-0.08028
4.7597,-0.08202,0.11524,0.17521
4.8284,0.31075,0.20252,-0.10082
4.8910,0.73853,0.23161,-0.62444
4.9605,0.64626,0.33998,-0.39287
5.0239,0.59733,0.33075,-0.05365
5.0956,0.57061,0.22059,-0.25521
5.1684,0.98244,0.07436,-0.33832
5.2476,0.57855,-0.08054,-0.30922
5.2979,0.40618,-0.20005,-0.03188
5.3660,0.52357,-0.38254,0.07591
5.4308,-0.02788,-0.23032,0.26256
5.5003,0.07559,-0.12380,0.33070
5.5673,0.50209,-0.12674,0.26001
5.6298,0.40913,-0.17533,0.18031
5.6949,0.12936,-0.07650,0.22389
5.7637,0.00605,-0.16494,0.22172
5.8293,-0.38441,0.03108,0.32195
5.9001,-0.12283,0.06383,0.25003
5.9649,-0.10207,0.18907,0.52428
6.0266,-0.08174,0.07819,0.34884
6.0949,-0.15047,-0.07293,0.06769
6.1633,0.08396,0.05835,0.18917
6.2251,0.32960,0.01044,0.18948
6.2933,0.01851,-0.09150,-0.04519
6.3597,0.30913,-0.14978,-0.22416
6.4241,0.82942,-0.54385,-0.72782
6.4903,0.15801,0.41443,-0.05293
6.5696,-0.04868,0.30668,0.29541
6.6328,0.14519,0.02565,0.02899
6.7042,0.05000,0.35583,-0.36627
6.7643,-0.29751,-0.28008,-0.15216
6.8324,-0.22502,-0.24041,-0.06153
6.8967,-0.13158,0.00402,-0.05697
6.9644,0.08433,0.26944,0.01669
7.0305,0.12190,0.20103,0.01353
7.0995,0.01076,0.07103,-0.08469
7.1615,0.30552,0.03269,0.02262
7.2316,0.37642,0.07034,0.08477
7.2940,0.03526,-0.05215,-0.03391
7.3629,0.20093,0.04235,0.00675
7.4273,0.46056,0.02948,0.09411
7.4939,0.49227,-0.16912,0.05128
7.5591,0.41669,-0.07685,0.00667
7.6295,-0.00222,0.01441,0.02754
7.6926,-0.44073,-0.09387,-0.10304
7.7613,-0.29213,0.07867,-0.08287
7.8258,-0.00861,-0.01520,0.00921
7.8961,-0.01583,-0.01035,0.00790
7.9572,-0.00804,-0.00377,0.00720
8.0334,-0.00338,-0.01844,0.01641
8.0991,-0.01298,-0.00444,0.00713
8.1659,0.00199,0.01127,0.00192
8.2323,0.00046,-0.00154,-0.02055
8.2972,0.02103,-0.04671,-0.01173
8.3638,0.05354,-0.06713,0.03055
8.4339,0.06361,-0.17444,0.05823
8.4958,0.10771,-0.18105,0.07850
8.5639,0.09861,-0.24766,0.00997
8.6307,0.09320,-0.50042,-0.00049
8.6941,0.02199,-0.18508,-0.03106
8.7614,-0.05595,0.02152,-0.13530
8.8327,0.03387,0.13664,-0.13184
8.8937,-0.06890,-0.26398,-0.14257
8.9620,-0.04367,-0.30431,-0.18258
9.0280,0.01072,-0.46883,-0.26139
9.0922,-0.05519,-0.32559,-0.33833
9.1584,-0.15524,-0.24646,-0.54212
9.2256,-0.12962,0.20565,-0.67579
9.2906,-0.63257,0.73957,-0.63888
9.3616,-0.14373,0.10950,-0.38897
9.4248,0.14917,0.52912,-0.22740
9.4993,-0.17422,0.32599,0.00643
9.5661,-0.26289,-0.06874,0.29716
9.6358,-0.14598,0.51209,-0.12977
9.6975,-0.11571,0.53842,-0.17009
9.7671,0.49634,-0.03065,0.14273
9.8294,0.12614,-0.37244,0.00962
9.8960,-0.22000,-0.51557,0.10727
9.9627,0.16937,-0.01377,0.11882
10.0301,-0.07332,-0.05340,-0.01933
10.0952,-0.04162,-0.03794,-0.04341
10.1670,0.04917,0.12048,-0.06739
10.2274,0.00733,0.01332,-0.07339
10.2959,0.00544,-0.03252,-0.00550
10.3602,0.00768,-0.14918,0.02737
10.4279,0.05057,-0.09238,0.05361
10.4925,0.12793,-0.13740,0.06615
10.5626,0.10101,-0.21586,0.04816
10.6249,0.10290,-0.09793,0.02783
10.6919,0.07778,-0.07202,0.02369
10.7584,0.02892,-0.01806,-0.01741
10.8247,-0.05470,0.00361,0.01666
10.8904,-0.05391,-0.08670,0.02974
10.9658,-0.10535,-0.13807,0.01025
11.0318,-0.01694,0.04998,-0.01597
11.1010,-0.06913,0.04603,-0.01375
11.1653,-0.07441,-0.00988,0.02576
11.2324,-0.01778,-0.13293,0.05075
11.2981,0.08076,-0.25003,0.03558
11.3636,0.12297,-0.25080,0.04124
11.4292,0.12516,-0.23744,0.03129
11.4980,0.12662,-0.14641,0.05460
11.5624,0.06633,-0.16180,0.05445
11.6321,0.07312,-0.18619,0.04136
11.6955,0.04368,-0.21969,0.06296
11.7612,0.05140,-0.18997,0.03348
11.8269,0.02490,-0.15804,0.03583
11.8968,-0.02017,-0.05042,0.01348
11.9603,-0.02286,-0.02704,0.00704
