time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:39:13:972, 
0.0377,-0.72661,7.18230,5.84400
0.0383,-0.59015,7.69224,5.82005
0.0482,-0.65718,7.72695,6.88423
0.0776,-0.99595,7.17990,6.77769
0.1036,-1.07016,7.15716,6.60891
0.1129,-0.73858,7.35946,6.56222
0.1273,-0.61409,7.51747,6.44252
0.1716,-0.62127,7.54141,6.41259
0.1726,-0.69549,7.39896,6.59574
0.1811,-0.75773,7.18349,6.86268
0.2271,-0.55663,7.18349,6.92613
0.2271,-0.33278,7.31517,6.78488
0.2483,-0.37827,7.35587,6.58617
0.2774,-0.42136,7.27567,6.53948
0.2775,-0.51114,7.15836,6.67355
0.3020,-0.67873,7.13322,6.79206
0.3152,-0.88821,7.18469,6.71904
0.3405,-1.03784,7.12005,6.60891
0.3684,-1.11326,6.99915,6.52871
0.3779,-1.09171,6.94887,6.64721
0.3971,-1.09530,7.05780,6.72023
0.4354,-1.29760,7.07097,6.59335
0.4365,-1.19825,7.11287,6.61011
0.4482,-1.14318,6.76453,7.03267
0.4773,-1.32513,6.10615,7.74730
0.5008,-1.65313,5.18442,8.54933
0.5106,-2.22771,4.18728,8.99822
0.5288,-1.69502,3.84013,8.30393
0.5690,-0.65119,3.91435,7.17033
0.5707,0.42854,4.86960,6.75016
0.5832,0.53508,5.87392,6.84593
0.6256,0.95764,6.70108,6.51793
0.6257,1.68904,7.98791,5.35799
0.6440,2.38931,8.60080,3.76113
0.6783,2.34741,8.67621,2.74483
0.6783,1.54300,9.13588,2.93516
0.7114,0.74097,9.79905,3.01058
0.7159,1.39097,9.55006,3.02016
0.7392,2.52099,8.71452,3.28351
0.7762,3.38286,9.01857,4.33571
0.7763,2.97946,10.25393,5.02282
0.7955,2.60957,10.89913,4.46021
0.8439,2.42283,9.66737,4.09989
0.8460,1.92007,7.90172,3.97899
0.8483,1.83268,8.08128,3.14704
0.8785,1.41611,9.06525,3.73120
0.9119,1.69742,9.68174,5.31370
0.9119,1.97034,8.79113,5.38552
0.9280,1.37900,7.74252,4.79418
0.9592,0.86547,7.49832,4.96536
0.9593,0.35672,7.94841,6.84353
0.9777,1.01031,8.59122,7.43727
1.0216,2.59401,9.28432,5.83562
1.0217,2.71970,9.84094,2.80110
1.0407,2.27559,9.56442,-0.11372
1.0789,3.37688,8.48947,1.75847
1.0789,2.37614,7.77843,3.74557
1.1072,1.24373,7.25173,3.91555
1.1163,1.39337,7.48036,3.39124
1.1313,2.50303,7.54381,2.70773
1.1731,2.95551,6.92254,1.89373
1.1731,2.64189,6.89620,0.80083
1.1854,2.27799,8.17585,0.47882
1.2436,2.89925,9.25199,0.77569
1.2436,3.76472,8.10402,1.71417
1.2499,3.98019,6.33838,3.36251
1.2775,3.22126,6.58976,5.31610
1.2775,2.80110,6.84832,7.18948
1.3062,2.87412,5.80569,8.66903
1.3155,3.12909,4.75348,9.24601
1.3636,3.26435,4.14299,9.54048
1.3637,3.48461,4.24354,9.68533
1.3778,3.98139,4.62300,9.68772
1.4201,4.24593,5.01923,9.84334
1.4201,4.56435,4.88636,10.25153
1.4392,5.33645,4.56076,12.38587
1.4487,4.60984,4.46619,12.74738
1.4772,3.78028,4.84206,11.47252
1.5094,3.47982,4.81932,10.22759
1.5167,2.01583,4.23636,7.35707
1.5365,2.33305,3.10515,5.50403
1.5704,4.13221,3.53249,7.60366
1.5705,4.53682,4.21721,9.59555
1.5814,4.04483,3.76711,10.30659
1.6399,2.92439,3.51095,9.74398
1.6434,1.77044,3.65459,8.96710
1.6465,1.89014,3.89520,9.36212
1.6779,3.52411,4.37402,9.81820
1.6779,4.18369,4.65652,9.19813
1.7077,3.76113,4.15735,7.89095
1.7155,2.60717,3.74676,7.04224
1.7608,1.90451,3.93710,6.98718
1.7609,3.06564,4.03286,7.84426
1.7748,4.29621,3.67135,8.94675
1.8174,4.05441,4.14658,9.44233
1.8174,3.56601,4.50809,9.11553
1.8363,3.83056,4.63737,8.35301
1.8486,4.12144,4.45063,8.29196
1.8759,3.68691,4.17052,8.37097
1.9034,2.96030,4.06877,8.25006
1.9153,3.19133,4.37881,8.16388
1.9273,3.51454,5.16287,7.61563
1.9586,3.22246,5.19519,7.09132
1.9676,3.21168,4.76545,7.04942
1.9776,3.65938,4.72954,7.51747
2.0479,3.81500,4.91389,7.88377
2.0479,3.58037,4.93304,7.80357
2.0479,3.93829,4.76306,7.73533
2.0775,4.47696,4.66251,7.76406
2.0776,4.48534,4.13102,7.62520
2.1004,4.35127,3.53249,7.87180
2.1150,4.77862,3.88682,7.14040
2.1571,4.26150,4.68166,6.67116
2.1571,4.63617,4.91868,6.96563
2.1760,5.74943,5.10302,5.91342
2.2140,5.32088,5.26582,4.81693
2.2140,4.91868,5.95173,4.43148
2.2416,4.26868,6.28930,4.15256
2.2477,3.13627,6.21388,3.87006
2.2712,2.42403,6.41858,4.29382
2.3099,2.52697,6.97401,5.03958
2.3128,2.64548,7.15476,5.53157
2.3341,2.80469,6.75016,6.23304
2.3740,2.88728,6.30965,6.58856
