time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:39:13:972, 
0.0587,-0.67972,7.29659,6.51676
0.1129,-0.66966,7.30959,6.50321
0.1726,-0.68300,7.27966,6.53533
0.2271,-0.67009,7.28463,6.53112
0.2835,-0.66600,7.26209,6.55659
0.3409,-0.68409,7.25427,6.56339
0.3972,-0.72697,7.21730,6.59942
0.4539,-0.79944,7.17681,6.63511
0.5106,-0.89678,7.26268,6.52837
0.5708,-0.65999,7.73427,5.99299
0.6255,0.02449,8.46217,4.95596
0.6820,0.53442,8.78234,4.33073
0.7392,1.06205,8.71689,4.36557
0.7956,1.36830,8.63785,4.43685
0.8514,1.45251,8.55017,4.57769
0.9120,1.50907,8.49063,4.66928
0.9667,1.75882,8.56234,4.44558
1.0217,1.95631,8.75506,3.96132
1.0805,2.18896,8.65740,4.05318
1.1359,2.85428,8.42714,4.12393
1.1924,3.37875,8.04060,4.48365
1.2502,3.54552,7.12543,5.72957
1.3072,3.46778,5.86962,7.04929
1.3637,3.43291,4.78190,7.84340
1.4201,3.27783,3.96853,8.34727
1.4774,3.12860,3.88892,8.44148
1.5366,3.06815,3.88091,8.46731
1.5896,3.08323,3.67997,8.55114
1.6465,3.11885,3.87116,8.45324
1.7078,3.11182,4.31563,8.23786
1.7609,3.10118,4.47096,8.15865
1.8174,3.12452,4.62327,8.06431
1.8760,3.22317,4.68175,7.99142
1.9305,3.34749,4.78916,7.87583
1.9872,3.40861,4.78384,7.85281
2.0480,3.53768,4.72085,7.83383
2.1004,3.60586,4.70061,7.81488
2.1571,3.71871,4.63710,7.79993
2.2140,3.85004,4.78552,7.64502
2.2716,4.22479,4.99070,7.30852
2.3340,4.26929,5.59593,6.82855
2.3841,3.81050,6.36242,6.41639
2.4437,3.07502,7.05831,6.07412
2.4986,2.22694,7.48111,5.93668
2.5561,1.53152,7.67005,5.91567
2.6119,1.06505,7.69981,5.97904
2.6688,1.13738,7.73847,5.91547
2.7333,1.04009,7.76830,5.89425
2.7821,0.97735,7.83729,5.81310
2.8462,1.39489,7.83511,5.73025
2.8967,1.50923,7.80933,5.73645
2.9541,1.46257,7.66219,5.94325
3.0095,1.06610,7.66188,6.02739
3.0663,0.73679,7.62773,6.11926
3.1303,0.48093,7.57436,6.21032
3.1798,0.37399,7.55019,6.24702
3.2410,0.39741,7.51825,6.28398
3.2929,0.48710,7.54941,6.24016
3.3501,0.53486,7.60219,6.17179
3.4081,0.63502,7.60143,6.16324
3.4647,0.68977,7.59847,6.16100
3.5296,0.75361,7.65787,6.07943
3.5783,0.86722,7.67475,6.04289
3.6346,1.08264,7.60387,6.09750
3.6904,1.36536,7.52952,6.13290
3.7474,1.58523,7.42008,6.21287
3.8041,1.72808,7.32659,6.28532
3.8609,1.72341,7.30480,6.31190
3.9172,1.59098,7.35445,6.28898
3.9750,1.46098,7.49612,6.15176
4.0316,1.39025,7.56822,6.07944
4.0874,1.42189,7.53196,6.11704
4.1455,1.49569,7.56135,6.06294
4.2024,1.56478,7.53131,6.08286
4.2580,1.62715,7.48180,6.12743
4.3160,1.66296,7.47044,6.13168
4.3714,1.64879,7.50516,6.09299
4.4286,1.67922,7.50644,6.08309
4.4854,1.70512,7.51840,6.06108
4.5432,1.69962,7.53988,6.03589
4.5995,1.70896,7.51414,6.06527
4.6554,1.72669,7.50332,6.07364
4.7121,1.72240,7.50802,6.06905
4.7735,1.73864,7.49930,6.07520
4.8259,1.76478,7.48765,6.08203
4.8825,1.76374,7.45350,6.12413
4.9414,1.77456,7.43305,6.14582
4.9963,1.81743,7.37982,6.19723
5.0530,1.83379,7.36685,6.20782
5.1118,1.82012,7.32399,6.26233
5.1671,1.83783,7.35841,6.21663
5.2249,1.87302,7.42366,6.12792
5.2804,1.84734,7.57030,5.95385
5.3372,1.76314,7.63715,5.89369
5.3971,1.72457,7.54465,6.02283
5.4509,1.66898,7.42013,6.19085
5.5097,1.58217,7.36077,6.28380
5.5650,1.43939,7.31969,6.36558
5.6229,1.23641,7.37543,6.34387
5.6788,0.84086,7.51220,6.24741
5.7361,0.33228,7.69084,6.07545
5.8002,-0.21355,7.83217,5.89762
5.8467,-0.67066,7.92053,5.74333
5.9074,-0.95360,7.98693,5.60981
5.9603,-1.09727,8.00551,5.55682
6.0188,-1.00527,7.85200,5.78843
6.0749,-1.19512,7.71213,5.93844
6.1319,-1.56954,7.53333,6.07913
6.1977,-2.06253,7.46244,6.01900
6.2453,-2.63135,7.51794,5.72075
6.3058,-2.74779,7.47583,5.72119
6.3585,-2.99237,7.46197,5.61562
6.4167,-3.14692,7.42473,5.58038
6.4728,-3.36218,7.45630,5.41015
6.5295,-3.64955,7.46594,5.20681
6.5988,-3.91280,7.51263,4.94173
6.6440,-3.95382,7.60747,4.76068
6.7005,-4.07777,7.64788,4.58825
6.7570,-4.14881,7.64521,4.52864
6.8132,-4.74652,7.11187,4.80232
6.8700,-4.84390,6.87484,5.04416
6.9264,-4.94533,6.80505,5.04038
6.9943,-4.96406,7.06234,4.65315
7.0416,-4.84694,7.60671,3.84908
7.0968,-4.23982,8.13704,3.46162
7.1532,-3.28148,8.54740,3.51343
7.2104,-3.00278,8.66493,3.47459
7.2665,-2.78058,8.71865,3.52476
7.3237,-2.49618,8.80303,3.52790
7.3795,-2.23063,8.93305,3.37569
7.4377,-1.82320,9.06758,3.25966
7.4949,-1.31381,9.14015,3.30182
7.5516,-0.81460,9.18781,3.33030
7.6092,-0.43692,9.21220,3.33389
7.6650,-0.27962,9.22204,3.32359
7.7228,-0.17533,9.22690,3.31722
7.7787,-0.09796,9.27541,3.18238
7.8368,-0.08844,9.27279,3.19029
7.8918,-0.10371,9.25004,3.25522
7.9483,-0.04869,9.27191,3.19370
8.0054,0.15656,9.25838,3.22929
8.0617,0.63191,9.27645,3.11746
8.1190,1.07836,9.30577,2.90002
8.1761,1.21926,9.31263,2.82113
8.2319,1.12808,9.27329,2.98393
8.2890,0.68179,9.20203,3.32086
8.3460,0.34916,9.12921,3.56454
8.4022,0.28406,9.09362,3.66003
8.4584,0.24585,9.09174,3.66744
8.5185,0.19621,9.07280,3.71702
8.5761,-0.03316,9.07954,3.70556
8.6298,-0.08890,9.10090,3.65187
8.6865,-0.07707,9.11582,3.61472
8.7432,-0.07541,9.14090,3.55087
8.8019,-0.07744,9.14343,3.54430
8.8595,-0.05031,9.15369,3.51820
8.9121,-0.02878,9.16734,3.48275
8.9759,-0.02334,9.17906,3.45177
9.0273,-0.00920,9.18790,3.42824
9.0855,-0.01453,9.19004,3.42249
9.1403,-0.05185,9.19471,3.40956
9.1991,-0.03940,9.19077,3.42033
9.2653,-0.08113,9.17277,3.46757
9.3103,-0.16840,9.15193,3.51913
9.3735,-0.22667,9.13218,3.56682
9.4241,-0.21085,9.11810,3.60365
9.4804,-0.14169,9.12351,3.59332
9.5375,-0.08672,9.10406,3.64404
9.5953,-0.04951,9.11254,3.62347
9.6571,0.01054,9.16643,3.48524
9.7090,0.08321,9.24672,3.26522
9.7654,0.12820,9.33110,3.01405
9.8222,0.10040,9.39284,2.81690
9.8800,-0.00066,9.44004,2.65633
9.9358,-0.24053,9.47425,2.52014
9.9916,-0.38557,9.55110,2.19050
10.0642,-0.62185,9.63142,1.73764
10.1072,-0.84563,9.67406,1.36668
10.1631,-1.06842,9.69197,1.04624
10.2237,-1.28154,9.69291,0.75867
10.2764,-1.45583,9.68561,0.48969
10.3337,-1.56436,9.67746,0.26454
10.3892,-1.62078,9.67137,0.09003
10.4462,-1.61614,9.67252,-0.02952
10.5036,-1.58964,9.67643,-0.10093
10.5601,-1.59062,9.67564,-0.14914
10.6180,-1.55303,9.68154,-0.16205
10.6729,-1.47543,9.69402,-0.13922
10.7394,-1.41434,9.70363,-0.09809
10.7866,-1.36413,9.71129,-0.02017
10.8461,-1.30303,9.71956,0.05064
10.9003,-1.22031,9.72964,0.12404
10.9580,-1.14229,9.73781,0.20175
11.0152,-1.09462,9.74061,0.30438
11.0704,-1.07277,9.73769,0.44374
11.1282,-1.10541,9.72901,0.54302
11.1838,-1.07906,9.70946,0.85585
11.2440,-1.06327,9.67675,1.18333
11.2989,-1.12899,9.64280,1.38284
11.3553,-1.30998,9.59505,1.54573
11.4121,-1.44815,9.55372,1.67321
11.4682,-1.53039,9.50489,1.86691
11.5238,-1.64584,9.44579,2.05881
11.5809,-1.71498,9.38197,2.28208
11.6417,-1.79572,9.31612,2.48106
11.6968,-1.82641,9.27225,2.61915
11.7536,-1.80778,9.27373,2.62684
11.8092,-1.81679,9.29932,2.52832
11.8666,-1.85058,9.33947,2.34948
11.9253,-1.87481,9.38820,2.12536
11.9792,-1.88184,9.43490,1.90047
12.0383,-1.88864,9.46481,1.73803
12.0925,-1.91093,9.48846,1.57728
12.1504,-1.93824,9.50428,1.44304
12.2149,-1.96542,9.51611,1.32332
12.2637,-1.96266,9.52864,1.23429
12.3197,-1.91390,9.54873,1.15284
12.3778,-1.82859,9.57300,1.08830
12.4344,-1.71057,9.60241,1.01882
12.4892,-1.64859,9.62057,0.94720
12.5487,-1.65559,9.62310,0.90852
12.6078,-1.70347,9.61912,0.86084
12.6604,-1.78412,9.58335,1.07082
12.7241,-1.87772,9.52788,1.36530
12.7737,-1.86032,9.46213,1.78261
12.8320,-1.85665,9.37492,2.19867
12.8872,-1.78484,9.31620,2.48859
12.9445,-1.71594,9.25571,2.74913
13.0017,-1.68838,9.22870,2.85498
13.0573,-1.68478,9.21322,2.90664
13.1226,-1.79847,9.19154,2.90713
13.1720,-1.81465,9.22931,2.77441
13.2293,-1.79369,9.29031,2.57744
13.2858,-1.76806,9.37768,2.25907
13.3412,-1.77547,9.43389,2.00493
13.3989,-1.83323,9.46017,1.82066
13.4548,-1.84744,9.50617,1.54598
13.5215,-1.73368,9.56991,1.25761
13.5686,-1.62043,9.61535,1.04387
13.6256,-1.63022,9.62319,0.95237
13.6815,-1.68163,9.62034,0.88974
13.7387,-1.71448,9.60279,1.00870
13.8048,-1.75307,9.55612,1.33330
13.8515,-1.78407,9.46745,1.83162
13.9125,-1.82220,9.36211,2.28055
13.9666,-1.92437,9.29813,2.45193
14.0227,-2.02276,9.30167,2.35747
14.0803,-2.13202,9.28534,2.32539
14.1359,-2.26633,9.24808,2.34674
14.1933,-2.19394,9.29492,2.22743
14.2497,-2.09885,9.38167,1.93635
14.3060,-2.05461,9.41963,1.79431
14.3643,-1.98875,9.46127,1.64308
14.4207,-1.83022,9.51215,1.52960
14.4780,-1.67794,9.54894,1.47400
14.5341,-1.67096,9.55780,1.42362
14.5906,-1.74022,9.53943,1.46331
14.6462,-1.78085,9.52409,1.51348
14.7058,-1.77831,9.51634,1.56436
14.7615,-1.78879,9.53530,1.43131
14.8179,-1.80627,9.59284,0.94082
14.8766,-1.65970,9.63737,0.73275
14.9310,-1.52178,9.65019,0.85347
14.9883,-1.38121,9.65974,0.97571
15.0448,-1.25848,9.64814,1.22472
15.1014,-1.17644,9.65961,1.21587
15.1597,-1.23356,9.65771,1.17363
15.2156,-1.22919,9.67526,1.02416
15.2713,-1.11824,9.68762,1.03437
15.3293,-0.98469,9.68118,1.21469
15.3866,-0.84724,9.67299,1.37325
15.4446,-0.73411,9.68657,1.34233
15.4983,-0.80327,9.69270,1.25569
15.5562,-1.23130,9.67135,1.05797
15.6141,-1.63499,9.58767,1.25447
15.6721,-2.04796,9.46772,1.52921
15.7253,-1.69921,9.49281,1.78034
15.7827,-1.51170,9.55000,1.63790
15.8417,-1.23036,9.62633,1.41084
15.8992,-1.05046,9.69073,1.07550
15.9521,-1.26458,9.68729,0.85299
16.0109,-1.77920,9.61733,0.71539
16.0721,-2.25498,9.49910,0.92333
16.1225,-2.46625,9.39510,1.34908
16.1884,-2.26857,9.36484,1.82312
16.2370,-1.73358,9.47662,1.83267
16.2972,-1.29674,9.56270,1.74462
16.3507,-0.98650,9.65604,1.39930
16.4089,-1.04462,9.68400,1.13985
16.4634,-1.44287,9.64829,0.99953
16.5201,-1.93303,9.56386,0.98304
16.5830,-2.23534,9.46379,1.26896
16.6342,-2.32510,9.38389,1.64528
16.6917,-2.13808,9.35242,2.03255
16.7485,-1.57178,9.42930,2.18820
16.8050,-1.08955,9.54917,1.94850
16.8705,-0.74728,9.66058,1.51164
16.9186,-0.70246,9.71136,1.16896
16.9790,-1.02524,9.70788,0.93607
17.0323,-1.67150,9.63518,0.73475
17.0881,-2.23873,9.50528,0.89891
17.1454,-2.52052,9.39858,1.21824
17.2015,-2.61203,9.32950,1.51923
17.2674,-2.39536,9.29206,2.02245
17.3139,-1.81782,9.36019,2.29190
17.3718,-1.21630,9.49096,2.14770
17.4305,-0.69441,9.62191,1.76266
17.4863,-0.42000,9.69645,1.40460
17.5418,-0.47664,9.73374,1.09429
17.5993,-0.91944,9.72781,0.83350
17.6706,-1.56676,9.65656,0.68298
17.7127,-2.10362,9.53840,0.87413
17.7722,-2.44266,9.40663,1.31116
17.8282,-2.61030,9.28689,1.76361
17.8831,-2.37711,9.25004,2.22632
17.9398,-1.79321,9.29356,2.56602
17.9961,-1.32291,9.40667,2.43615
18.0525,-0.88399,9.55960,2.00077
18.1121,-0.66785,9.66427,1.52519
18.1675,-0.72684,9.71670,1.10811
18.2230,-1.03191,9.72102,0.77932
18.2806,-1.47753,9.66653,0.73852
18.3368,-1.89268,9.57370,0.96558
18.3941,-2.09177,9.48395,1.36000
18.4502,-2.09918,9.40372,1.82589
18.5120,-1.97582,9.33653,2.25736
18.5638,-1.35968,9.37087,2.55117
18.6211,-0.75134,9.47757,2.40447
18.6786,-0.19401,9.60985,1.94511
18.7338,0.09989,9.70590,1.39856
18.7904,0.10065,9.76373,0.91096
18.8473,-0.29494,9.78842,0.51984
18.9057,-0.85887,9.76254,0.35428
18.9619,-1.42682,9.67902,0.67168
19.0185,-1.80035,9.57574,1.11098
19.0762,-1.86953,9.50049,1.55431
19.1321,-1.67707,9.45131,2.00761
19.1883,-1.20219,9.48123,2.19805
19.2454,-0.62993,9.55487,2.11612
19.3029,-0.08182,9.65769,1.70083
19.3598,0.17985,9.73312,1.18510
19.4160,-0.00388,9.77581,0.77712
19.4719,-0.51893,9.77707,0.55686
