time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:39:13:972, 
0.0383,-0.02704,0.03024,0.03795
0.1037,-0.06053,-0.01106,0.00681
0.1726,-0.06164,0.02652,0.04888
0.2355,-0.01472,0.04152,0.06101
0.3028,-0.02185,0.13523,0.05111
0.3684,-0.08233,0.45152,0.33742
0.4365,-0.14382,0.91638,0.79553
0.5008,-0.10966,2.51475,2.13498
0.5709,0.84743,4.40593,4.22698
0.6441,2.17771,3.72962,3.92166
0.7143,0.99180,2.03059,2.01855
0.7763,-0.18048,1.33138,1.63551
0.8460,0.06101,1.28401,0.82048
0.9120,-0.18033,0.88468,0.64549
0.9735,0.53926,0.36881,0.68651
1.0407,1.06455,0.94186,0.77023
1.1095,-0.22581,0.11777,0.91530
1.1731,-0.08501,0.57587,1.60008
1.2400,-1.66577,1.51642,1.59332
1.3072,-2.85751,1.58809,1.32176
1.3709,-1.91269,1.11933,1.49154
1.4393,-1.06180,0.99152,1.14233
1.5060,0.52134,0.56441,0.65684
1.5705,-0.22879,0.37181,0.92873
1.6434,0.44224,0.27653,0.54401
1.7048,1.08919,0.15745,0.49897
1.7697,0.53770,0.32778,0.51287
1.8363,0.50074,0.14162,0.44707
1.9020,0.35808,0.06549,0.51236
1.9678,0.35398,0.08430,0.44113
2.0459,0.09390,0.09257,0.54394
2.1088,0.19917,0.17230,0.57084
2.1770,0.34076,0.26214,0.82764
2.2416,0.68884,0.05874,0.68803
2.3128,0.93899,-0.59302,0.27302
2.3740,1.09845,-0.26147,-1.32750
2.4466,1.12802,0.17636,-1.51675
2.5068,0.67400,0.76275,-1.45594
2.5769,0.19605,0.76017,-1.18757
2.6401,0.11045,0.71276,0.37658
2.7085,0.40338,0.96499,0.36611
2.7737,0.11584,0.91243,0.29068
2.8463,0.20427,0.00956,0.89566
2.9054,0.02777,0.22055,0.45737
2.9748,-0.42552,-0.07099,-0.21165
3.0386,-0.11807,0.21418,-0.77335
3.1076,-0.25682,-0.03939,-0.65063
3.1699,-0.08603,0.00925,-0.41281
3.2408,-0.14427,-0.08064,-0.10250
3.3012,0.09173,-0.01744,0.14241
3.3721,0.11275,-0.02018,0.10886
3.4349,0.01583,-0.05052,0.20811
3.5151,0.08903,0.15942,0.19713
3.5787,0.16970,0.02361,0.27303
3.6421,-0.12501,-0.03521,0.43802
3.7081,-0.11299,-0.04960,0.61731
3.7779,-0.18498,0.05719,0.51710
3.8416,-0.12029,0.04630,0.28044
3.9085,-0.04637,0.14227,-0.07607
3.9735,0.40706,0.38114,0.00397
4.0398,0.20098,0.15953,-0.03555
4.1063,-0.05695,-0.02118,0.05997
4.1764,0.06260,-0.04099,0.10680
4.2396,-0.08587,-0.11725,0.12048
4.3078,-0.07336,-0.04070,0.06059
4.3716,0.06224,-0.04797,-0.05747
4.4373,0.00304,0.01116,0.05961
4.5034,0.05181,0.01947,0.04899
4.5702,0.01112,-0.00213,-0.00291
4.6370,-0.07117,-0.00841,0.08487
4.7059,-0.01144,0.04902,0.01826
4.7736,-0.02130,0.11832,0.09484
4.8341,-0.02918,0.14441,0.13747
4.9012,-0.08409,0.12005,0.11672
4.9796,-0.05726,0.23511,0.28063
5.0431,-0.07753,0.39148,0.36321
5.1118,0.09071,0.50777,0.40444
5.1745,0.04329,0.24573,0.31013
5.2440,0.28297,0.24911,0.21450
5.3087,0.49489,0.39992,0.19836
5.3767,-0.02672,0.15557,-0.01877
5.4408,-0.40701,-0.19613,-0.21904
5.5101,-0.30319,-0.27964,-0.40761
5.5718,-0.24862,-0.15324,-0.47083
5.6425,0.05389,-0.05557,-0.63002
5.7055,0.30918,0.03262,-1.05091
5.7730,0.40142,0.11775,-1.10051
5.8389,0.37124,0.24921,-0.96660
5.9053,0.30599,0.22695,-0.55229
5.9704,0.07527,0.09724,-0.21622
6.0397,-0.42687,-0.30952,-0.19891
6.1029,-0.40698,0.05427,-0.57993
6.1708,-0.05260,0.08487,-0.90308
6.2358,0.49925,0.29092,-1.31958
6.3059,-0.04492,0.35072,-0.03420
6.3771,-0.00409,0.60674,-0.13894
6.4475,-0.08590,0.61707,0.01928
6.5094,0.04435,0.67304,-0.01464
6.5763,0.38123,0.64108,-0.34596
6.6441,0.37182,0.16246,-0.01044
6.7079,0.34744,0.15899,-0.20734
6.7739,0.09566,-0.05504,-0.27302
6.8463,-0.80559,0.05427,-1.21925
6.9084,-0.19058,-0.25068,-0.40947
6.9733,0.76704,-0.07392,-0.23024
7.0416,0.85120,1.40377,1.07011
7.1052,-0.45045,2.52333,2.50038
7.1715,0.01397,-0.36696,1.74505
7.2382,0.09036,-0.23821,0.39990
7.3048,-0.06373,-0.11957,0.44538
7.3712,0.21101,0.11910,0.60825
7.4386,0.21130,0.20302,0.83796
7.5030,0.01376,-0.61410,0.80136
7.5726,0.00605,-0.50947,0.74846
7.6392,-0.00224,0.06574,0.62072
7.7017,-0.00741,0.79220,0.42131
7.7716,0.21209,0.73024,0.47491
7.8424,0.00612,0.19397,0.07627
7.9093,-0.12652,-0.08643,-0.07765
7.9750,0.10778,-0.64890,0.00641
8.0472,-0.03661,-0.21264,0.53705
8.1086,0.42724,-0.07248,1.01706
8.1785,0.21462,-0.18666,0.25575
8.2405,-0.26116,0.47128,-0.02185
8.3091,-0.58046,0.82697,-0.63663
8.3725,-0.38029,0.44938,-0.25617
8.4405,-0.04093,0.19761,0.01827
8.5060,-0.07106,0.26715,-0.01309
8.5760,0.00183,0.71234,-0.03098
8.6396,0.11266,0.04554,-0.08541
8.7069,0.08993,-0.27682,-0.11714
8.7702,0.08683,-0.15198,-0.06691
8.8382,0.03234,-0.06567,0.00196
8.9032,0.06028,-0.19792,-0.02226
8.9758,0.06515,-0.15251,-0.04337
9.0356,0.04337,-0.17315,-0.03316
9.1033,0.00744,-0.21149,-0.03933
9.1700,-0.00928,-0.06327,-0.04081
9.2361,-0.05609,0.01932,-0.09970
9.3103,0.00354,0.15229,-0.05783
9.3763,-0.01335,0.11144,-0.07941
9.4420,-0.06225,-0.21554,-0.05770
9.5115,0.05356,-0.13729,0.08621
9.5749,-0.08602,0.19276,0.15145
9.6436,0.20515,0.11960,0.14106
9.7081,0.43533,-0.30671,0.04616
9.7726,0.50745,-0.75293,-0.13810
9.8404,0.36750,-0.97277,-0.37070
9.9079,0.36183,-1.22592,-0.60452
9.9716,0.42147,-1.25940,-0.77134
10.0391,0.82249,-1.23742,-0.61528
10.1069,0.76033,-1.01677,-0.58448
10.1702,0.62768,-0.83958,-0.50551
10.2375,0.57244,-0.66106,-0.41905
10.3065,0.50939,-0.47817,-0.29426
10.3709,0.38474,-0.26923,-0.15236
10.4384,0.24286,-0.13049,-0.01911
10.5037,0.13601,-0.10251,0.05564
10.5683,0.00062,-0.16690,0.09512
10.6348,-0.07224,-0.23495,0.18135
10.7125,-0.10790,-0.34128,0.25023
10.7782,-0.15092,-0.50209,0.25718
10.8459,-0.19403,-0.54011,0.26966
10.9078,-0.22325,-0.43936,0.29966
10.9780,-0.26371,-0.56873,0.28594
11.0421,-0.29774,-0.73243,0.26419
11.1108,-0.24468,-0.91988,0.14953
11.1740,-0.36564,-1.20959,-0.02646
11.2414,-0.43524,-1.30806,-0.16455
11.3063,-0.19261,-1.29911,-0.36829
11.3742,-0.15350,-0.67471,-0.51357
11.4394,-0.20425,-0.54702,-0.35414
11.5076,-0.27269,-0.50995,-0.37065
11.5709,-0.32187,-0.38562,-0.27746
11.6416,-0.32536,-0.29018,-0.27865
11.7036,-0.23465,-0.03123,-0.11087
11.7725,0.01279,0.19466,0.03492
11.8368,0.19833,0.38115,0.02198
11.9051,0.34750,0.30057,-0.01864
11.9686,0.41376,0.12661,-0.01327
12.0382,0.39413,-0.38317,-0.09295
12.1010,0.48174,-1.01589,-0.19807
12.1823,0.49034,-1.30617,-0.24345
12.2422,0.55261,-1.67168,-0.26152
12.3111,0.48336,-1.83782,-0.15688
12.3774,0.43196,-1.66677,-0.04645
12.4413,0.34652,-1.36296,0.07005
12.5088,0.30089,-1.29035,-0.01437
12.5741,0.32427,-1.43009,-0.15223
12.6409,0.09429,-1.44589,-0.21755
12.7091,-0.25911,-1.55041,-0.41377
12.7731,-0.40153,-1.69989,-0.34736
12.8390,-0.54849,-1.26697,-0.32101
12.9055,-0.37149,-1.04392,-0.18606
12.9708,-0.29557,-0.59489,-0.15385
13.0387,-0.06739,-0.30519,-0.08116
13.1080,-0.06265,0.18285,-0.14118
13.1713,0.17352,0.42849,0.02963
13.2368,0.28274,0.35553,0.10917
13.3027,0.55664,-0.01748,0.03191
13.3712,0.35957,-0.08417,-0.07336
13.4356,0.37156,0.28348,-0.04538
13.5017,0.45772,0.38900,0.22036
13.5687,0.36193,0.13792,0.24880
13.6470,0.13555,0.20513,0.03312
13.7097,-0.09169,0.67386,-0.01197
13.7822,-0.56466,0.74050,-0.03852
13.8419,-0.99354,0.83572,0.01664
13.9092,-1.05428,0.81249,0.00743
13.9736,-0.64653,1.39492,0.12936
14.0453,-0.15585,1.88601,0.26273
14.1072,-0.42350,1.70770,0.08641
14.1759,-0.29474,1.65214,0.35438
14.2399,0.04835,1.68642,0.51755
14.3078,-0.14093,1.68312,0.43516
14.3706,-0.17421,2.05700,0.48442
14.4403,-0.21870,1.87798,0.62714
14.5047,-0.23197,1.63231,0.49423
14.5729,-0.30374,1.57816,0.20692
14.6372,-0.47524,1.81381,0.16093
14.7058,-0.38401,1.85421,0.19723
14.7693,0.03058,1.49745,0.16842
14.8390,0.63630,1.54792,0.14167
14.9020,-0.09227,0.47079,0.40484
14.9701,-0.28744,0.91202,0.24698
15.0452,-0.52649,0.55839,0.36266
15.1195,-0.05038,0.28762,0.17332
