time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:39:13:972, 
0.0587,0.00014,-0.02978,-0.09676
0.1129,-0.00683,0.19888,-0.22923
0.1726,-0.19472,-0.06022,0.00794
0.2271,0.00173,0.09910,-0.04455
0.2835,0.19537,-0.07236,0.21433
0.3405,0.20460,-0.08835,0.00896
0.3973,-0.21614,-0.13883,0.01801
0.4555,-0.32887,-0.20288,-0.01432
0.5106,-0.30289,-0.43967,0.34202
0.5707,-1.19068,-2.99744,2.60751
0.6261,-0.24592,-3.94163,2.14973
0.6819,0.80818,-1.43226,1.47753
0.7392,0.79331,0.28930,-1.40965
0.7956,0.60296,0.58797,-1.14580
0.8514,1.41915,1.74177,0.03740
0.9120,0.36417,-0.17222,-1.05575
0.9667,-0.05152,0.46352,0.62027
1.0216,-1.28121,-0.95944,2.03860
1.0799,0.21596,0.82039,0.08365
1.1359,-0.31651,-0.24047,-1.71645
1.1925,-1.38353,-0.61716,-1.45007
1.2502,-0.95622,0.61631,-4.89410
1.3064,0.24966,1.61144,-4.29956
1.3637,-0.48565,1.45608,0.01804
1.4217,0.17395,0.36670,1.29174
1.4780,1.37530,0.97944,1.88479
1.5366,1.23704,0.77694,3.50364
1.5896,-0.45970,0.10663,-1.47847
1.6477,1.03147,-0.00484,1.22203
1.7049,-0.95172,-0.51575,1.06054
1.7617,0.67713,-0.17281,0.33612
1.8184,-0.38848,-0.73034,-0.51913
1.8760,0.64886,-0.44343,1.09299
1.9319,0.40828,-0.48485,0.39524
1.9874,-0.15904,-0.05501,-0.06898
2.0480,-0.09021,0.08258,-0.51923
2.1010,0.25318,0.12860,-0.03706
2.1577,0.76512,-0.71164,-0.15975
2.2140,0.87705,-0.04881,-0.92358
2.2716,0.88106,0.62481,-2.58606
2.3341,-1.32123,0.81949,-2.57858
2.3841,-1.05549,0.55278,-0.52488
2.4465,-0.71338,-1.19975,0.93557
2.4987,1.23384,-0.13246,2.07360
2.5561,0.38512,0.53612,1.54309
2.6119,1.24471,-0.11439,2.87052
2.6702,0.65075,-2.57528,2.47907
2.7334,3.37967,0.80206,0.33438
2.7822,2.23431,0.74171,-1.19116
2.8460,-0.21696,0.27854,0.44221
2.8967,-0.98062,-0.06215,1.04242
2.9522,-2.14742,1.17354,1.07689
3.0108,-1.94675,0.13665,0.24384
3.0671,-0.30890,-0.85830,0.47021
3.1303,0.55825,0.17220,-0.19575
3.1790,1.56510,0.18048,-0.48410
3.2408,1.59388,0.54989,-0.99926
3.2941,1.11171,-0.13885,-0.71422
3.3501,0.32294,-0.10530,-0.39269
3.4085,-0.36863,0.21793,0.15005
3.4648,-0.22804,0.33431,-0.10654
3.5297,0.22450,-0.47548,-0.03364
3.5788,0.07987,-0.47741,0.16946
3.6349,0.39402,0.89669,0.42121
3.6919,-0.12029,0.50687,-0.02364
3.7490,-0.01444,0.08286,-0.04040
3.8070,-0.67929,0.56607,-0.41231
3.8610,-1.39315,0.46005,-0.79806
3.9185,-0.76571,0.70479,-1.10402
3.9751,0.00076,-1.27887,-0.41124
4.0323,0.08437,-0.10402,0.26097
