time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:39:13:972, 
0.0776,16.80564,-13.44283,-34.69073
0.1273,15.15049,-14.11165,-34.79846
0.1766,15.10003,-13.95518,-33.55768
0.2775,15.12320,-14.00356,-35.18713
0.3272,15.31420,-13.81322,-35.15317
0.3779,15.82284,-13.86082,-32.96838
0.4772,16.94609,-12.93683,-33.65515
0.5289,19.58675,-15.64095,-31.74246
0.5831,22.74271,-19.77104,-28.05139
0.6783,23.57146,-27.85721,-19.45389
0.7335,19.19971,-34.12576,-11.18243
0.7784,16.38069,-36.54504,-9.93591
0.8786,14.84576,-37.34229,-7.58841
0.9281,12.28197,-37.80178,-6.83026
0.9777,10.88336,-38.83009,-5.96317
1.0799,8.46446,-39.57588,-4.10287
1.1313,6.95758,-40.28352,-1.45657
1.1770,2.86428,-40.98004,-1.38690
1.2775,-1.35033,-41.39058,-2.63306
1.3279,-4.74742,-40.16032,-7.29593
1.3778,-8.35508,-40.26770,-12.93857
1.4775,-10.08153,-37.96068,-17.70847
1.5365,-11.68510,-37.68006,-20.40219
1.5773,-11.58223,-35.85986,-20.87680
1.6779,-12.74827,-37.96688,-20.82224
1.7277,-12.58669,-37.97932,-19.54611
1.7780,-13.53133,-37.80768,-17.00061
1.8779,-14.76410,-37.59294,-14.35059
1.9274,-17.39479,-38.61108,-13.48798
1.9776,-16.82425,-38.37318,-13.26114
2.0776,-19.25303,-36.55208,-12.79181
2.1277,-19.95424,-36.20929,-12.91992
2.1775,-19.89066,-37.12843,-11.67542
2.2774,-21.29070,-36.82071,-11.16522
2.3341,-19.57550,-38.78178,-8.07611
2.3778,-18.45177,-44.12553,-6.74026
2.4792,-13.98906,-44.38612,-6.66052
2.5279,-9.02532,-46.70917,-5.45230
2.5774,-6.93845,-48.28397,-4.98898
2.6779,-6.63863,-47.76213,-5.77341
2.7335,-7.53771,-48.56095,-5.54291
2.7770,-7.73631,-48.74688,-5.01111
2.8780,-10.77521,-47.76752,-4.31592
2.9280,-10.83628,-47.42365,-4.52945
2.9773,-10.59103,-47.73075,-4.89563
3.0777,-7.54973,-47.06580,-6.00049
3.1304,-5.03979,-49.20824,-6.72055
3.1785,-3.53467,-48.89668,-7.59784
3.2774,-2.19261,-49.60629,-7.04004
3.3279,-2.84706,-48.14857,-7.34918
3.3776,-2.69432,-48.46503,-6.93701
3.4778,-5.17057,-47.79425,-6.14880
3.5297,-5.07136,-47.12978,-7.08008
3.5784,-5.96550,-48.08449,-6.05847
3.6779,-7.83709,-47.71845,-4.81491
3.7275,-9.14469,-45.34365,-4.82993
3.7780,-10.18742,-44.67857,-5.59412
3.8791,-10.98100,-45.71419,-5.91370
3.9319,-11.16068,-45.19548,-5.62546
3.9768,-10.79249,-45.28271,-5.01636
4.0776,-11.03873,-44.91413,-4.80188
4.1279,-11.80111,-44.30248,-5.21814
4.1772,-11.43162,-45.22109,-4.81866
4.2780,-10.86573,-45.63675,-4.16278
4.3308,-13.27015,-44.99379,-5.54153
4.3767,-11.78073,-46.30612,-4.69485
4.4778,-11.75699,-45.42077,-5.83951
4.5277,-12.20537,-44.64355,-4.98483
4.5776,-11.50034,-44.66468,-4.78241
4.6785,-11.30215,-44.62370,-6.57831
4.7332,-12.71834,-45.76644,-6.07251
4.7779,-12.87343,-45.36934,-5.69745
4.8780,-12.86295,-45.28696,-4.54453
4.9284,-12.73548,-44.75488,-5.02652
4.9797,-13.01176,-43.92474,-5.96481
5.0780,-14.78777,-43.44151,-5.52551
5.1296,-15.04660,-45.03196,-7.21844
5.1768,-14.95081,-44.16433,-7.54816
5.2803,-15.19367,-43.43930,-5.85754
5.3279,-16.21741,-43.57705,-6.32715
5.3768,-16.25710,-43.92343,-6.17621
5.4780,-15.21880,-43.81806,-6.83218
5.5311,-14.79831,-43.10749,-7.38120
5.5771,-12.54517,-44.08324,-8.60403
5.6780,-11.66689,-45.15908,-7.45944
5.7279,-10.23210,-47.12621,-7.98730
5.7771,-6.57357,-47.29136,-7.78140
5.8779,-3.54264,-48.74846,-5.85632
5.9302,-1.24262,-49.36198,-5.15134
5.9766,0.92572,-49.60347,-5.71255
6.0776,0.25076,-49.68580,-6.64096
6.1279,2.90154,-49.01756,-7.63910
6.1781,5.22209,-48.99691,-6.94901
6.2784,8.33960,-50.07176,-7.26932
6.3297,11.80595,-49.59621,-5.14841
6.3777,12.32155,-50.23726,-4.35162
6.4773,12.25513,-48.71037,-3.80750
6.5287,13.34870,-49.38358,-4.37283
6.5785,14.26388,-49.07391,-3.71185
