time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:39:13:972, 
0.0587,6.09482,-48.60500,-35.12494
0.1131,5.95461,-48.07710,-35.31903
0.1726,5.87926,-48.19098,-35.32011
0.2271,5.96628,-47.92930,-35.11383
0.2843,5.85798,-47.97264,-35.37657
0.3407,5.80004,-47.77637,-35.99039
0.3974,5.95039,-47.70835,-37.11229
0.4555,6.28620,-47.38842,-39.49657
0.5108,6.87025,-47.04013,-44.17522
0.5708,7.82155,-47.78150,-56.65650
0.6261,6.28445,-52.06191,-78.32114
0.6831,-0.28312,-59.64386,-101.72425
0.7395,-7.03478,-63.57914,-118.07803
0.7959,-13.67317,-62.73230,-129.74426
0.8517,-17.13945,-61.74093,-138.14565
0.9120,-17.60432,-60.67717,-142.67171
0.9667,-17.91038,-59.97461,-145.34726
1.0223,-21.58540,-60.82279,-150.90161
1.0810,-26.28258,-63.22319,-159.91031
1.1359,-28.37165,-61.98309,-163.31099
1.1925,-34.68810,-59.24134,-171.22769
1.2509,-37.00066,-55.07608,-177.57471
1.3064,-31.74969,-46.60141,-177.07597
1.3647,-26.19413,-36.76503,-175.99850
1.4217,-23.63809,-29.18417,-178.53795
1.4772,-21.43909,-23.87095,178.72255
1.5366,-20.33595,-23.36320,176.16896
1.5916,-19.91807,-23.31230,172.85004
1.6477,-19.82748,-22.03989,170.64993
1.7078,-20.25167,-23.25031,167.92332
1.7609,-20.69387,-26.10844,165.00563
1.8184,-20.81229,-27.12355,162.75381
1.8760,-21.17885,-28.12795,160.61540
1.9307,-21.96567,-28.51606,158.58591
1.9874,-23.02712,-29.23273,156.11638
2.0480,-23.46387,-29.19712,154.30142
2.1009,-24.30345,-28.77637,152.37077
2.1578,-24.76903,-28.64159,150.13597
2.2140,-25.49007,-28.21963,146.96269
2.2722,-26.72983,-29.20840,144.12976
2.3342,-30.03067,-30.59123,140.68701
2.3844,-32.01411,-34.79386,140.63939
2.4465,-30.70481,-40.45013,143.58450
2.4997,-26.85078,-46.03364,147.77373
2.5558,-20.56190,-49.71702,153.23872
2.6125,-14.51475,-51.45581,158.48402
2.6690,-10.10018,-51.73570,161.58336
2.7334,-10.88350,-52.10190,157.11281
2.7825,-10.00735,-52.38647,155.45370
2.8460,-9.54381,-53.05196,153.57446
2.8973,-13.68119,-53.03075,148.76300
2.9541,-14.74020,-52.78110,146.47093
3.0108,-13.82512,-51.38209,147.64447
3.0665,-10.03055,-51.37925,152.05606
3.1303,-6.86561,-51.06067,156.00719
3.1790,-4.42819,-50.56718,159.71602
3.2409,-3.42609,-50.34533,161.57622
3.2942,-3.61871,-50.05384,162.62563
3.3513,-4.46337,-50.33821,162.48946
3.4085,-4.95300,-50.82389,162.60437
3.4656,-5.88261,-50.81680,162.19034
3.5296,-6.38810,-50.78944,161.95197
3.5783,-7.06641,-51.34174,161.10037
3.6347,-8.16676,-51.49988,159.99789
3.6918,-10.06821,-50.83937,158.14952
3.7490,-12.55102,-50.15654,155.53401
3.8070,-14.31377,-49.16869,153.38220
3.8620,-15.37304,-48.34016,151.74492
3.9181,-15.27186,-48.14899,152.18892
3.9755,-14.19676,-48.58563,152.61324
4.0317,-13.35966,-49.85289,152.47682
4.0890,-12.88098,-50.51075,152.71957
