time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:48:43:140, 
0.0149,3.19971,5.47171,7.57134
0.0391,3.22006,5.44538,7.63598
0.0391,3.31702,5.45974,7.73055
0.0663,3.41638,5.23948,7.67787
0.0821,3.40441,5.12936,7.62880
0.0954,3.25478,5.34363,7.80955
0.1324,2.87412,5.68120,7.94482
0.1391,2.70653,5.70155,7.81793
0.1523,2.84060,5.58304,7.62640
0.1896,3.14704,5.55311,7.69703
0.1987,3.15423,5.47291,7.65992
0.2091,2.90404,5.51361,7.55578
0.2398,2.72329,5.57466,7.40375
0.2733,2.89806,5.52079,7.42769
0.2733,3.15303,5.53755,7.53183
0.3232,2.75920,5.35919,7.72336
0.3232,2.40846,5.34602,7.42051
0.3232,2.29115,5.72668,7.13202
0.3488,2.18342,6.00440,7.09252
0.3801,2.20377,6.05707,7.21222
0.3801,1.76445,6.15044,7.52106
0.4167,1.53222,5.59860,7.33672
0.4369,1.62080,5.07429,7.36305
0.4369,1.54419,4.98212,7.48874
0.4644,1.10248,4.93424,7.98312
0.4830,0.61289,4.92825,8.68699
0.4939,1.36464,4.88755,9.03293
0.5249,0.36749,4.24234,6.91895
0.5533,0.10175,5.00127,6.03433
0.5534,0.53867,6.69151,6.69151
0.5896,0.25976,7.37263,6.31084
0.5896,0.38186,6.43773,5.09225
0.6084,0.24300,6.86508,4.45781
0.6396,2.04576,8.16268,5.48009
0.6675,3.65699,8.03220,5.73626
0.6675,3.29069,7.75808,4.83608
0.6890,2.79152,8.70614,4.78461
0.7213,1.81592,9.69730,5.47650
0.7213,2.16905,10.12345,5.37236
0.7391,2.60837,9.44951,5.23829
0.7773,2.22771,9.45549,4.59428
0.7780,2.50303,9.52851,4.68525
0.8057,2.33066,9.15623,4.92706
0.8189,1.58968,8.71811,4.39078
0.8338,1.38020,8.22612,4.03406
0.8714,1.31915,8.63192,3.85929
0.8820,1.88775,9.72004,4.57512
0.8909,1.36464,9.71286,3.44391
0.9382,0.88821,9.52253,3.01297
0.9414,0.12808,9.30227,2.55929
0.9487,-0.05028,9.13349,2.78194
0.9898,-0.31722,9.34536,2.74364
0.9898,-0.45727,9.95586,2.60717
1.0042,0.19871,9.85291,2.65386
1.0397,1.11804,10.09352,3.37688
1.0630,0.90377,9.82059,3.39124
1.0630,-0.38425,9.76313,2.50183
1.0822,-1.28443,9.79186,2.13075
1.1182,-1.41372,9.61470,2.07329
1.1182,-0.66676,9.88045,2.66942
1.1397,-0.12330,9.71525,2.72927
1.1767,0.03711,10.12943,2.74843
1.1767,-0.43453,10.30420,2.38811
1.2034,-1.04742,10.24076,2.18102
1.2222,-1.21620,10.25871,2.29235
1.2319,-1.01390,9.83615,2.55809
1.2688,-0.59134,9.91995,2.81905
1.2818,-0.56381,10.05162,2.53655
1.2873,-1.00911,10.01092,2.62872
1.3383,-1.27486,9.45789,2.76399
1.3383,-1.25690,9.29629,3.13028
1.3456,-0.62486,9.33220,3.22605
1.3915,-0.17238,9.59674,3.04410
1.3916,-0.33876,10.21442,2.95671
1.4027,-0.84631,10.11267,2.69935
1.4401,-1.03066,9.65899,2.77955
1.4401,-1.63876,9.39923,2.45754
1.4585,-2.44916,9.64702,1.69742
1.4834,-2.28397,9.89002,1.97274
1.5167,-2.01344,10.12464,2.15469
1.5167,-1.77163,9.90678,2.04576
1.5404,-1.13959,9.11673,2.11040
1.5719,-0.85110,8.85817,2.26841
1.5720,-0.76491,8.78275,2.25524
1.6003,-0.17956,9.29150,2.81666
1.6196,0.00838,9.74997,3.18056
1.6286,-0.59852,10.13422,3.29548
1.6660,-0.67274,9.64942,3.14106
1.6818,-0.34475,9.61590,2.77476
1.6846,0.09696,9.89840,2.33784
1.7369,-0.55184,10.41074,1.79797
1.7370,-1.36703,10.04444,1.45442
1.7550,-1.44005,9.69849,1.35626
1.7898,-1.07615,9.53450,1.52504
1.7899,-0.60212,9.23404,1.55377
1.7989,-0.64162,9.19932,1.43287
1.8396,-0.79005,9.79785,1.47955
1.8396,-1.22578,9.85770,1.13839
1.8571,-1.35985,9.35015,1.18149
1.8840,-1.07734,9.02096,1.16233
1.9135,-0.71464,9.30706,1.58609
1.9135,-0.50396,9.98459,1.99309
1.9396,-0.88462,9.81341,1.76804
1.9698,-1.16114,9.75356,1.32633
1.9698,-1.56095,10.41792,0.91455
1.9895,-1.08213,10.21442,1.59327
2.0214,-0.84033,9.58358,1.17670
2.0256,-1.05819,9.64463,0.92173
2.0735,-0.98517,10.19527,1.08931
2.0735,-0.32799,10.53044,1.69023
2.0831,-0.40341,10.22759,0.68471
2.1438,0.10773,10.38680,0.39383
2.1438,-1.24254,9.76673,1.83268
2.1438,-2.49106,9.33339,2.42881
2.1897,-1.30359,10.03606,2.37495
2.1897,-0.41178,10.79619,1.92126
2.1965,-1.25930,10.70641,1.99189
2.2149,-2.03139,10.39637,2.52099
2.2394,-2.10082,10.34490,2.91841
2.2554,-1.66629,10.30899,2.40128
2.2818,-1.76684,10.10429,1.83149
2.3106,-2.41804,10.03726,1.89732
2.3106,-2.00625,10.15577,2.00027
2.3382,-0.43692,10.13063,1.48075
2.3483,0.08379,10.58910,1.29880
2.3672,-0.17597,11.12657,1.40773
2.3899,-0.86188,10.97814,1.62320
2.4161,-1.09051,10.24914,1.39815
2.4366,0.82716,9.61111,0.97081
2.4705,0.98397,9.86369,0.00000
2.4705,0.01077,10.21323,-0.31482
2.4795,-0.07422,9.86967,-0.75893
2.5232,2.45874,8.97667,-0.71823
2.5232,2.22651,8.68818,-2.42283
2.5405,-0.52072,8.36737,-2.65506
2.5893,-2.22412,8.17465,-2.53176
2.5893,-2.48148,8.47870,-2.46832
2.5946,-2.05773,8.73248,-2.77715
2.6148,-1.96915,9.11074,-2.71371
2.6403,-2.00625,9.61470,-2.44437
2.6519,-2.02182,9.96903,-1.93802
2.6821,-1.76325,10.41194,-1.70819
2.7071,-1.72255,10.49812,-1.64115
2.7071,-2.01703,10.19048,-1.65313
2.7348,-2.17384,9.83496,-1.83867
2.7485,-2.53176,9.53929,-1.95358
2.7647,-2.71012,9.34776,-1.69742
2.7896,-2.27679,9.33100,-1.42329
2.8152,-1.89373,9.54168,-1.31556
2.8392,-1.72136,9.59914,-1.43407
2.8393,-1.35626,9.64702,-1.51427
2.8674,-1.52863,9.59315,-1.79677
2.8770,-2.31629,9.26756,-1.94640
2.9351,-3.36131,8.98625,-2.05893
2.9380,-2.91482,8.85577,-2.38333
2.9380,-1.01989,9.05807,-3.10395
2.9909,-0.60810,9.28432,-3.14345
2.9910,-2.59760,9.09997,-2.83461
