time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:48:43:140, 
0.0391,3.04758,5.46469,7.55115
0.0963,3.04314,5.46097,7.55563
0.1523,3.01274,5.45545,7.57178
0.2105,2.88604,5.52981,7.56719
0.2724,2.81442,5.64001,7.51264
0.3232,2.71525,5.75693,7.46026
0.3801,2.67862,5.85863,7.39404
0.4369,2.73221,6.19102,7.09765
0.4939,2.71517,6.81522,6.50777
0.5533,2.73069,7.26911,5.98947
0.6084,2.50167,7.65839,5.59117
0.6644,1.88637,8.15882,5.10350
0.7212,1.36616,8.61817,4.47561
0.7780,1.10714,8.77223,4.24176
0.8338,0.96612,8.70158,4.41809
0.8909,0.59580,8.76032,4.36717
0.9488,0.18288,8.92554,4.05853
1.0049,0.23580,9.02019,3.84069
1.0630,-0.10764,9.09086,3.67628
1.1181,-0.24655,9.21020,3.35884
1.1766,-0.56875,9.31148,3.02377
1.2320,-0.65291,9.34713,2.89401
1.2872,-0.66704,9.35111,2.87788
1.3450,-0.64905,9.39283,2.74296
1.4017,-0.91054,9.41598,2.58469
1.4585,-1.00876,9.44615,2.43374
1.5180,-1.09765,9.47986,2.25784
1.5720,-1.03766,9.43409,2.46810
1.6285,-0.65676,9.46874,2.46618
1.6846,-0.45490,9.56380,2.12067
1.7550,-0.52043,9.64339,1.70430
1.7989,-0.69234,9.66276,1.52383
1.8571,-0.79232,9.66693,1.44675
1.9154,-0.72880,9.68328,1.36866
1.9698,-0.70987,9.69706,1.27807
2.0256,-0.81178,9.70472,1.15319
2.0831,-1.08462,9.66330,1.27069
2.1439,-1.42529,9.58804,1.48606
2.1983,-1.46014,9.57595,1.52953
2.2563,-1.59186,9.57514,1.39753
2.3106,-1.53160,9.61754,1.15222
2.3673,-1.48344,9.66099,0.79696
2.4367,-1.35861,9.70991,0.20544
2.4796,-1.18742,9.71567,-0.60505
2.5370,-1.65649,9.59019,-1.20614
2.5937,-1.74343,9.54209,-1.44200
2.6519,-1.35146,9.61002,-1.41119
2.7075,-1.21156,9.63214,-1.38720
2.7647,-1.22775,9.62522,-1.42060
2.8392,-1.07693,9.62773,-1.52228
2.8787,-1.12114,9.57847,-1.77940
2.9380,-1.11316,9.49511,-2.18498
2.9923,-1.32056,9.39963,-2.46445
3.0484,-1.29478,9.36348,-2.61135
3.1050,-1.51400,9.26802,-2.82524
3.1613,-2.03851,9.13743,-2.91928
3.2189,-2.40597,9.05078,-2.90950
3.2766,-2.55894,8.96452,-3.04296
3.3354,-2.47178,8.96024,-3.12647
3.3900,-2.53251,8.88039,-3.30084
3.4460,-2.76657,8.71858,-3.53593
3.5023,-2.97237,8.62208,-3.60487
3.5607,-3.13143,8.58747,-3.55245
3.6193,-3.26060,8.54329,-3.54275
3.6741,-3.22566,8.58192,-3.48083
3.7320,-3.13429,8.67232,-3.33729
3.7873,-3.05861,8.77798,-3.12449
3.8441,-3.08713,8.84992,-2.88426
3.9037,-3.08969,8.92781,-2.63027
3.9576,-2.66766,9.08085,-2.56750
4.0128,-2.58826,9.14809,-2.40493
4.0706,-2.13809,9.33788,-2.09835
4.1279,-2.04200,9.29790,-2.35578
4.1837,-2.22511,9.32459,-2.06672
4.2402,-2.07050,9.50023,-1.27634
4.2974,-1.79271,9.64096,-0.09176
4.3547,-1.72130,9.61734,0.84516
4.4109,-1.82083,9.58520,0.98935
4.4686,-1.80290,9.56802,1.17176
4.5241,-1.65353,9.57059,1.35652
4.5809,-1.38996,9.57773,1.58290
4.6378,-0.93199,9.58737,1.83962
4.7017,-0.12948,9.47262,2.53438
4.7512,0.07679,9.65908,1.69313
4.8097,0.88606,9.76420,0.21366
4.8665,0.57076,9.78118,0.41611
4.9219,0.68613,9.77906,0.26379
4.9798,0.68764,9.77852,0.27947
5.0347,0.68662,9.77911,0.26059
5.1008,0.69438,9.77904,0.24197
5.1493,0.69851,9.77912,0.22647
5.2099,0.69892,9.77937,0.21390
5.2635,0.71554,9.77823,0.21103
5.3196,0.71592,9.77804,0.21863
5.3773,0.71070,9.77761,0.25225
5.4343,0.70508,9.77787,0.25793
5.4977,0.68561,9.77847,0.28622
5.5449,0.67468,9.77893,0.29628
5.6046,0.66576,9.77933,0.30318
5.6616,0.65301,9.77965,0.32007
5.7170,0.65501,9.77967,0.31520
5.7737,0.64570,9.78006,0.32228
5.8302,0.64528,9.77997,0.32597
5.8966,0.64551,9.77987,0.32829
5.9426,0.64369,9.77965,0.33840
6.0023,0.64033,9.77990,0.33741
6.0577,0.62182,9.78032,0.35925
6.1141,0.61682,9.77965,0.38523
6.1713,0.60695,9.77678,0.46527
6.2275,0.35774,9.71914,1.25725
6.2993,0.34443,9.73338,1.14592
6.3410,0.31444,9.73000,1.18260
6.4012,0.29080,9.73123,1.17858
6.4562,0.24893,9.73563,1.15151
