time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:48:43:140, 
0.0663,-0.03595,0.01976,-0.06045
0.1345,0.06701,0.11335,-0.00476
0.1987,0.04958,0.06893,-0.20882
0.2733,0.18298,0.02124,-0.29299
0.3322,0.13187,-0.12325,-0.51770
0.3983,0.20278,-0.40393,-0.50181
0.4644,0.85448,-0.86871,-0.79416
0.5305,1.22255,-1.04640,-0.98634
0.6079,0.54574,-1.52825,-1.52158
0.6728,0.60553,-1.70413,-2.35116
0.7382,1.04994,-1.35306,-1.85963
0.8056,0.01382,-0.95840,-0.96492
0.8714,-0.33007,-0.72082,-0.67722
0.9414,0.50039,-0.09184,-1.15893
1.0042,0.44857,-0.53908,-0.27199
1.0691,0.28771,-0.37169,-0.75513
1.1351,0.62112,-0.42052,-0.44453
1.2034,0.53811,-0.13982,-0.64040
1.2691,0.06115,-0.34260,-0.08979
1.3356,0.18916,-0.25552,-0.04269
1.4017,0.31329,-0.05201,-0.42547
1.4671,0.30907,-0.00238,-0.20997
1.5324,0.21514,-0.25825,-0.20448
1.6003,-0.37021,-0.29709,0.37382
1.6665,0.41056,-0.08520,0.50337
1.7329,0.84621,0.16053,0.08960
1.7989,0.35905,0.10930,-0.29816
1.8646,0.15369,-0.03481,-0.15650
1.9306,0.12812,0.02423,0.12223
1.9979,0.23184,0.16185,-0.01530
2.0742,-0.07423,0.44786,-0.27997
2.1407,-0.44720,0.40366,-0.65755
2.2050,-0.12732,0.17241,-0.12621
2.2727,0.24833,0.27760,-0.20676
2.3378,0.53829,0.21635,0.25248
2.4047,0.76810,0.15212,-0.00496
2.4705,1.47473,-0.09696,0.38908
2.5405,1.20386,0.25303,-0.68012
2.6021,0.54555,-0.68802,-0.17444
2.6695,0.03427,-0.99255,0.88357
2.7349,0.09221,-0.76311,0.16899
2.8019,0.13811,-0.42380,0.27902
2.8674,0.40083,-0.00672,0.07832
2.9379,0.68084,0.31960,-0.07422
2.9999,0.47192,0.25634,-0.34833
3.0664,0.18270,0.70319,-0.23397
3.1331,0.24918,0.90309,-0.85228
3.1991,-0.23348,0.70569,-1.21296
3.2656,0.08434,0.50394,-0.50564
3.3327,0.12184,0.21573,0.03374
3.3975,0.27076,0.42609,-0.28955
3.4636,0.38588,0.30203,-0.61771
3.5400,-0.07445,0.05786,-0.36619
3.6192,-0.02621,0.05869,-0.37958
3.6731,-0.15726,0.11646,0.01682
3.7482,-0.27869,-0.05922,0.21945
3.8039,-0.47907,0.03937,0.08553
3.8765,-0.62177,0.21161,-0.24066
3.9368,-0.25626,-0.03980,0.65138
4.0048,-0.16896,-0.08476,0.35183
4.0705,-0.51111,-0.24282,0.61563
4.1353,0.42222,-0.08523,0.29068
4.2015,-0.81659,0.13076,-0.21566
4.2710,-1.92729,0.47904,0.32772
4.3334,-2.38251,0.75058,0.40063
4.4011,-0.59115,0.10229,-0.14201
4.4694,-0.26861,0.01461,-0.00228
4.5331,-0.31487,-0.19499,0.28533
4.5988,-0.38637,-0.65374,0.42512
4.6702,-0.24354,-3.58949,0.56284
4.7322,-0.41378,-0.45880,0.54822
4.7977,3.23884,1.05907,1.15994
4.8666,-0.07228,-0.00774,-0.01776
4.9301,0.14186,-0.04397,0.06464
5.0061,-0.00766,-0.04606,0.01643
5.0764,0.02578,-0.06396,0.00560
5.1394,0.03405,-0.03951,0.01532
5.2065,0.01271,-0.02540,0.00020
5.2709,0.00572,-0.00127,0.03097
5.3379,-0.02638,-0.02807,0.00490
5.4034,-0.08346,-0.07724,-0.00455
5.4747,-0.03993,-0.04041,0.00751
5.5356,-0.04435,-0.04971,-0.01633
5.6030,-0.00144,-0.05022,0.00306
5.6683,-0.03459,-0.09099,0.00601
5.7345,0.00012,-0.08219,0.01277
5.8017,-0.01389,-0.07680,-0.00128
5.8679,0.00655,-0.04102,-0.00022
5.9326,-0.02098,-0.01828,-0.01161
6.0064,0.00165,0.00038,0.00646
6.0660,-0.03300,0.00713,-0.01939
6.1321,-0.10285,-0.05563,-0.02973
6.1978,-1.20443,-0.99705,-0.47849
6.2701,-0.09625,0.19925,-0.02627
6.3314,-0.00652,0.03732,-0.05092
6.3984,-0.01692,-0.01203,-0.03915
6.4724,0.05197,0.17062,-0.06981
6.5390,-0.01396,0.20556,0.01292
6.6048,-0.00456,0.15874,0.05111
6.6760,0.17056,-0.03370,-0.15544
6.7388,0.73954,-0.55989,-0.13475
6.8045,1.48328,-0.40131,-0.28853
6.8696,0.73366,0.34484,-0.44162
6.9354,0.02632,-0.02940,-0.18049
7.0022,0.19905,0.45120,0.18355
7.0763,0.29736,0.30459,0.30723
7.1374,-0.30648,0.06367,0.23991
7.2016,-0.40348,1.37859,0.07872
7.2672,-0.47346,1.67093,-0.09794
7.3376,-0.48970,1.81571,-0.14758
7.3995,-0.34497,2.59481,-0.14842
7.4672,-0.10532,3.03768,-0.24094
7.5330,-0.19983,2.57745,-0.39245
7.5991,-0.26383,2.44221,-0.44589
7.6647,-0.58361,2.46249,-0.38667
7.7320,0.42515,1.40158,-0.29961
7.7971,0.11932,2.48523,0.10681
7.8738,-0.10608,1.84583,0.06762
7.9389,-0.26612,1.90812,-0.06507
8.0062,-0.40730,1.79454,0.24323
8.0722,-0.81998,2.02168,0.37975
8.1409,-0.67812,2.06853,0.44399
8.2045,-0.42603,2.02900,0.47548
8.2713,-0.49006,1.53202,0.64271
8.3362,-0.18961,0.42467,-0.07744
8.4032,-0.25589,0.81955,-0.05187
8.4694,0.61705,1.40126,0.05468
8.5368,0.54767,0.83043,0.17984
8.6017,0.04887,0.86176,-0.30766
8.6713,0.06786,-0.19889,-0.30450
8.7332,0.13775,-0.54804,0.16295
8.8010,0.21401,0.13636,0.01388
8.8664,1.06750,1.28714,-0.20299
8.9378,0.29821,0.37999,-0.40496
8.9989,-0.54336,-0.30789,-0.33635
9.0682,-0.65787,-0.23283,0.20179
9.1313,-0.91551,0.49346,0.42040
9.1998,-0.72076,-0.13512,0.53768
9.2643,0.06539,0.42958,0.14108
9.3431,0.23127,-1.23375,0.01884
9.4073,-0.05492,-0.34619,0.06635
9.4727,0.23603,-0.34819,0.13648
9.5376,0.06270,-0.85934,0.03208
9.6081,-0.05764,-0.67279,-0.18920
9.6714,0.19767,-0.87610,-0.11714
9.7399,0.53076,-0.72520,-0.07928
9.8041,0.23752,-0.12650,-0.30938
9.8706,0.01218,-0.25392,-0.31422
9.9351,-0.33036,-0.49857,0.16322
10.0062,-0.09906,-0.00981,0.03062
10.0690,-0.04285,1.11172,-0.08001
10.1373,-0.09383,1.61376,-0.09878
10.2010,-0.08463,2.56911,-0.35969
10.2673,-0.24730,3.26638,-0.53919
10.3326,-0.39046,1.82241,0.05445
10.4054,0.41741,1.80036,0.83987
10.4659,0.76340,0.81276,-0.49864
10.5326,-0.07247,-0.86238,-0.06704
10.5990,-0.38487,-1.42428,-0.44824
10.6700,-0.50547,-0.72266,-0.11114
10.7304,-0.14555,-0.99436,0.15401
10.8074,0.18885,-0.21181,0.47720
10.8731,0.62440,-0.48347,0.47200
10.9448,0.79188,0.43718,-0.29285
11.0050,-0.21857,-1.31360,-0.28616
11.0714,-0.40369,-0.68212,-0.35640
11.1373,-0.38948,-0.02205,-0.07484
11.2043,-0.19485,-0.54098,0.19725
11.2700,0.05881,0.11373,0.39065
11.3414,0.26898,-0.29214,0.46164
11.4020,0.76581,0.53551,0.04328
11.4695,0.12101,0.14564,-0.23351
11.5340,-0.33850,-0.06115,-0.37540
11.6024,-0.48665,0.03807,-0.39844
11.6674,-0.43704,-0.38195,0.02223
11.7526,-0.01364,-0.21003,0.15245
11.8006,0.07973,0.03876,0.33780
11.8662,0.30192,0.03212,0.39514
11.9347,0.61867,0.37400,0.07857
11.9986,0.19954,0.26425,-0.14050
12.0652,-0.21256,-0.32567,-0.26606
12.1328,-0.34989,-0.32090,-0.37015
12.2063,-0.54617,-0.43561,-0.16614
12.2730,-0.06474,-0.31139,0.05645
12.3431,0.08553,0.08290,0.27402
12.4049,0.33269,0.06617,0.33543
12.4752,0.59309,0.29800,0.16523
12.5371,0.63137,0.46581,-0.06375
12.6036,-0.23422,0.00375,-0.12053
12.6711,-0.23554,-0.29889,-0.21625
12.7399,-0.47932,-0.61111,-0.40771
12.8028,-0.59521,-0.68153,-0.20469
12.8730,0.06197,-0.07709,0.07265
