time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:48:43:140, 
0.0391,-0.01163,0.04515,0.02008
0.0954,0.19390,-0.01739,0.06907
0.1523,0.33528,-0.23698,0.10723
0.2106,-0.09523,0.09427,0.18651
0.2733,0.23688,-0.16115,0.07918
0.3232,0.19704,-0.23909,-0.04016
0.3801,-0.19549,-0.38820,0.02260
0.4370,-0.68404,-0.12575,0.17146
0.4940,-1.14716,-1.59120,0.89383
0.5534,-1.69826,-2.33710,2.59085
0.6079,-2.15163,-2.30362,0.98853
0.6674,-1.57657,-1.20245,0.22385
0.7220,1.64210,-0.56796,0.90942
0.7780,1.15757,0.78332,0.99192
0.8347,1.48353,0.80574,0.43616
0.8909,1.17297,-0.03181,0.09759
0.9488,1.34143,0.45204,-0.08879
1.0046,0.08685,0.32384,-1.04548
1.0632,-0.08454,0.64843,-0.99947
1.1181,0.79205,0.69512,-0.26416
1.1774,-0.55344,0.45998,-0.72965
1.2322,0.47932,0.70267,-0.27202
1.2888,-0.42480,0.75144,-0.53693
1.3482,-0.07112,0.58321,-0.08681
1.4027,-0.13982,-0.07302,0.45015
1.4591,0.55927,0.50046,0.45910
1.5169,-0.60504,0.05825,0.04645
1.5720,-0.98118,0.50174,-0.42031
1.6293,-0.25982,-0.57772,-0.26218
1.6849,0.19994,0.12759,0.96939
1.7550,0.21562,0.04027,1.04027
1.8005,-0.42416,0.34462,0.00547
1.8571,0.02211,-0.38198,0.05150
1.9135,-0.39364,-0.05183,-0.10743
1.9706,-0.05302,-0.29256,0.29808
2.0266,-0.38727,0.25211,0.17858
2.0840,0.09550,0.11138,-0.04533
2.1439,0.86014,0.68239,-0.33865
2.1984,0.26145,0.18793,0.01185
2.2563,0.61343,0.85883,0.68698
2.3106,-0.38635,0.63906,1.45014
2.3672,-0.56456,0.33578,1.10429
2.4368,1.19814,0.79191,1.18792
2.4796,0.82669,0.44644,1.94308
2.5406,1.98285,0.27904,0.86243
2.5949,3.14785,-0.95358,-0.47660
2.6522,-0.89251,-1.22252,-1.17029
2.7082,-0.77794,-0.14344,-0.96720
2.7647,-0.59524,0.65309,-0.23383
2.8393,-1.38496,-0.14321,-0.29346
2.8788,-0.83269,-0.17441,0.40451
2.9381,-0.61072,-0.07659,0.45184
2.9935,-1.10052,-0.51070,-0.03056
3.0484,-1.06504,-0.22304,-0.31374
3.1061,-0.47393,-0.17496,-0.03942
3.1628,-0.23814,-0.90193,-0.26940
3.2189,0.70388,-0.83054,-1.08638
3.2758,-1.00581,0.09427,0.06587
3.3355,-0.11711,0.83667,0.12806
3.3901,-1.56146,1.38074,0.34007
3.4460,0.10629,1.60295,0.86472
3.5036,0.64213,0.91301,0.42139
3.5608,-0.07084,-0.28028,-0.27926
3.6192,-0.41259,-0.14746,0.67748
3.6732,-0.88622,-0.80255,-0.08180
3.7320,-0.18616,-1.07876,-0.28470
3.7860,0.16957,-0.71797,-0.55399
3.8442,0.83317,0.14555,-0.43738
3.9037,0.58596,2.01682,-0.52204
3.9576,-1.20931,0.81066,0.57726
4.0133,0.32706,0.62098,0.10788
4.0719,0.27275,-0.63503,-0.56478
4.1279,-1.51006,-2.82765,0.40086
4.1844,0.85501,1.36521,-0.10806
4.2414,-1.25874,-0.83736,-3.08546
4.2974,-0.82536,-0.39861,-2.64727
4.3550,-1.04539,0.02715,-1.61713
4.4109,0.89812,0.60792,1.50443
