time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:48:43:140, 
0.0391,-26.20839,-18.11238,-22.73587
0.1391,-26.85607,-18.18515,-23.70993
0.1896,-26.71865,-19.67097,-23.68762
0.2398,-24.21048,-19.92465,-24.62036
0.3399,-23.57714,-19.81557,-24.87537
0.3893,-24.39674,-21.50093,-24.50076
0.4394,-24.67607,-24.61363,-22.58084
0.5533,-24.78009,-26.53850,-17.52255
0.5896,-24.03309,-28.94261,-14.87939
0.6396,-20.91988,-32.42967,-10.60657
0.7391,-16.66536,-35.73712,-7.60178
0.7899,-12.44698,-37.66124,-3.91669
0.8400,-11.39875,-38.28834,-3.80853
0.9415,-9.51214,-39.58760,-3.52548
0.9898,-6.66700,-41.31314,-1.60617
1.0399,-6.20470,-41.52026,0.54056
1.1397,-4.26917,-41.00703,0.68756
1.1899,-2.95462,-41.05325,2.56250
1.2396,-0.99230,-41.50366,3.46567
1.3407,-0.31898,-41.80309,3.83109
1.3916,-1.13332,-40.48862,5.38733
1.4402,0.28990,-40.94772,6.16409
1.5404,1.30088,-41.45014,6.62531
1.5916,1.74358,-40.45631,6.51721
1.6390,0.71197,-41.76652,6.70178
1.7550,-0.27767,-40.81369,6.14011
1.7898,-0.95587,-40.63687,9.41269
1.8396,0.51213,-40.48176,8.53778
1.9401,1.67236,-40.61905,9.89941
1.9899,0.90285,-40.02074,11.19055
2.0391,1.11478,-39.50407,12.30896
2.1438,1.34053,-41.31384,11.06305
2.1897,1.34808,-40.08032,9.65344
2.2399,2.55017,-42.34557,9.32260
2.3392,3.18560,-39.34742,10.08887
2.3900,1.85022,-39.55062,11.70911
2.4399,1.68580,-37.86337,11.81213
2.5407,1.45155,-37.80103,15.51453
2.5893,2.63425,-36.66664,18.37045
2.6403,3.98041,-36.22922,18.74307
2.7393,3.10194,-35.42377,18.34158
2.7896,4.15306,-35.16576,18.39059
2.8393,4.58633,-36.34625,18.94321
2.9396,4.40174,-34.80931,18.95398
2.9923,2.93937,-33.60654,20.34479
3.0399,2.82981,-34.31543,21.14313
3.1391,3.19911,-33.67955,20.57639
3.1894,3.42334,-32.60739,21.18164
3.2396,1.99409,-32.94386,20.20395
3.3401,2.07715,-31.26483,21.18430
3.3901,0.23430,-31.78439,23.10620
3.4409,1.75253,-31.01196,25.21796
3.5404,2.00698,-29.99030,28.04800
3.5922,4.41154,-30.26270,27.89493
3.6399,4.34672,-30.50583,27.76202
3.7482,2.87355,-31.28502,27.03604
3.7890,2.03075,-32.91563,26.73624
3.8394,-0.86909,-33.69012,26.68771
3.9389,-1.05955,-34.48816,24.85980
3.9893,-4.76286,-35.23837,25.45233
4.0401,-4.93159,-35.87659,24.25519
4.1472,-1.98649,-36.87357,23.10342
4.1893,-0.01551,-37.38223,23.18942
4.2408,-2.49730,-39.43771,19.99567
4.3386,-4.54822,-43.17966,13.22122
4.3913,-5.41509,-44.78185,9.43930
4.4399,-5.56465,-44.70302,8.77451
4.5407,-5.68496,-45.26901,8.96164
4.5897,-6.10980,-44.95741,5.95956
4.6395,-6.22130,-43.75132,6.73282
4.7400,-5.14128,-43.02409,4.51993
4.7898,-6.56868,-40.37048,10.30182
4.8404,-7.34017,-36.54752,13.31866
4.9502,-6.72350,-38.17026,11.55161
4.9892,-6.53957,-37.26216,11.95743
5.0395,-6.42365,-37.81992,10.89047
5.1395,-6.69658,-38.05598,12.94955
5.1896,-6.16847,-37.98092,12.58224
5.2406,-6.84409,-38.12389,11.46985
5.3406,-6.54057,-37.59129,11.72052
5.3897,-5.94651,-36.85149,12.52753
5.4402,-5.54493,-37.03476,12.13458
5.5387,-6.91665,-37.97952,11.71484
5.5933,-5.62593,-37.31078,11.38690
5.6405,-5.85125,-37.39926,11.88464
5.7399,-6.65902,-37.38316,11.15189
5.7899,-6.47072,-37.23759,11.60379
5.8391,-7.54860,-37.73672,11.47934
5.9393,-5.95515,-37.53752,11.14124
5.9903,-6.07183,-37.07730,11.17123
6.0442,-7.29845,-36.82709,11.25977
6.1413,-6.32147,-36.87811,10.60175
6.1898,-5.76762,-37.18822,10.89188
6.2395,-5.32069,-40.33675,10.77853
6.3408,-6.79949,-39.52644,9.72015
6.3903,-6.28564,-40.09625,9.92709
6.4400,-6.00629,-39.30272,10.40799
6.5427,-5.59071,-39.21605,10.76227
6.5928,-4.46012,-40.88281,10.33270
6.6394,-4.07097,-40.44791,8.79019
6.7393,-5.56988,-41.18475,9.09631
6.7901,-5.61919,-40.47665,12.40512
6.8397,-2.54041,-40.10162,14.73175
6.9390,-1.40225,-38.64790,16.44077
6.9890,-0.65974,-38.51429,16.88974
7.0406,-1.78827,-37.74059,16.36346
7.1395,-3.51514,-36.07814,17.64102
7.1901,-4.42897,-37.40305,15.84521
7.2392,-6.39074,-37.82419,14.57327
7.3394,-7.50565,-38.95061,12.15256
7.3914,-8.78657,-38.74966,9.70572
7.4399,-11.09044,-38.23252,7.19470
7.5392,-9.42920,-39.41395,4.07977
7.5921,-10.62516,-39.96947,2.41867
7.6402,-10.41681,-39.62399,-2.08585
7.7400,-9.71149,-41.59769,-3.96567
7.7900,-8.23568,-42.93112,-5.05893
7.8393,-8.50892,-41.71995,-5.70392
7.9392,-7.87084,-41.96178,-7.77747
7.9900,-7.41288,-42.59088,-9.77512
8.0390,-6.69273,-41.78362,-11.91223
8.1410,-6.65273,-40.01235,-15.45468
8.1906,-6.67162,-40.91421,-18.02612
8.2431,-4.86151,-39.87527,-18.83914
8.3392,-4.08887,-40.06201,-22.46902
8.3896,-3.89319,-39.22349,-23.47876
8.4409,-3.81274,-36.57396,-23.95453
8.5400,-1.59918,-38.62244,-23.64578
8.5910,-0.83932,-40.48906,-22.32486
8.6394,0.56109,-40.76278,-22.35089
8.7390,0.22778,-41.39492,-22.36801
8.7906,0.43826,-40.62070,-22.25403
8.8404,-0.17558,-40.17317,-22.91306
8.9398,1.41181,-42.79305,-18.43207
8.9904,4.16072,-43.09960,-16.65341
9.0404,4.31495,-42.95470,-20.09799
9.1401,1.78952,-41.56068,-21.31229
9.1952,2.06771,-40.47249,-22.97922
9.2389,3.00462,-38.42685,-25.39215
9.3431,1.38068,-37.88013,-26.10724
9.3905,-0.41925,-39.86262,-26.58481
9.4398,-0.23288,-39.31389,-25.23337
9.5392,-1.16519,-39.07779,-24.80801
9.5895,-2.67936,-39.70766,-25.07928
9.6391,-3.35978,-40.84367,-23.88248
9.7400,-2.21190,-38.88190,-22.73221
9.7903,-4.10563,-40.30209,-20.68967
9.8405,-4.22307,-41.56143,-19.75861
9.9393,-4.23589,-40.61869,-20.10730
9.9894,-4.52723,-40.81907,-21.06613
10.0398,-5.20362,-41.02170,-22.22516
10.1395,-2.91580,-41.41193,-22.31305
10.1909,0.93313,-41.99874,-22.28397
10.2403,6.89245,-39.43592,-24.50464
10.3392,10.21440,-39.28307,-25.06519
10.3897,11.98270,-40.75208,-23.71118
10.4395,14.52650,-42.11738,-19.54959
10.5412,13.94044,-41.43633,-20.32388
10.5895,13.92806,-42.11432,-20.91629
10.6403,13.40228,-39.17658,-22.59607
10.7396,11.61102,-39.70799,-24.41428
10.7900,9.09132,-38.60941,-25.24127
10.8393,7.91408,-40.03838,-22.77582
10.9454,8.63995,-41.54257,-21.25107
10.9903,8.57756,-43.42821,-20.39206
11.0397,8.05023,-41.33176,-22.87451
11.1393,7.34976,-40.71327,-23.78018
11.1910,6.98764,-40.55061,-23.47293
11.2395,6.10892,-40.85056,-24.65060
11.3415,5.69712,-39.49622,-23.99414
11.3901,4.58379,-41.60749,-22.63376
11.4399,5.93573,-42.74815,-21.27066
11.5393,5.97985,-42.87962,-21.74722
11.5909,7.58953,-42.22926,-21.56503
11.6387,6.71464,-41.35175,-23.77023
11.7526,5.38024,-39.24602,-25.34357
11.7915,6.24247,-40.11825,-24.61716
11.8396,5.28086,-40.51396,-24.89432
