time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:48:43:140, 
0.0391,-22.19590,-33.77545,77.88434
0.0964,-21.97857,-33.86534,78.58303
0.1525,-21.93786,-33.83919,78.61176
0.2106,-21.69715,-33.80036,79.38599
0.2733,-20.87624,-34.32478,80.24888
0.3233,-20.53716,-35.10806,81.71332
0.3801,-19.99961,-35.94751,83.64210
0.4370,-19.91382,-36.68493,86.08169
0.4940,-21.05402,-39.14673,87.84398
0.5534,-22.64686,-44.02395,90.30949
0.6079,-24.50897,-47.83742,94.13242
0.6674,-24.10526,-51.34656,101.31217
0.7221,-20.28548,-56.30139,112.42432
0.7780,-16.97457,-61.49902,122.19850
0.8343,-14.62842,-63.44669,128.79875
0.8909,-12.33488,-62.53768,134.74823
0.9487,-7.76874,-63.29140,141.77124
1.0056,-2.58005,-65.52634,148.59895
1.0664,-3.51333,-66.89740,149.75188
1.1210,1.67711,-67.97340,156.64255
1.1774,4.19806,-69.91414,161.06448
1.2328,10.65253,-71.71492,168.65393
1.2879,12.71344,-72.39076,172.26524
1.3481,13.04972,-72.46780,173.53801
1.4029,13.31267,-73.29600,175.15681
1.4607,19.40650,-73.77311,-178.21092
1.5179,22.51356,-74.41631,-174.79994
1.5725,25.92665,-75.16714,-170.36879
1.6285,22.80317,-74.15629,-172.43954
1.6849,14.91216,-74.91537,-179.66710
1.7551,12.10683,-77.22240,177.77892
1.8005,16.98065,-79.53049,-177.71185
1.8574,24.43457,-80.17299,-170.51457
1.9153,28.70760,-80.31665,-165.96057
1.9698,28.03497,-80.90231,-166.53214
2.0258,29.04897,-81.42638,-165.57864
2.0832,35.14292,-81.73188,-159.47385
2.1438,40.48281,-80.19133,-155.80515
2.1983,43.80406,-77.87955,-152.91690
2.2564,43.67042,-77.54763,-152.96497
2.3114,48.71929,-77.52554,-148.42555
2.3684,53.04589,-78.72958,-144.66502
2.4368,61.75363,-80.11234,-135.96986
2.4799,81.40147,-81.94556,-116.07789
2.5406,117.00120,-82.18952,-79.49834
2.5949,126.05930,-77.93927,-70.51224
2.6522,129.59419,-76.66099,-63.99755
2.7085,136.23801,-78.50700,-54.13953
2.7650,138.88254,-79.17760,-48.74989
2.8392,139.16566,-78.96188,-46.71449
2.8788,144.72137,-79.03851,-40.32730
2.9380,147.78647,-77.61609,-37.52472
2.9924,153.00352,-75.51933,-33.37983
3.0485,151.81534,-73.43461,-35.54101
3.1056,153.62718,-72.70949,-36.38248
3.1627,151.81398,-70.92216,-41.24655
3.2189,145.07326,-68.71049,-51.48131
3.2770,140.41096,-67.35692,-59.15552
3.3353,139.93797,-66.08190,-61.52788
3.3905,141.67041,-66.02047,-60.60805
3.4460,142.50348,-64.89713,-61.69464
3.5036,141.95979,-62.75385,-63.74340
3.5607,140.49261,-61.54683,-65.65018
3.6198,138.60446,-61.12541,-68.60982
3.6741,137.37489,-60.59530,-70.08517
3.7319,137.17862,-61.05805,-71.09243
3.7872,136.79675,-62.16928,-71.71808
3.8442,135.61035,-63.52181,-73.35694
3.9037,133.05428,-64.48073,-77.16843
3.9576,130.40794,-65.55840,-80.88323
4.0138,133.90388,-67.81796,-77.23190
4.0719,132.89737,-68.88291,-78.39169
4.1288,134.46257,-72.21291,-76.72977
4.1849,139.08122,-71.46363,-72.42296
4.2414,132.88634,-71.96050,-78.87689
4.3029,121.65137,-75.63934,-92.60770
4.3550,92.93007,-79.45283,-125.10047
4.4116,63.84887,-78.72371,-156.93315
4.4700,61.48256,-77.80078,-159.09177
4.5253,56.97885,-77.33430,-163.73102
4.5819,50.63530,-77.40300,-170.02025
