time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:25:55:695, 
0.0171,0.60092,8.01065,5.41425
0.0285,0.81399,7.97833,5.63331
0.0481,0.91455,7.97953,6.10016
0.0836,0.84751,7.96158,6.50237
0.1045,0.70506,8.06931,6.08221
0.1045,0.78167,8.28119,5.23589
0.1309,0.73140,8.40927,4.70440
0.1510,0.49438,8.40568,4.79538
0.1609,0.26574,8.37815,5.00965
0.2081,0.24899,8.31111,5.21674
0.2081,0.36869,8.22972,5.36518
0.2173,0.50276,8.19261,5.36398
0.2743,0.58895,8.19859,5.25026
0.2752,0.63085,8.24408,5.23470
0.2752,0.70506,8.30273,5.41186
0.3274,0.82237,8.33027,5.67641
0.3275,0.87744,8.31351,5.84998
0.3310,0.87265,8.32428,5.80449
0.3507,0.86786,8.31351,5.47890
0.3781,0.89060,8.27999,5.12337
0.3881,1.11206,8.28119,5.02880
0.4166,1.44723,8.26084,5.16407
0.4277,1.57891,8.15430,5.41186
0.4455,1.45441,7.99150,5.55790
0.4723,1.26169,7.95200,5.28976
0.4832,1.24613,8.09564,4.54879
0.5029,1.32274,8.42004,3.72641
0.5292,1.05819,8.57806,3.41279
0.5504,0.52072,8.68459,3.58636
0.5628,-0.13646,8.78874,3.95505
0.5792,-0.90138,8.94316,4.35487
0.6088,-1.48434,9.04969,4.56076
0.6145,-1.45801,9.08082,4.68405
0.6753,-1.58968,8.62354,5.93018
0.6753,-1.35865,8.99702,6.15882
0.6753,-1.03425,9.05688,5.52438
0.7310,-0.40939,9.29509,4.75229
0.7311,-0.26096,9.55844,4.30698
0.7311,-0.37468,9.62787,3.88323
0.7496,-1.09291,9.42676,3.69409
0.7786,-2.06012,9.03413,4.23875
0.7862,-1.58370,9.11433,4.15376
0.8168,-0.73499,9.27833,3.48940
0.8302,-1.01989,9.11314,3.25597
0.8425,-1.83388,8.85098,3.00818
0.8702,-2.97706,8.51461,2.75800
0.8827,-3.79943,8.08367,3.71325
0.8998,-3.57200,7.97355,4.87678
0.9286,-3.13866,8.26084,4.67448
0.9499,-3.20330,8.84141,3.64980
0.9629,-2.84898,9.21010,3.01417
0.9786,-2.02062,9.43275,2.35579
1.0035,-2.54493,9.36332,1.83508
1.0117,-3.36491,9.48781,2.64428
1.0707,-3.59953,9.75116,3.55883
1.0740,-3.41877,9.84932,3.28590
1.0741,-3.62467,9.89002,3.22126
1.1271,-4.03645,10.06359,3.17697
1.1272,-3.80422,9.83137,3.15901
1.1272,-3.75993,9.63744,3.17458
1.1497,-3.50376,9.49500,3.41279
1.1782,-3.15303,9.28551,3.41279
1.1839,-3.08599,9.04730,2.98185
1.2165,-2.73885,9.13109,2.67541
1.2324,-2.77356,9.12511,2.73645
1.2412,-2.84658,8.96231,2.54612
1.2687,-2.79870,8.87612,2.34981
1.2830,-2.88249,9.15982,2.21095
1.2979,-3.02135,9.18137,2.42642
1.3284,-3.30625,9.16940,2.27320
1.3506,-3.75155,8.95992,2.02182
1.3535,-4.51647,8.80669,1.83986
1.3806,-4.73313,8.84260,1.64953
1.3999,-3.96702,8.82465,2.20018
1.4103,-3.34695,8.91922,2.33305
1.4553,-2.88249,9.01378,1.86141
1.4591,-2.28397,9.00780,1.81233
1.4842,-1.99788,8.95154,2.56767
1.5237,-2.51620,9.16222,2.50902
1.5237,-2.91122,9.35614,1.98471
1.5237,-3.20450,9.45070,1.89373
1.5505,-3.16500,9.01258,2.48507
1.5802,-3.34096,8.52778,2.69336
1.5834,-3.98019,8.24049,2.28636
1.6173,-4.28544,8.41645,2.54014
1.6279,-4.05680,8.65586,2.99981
1.6368,-4.10468,9.06047,2.64668
1.6745,-3.88802,9.21968,2.56887
1.6839,-3.14704,9.40163,2.60598
1.6940,-1.97992,9.81102,2.96749
1.7306,-1.34189,10.13063,3.39364
1.7419,-1.72734,10.16175,3.16859
1.7648,-2.55929,9.93192,2.93517
1.7790,-3.09677,9.72004,2.64668
1.8093,-3.68691,9.40402,2.16187
1.8093,-3.68332,8.94914,1.87817
1.8285,-3.97181,8.32907,1.68185
1.8674,-4.19566,8.06931,1.60764
1.8674,-3.55883,7.98911,1.54300
1.8941,-2.92918,8.27401,1.50469
1.9225,-2.94714,8.58883,1.18987
1.9226,-2.92559,8.79352,1.41012
1.9499,-3.02973,8.95632,1.49631
1.9782,-3.32780,9.22087,1.69382
1.9782,-3.63304,9.53570,1.85662
2.0065,-3.74676,9.79546,1.68784
2.0302,-3.66177,9.86249,1.66390
2.0346,-3.71444,9.91516,1.63996
2.0715,-3.64861,9.94509,1.89852
2.0829,-3.67853,9.90079,1.87697
2.0915,-3.95745,9.74039,1.90451
2.1296,-3.95266,9.80743,1.85662
2.1408,-3.70487,9.85770,1.81233
2.1490,-3.03931,9.87326,1.81114
2.1785,-2.84658,9.79545,1.74410
2.2049,-2.87412,9.65301,1.75727
2.2053,-2.87651,9.65540,1.66869
2.2280,-2.96509,9.57759,1.74530
2.2620,-2.96030,9.51654,1.71058
2.2620,-2.76399,9.40522,1.56813
2.2955,-2.54373,9.40282,1.44843
2.3184,-2.52458,9.36093,1.24972
2.3186,-2.35101,9.64343,1.29760
2.3501,-1.78600,10.54122,1.37780
2.3746,-2.08406,10.33772,1.37421
2.3746,-2.40008,10.37363,1.50589
2.4032,-2.83102,9.66019,1.32154
2.4282,-3.14345,9.10955,1.41372
2.4319,-3.23203,9.13947,1.41850
2.4579,-2.68738,9.52492,1.63158
2.4830,-2.49226,9.56083,1.66510
2.4890,-2.32467,9.70448,1.67228
2.5290,-2.14152,9.77630,1.78241
2.5319,-1.94760,9.76792,1.83747
2.5451,-1.85064,9.69969,1.78241
2.5784,-1.72734,9.69969,1.74650
2.6028,-1.63278,9.70927,1.75248
2.6029,-1.49511,9.76433,1.67826
2.6284,-1.46878,9.72483,1.52265
2.6598,-1.52504,9.64223,1.45681
2.6620,-1.71417,9.46507,1.41372
2.6875,-1.78001,9.38128,1.31077
2.7168,-1.81952,9.42437,1.19346
2.7168,-1.80395,9.59555,1.14438
2.7496,-1.90091,9.65061,1.10727
2.7722,-2.01942,9.48063,1.06298
2.7722,-2.07209,9.31185,1.04263
2.8004,-2.11279,9.22925,0.96123
2.8296,-1.96795,9.19454,0.84991
2.8297,-1.87338,9.15862,0.81758
2.8670,-2.03977,9.03054,0.84392
2.8830,-2.23968,8.90605,0.82477
2.8860,-2.46472,8.86654,0.90736
2.9315,-2.38093,9.32023,0.87983
2.9315,-2.33784,9.58597,0.86666
2.9430,-2.42642,9.58837,0.81758
2.9793,-2.39769,9.65660,0.73738
3.0011,-2.42762,9.57759,0.71703
3.0015,-2.48507,9.57041,0.64282
3.0284,-2.60717,9.46746,0.66436
3.0612,-2.81067,9.33818,0.68471
3.0612,-2.81666,9.55245,0.59733
3.0838,-2.75920,9.66857,0.54585
3.1139,-2.71730,9.65061,0.52550
3.1140,-2.75202,9.67814,0.55663
3.1413,-2.66463,9.76553,0.55064
3.1508,-2.56767,10.03247,0.56860
3.1701,-2.59042,10.06000,0.60571
3.2096,-2.53894,9.88883,0.60930
3.2259,-2.36896,9.93910,0.73499
3.2271,-2.56408,9.82778,0.92532
3.2734,-2.83701,9.70687,1.06537
3.2734,-2.83940,9.63505,1.14677
3.2844,-2.75321,9.68054,1.25690
3.3293,-2.69815,9.86728,1.35985
3.3294,-2.90524,9.82179,1.47237
3.3438,-2.83581,9.86369,1.47716
3.3786,-2.42043,10.20604,1.34429
3.3787,-2.05653,10.43468,1.26768
3.3979,-2.08885,10.24315,1.27246
3.4161,-2.21813,9.90798,1.27845
3.4541,-2.36298,9.73321,1.20423
3.4544,-2.21454,9.80144,1.05101
3.4936,-2.06132,9.91396,0.87744
3.5112,-2.08765,9.71884,0.76491
3.5113,-2.19539,9.35614,0.68591
3.5386,-2.09484,9.27833,0.57578
3.5497,-1.84824,9.61231,0.49438
3.5688,-1.78121,9.71406,0.44051
3.6053,-1.77762,9.65301,0.40460
3.6294,-1.96556,9.46148,0.44530
3.6295,-2.09603,9.37290,0.53628
3.6716,-2.12716,9.59435,0.55902
3.6718,-2.22412,9.63984,0.56860
3.6805,-2.16666,9.72363,0.56022
3.7292,-1.99428,10.04923,0.58536
3.7293,-2.01583,10.11028,0.65000
3.7411,-2.16905,9.96544,0.67154
3.7786,-2.19539,9.74877,0.70506
3.7787,-2.00865,9.68174,0.69070
3.7953,-1.95837,9.78229,0.65598
3.8161,-1.96675,9.78708,0.68591
3.8526,-1.95358,9.69849,0.74217
3.8526,-1.90451,9.68293,0.72302
3.8921,-1.85064,9.71645,0.68232
3.9085,-1.73692,9.69131,0.61648
3.9085,-1.63996,9.58717,0.61409
3.9280,-1.69861,9.55126,0.68112
3.9504,-1.67348,9.59794,0.67274
3.9648,-1.71657,9.67695,0.68830
4.0031,-1.79438,9.58358,0.67154
4.0275,-1.91887,9.39564,0.69908
4.0278,-1.95837,9.39325,0.71943
4.0688,-1.85662,9.64343,0.76851
4.0689,-1.80036,9.80383,0.79245
4.0781,-1.89732,9.81820,0.80801
4.1323,-1.97633,9.68892,0.80083
4.1323,-1.97274,9.50816,0.78526
4.1348,-1.83627,9.57400,0.79604
4.1787,-1.77403,9.56802,0.79245
4.1787,-1.87458,9.43634,0.76611
4.1934,-1.84226,9.35494,0.71943
4.2163,-1.76565,9.31544,0.70506
4.2493,-1.83268,9.26157,0.69908
4.2493,-1.94401,9.19573,0.74097
4.2913,-2.00745,9.17179,0.84751
4.3061,-1.87219,9.43514,0.83434
4.3061,-1.73572,9.64702,0.79843
4.3283,-1.80276,9.64343,0.83434
4.3494,-1.73931,9.62069,0.81399
4.3622,-1.53103,9.75356,0.77928
4.3997,-1.32513,10.06240,0.77808
4.4265,-1.43526,9.99417,0.87265
4.4265,-1.78121,9.71884,0.95285
4.4542,-2.04695,9.50577,1.03664
4.4658,-2.24088,9.43873,1.15036
4.4753,-2.17624,9.52971,1.22338
4.5284,-1.72375,9.91396,1.11326
4.5303,-1.59327,9.99776,1.07495
4.5319,-1.84106,9.71286,1.09410
4.5792,-2.07808,9.47105,0.99595
4.5793,-2.05773,9.53809,0.79843
4.5904,-1.99668,9.65181,0.56980
4.6169,-2.14751,9.54048,0.36749
4.6277,-2.43719,9.33220,0.15681
4.6463,-2.35579,9.44233,-0.14604
4.6734,-1.97274,9.74398,-0.28131
4.6943,-1.80156,9.88164,-0.26694
4.7044,-1.82191,9.97142,-0.19272
4.7280,-1.87937,9.95107,-0.06703
4.7501,-2.02900,9.94628,-0.05746
4.7597,-2.08047,10.19886,-0.05147
4.7777,-2.09125,10.34131,-0.13407
4.8107,-2.17624,9.93551,-0.45368
4.8242,-2.20257,9.61470,-0.56501
4.8732,-1.87338,9.93551,-0.82956
4.8733,-1.46878,10.39039,-0.96243
4.8733,-1.29162,10.68486,-0.97320
4.9307,-1.66869,10.43827,-0.86547
4.9308,-2.09244,10.14619,-0.70147
4.9308,-2.45156,10.03367,-0.71105
4.9539,-2.71610,10.03726,-0.73858
4.9782,-2.85975,10.15337,-0.62486
4.9857,-3.15542,10.22639,-0.31243
5.0162,-3.04170,10.49094,-0.17118
5.0280,-2.86095,10.65015,-0.02274
5.0445,-2.88369,10.46939,0.24659
5.0759,-3.02255,10.07676,0.82357
5.0904,-2.85616,9.95227,1.20543
5.1000,-2.07568,10.02888,1.29162
5.1288,-1.48434,10.07078,1.13480
5.1493,-1.08572,9.81461,0.90617
5.1569,-1.13480,9.16700,0.79364
