time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:25:55:695, 
0.0481,-0.10318,8.07018,5.57064
0.1045,-0.06102,8.08542,5.54912
0.1609,-0.11267,8.09182,5.53896
0.2173,-0.10450,8.06525,5.57774
0.2752,-0.10744,8.01377,5.65140
0.3310,-0.14529,7.98308,5.69384
0.3881,-0.22782,8.01723,5.64292
0.4455,-0.33788,8.10876,5.50492
0.5034,-0.58939,8.32268,5.15325
0.5628,-0.88116,8.41809,4.95274
0.6145,-1.01820,8.47758,4.82331
0.6753,-1.01400,8.63898,4.52883
0.7313,-1.09839,8.74761,4.29456
0.7862,-1.13331,8.80745,4.16110
0.8425,-1.25179,8.82716,4.08469
0.8998,-1.41473,8.79680,4.09699
0.9630,-1.66601,8.82701,3.93429
1.0117,-2.14671,8.73173,3.91394
1.0742,-2.47709,8.76201,3.64165
1.1273,-2.66925,8.83385,3.31791
1.1840,-2.64658,8.94650,3.02095
1.2411,-2.68872,9.02472,2.73780
1.2983,-2.74341,9.05709,2.57161
1.3536,-2.72779,9.09563,2.44929
1.4104,-2.60328,9.17522,2.28226
1.4843,-2.60276,9.17043,2.30200
1.5236,-2.65086,9.14929,2.33106
1.5809,-2.70237,9.13961,2.30979
1.6369,-2.68470,9.14588,2.30558
1.6940,-2.62335,9.14698,2.37089
1.7648,-2.60575,9.10859,2.53259
1.8094,-2.58070,9.12373,2.50358
1.8650,-2.56228,9.13250,2.49048
1.9227,-2.61289,9.10742,2.52943
1.9780,-2.73415,9.06857,2.54083
2.0347,-2.79786,9.08527,2.40839
2.0915,-2.80353,9.12138,2.26074
2.1491,-2.70484,9.16598,2.19978
2.2061,-2.58551,9.22230,2.10587
2.2619,-2.48614,9.27495,1.99117
2.3205,-2.39722,9.31680,1.90288
2.3746,-2.40452,9.33629,1.79507
2.4319,-2.48569,9.36013,1.54263
2.4894,-2.44068,9.41100,1.28318
2.5455,-2.45036,9.42153,1.18362
2.6029,-2.53350,9.40894,1.10618
2.6620,-2.59978,9.40788,0.95044
2.7169,-2.57860,9.42746,0.80260
2.7722,-2.56501,9.43414,0.76688
2.8297,-2.57753,9.43056,0.76898
2.8861,-2.59522,9.42578,0.76806
2.9430,-2.53889,9.44136,0.76499
3.0015,-2.54121,9.43744,0.80460
3.0571,-2.55555,9.43198,0.82294
3.1140,-2.55365,9.43184,0.83041
