time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:25:55:695, 
0.0661,-0.15486,-0.37502,-0.14222
0.1310,0.13282,-0.02635,-0.21388
0.2081,-0.07283,-0.24823,-0.21006
0.2752,-0.15185,-0.11956,-0.10460
0.3398,-0.11280,-0.12485,-0.19374
0.4132,0.11446,0.07022,-0.16355
0.4723,0.43426,0.41936,-0.11315
0.5390,0.59063,1.08745,-0.00408
0.6089,0.17981,0.66313,-0.10737
0.6725,0.40542,0.94333,0.50103
0.7375,0.36647,1.21763,0.45723
0.8050,0.08366,1.42646,0.60840
0.8702,-0.18760,1.49937,0.36288
0.9365,-0.04653,1.34690,0.32350
1.0035,-0.15354,1.53598,-0.16245
1.0741,0.04272,1.28157,-0.12817
1.1352,0.33418,1.00950,0.05427
1.2016,0.34403,0.85060,0.39681
1.2688,0.30816,0.57243,0.02766
1.3327,0.09379,0.50838,0.10880
1.4006,0.09759,0.67293,0.42021
1.4842,-0.17830,0.66201,0.23770
1.5313,-0.23880,0.62811,0.06395
1.5992,-0.20710,0.80021,0.15109
1.6745,-0.32189,1.09316,0.37807
1.7419,-0.50377,0.77666,0.30762
1.8092,-0.19459,0.64014,0.19713
1.8721,-0.18539,0.73558,0.26077
1.9393,-0.27485,0.59090,0.07890
2.0094,-0.11713,0.49864,-0.06048
2.0719,0.13295,0.52723,0.09277
2.1382,-0.00356,0.44348,0.25311
2.2053,0.03158,0.42555,0.35894
2.2708,0.13626,0.24467,0.25321
2.3361,0.10483,0.14348,0.19784
2.4060,0.25945,0.04925,-0.10422
2.4690,0.52417,0.13260,-0.01339
2.5354,0.18688,0.32046,0.10282
2.6029,0.08135,0.29602,-0.12940
2.6875,0.28898,0.10684,-0.13241
2.7337,0.28474,-0.13256,0.00164
2.8031,0.13097,-0.32611,-0.02651
2.8671,0.11961,-0.46755,-0.12107
2.9325,0.16320,-0.51788,0.04137
3.0012,0.07651,-0.53034,-0.04171
3.0804,0.12501,-0.57304,-0.07553
3.1414,0.12335,-0.64992,-0.03495
