time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:25:55:695, 
0.0481,0.23479,-0.05458,-0.44693
0.1052,0.83789,-0.14745,0.13142
0.1612,0.89150,-0.04162,0.36435
0.2173,0.60233,0.28183,-0.77627
0.2752,0.48158,0.18140,-0.37088
0.3310,0.78778,0.21744,-0.42910
0.3881,1.08676,0.25401,0.09782
0.4455,1.29682,0.13246,-0.32874
0.5034,2.08634,-0.23554,0.19472
0.5628,2.16210,-0.30118,-0.45402
0.6145,1.50269,0.17563,-1.18931
0.6754,-0.26301,0.34951,-0.01451
0.7313,-0.22305,0.09641,1.55278
0.7862,0.79228,0.62954,0.12622
0.8425,-0.31844,0.30340,-0.08414
0.9007,0.22780,0.22602,-0.87281
0.9630,-1.77363,-0.68863,-0.17489
1.0118,-0.90379,-0.01444,-0.15843
1.0742,-0.15093,0.61126,-1.38600
1.1272,-0.85681,0.92484,0.01057
1.1846,-1.19386,0.80831,0.11907
1.2412,-0.53005,0.15444,0.50198
1.2984,-0.01378,-0.08049,0.05372
1.3536,-0.14458,-0.11818,-0.14581
1.4104,-1.22767,-0.29221,-0.26110
1.4843,-1.38614,-0.40273,-0.26480
1.5237,0.28834,-0.24659,-0.27310
1.5833,-0.14847,0.09389,-0.20326
1.6385,-0.78597,-0.63645,0.16146
1.6951,-1.50149,-0.52018,0.33617
1.7649,-0.37348,0.27880,0.15648
1.8093,0.73341,0.84889,0.63419
1.8674,-0.89684,0.11872,-0.29062
1.9226,-1.26947,-1.07029,-0.94416
1.9793,-0.17603,-0.59536,-1.19471
2.0410,-0.50785,0.07287,-0.74720
2.0929,-0.87617,0.64536,-0.61939
2.1491,-1.02615,0.59264,-0.33128
2.2062,-0.94796,0.50916,-0.30535
2.2626,-0.34732,0.30593,-0.29366
2.3185,-0.46761,0.06007,-0.25332
2.3747,-0.03716,0.01072,-0.48662
2.4320,0.43135,0.92293,-0.14549
2.4906,-0.59340,-0.24192,0.08314
2.5460,-0.01578,0.03950,0.45565
2.6036,0.59059,0.20160,0.67842
2.6621,1.01923,0.17955,0.76147
2.7168,1.04603,0.04883,0.65035
2.7722,0.79923,-0.09720,0.43875
2.8300,0.61466,-0.07614,0.29165
2.8861,0.64312,-0.35006,0.09853
2.9430,0.31979,-0.61470,0.08497
3.0012,0.18808,-0.04547,0.04104
