time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:25:55:695, 
0.0285,-9.17814,-21.07857,-33.48120
0.1299,-9.43795,-21.36276,-33.56747
0.1783,-9.35347,-20.18045,-33.89893
0.2278,-9.96155,-20.77742,-34.13068
0.3275,-9.93147,-19.99937,-33.90564
0.3781,-10.39238,-20.79079,-32.90094
0.4278,-9.75878,-21.59950,-33.97961
0.5293,-8.12538,-22.64517,-32.72586
0.5789,-6.12712,-23.78603,-32.34711
0.6277,-4.46414,-25.24193,-32.45883
0.7312,-3.62680,-24.28015,-31.90598
0.7786,-1.29929,-26.33792,-31.79617
0.8302,1.31982,-25.84178,-31.98080
0.9286,2.87299,-25.12428,-31.53485
0.9787,6.14668,-26.10922,-32.89600
1.0271,9.18874,-25.35551,-31.43692
1.1273,12.45834,-25.23763,-30.30496
1.1783,14.11034,-26.77034,-29.17966
1.2324,14.59812,-27.44705,-27.63733
1.3316,17.57682,-28.40318,-27.32312
1.3791,16.52067,-29.13861,-25.71002
1.4282,18.04153,-28.48836,-25.66791
1.5280,17.23074,-28.90622,-24.08374
1.5802,18.50662,-27.49298,-24.11130
1.6279,19.27120,-28.57205,-22.94110
1.7284,20.36103,-27.89186,-22.87347
1.7796,20.76972,-27.68741,-22.93701
1.8285,21.15414,-28.44897,-21.48828
1.9278,23.56469,-26.85167,-22.13657
1.9792,24.10948,-27.67241,-20.60037
2.0303,24.95819,-28.19661,-20.40762
2.1295,24.92826,-28.23978,-19.75299
2.1785,24.85910,-28.42081,-19.40585
2.2281,25.21835,-28.72870,-16.96924
2.3274,25.39749,-29.96899,-16.88467
2.3780,24.59499,-29.53116,-17.99738
2.4292,25.48157,-29.14357,-17.12891
2.5320,25.81114,-30.64427,-14.45050
2.5785,25.57890,-29.40750,-14.20120
2.6285,26.06098,-31.36560,-14.01505
2.7278,26.02962,-29.52205,-12.90326
2.7793,25.95518,-30.76543,-11.84015
2.8297,25.70541,-30.62169,-12.09778
2.9291,25.03296,-29.51666,-12.94678
