time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:25:55:695, 
0.0481,2.12436,-55.78544,33.28183
0.1045,1.06113,-55.37907,33.12630
0.1612,0.62999,-55.53613,32.45443
0.2173,1.16527,-55.60230,33.73246
0.2752,1.07329,-55.32846,34.11420
0.3310,1.08912,-54.80320,34.57700
0.3898,1.46168,-54.49327,35.32404
0.4455,2.31188,-54.83823,36.12919
0.5034,3.51228,-55.77789,36.72137
0.5628,6.52475,-58.06811,36.35603
0.6149,10.08816,-59.13814,36.70705
0.6754,11.92014,-59.82251,36.34035
0.7312,12.62027,-61.75479,33.38829
0.7863,14.34659,-63.12667,31.03751
0.8437,15.23539,-63.91076,27.01131
0.8998,17.03817,-64.17377,23.72737
0.9630,19.05028,-63.76956,20.38838
1.0118,22.95061,-64.17184,20.48789
1.0742,28.74377,-62.92213,21.87288
1.1272,34.22400,-63.31337,23.16371
1.1846,38.81656,-64.26373,24.68871
1.2420,41.22079,-65.82362,24.16776
1.2987,44.48174,-66.96495,25.60175
1.3539,46.85127,-67.45315,26.38116
1.4121,48.07922,-68.04788,25.83430
1.4842,48.75930,-69.32719,24.18676
1.5244,48.50887,-69.24815,21.75852
1.5834,48.67288,-68.90226,19.71827
1.6396,49.47857,-68.74576,17.97801
1.6945,49.34451,-68.84696,14.43901
1.7648,47.89383,-68.86485,9.49070
1.8093,45.81572,-68.25130,5.14191
1.8675,45.86903,-68.49127,2.80637
1.9226,45.81413,-68.63150,0.29358
1.9782,45.92988,-68.23286,-1.64085
2.0347,47.09884,-67.62868,-1.91434
2.0919,49.27825,-67.88642,-1.63385
2.1491,51.11764,-68.45387,-1.16421
2.2062,50.87945,-69.17485,-2.87263
2.2620,50.83754,-70.12107,-4.05443
2.3206,51.30857,-71.04639,-4.54418
2.3747,51.55792,-71.81413,-4.97794
2.4326,53.25711,-72.18271,-3.23540
2.4894,58.17606,-72.64356,1.79844
2.5450,62.26699,-73.66932,5.34258
2.6029,64.21766,-73.88956,6.05869
2.6621,66.41283,-73.62655,7.14783
2.7169,69.91840,-73.60461,10.28529
2.7731,72.71108,-74.01498,13.38263
2.8300,73.35459,-74.15722,14.64147
2.8878,73.38796,-74.08074,15.91843
2.9445,73.51375,-73.97928,17.55815
3.0012,73.23195,-74.31246,18.87085
3.0613,72.43117,-74.22802,19.59197
3.1141,72.15041,-74.11112,20.99170
3.1707,71.98618,-74.10818,22.70176
3.2271,70.26430,-74.08246,23.22556
3.2847,67.43836,-74.22613,23.27732
3.3439,65.23291,-75.33292,24.15077
3.3988,63.22772,-76.56231,24.71658
3.4557,62.86750,-76.85517,25.87278
3.5113,66.27670,-76.81482,29.69057
3.5689,70.91123,-76.64417,34.55288
3.6295,73.44093,-76.42662,36.98883
3.6805,73.53926,-76.23401,37.29888
3.7413,73.39164,-76.61666,37.62127
3.7953,73.63599,-76.82384,38.58480
3.8527,74.71207,-76.97620,39.98174
3.9094,75.69441,-76.96255,41.31303
3.9652,75.64452,-76.94035,41.28322
4.0279,75.39194,-76.93472,41.28859
4.0785,75.10956,-77.22516,41.49607
4.1355,74.61891,-77.52168,41.72186
4.1934,74.25465,-77.70115,42.07790
4.2508,74.14698,-77.54606,42.77581
4.3072,73.44182,-77.20718,42.57843
4.3623,72.21331,-77.23122,41.71010
4.4266,72.01611,-77.14823,41.35558
4.4759,72.48821,-76.78997,41.39259
4.5338,73.10352,-77.34074,40.87938
4.5904,72.70326,-77.71717,40.02591
4.6467,70.09818,-78.11293,35.93402
4.7045,67.50729,-77.90946,32.20520
4.7601,64.49722,-76.87135,27.71764
4.8243,60.90860,-76.36560,22.75018
4.8736,55.16003,-77.07137,16.28557
4.9309,48.09363,-77.05172,8.65010
4.9859,45.90169,-76.09367,6.72185
5.0452,46.53185,-76.37840,7.43191
5.1010,49.75422,-78.18655,10.58665
5.1584,59.49942,-80.89761,20.10256
5.2184,77.34422,-81.42242,38.10595
5.2722,78.56616,-80.04367,39.66075
5.3309,73.18883,-79.53360,34.43361
5.3858,73.73838,-79.74422,35.03164
5.4410,73.01438,-78.88483,34.21505
5.4988,68.39063,-78.02918,29.38592
5.5566,66.20064,-78.43299,26.80959
5.6104,67.60091,-78.52685,27.94389
5.6698,70.52293,-78.28963,30.19850
5.7262,77.06287,-77.95742,35.70062
5.7849,81.84479,-77.48105,39.34664
5.8391,83.29597,-77.12135,39.30931
5.8979,86.49510,-77.11927,41.48175
5.9520,87.67332,-76.88714,41.98957
6.0128,83.91917,-76.37071,38.02750
6.0664,79.89262,-75.37621,34.68602
6.1222,80.63639,-75.51349,37.05569
6.1803,81.50987,-75.39808,40.10048
6.2377,78.71510,-74.73208,38.93457
6.2926,73.27965,-73.74931,34.60252
6.3508,68.22351,-72.06231,29.83905
6.4087,70.13417,-71.81830,32.57392
6.4639,69.90040,-71.70342,33.04042
6.5215,62.39316,-70.03015,25.23972
6.5766,62.09130,-69.59969,25.85607
6.6341,60.87208,-69.02846,25.16308
6.6940,58.64401,-69.20197,23.48524
6.7459,56.06897,-69.70073,21.51808
6.8086,50.55457,-70.42843,15.94569
