time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:46:33:315, 
0.0235,0.75294,5.32687,8.05135
0.0425,0.79484,5.34123,8.23809
0.0425,0.78766,5.28258,8.41645
0.0767,0.77449,5.28497,8.42723
0.0898,0.71224,5.34961,8.35181
0.0993,0.73978,5.40707,8.17944
0.1513,0.79723,5.43460,8.19859
0.1553,0.79364,5.40348,8.27041
0.1566,0.72900,5.35440,8.27281
0.1808,0.66197,5.33525,8.22133
0.2007,0.64880,5.35320,8.18183
0.2133,0.67992,5.34722,8.10762
0.2478,0.72421,5.34842,8.15191
0.2708,0.73978,5.30413,8.34583
0.2708,0.73379,5.28617,8.35301
0.3004,0.63922,5.27420,8.10881
0.3134,0.62725,5.30652,7.96995
0.3262,0.62366,5.33525,7.92207
0.3506,0.63803,5.34004,7.99868
0.3803,0.66556,5.36637,8.05854
0.3838,0.73379,5.36877,8.12796
0.4221,0.76252,5.32807,8.24168
0.4402,0.79484,5.28258,8.30992
0.4402,0.84033,5.36996,8.24168
0.4868,0.84033,5.43580,8.03100
0.4869,0.78886,5.39630,7.99629
0.4966,0.76611,5.33166,8.09564
0.5539,0.82118,5.28258,8.09445
0.5568,0.89060,5.28378,7.95679
0.5569,0.84272,5.20357,7.92327
0.5817,0.89539,5.12457,8.19021
0.6020,0.52670,4.75707,8.60678
0.6107,-0.28969,4.12503,8.96949
0.6480,-0.89779,3.90118,8.56728
0.6486,-1.94161,3.34336,7.67189
0.6678,-2.14990,3.51095,8.06213
0.7069,-1.89613,3.27273,8.11001
0.7165,-1.46639,3.62227,8.02741
0.7244,-0.86427,4.12982,8.09684
0.7506,-0.29088,4.60265,8.29675
0.7817,0.30884,5.05155,8.60559
0.7818,0.44411,5.24547,8.85218
0.8004,0.16639,5.18083,9.09757
0.8287,-0.64760,4.66251,11.30853
0.8379,-1.87697,4.28663,10.56875
0.8945,-2.18342,4.89952,9.55245
0.8945,-1.49990,5.49565,8.40688
0.8945,-0.89300,6.17318,7.76885
0.9138,-0.68232,6.51554,7.48036
0.9514,-0.73259,5.86434,7.76885
0.9514,-1.57651,4.97733,9.57041
1.0049,-2.76399,4.15017,10.79619
1.0049,-3.98498,3.43553,9.32382
1.0076,-4.40993,3.68931,6.24860
1.0472,-3.62107,4.38599,4.99648
1.0472,-3.19253,4.37522,6.17677
1.0649,-3.14106,4.42908,7.88736
1.0929,-2.68019,4.81932,9.12750
1.1218,-2.47670,5.06472,8.50025
1.1222,-2.98305,5.11619,6.99316
1.1519,-3.04170,4.74869,7.24813
1.1779,-2.39889,5.26702,8.19979
1.1780,-1.62918,5.57825,8.44997
1.2002,-2.31270,4.58590,8.91802
1.2262,-2.59161,4.64216,9.28192
1.2353,-2.65266,5.03240,9.41958
1.2928,-3.32062,4.81573,9.94987
1.2928,-4.23755,4.45542,9.35374
1.2928,-2.80708,4.12503,8.46434
1.3137,-2.08047,4.63857,7.73294
1.3482,-2.13793,4.75109,6.83994
1.3484,-2.48867,4.38240,5.90265
1.3905,-3.05248,3.56122,5.31131
1.4007,-3.28710,2.81666,5.65007
1.4053,-3.13268,2.70174,6.35154
1.4472,-2.74244,2.93636,6.97281
1.4472,-1.45202,3.14345,8.09445
1.4626,-0.41777,3.84612,9.66498
1.4931,-1.01270,4.73313,10.07915
1.5004,-2.12237,4.88755,9.08800
