time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:46:33:315, 
0.0434,-0.00816,-0.03616,-0.12222
0.1009,-0.03177,-0.00159,0.02278
0.1562,-0.03808,0.03219,0.08861
0.2133,0.02010,0.08201,0.00651
0.2707,-0.04348,0.03569,-0.07185
0.3262,0.03490,0.00067,0.03733
0.3838,-0.02473,0.00343,-0.22771
0.4405,0.04523,0.07707,-0.16685
0.4974,0.18663,0.06318,0.01441
0.5569,0.18633,0.13315,-0.20180
0.6120,0.28363,0.04959,-0.25858
0.6684,0.16428,-0.36014,0.21260
0.7252,-1.09327,-1.16771,-0.40248
0.7818,0.04288,-0.68273,-0.51629
0.8391,2.12247,0.87438,-0.03535
0.8947,1.42952,0.70155,1.69740
0.9523,0.57757,1.32954,-0.00020
1.0092,1.30363,1.75476,-0.33235
1.0654,-1.02263,-0.42176,0.36408
1.1222,-0.53688,0.30945,-2.06060
1.1792,0.04289,1.06910,-0.29269
1.2367,0.25101,1.55590,-0.70530
1.2929,0.14881,1.15271,0.52017
1.3488,-0.79623,0.18195,0.86189
1.4064,0.78305,-0.39701,-1.01515
1.4642,0.50275,-2.18929,-1.57845
1.5252,2.76518,-1.80634,1.20786
1.5757,2.86565,-0.22486,2.25018
1.6330,0.74855,-0.89856,2.20247
1.6905,-0.11586,-1.41202,2.09843
1.7473,-1.26873,-0.16730,-0.52183
1.8029,-1.82152,0.58799,0.54285
1.8601,-0.36936,0.34136,0.91577
1.9170,1.10480,0.96060,-1.22400
1.9747,1.48149,0.02594,1.49746
2.0361,0.87584,-1.08789,0.94394
2.0873,-0.01269,-1.01020,-0.72377
2.1456,-1.35107,-0.99336,0.11609
2.2040,-0.28996,-0.48094,0.66531
2.2577,-0.99841,-0.36909,-0.23313
2.3225,-0.21838,0.15724,-0.52847
2.3707,-0.45348,-0.22707,0.39108
2.4318,-0.73067,-0.16394,1.68994
2.4865,-0.24042,-0.16226,-0.39873
2.5421,3.10061,1.85055,-1.38756
2.5986,0.06428,-0.21238,-0.57513
2.6545,-0.50985,-1.13970,1.99193
2.7216,0.63449,-0.85732,-0.09194
2.7691,0.71825,0.30217,-0.66058
2.8275,-0.41620,-0.11831,0.65577
2.8824,-0.45908,-0.24465,0.18720
2.9388,-0.60073,-0.02665,-0.21749
2.9960,0.22091,-0.17643,0.18046
3.0521,-0.13873,-0.04280,-0.28190
3.1251,0.02979,-0.16386,0.46897
3.1664,0.12521,0.09238,0.25541
3.2272,0.84536,0.51181,0.51678
3.2802,1.28988,1.44338,1.50928
3.3371,-1.01840,0.91124,-0.19423
3.3939,-0.53012,-0.85970,-0.71656
3.4496,4.52856,0.57714,-0.09126
3.5062,0.94741,0.79155,1.21182
3.5640,-0.36444,0.01472,3.25151
3.6229,0.21857,0.74650,-3.46234
3.6773,-0.82679,0.54219,0.01385
3.7349,1.24155,-0.41888,2.07997
3.7907,1.26243,-0.57507,-1.27540
3.8473,-1.60487,-0.28262,0.70701
3.9038,-0.34989,-0.04103,1.18030
3.9615,0.22005,0.09945,-0.21747
4.0187,0.60565,-0.49395,0.47585
4.0738,0.15076,-0.82713,0.23266
4.1319,1.06569,-0.99474,-2.14133
4.1877,-1.17911,-0.92190,-0.77666
4.2450,-0.41319,0.34132,1.29131
4.3007,0.02086,0.07491,1.57043
4.3591,-0.30900,-0.15635,-1.03380
4.4155,0.01326,-0.05478,-0.82419
4.4719,0.13353,-0.13739,1.27857
4.5284,-0.14290,0.32093,-1.93249
4.5850,0.32312,0.44903,-0.13200
4.6420,-0.19165,-0.55223,-0.36828
4.7004,-0.45239,-1.65567,0.69730
4.7552,-0.34117,-0.87527,0.30757
4.8138,0.17226,1.49455,-0.52686
4.8695,0.91411,0.84702,1.36137
4.9257,-0.11563,-0.47127,-0.10394
4.9849,-0.51176,-0.86376,-0.89171
5.0403,-0.42600,-0.48626,0.09944
5.1017,-0.29680,-0.38435,0.73658
5.1534,-0.28166,-0.50352,-0.42694
5.2136,-0.18748,-0.79785,-0.87646
5.2674,0.32619,-0.61704,-0.76870
5.3248,-0.38563,-1.12385,0.70150
5.3824,0.65653,-0.88995,-0.08570
5.4368,-0.45623,-0.45666,0.29507
5.4966,-0.46089,-1.05505,0.43887
5.5507,-1.48564,-1.49825,0.13870
5.6086,-0.21555,-1.18846,-0.89068
5.6637,0.64093,-0.20814,-0.81815
5.7219,1.24707,1.19362,-0.64723
5.7875,0.52174,1.81424,0.49227
5.8331,-0.90214,1.77318,-1.45807
5.8906,-1.03317,1.20858,-1.05667
5.9471,0.05626,-0.11701,-0.18643
6.0061,-0.36932,-1.44483,1.11311
6.0619,0.23110,-0.84661,-1.93402
6.1190,0.67042,0.02619,0.58139
6.1848,0.49612,0.42846,1.08741
6.2325,0.61650,0.22397,1.50614
6.2928,-0.10844,0.22563,0.03842
6.3468,-0.34334,-0.20322,0.67179
6.4021,-0.14108,0.18491,-0.20610
6.4587,0.34737,0.00751,0.11155
6.5148,-0.50145,0.17101,-0.53630
6.5752,-0.01882,0.22810,0.38241
6.6296,0.11868,0.27990,0.70299
6.6892,0.01151,0.13960,0.32335
6.7430,-0.40282,0.19532,-0.41229
6.7985,0.00534,0.19837,-0.14138
6.8572,0.02951,0.10411,-0.20846
6.9134,0.00856,-0.06202,0.62321
6.9844,0.09973,-0.10110,0.29325
7.0273,0.02454,-0.01250,-0.02241
7.0848,-0.36387,-0.00779,0.02774
7.1409,0.96461,-0.34339,-1.72121
7.1957,-0.18858,-0.14112,0.96060
7.2538,-0.78217,0.63199,0.82439
7.3107,-0.06813,0.45916,-1.34064
7.3666,-0.92733,0.38587,0.95903
7.4248,-0.22309,0.47477,0.27830
7.4829,0.80191,0.32547,0.57668
7.5376,-0.88582,0.61257,0.95252
7.5949,-1.17231,0.62926,0.05983
7.6516,-0.34527,0.67193,0.11310
7.7071,0.66633,0.45112,0.05539
7.7650,0.18227,-0.31995,0.23022
7.8213,0.72279,-0.72921,0.24260
7.8825,1.01893,-1.04700,0.29173
7.9353,0.70606,-0.67744,0.21113
7.9906,0.13000,-0.29617,-0.19716
8.0494,0.59428,0.02431,0.16773
8.1048,-0.18645,-0.05277,0.37200
8.1640,-0.45408,0.17062,-0.41056
8.2183,0.26292,0.04923,0.12031
8.2760,0.74098,-0.25485,-0.48760
8.3334,0.62255,0.09299,-0.53669
8.3880,-1.16930,0.25666,0.31030
8.4473,-1.23515,0.54730,-0.40766
8.5017,0.37229,0.12073,0.60074
8.5620,1.20696,0.10967,0.17978
8.6163,0.08104,0.21749,-0.06300
8.6742,-0.65652,-0.00518,-0.46508
8.7292,-0.02838,0.05566,-0.11293
8.7855,0.63234,0.02148,0.40218
8.8431,-0.52738,0.20541,-0.35684
8.9012,-0.58811,0.10156,-0.21775
8.9564,0.83332,0.26215,0.14049
9.0143,0.03968,0.26543,0.31449
9.0704,-0.46749,0.18071,-0.23522
9.1273,0.15798,-0.11955,0.37215
9.1849,0.34634,0.19263,-0.18603
9.2492,-0.01136,0.23425,0.04439
9.2963,-0.02711,0.25156,-0.17149
9.3547,0.43905,0.13213,0.57066
9.4129,-0.32658,-0.00892,-0.00459
9.4673,-0.48485,-0.23827,-0.41688
9.5249,0.08594,0.00334,0.28522
9.5816,-0.44782,0.09753,0.16064
9.6581,-0.05714,-0.00538,0.56003
9.6946,-1.48005,0.11477,-0.28858
9.7516,-0.00992,-0.30386,0.27189
9.8087,0.22093,-0.35420,0.02705
9.8650,-0.70303,-0.20275,-0.33888
9.9214,-0.16800,0.14225,-0.59678
9.9777,-0.15264,0.00544,-0.53320
10.0470,-0.09953,0.10266,-0.02527
10.0924,-0.18619,0.06677,0.20329
10.1499,0.14623,0.02408,0.21729
10.2064,0.19374,-0.00065,-0.19411
10.2636,-0.17592,0.49462,-0.47120
10.3198,-0.13897,-0.72177,0.27645
10.3759,-0.38806,0.34020,-0.12762
10.4446,0.06723,-0.23161,0.44270
10.4906,0.04606,0.35340,0.32325
10.5465,0.48510,0.56138,0.13831
10.6024,0.05995,-0.15158,0.45370
10.6597,-0.22838,-0.75763,0.41243
10.7170,-0.44246,0.04360,0.40044
10.7735,0.00744,-0.56600,0.95436
10.8303,0.69218,-0.08039,-0.62040
10.8873,-0.14536,-0.86176,-0.13723
10.9443,-0.72717,-0.45004,-0.55439
11.0005,-0.03876,0.38641,-1.45610
11.0572,0.42857,0.93457,-1.57643
11.1159,0.34518,0.97439,-0.86983
11.1714,-0.14012,0.22613,-0.07405
11.2301,-0.42708,-0.55219,-0.07326
11.2861,0.72214,0.98715,-0.17377
11.3422,0.66906,0.57380,-1.04247
11.3965,0.75774,0.94189,-0.96843
11.4547,0.09878,0.45859,1.56104
11.5151,0.26758,0.64046,2.00096
11.5684,0.22036,0.42547,2.27099
11.6305,0.74855,-0.14793,0.43712
11.6819,-0.22521,-0.61114,0.21710
11.7381,-0.77984,-1.13490,0.21841
11.7944,-1.04014,-0.51548,0.07715
11.8519,-1.21008,-0.56970,0.25120
11.9121,-0.40294,-0.05880,0.08545
11.9662,-0.46398,0.04971,0.02560
12.0264,-0.36184,0.74610,-0.67722
12.0807,-0.27543,0.40647,0.17952
12.1350,0.02326,0.28709,-0.08856
12.1915,-0.18130,-0.53287,0.17554
12.2498,-0.91100,1.85090,-2.28716
12.3058,-0.18561,-0.44683,1.74369
12.3628,0.08835,-0.28770,-0.82437
12.4201,0.20414,-0.47861,0.13972
12.4766,-0.44008,-0.81113,1.13941
12.5329,-0.24599,0.13320,0.48409
12.5888,0.17067,0.21714,-1.32952
12.6464,-0.05179,0.66645,1.25073
12.7041,-0.43890,0.28043,-0.68256
12.7613,-0.43502,-0.40866,-0.00405
12.8197,-0.90557,-0.08747,0.25209
12.8738,0.04411,0.12815,0.04458
12.9308,0.01836,0.02925,-0.38591
12.9865,-0.22109,0.24710,0.41252
13.0436,-0.30274,-0.02982,0.22052
13.1074,-0.16358,-0.78231,0.94227
13.1589,0.19287,0.14891,0.28042
13.2145,1.16857,1.12369,0.33727
13.2720,0.78001,0.90917,0.81364
13.3304,-1.50281,-0.99393,-0.22837
13.3868,-1.54652,-0.36836,-0.83930
13.4412,-0.70252,1.14781,0.08859
13.5092,0.59121,-0.77604,-0.15307
13.5558,-0.18990,0.43423,0.63842
13.6117,0.55105,-0.07716,0.38530
13.6693,0.63958,0.13930,-0.11220
13.7271,-0.35862,-0.52286,-0.00672
13.7832,0.14548,-0.91793,0.22922
13.8402,0.01585,1.75616,-0.59378
13.8989,-0.48350,-0.32244,-0.48889
13.9522,-0.66451,0.60421,0.49758
14.0099,1.53160,-1.10659,0.45072
14.0664,0.60574,0.53753,-0.72123
14.1255,1.07588,-1.82352,0.88717
14.1810,-2.21991,1.12565,-1.37255
14.2376,0.94454,1.50430,-0.74880
14.2960,-0.07052,-2.33585,2.40601
14.3533,-0.23285,1.91079,-0.19994
14.4076,0.15293,-0.38018,-0.62509
14.4641,-0.27637,0.15223,0.24108
14.5213,-0.18518,-0.03157,-0.03677
14.5770,-0.09176,-0.06080,0.19635
14.6331,-0.05118,-0.20009,0.37945
14.6928,0.13771,0.38824,-0.18867
14.7465,0.07648,-0.33591,0.28346
14.8044,-0.01263,-0.20488,0.20476
14.8638,0.08051,-0.15162,0.23639
14.9191,0.05228,-0.29828,-0.32445
14.9753,0.13599,1.15867,-0.01082
15.0324,-0.22839,0.21869,-0.54410
15.0884,0.09985,-0.17205,0.95458
15.1449,0.51290,0.98254,0.76342
15.2015,0.52183,0.15231,0.13645
15.2589,-0.11408,-0.36830,-0.08921
15.3153,-0.02270,0.00841,-0.05193
15.3734,0.24262,1.28953,0.05449
15.4307,2.30073,-3.11750,0.81028
15.4846,-0.44253,-0.54572,0.60665
15.5425,-0.14566,2.70356,0.42298
15.5974,-0.21193,1.38592,-2.64197
15.6570,-1.74839,-0.50212,1.09210
15.7108,0.48154,-1.36228,0.98672
15.7695,-0.38067,-0.29543,-0.11628
15.8262,0.61713,0.39118,-0.46111
15.8836,0.12634,-0.35626,-0.95024
15.9401,-0.66611,0.39847,-0.10412
15.9967,-0.76437,-0.39530,0.05176
16.0543,0.10673,-0.12903,0.57469
16.1102,-0.17672,0.21927,-0.03951
16.1704,-0.93344,-0.11126,-0.25016
16.2251,-1.13957,-0.95425,0.12272
16.2842,-0.70658,-1.24239,-0.59768
16.3384,-0.91107,-0.80317,-0.93248
16.3935,-1.55360,-0.66076,0.87748
16.4506,-0.27743,-0.43491,-0.73253
16.5068,-0.66126,-0.20077,-0.17734
16.5760,0.83606,0.50487,-0.57063
16.6210,-0.41188,2.69907,0.30066
16.6827,-0.13114,3.52770,0.40915
16.7350,-0.59248,1.15800,1.98626
16.7916,-0.00103,-0.46560,1.56804
16.8595,0.09442,0.13552,-0.29535
16.9047,-0.42323,1.35878,-1.11979
16.9653,-0.66424,0.29146,1.14388
17.0180,-0.47446,-0.80087,1.21122
17.0749,0.11911,-1.85454,0.97819
17.1329,0.33866,-1.76489,0.12387
17.1888,0.75869,-1.24760,0.08923
17.2558,1.17780,-1.01282,0.76442
17.3029,1.55765,-1.34473,1.18233
17.3610,0.83678,-0.93075,0.38285
17.4164,0.07463,-0.66667,-0.59097
17.4732,0.70446,-0.21352,-1.51446
17.5303,-0.08111,0.04249,-0.28571
17.5849,-0.15935,0.76717,-0.91460
17.6424,1.13714,0.41403,-0.56354
17.6991,0.65012,0.59557,-1.73599
17.7561,-0.04503,0.65107,-0.49109
17.8133,0.24438,-0.25613,-0.52641
17.8701,0.30535,-0.06421,-0.47442
17.9267,0.41168,0.36952,-1.10691
17.9832,-0.73098,-0.11195,0.19295
18.0581,-0.63193,0.25045,-0.69264
18.0967,-0.03148,-0.25498,-0.44238
18.1544,0.44278,0.54194,-0.03643
18.2103,-0.75035,1.15152,-0.03528
18.2680,0.34065,1.54544,-1.00488
18.3243,-0.07645,-0.60152,0.08415
18.3808,-0.11985,-0.37386,-0.74269
18.4380,-0.94321,-0.50786,0.05221
18.4957,-0.29315,-0.17577,-0.20869
18.5519,-0.35546,-0.16357,0.25661
18.6088,-0.49926,0.38402,-0.53108
18.6654,-1.03726,0.20380,-0.01595
18.7208,-0.51866,-0.26494,-0.08120
18.7786,-0.76677,-0.53012,2.45842
18.8359,0.64661,0.01583,1.00477
18.8933,1.35113,-0.80996,-0.93886
18.9490,0.22240,0.77445,0.44435
19.0058,0.35140,0.59990,0.04220
19.0632,-0.70761,-0.97370,0.27547
19.1215,-0.21962,0.93955,-0.64532
19.1745,-0.02235,0.55488,0.36791
19.2323,0.88744,1.46703,-1.55261
19.2897,-0.80554,1.02419,-2.92814
19.3451,-1.17580,0.93501,-2.25751
19.4021,-0.32656,0.84628,-0.46791
19.4609,-0.38089,0.42948,-0.65411
19.5218,1.18944,0.00933,-0.97176
19.5737,-0.06955,-0.05107,-1.77465
19.6301,0.07156,0.39604,-1.14446
19.6862,0.96295,-2.62914,2.07397
19.7433,-1.47223,-2.46657,2.99373
19.7997,1.72198,0.27830,0.70905
19.8577,-1.70583,0.81280,-0.98227
19.9232,0.12371,3.26425,-0.39768
19.9700,-0.40622,1.94871,-2.42253
20.0306,-1.02258,0.37921,-3.91720
20.0851,-0.13400,0.09453,-4.30084
20.1407,1.52690,-0.89042,-2.97728
20.1972,1.16398,-2.33945,-2.60524
20.2554,2.43958,-3.52749,-1.00996
20.3172,2.57206,-3.36986,-0.18652
20.3675,4.10332,-0.93167,1.92563
20.4282,3.43820,0.10450,2.96074
20.4817,4.08676,3.83195,5.18917
20.5393,2.84836,4.02234,4.95064
20.5949,1.97576,2.91313,3.03297
20.6522,0.31680,-0.11866,-0.25080
20.7227,0.79668,-0.38064,-1.66023
20.7648,-0.04510,-2.28777,-2.40942
20.8239,-0.77414,-2.59342,-1.76167
20.8797,0.42522,0.53495,-0.83078
20.9364,0.98154,1.41201,-0.76073
20.9924,1.08365,0.04233,-0.13199
21.0503,3.21481,0.49926,0.73055
21.1223,2.54125,0.35864,1.75008
21.1628,2.18718,0.30821,2.65087
21.2235,-2.73213,0.47077,1.65196
21.2762,-1.38177,-1.95361,0.65791
21.3336,0.81433,-0.73612,0.42342
21.3890,1.03183,0.91895,1.40283
