time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:46:33:315, 
0.0995,-15.70750,-5.27856,-39.00281
0.1554,-15.45782,-6.77760,-39.94647
0.2007,-14.17522,-6.50600,-39.96133
0.3004,-14.05674,-5.72597,-40.96954
0.3506,-13.47910,-6.55838,-39.98080
0.4006,-14.67712,-5.83727,-38.69910
0.5009,-13.30969,-6.78038,-41.14496
0.5568,-14.33533,-6.83522,-40.40283
0.6012,-13.95681,-7.34953,-40.01511
0.7069,-11.23306,-5.65955,-40.58990
0.7507,-5.42544,-2.45551,-42.70029
0.8004,-1.04353,-0.11404,-43.67639
0.9000,1.43228,-0.11560,-44.10471
0.9514,1.17382,-0.51971,-43.78708
1.0049,1.97593,-0.82642,-43.70905
1.1000,2.98229,-2.65430,-44.61014
1.1519,2.32149,-1.46550,-43.29559
1.2002,-0.77341,-1.94458,-44.32773
1.3007,-1.51976,-2.38220,-44.83395
1.3505,-1.87281,-7.54085,-43.11807
1.4011,-1.89370,-12.89734,-42.21503
1.5007,1.01405,-15.66115,-40.61801
1.5510,4.12191,-17.45117,-40.33548
1.6010,6.04622,-16.95789,-39.31317
1.7000,5.40615,-19.39264,-39.52240
1.7502,5.49640,-20.48354,-39.59113
1.8009,3.50690,-21.77859,-38.49667
1.9023,1.46898,-22.70598,-37.64572
1.9507,0.69813,-22.85826,-39.47513
2.0023,-0.20646,-22.78667,-39.36917
2.1004,1.86056,-24.93442,-37.12277
2.1503,2.18812,-23.36734,-37.80115
2.2009,2.42999,-24.92618,-37.36972
2.3002,1.93291,-26.70734,-36.47754
2.3516,4.18357,-26.27509,-36.57574
2.4005,5.27412,-27.73820,-35.39282
2.4999,8.18514,-27.72067,-34.20941
2.5505,6.92516,-28.34679,-34.13498
2.6001,8.48166,-27.43683,-34.97610
2.7009,10.34187,-28.15155,-33.66406
2.7513,10.72093,-28.72627,-32.62265
2.8007,11.92552,-28.07718,-32.42749
2.8999,10.73878,-27.57913,-32.98889
2.9501,9.78070,-28.79243,-33.37277
3.0003,9.17743,-28.00368,-33.22162
3.1007,10.03378,-28.52284,-33.01428
3.1509,9.73289,-29.16248,-31.93555
3.2005,10.79313,-30.05809,-32.04785
3.3004,16.20471,-30.52995,-29.32703
3.3506,21.44202,-29.37325,-27.46335
3.4015,23.35476,-30.20680,-26.33160
3.5014,27.04865,-28.92348,-23.64594
3.5509,31.13603,-25.62973,-21.36432
3.6000,33.97523,-24.71318,-18.93478
3.7003,35.79900,-21.75414,-19.06012
3.7509,36.86669,-20.41618,-18.65231
3.8001,39.92552,-18.63945,-15.14731
3.9001,39.74841,-18.14151,-15.67502
