time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:18:58:968, 
0.0138,-0.74694,7.61091,6.13893
0.0683,-0.76928,7.64059,6.09918
0.1257,-0.70898,7.66187,6.07976
0.1817,-0.61039,7.64730,6.10874
0.2386,-0.60271,7.72690,6.00851
0.2954,-0.53675,7.74889,5.98641
0.3513,-0.47863,7.75880,5.97849
0.4082,-0.41052,7.76431,5.97640
0.4664,-0.28164,7.73439,6.02249
0.5227,-0.32813,7.80123,5.93326
0.5795,-0.50609,7.93310,5.74284
0.6353,-0.85844,8.06288,5.51575
0.6923,-1.31672,8.16133,5.27535
0.7569,-1.71562,8.40985,4.74356
0.8060,-2.27400,8.54891,4.23267
0.8663,-2.65709,8.79923,3.41816
0.9201,-2.63711,8.79258,3.45058
0.9767,-2.53122,8.82937,3.43592
1.0334,-2.50522,8.83974,3.42831
1.0900,-2.71192,8.86810,3.18946
1.1505,-2.92580,8.96980,2.67449
1.2034,-3.08580,8.98598,2.42909
1.2618,-3.29420,8.97542,2.18183
1.3171,-3.34788,8.98594,2.05303
1.3739,-3.36041,9.01321,1.90791
1.4311,-3.43247,9.00479,1.81721
1.4876,-3.50084,8.97469,1.83558
1.5669,-3.44338,9.03847,1.61853
1.6017,-3.23955,9.13309,1.50414
1.6592,-3.09194,9.18481,1.49982
1.7161,-2.95653,9.23625,1.45636
1.7708,-2.90498,9.22616,1.61537
1.8281,-3.19396,9.11742,1.68574
1.8840,-3.47610,9.00446,1.73400
1.9413,-3.53408,8.96008,1.84326
1.9998,-3.92106,8.77140,1.96425
2.0560,-4.30116,8.69340,1.44747
2.1200,-4.26555,8.77044,1.02703
2.1687,-3.93342,8.94537,0.82394
2.2295,-3.85192,8.95125,1.09918
2.2819,-3.67527,9.02268,1.11982
2.3402,-3.46386,9.13083,0.89443
2.3949,-3.72344,8.98559,1.25121
2.4600,-3.82307,8.87282,1.68156
2.5088,-3.45446,8.97764,1.90761
2.5665,-3.11903,9.08290,1.98570
2.6230,-2.99245,9.17846,1.72381
2.6805,-2.87009,9.31303,1.09566
2.7360,-2.77756,9.38943,0.54238
2.7966,-2.28849,9.53340,0.21801
2.8504,-0.80777,9.76367,-0.43434
2.9059,0.04139,9.78334,-0.67444
2.9638,0.19822,9.79960,-0.31466
3.0209,0.08640,9.80441,-0.19104
3.0765,0.06975,9.80639,0.01562
3.1350,-0.13998,9.79951,0.34694
3.1911,-0.36169,9.77566,0.68996
3.2472,-0.71089,9.74127,0.87904
3.3038,-1.03197,9.69807,1.02611
3.3614,-1.46274,9.50616,1.91405
3.4183,-1.47018,9.30839,2.71347
3.4748,-1.23772,9.19726,3.17000
3.5368,-0.27958,9.57272,2.11073
3.5892,0.31420,9.73086,1.17562
3.6437,0.24564,9.77075,0.80149
3.7010,-0.08290,9.73569,1.17471
3.7587,-0.07102,9.72008,1.29823
3.8145,-0.27386,9.68752,1.49913
3.8710,-0.24026,9.63784,1.79575
3.9298,-0.03845,9.64310,1.78311
3.9841,0.33815,9.69006,1.46925
4.0410,0.51048,9.72386,1.16464
4.0983,0.36875,9.74603,1.02436
4.1560,0.17517,9.75174,1.02140
4.2122,-0.04075,9.73921,1.14742
4.2685,0.01222,9.75138,1.03967
4.3254,-0.11108,9.76725,0.87113
4.3949,-0.28701,9.75595,0.95363
4.4400,-0.34462,9.76726,0.80760
4.5014,-0.17128,9.78636,0.60676
4.5535,-0.04977,9.79671,0.43857
4.6113,0.01966,9.78842,0.59741
4.6657,-0.11638,9.75149,1.03215
4.7235,-0.13932,9.72404,1.26253
4.7803,-0.09040,9.66890,1.63544
4.8380,0.16089,9.61662,1.91445
4.9153,0.71998,9.57653,1.98549
4.9504,1.55350,9.44163,2.14770
5.0206,2.82269,9.10793,2.29094
5.0632,4.08060,8.61959,2.28510
5.1216,4.96116,8.06738,2.54452
5.1925,5.72361,7.49792,2.68176
5.2340,6.72867,6.70180,2.44567
5.3268,7.51043,5.84949,2.35526
5.3486,8.29330,4.72199,2.25706
5.4048,8.82179,3.86750,1.84090
5.4621,9.21693,3.06987,1.33962
5.5208,9.37241,2.71550,0.97695
5.5820,9.43215,2.64575,0.45266
5.6326,9.43234,2.57042,0.77092
5.7020,9.20843,3.24982,0.90215
5.7455,8.94370,3.91140,0.93892
5.8046,8.61023,4.58396,1.01077
5.8607,8.26279,5.20952,0.87036
5.9181,7.66580,6.08261,0.63847
5.9763,6.59176,7.20623,0.88845
6.0316,5.45139,8.05478,1.25431
6.1022,5.16076,8.30458,0.75551
6.1425,4.36614,8.74330,0.81357
6.1989,3.85354,8.99918,0.57915
6.2568,3.67419,9.07351,0.58493
6.3140,3.49772,9.14645,0.52797
6.3689,3.24403,9.23131,0.65544
6.4262,3.23563,9.22699,0.75087
6.4839,3.24978,9.21029,0.88309
6.5397,3.24189,9.18257,1.15799
6.5974,3.36015,9.08326,1.54081
6.6531,3.42758,9.02512,1.72316
6.7108,3.44076,9.01813,1.73347
6.7665,3.46175,8.96229,1.96571
6.8237,3.35235,9.08196,1.56531
6.8800,3.29650,8.72675,3.02446
6.9369,3.30304,8.44004,3.74514
6.9959,3.25600,8.62171,3.35185
7.0517,3.17508,8.59206,3.50225
7.1073,3.31966,8.54213,3.49032
7.1648,3.33177,8.58028,3.38357
7.2212,3.40699,8.58183,3.30380
7.2791,3.53784,8.57137,3.19150
7.3353,3.62742,8.54539,3.16046
7.3925,3.73912,8.52914,3.07297
7.4492,3.89296,8.49022,2.98854
7.5051,4.03176,8.49007,2.79891
