time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:18:58:968, 
0.0674,0.08783,-0.18511,-0.12238
0.1337,0.02021,-0.59099,-0.18029
0.1999,0.26884,-0.22431,-0.16737
0.2659,0.03510,-0.43549,-0.18294
0.3343,0.05889,-0.43226,-0.23736
0.3984,-0.02471,-0.66837,-0.29316
0.4674,0.10635,-0.76920,-0.60054
0.5310,0.45489,-0.59162,-0.90008
0.5978,0.50057,0.09168,-0.79172
0.6635,0.47222,0.89895,-0.41656
0.7299,0.75566,1.71526,0.09766
0.7950,0.83783,2.67517,0.13035
0.8627,0.07642,1.11131,0.27011
0.9285,-0.23934,0.67753,0.48863
0.9959,-0.17722,0.64626,0.29274
1.0622,0.13727,1.70034,0.17722
1.1271,0.32036,1.32713,0.10113
1.1929,0.13125,0.82093,-0.11723
1.2598,0.11942,0.41762,-0.09159
1.3258,0.18584,0.17996,0.03685
1.4021,0.06198,0.21105,-0.06620
1.4680,-0.10026,0.31095,0.04454
1.5353,0.06464,1.01802,0.57141
1.5999,-0.52303,1.40918,0.60293
1.6673,-0.55295,1.90906,0.61404
1.7326,-0.98238,2.27827,0.52681
1.7999,-0.78063,2.12884,-0.21579
1.8650,-0.75404,1.59879,-0.18639
1.9374,-1.13065,1.71198,0.01962
1.9990,0.01071,1.83495,-0.47126
2.0649,0.05643,1.61768,0.16852
2.1300,-0.12132,1.09834,0.72003
2.1969,-1.03405,1.13837,0.32244
2.2619,0.11904,0.57415,0.48267
2.3326,0.21646,-0.84080,-0.11184
2.3943,-0.01430,-2.13389,-0.81825
2.4628,0.36905,-2.05900,0.24874
2.5268,-0.09381,-0.03569,0.67477
2.5948,0.29255,1.28068,0.43684
2.6600,0.62398,2.30736,0.57672
2.7310,-0.45408,3.79866,0.53899
2.7935,0.00468,5.65667,2.39091
2.8681,0.27117,4.27883,1.40331
2.9340,-0.60043,1.87889,0.11928
3.0013,-0.26964,1.10941,-0.17553
3.0662,-0.49417,0.82874,-0.19360
3.1350,-0.69001,0.54667,-0.40876
3.1999,-0.40570,-0.17750,-0.62282
3.2658,-0.24313,-1.16900,-0.71342
3.3325,-1.41137,-2.69391,-1.25121
3.4003,-0.73698,-3.39091,-0.86240
3.4648,1.11074,-3.81344,0.24783
3.5349,2.13322,-3.68165,0.41782
3.5966,0.68631,-2.73892,-0.30196
3.6652,-0.69093,-2.64805,-0.78359
3.7296,-0.06170,-1.75369,-0.35062
3.7951,-0.54051,-1.87557,-0.45300
3.8621,-0.16875,-1.67662,-0.08749
3.9286,0.43420,-1.07969,0.48164
3.9939,0.55784,-1.25579,0.15067
4.0651,0.15748,-1.61709,-0.51015
4.1264,-0.12701,-2.43246,-0.58205
4.1926,-0.08277,-2.81976,-0.45926
4.2596,0.39585,-1.45437,-0.32139
4.3341,-0.12846,-0.39160,-0.34923
4.4031,0.25445,0.35890,-0.06654
4.4676,0.42687,0.46796,0.36093
4.5329,0.05197,0.08484,0.18543
4.6010,-0.55463,0.02584,-0.02404
4.6657,-0.62134,-0.32806,-0.23305
4.7322,-0.60888,-0.71360,-0.02727
4.7987,-0.54310,-0.84641,0.27004
4.8727,-0.23256,-1.07593,0.86319
4.9504,-0.48933,-1.28632,1.52168
4.9979,-0.66119,-1.96374,2.04244
5.0628,-1.03514,-1.67544,1.60882
5.1310,-1.30502,-1.40935,1.15396
5.1952,-1.51994,-2.38911,1.53287
5.2673,-1.26160,-1.12140,1.89061
5.3284,-2.01725,-1.71404,1.76552
5.3942,-0.45457,-1.19576,1.63733
5.4608,0.38448,-0.71808,1.09747
5.5282,0.31829,-0.84282,0.19407
5.5929,0.78223,0.72390,0.07063
5.6697,0.82419,0.34498,-1.18529
5.7253,2.02434,1.11120,-1.32582
5.8045,2.08274,0.90443,-0.93330
5.8677,1.42308,0.44699,-1.74247
5.9363,0.13370,0.59565,-2.71181
6.0001,0.00135,0.54625,-2.20043
6.0824,0.90144,0.42314,-0.89039
6.1324,0.19712,-0.03994,-1.44742
6.1982,0.42502,0.71896,-0.53013
6.2647,0.27960,0.46795,-0.28704
6.3309,-0.09515,0.38740,-0.44566
6.3968,-0.25571,-0.29392,0.01023
6.4634,-0.23793,0.31334,0.03506
6.5304,-0.49520,0.67766,0.16266
6.5962,-0.41884,0.10419,0.25595
6.6630,-0.15227,-0.26175,-0.05170
6.7290,-0.39642,-0.23615,-0.02530
6.7950,0.63540,-0.17739,-0.24371
6.8618,-3.91691,0.13078,-0.10397
6.9276,0.62439,-0.26274,-0.08900
6.9951,-0.19194,-0.11061,-0.24600
7.0598,-0.06990,-0.17428,0.20511
7.1272,0.18521,-0.08878,-0.00133
7.1922,0.19912,-0.01585,0.20554
7.2726,0.14198,-0.11339,0.23744
7.3390,0.07537,0.01943,0.19946
7.4010,-0.06244,-0.67493,0.10471
7.4661,-0.01761,-0.84744,0.01617
7.5349,-0.24700,-0.95646,-0.05457
7.5991,-0.41327,-1.05430,-0.01205
7.6704,-0.33145,-0.95359,-0.04077
7.7330,-0.20378,-0.68851,-0.06831
7.7982,-0.10923,-0.43132,-0.01232
7.8638,-0.03449,-0.45564,0.11643
7.9311,-0.10909,-0.63628,0.16255
7.9962,-0.22142,-0.46653,-0.01313
8.0640,-0.38155,-0.41335,-0.25853
8.1291,-0.39304,-0.38607,-0.32375
8.1961,-0.14848,0.36187,-0.27184
8.2613,0.02895,0.36382,-0.29876
8.3285,-0.52021,0.05764,0.05206
8.3937,-0.71547,-0.60455,0.25701
8.4618,-0.26106,-0.21070,0.08146
8.5264,-0.05222,-0.20521,0.28163
8.5927,-0.02346,-0.08844,0.17406
8.6585,-0.10284,-0.31046,-0.04309
8.7375,-0.04466,-0.50797,-0.23271
8.8014,-0.18493,-0.18663,-0.01087
8.8700,0.49622,0.49816,-0.09395
8.9331,-0.52062,-0.58568,-0.06366
9.0002,0.01616,-0.70221,0.19058
9.0657,0.09571,-0.36948,-0.15590
9.1354,0.19741,-0.30400,-0.26363
9.2009,0.27289,-0.12904,-0.16778
9.2654,0.37187,-0.45663,0.00749
9.3314,-0.50361,-0.15178,-0.35848
9.3979,-0.25613,-0.40313,0.08301
9.4635,0.26249,0.17375,0.02748
9.5295,-0.05846,-0.17825,-0.16206
9.5952,0.07005,-0.15676,0.02256
9.6638,-0.16910,-0.00003,0.05732
9.7288,-0.13705,0.06525,0.05462
9.7943,0.06762,0.40900,0.07351
9.8608,-0.01075,0.36267,0.00545
9.9267,0.00488,0.39663,0.16000
9.9928,-0.01410,0.39728,0.17710
10.0602,0.03193,0.35830,0.10825
10.1343,0.11965,0.25775,0.11156
10.2125,0.11193,0.04391,0.09101
10.2673,0.16690,0.33150,0.31087
10.3372,0.30647,0.67835,0.32218
10.4009,0.38578,0.72411,0.21516
10.4656,0.13924,0.49062,0.19829
10.5326,-0.01037,-0.12839,0.07117
10.5983,-0.03999,-0.19296,0.08156
10.6647,0.21207,0.06046,-0.01206
10.7347,0.45209,0.27514,-0.06482
10.7981,0.44563,0.26112,0.15235
10.8644,0.58570,0.39442,-0.06616
10.9294,0.31597,0.16769,-0.31362
10.9962,0.35843,0.04877,-0.22386
11.0620,0.39534,0.62093,0.05723
11.1290,0.10867,0.57518,0.07127
11.1957,0.05468,0.45543,0.16859
11.2618,0.07907,0.40952,0.16458
11.3288,0.27209,0.43503,0.14588
11.3942,-0.07034,-0.06109,0.04362
11.4595,-0.18159,-0.53036,-0.18838
11.5263,-0.39074,-1.59937,-0.33594
11.6016,-1.26197,-2.62272,-0.43153
11.6691,-1.28121,-2.71465,0.05777
11.7340,-0.37794,-0.80650,1.26952
11.8012,0.39237,3.51348,1.44135
11.8666,-0.23237,2.63345,-0.39397
11.9355,1.00203,-0.47587,-1.81089
11.9996,0.53017,-0.59220,-0.82095
12.0651,1.62157,-1.05778,-0.37694
12.1320,2.28992,-0.73699,1.33875
12.1979,-0.33683,1.72804,2.05596
12.2634,-0.85565,2.74430,0.42326
12.3322,-0.00906,2.74525,-1.56135
12.3960,0.15512,0.40399,-1.53725
12.4635,-0.42513,-2.80372,-0.45221
12.5299,2.28386,-3.38780,-0.25134
12.5951,1.34207,-0.33834,2.44184
12.6614,-0.82943,2.55491,2.92901
12.7313,-0.99278,2.75059,-1.05673
12.7939,-0.29253,1.83550,-3.13230
