time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:18:58:968, 
0.0138,6.55462,-50.49460,32.57367
0.0684,6.93719,-50.90459,33.10862
0.1257,7.18864,-51.18033,33.62379
0.1823,6.65144,-51.37913,34.13099
0.2387,5.70606,-51.24294,35.63313
0.2955,5.72812,-51.99194,36.32236
0.3517,5.12352,-52.20106,37.12418
0.4090,4.57726,-52.29568,37.95871
0.4675,3.92949,-52.34835,39.23988
0.5230,2.67747,-52.06306,40.59660
0.5807,3.16544,-52.70285,43.67882
0.6353,5.03617,-53.99358,48.11330
0.6932,8.84618,-55.30408,52.25901
0.7571,14.01457,-56.32786,55.66978
0.8072,19.88372,-59.04445,56.11365
0.8664,28.24691,-60.66217,58.72363
0.9201,37.85950,-63.80174,59.55468
0.9781,37.38899,-63.71391,57.02151
1.0340,36.37887,-64.20351,53.46036
1.0909,36.15726,-64.34299,50.95704
1.1505,40.37378,-64.72845,50.37069
1.2038,47.56940,-66.15814,52.24190
1.2618,51.79081,-66.39311,53.97282
1.3173,56.48257,-66.23962,56.63700
1.3744,58.48205,-66.39263,57.75792
1.4314,60.41375,-66.79357,59.39041
1.4876,62.10244,-66.66916,60.71121
1.5669,62.33077,-66.22904,60.40146
1.6017,64.82458,-67.17106,60.81170
1.6593,65.09435,-68.64086,57.20772
1.7161,64.12325,-69.48661,50.90217
1.7708,63.77562,-70.36215,44.01161
1.8287,60.92280,-70.18748,33.46753
1.8845,62.17540,-68.39083,26.87587
1.9413,63.48836,-66.66430,22.64665
1.9999,62.45498,-66.01812,15.27978
2.0572,63.39151,-63.43575,9.55772
2.1199,71.40036,-62.43425,12.13657
2.1688,76.46239,-63.42331,12.39608
2.2295,78.16921,-65.80753,10.40289
2.2844,74.07349,-65.89149,1.87095
2.3402,73.05456,-66.93447,-2.01294
2.3952,75.52145,-68.60465,0.16383
2.4600,71.42587,-66.38748,1.52104
2.5100,66.25794,-64.79307,3.50195
2.5665,61.09179,-66.27183,4.94448
2.6234,57.51753,-67.84971,1.57232
2.6801,60.05585,-69.38091,0.19659
2.7371,69.10566,-71.74371,3.16135
2.7967,78.95076,-73.22694,3.63781
2.8514,84.55832,-76.44271,-5.72881
2.9062,118.26682,-84.63377,9.01687
2.9641,-176.48860,-86.04903,61.73973
3.0213,-147.79066,-87.82678,84.69929
3.0773,-155.66640,-88.77490,73.54790
3.1361,-77.37682,-89.58222,148.85529
3.1910,21.97201,-87.81376,-112.87374
3.2472,27.66452,-85.44379,-108.35712
3.3053,38.96281,-83.38017,-95.47261
3.3615,45.16318,-81.46590,-84.90916
3.4192,37.38756,-75.77985,-83.62685
3.4748,28.44911,-71.65730,-83.14428
3.5368,21.32807,-69.69511,-76.12933
3.5893,7.54525,-77.46037,-76.53532
3.6451,-14.96323,-82.87189,-89.35682
3.7012,-17.03921,-85.09624,-82.46615
3.7597,4.03649,-83.10297,-52.38974
3.8148,3.13107,-82.38125,-48.19733
3.8711,10.35260,-81.06007,-34.28355
3.9298,7.62059,-79.35360,-31.79928
3.9844,1.23528,-79.52136,-33.49002
4.0417,-12.96100,-81.15636,-44.47031
4.0985,-23.66854,-82.54962,-51.38799
4.1560,-19.79794,-83.62606,-42.71644
4.2122,-9.73130,-83.93398,-25.41045
4.2686,2.03396,-83.27650,-3.77641
4.3259,-0.67362,-83.91382,0.82215
4.3949,7.26685,-84.86229,11.12067
4.4400,16.74994,-84.17149,21.50385
4.5014,23.10911,-84.86301,26.57388
4.5535,15.76327,-86.31384,17.75463
4.6113,6.47378,-87.42025,7.82308
4.6661,-1.88439,-86.50548,-1.05345
4.7237,6.43306,-83.92001,7.69295
4.7801,6.29714,-82.55792,8.59377
4.8380,3.16388,-80.38519,7.95276
4.9152,-4.80396,-78.70225,2.36802
4.9507,-19.93160,-77.56312,-9.65100
5.0206,-35.87948,-74.31837,-22.67856
5.0635,-50.93669,-68.24089,-32.66620
5.1213,-60.75156,-61.51642,-37.06648
5.1926,-62.84723,-55.35034,-33.85492
5.2343,-64.89484,-49.86920,-30.48678
5.3269,-70.02528,-43.10938,-26.63640
5.3495,-72.58863,-36.61839,-24.20905
5.4058,-74.77542,-28.78397,-19.05742
5.4621,-78.21284,-23.22701,-15.06899
5.5208,-81.73037,-18.24249,-16.38385
5.5823,-84.04915,-16.07554,-17.03925
5.6335,-87.25239,-15.65187,-17.64886
5.7021,-85.32751,-15.19528,-19.29626
5.7455,-84.40457,-19.35312,-22.64138
5.8047,-84.00699,-23.50639,-25.62207
5.8594,-83.30460,-27.86787,-33.75513
5.9182,-83.98695,-32.08813,-39.36536
5.9763,-85.23893,-38.33470,-43.96877
6.0316,-82.32384,-47.29295,-41.93885
6.1022,-77.04236,-55.22108,-37.86107
6.1425,-81.67131,-57.86875,-44.99160
6.1991,-79.44473,-63.07101,-42.69086
6.2572,-81.45291,-66.58643,-44.55202
6.3141,-80.95441,-67.70464,-47.66810
6.3689,-81.41612,-68.85626,-49.45019
6.4263,-78.57740,-70.27639,-47.61756
6.4839,-76.93507,-70.20168,-44.91221
6.5396,-74.79766,-69.91567,-42.68597
6.5974,-70.34349,-69.44925,-40.21729
6.6533,-65.36602,-67.85532,-36.18750
6.7108,-63.30976,-66.97086,-34.00605
6.7665,-63.26075,-66.86669,-32.67234
6.8237,-60.41048,-66.04990,-28.58610
6.8805,-64.97076,-67.83512,-33.09246
6.9378,-47.46442,-62.85824,-14.44940
6.9951,-41.41080,-59.38905,-7.36465
7.0516,-44.16892,-61.54241,-8.47896
7.1090,-42.19488,-61.18093,-6.68091
7.1648,-43.56449,-60.58141,-7.45426
7.2229,-44.55812,-61.03842,-8.24241
7.2800,-45.88093,-61.05714,-9.70564
7.3395,-47.94626,-60.93117,-11.54105
7.3920,-48.93531,-60.62027,-12.80467
7.4490,-50.58515,-60.42727,-13.35799
7.5068,-52.48739,-59.96981,-12.93940
7.5622,-55.23103,-59.96806,-12.83713
7.6192,-57.00428,-59.81091,-11.43867
7.6788,-58.45507,-59.25805,-9.17100
