time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:36:06:883, 
0.0315,0.33757,7.97474,5.80090
0.0315,0.21547,7.97115,5.69676
0.0481,0.30525,8.07649,5.29216
0.0800,0.15681,7.99749,4.71637
0.1052,0.16759,7.85623,4.77862
0.1052,-0.06344,7.61204,5.46932
0.1270,-0.59254,7.58091,6.21867
0.1620,-0.63204,7.68266,6.74059
0.1620,-0.14365,7.91130,6.83395
0.1942,0.05028,8.02262,6.28451
0.2184,-0.14245,7.96636,5.80090
0.2184,-0.15921,7.73773,5.67641
0.2608,-0.12330,7.65753,5.67042
0.2618,-0.06943,7.67069,5.76499
0.2747,-0.16280,7.71977,6.08580
0.3275,-0.39263,7.85264,6.76093
0.3276,-0.67753,8.09205,6.89500
0.3314,-0.98038,8.12557,6.32042
0.3901,-0.86188,8.26084,5.50523
0.3901,-0.44889,8.33266,5.14492
0.3901,0.21068,8.29555,5.51361
0.4300,-0.03112,7.94362,5.92420
0.4300,-0.95165,7.63957,6.48920
0.4453,-1.74051,7.47797,7.33911
0.4732,-1.89613,7.37263,7.97355
0.5024,-1.53581,7.34510,7.97115
0.5024,-1.06298,7.30440,7.08773
0.5279,-1.14079,7.18349,5.90744
0.5595,-1.42928,7.07456,5.33764
0.5595,-1.61003,7.25292,5.48009
0.5954,-1.43167,7.49113,5.70514
0.6060,-1.00432,7.70780,5.52079
0.6173,-0.49797,7.93644,4.97494
0.6620,-0.71584,7.97594,4.91987
0.6636,-1.18987,8.05854,5.63451
0.6729,-1.30718,8.15789,6.32760
0.7306,-0.72182,8.30752,6.63524
0.7306,-0.60451,8.27161,6.14685
0.7307,-0.95525,8.28478,5.22751
0.7888,-1.69861,8.21415,4.68286
0.7928,-1.92366,8.09325,4.80496
0.7928,-0.90736,8.20697,5.09344
0.8307,0.26694,8.18542,4.71398
0.8308,0.38904,8.30633,3.68093
0.8432,-0.46086,8.37336,3.51454
0.8618,-1.60883,8.22014,4.58709
0.9005,-1.52504,8.06572,5.66085
0.9005,-1.06059,8.04776,5.93737
0.9290,-1.23176,8.57087,4.96057
0.9568,-2.62513,9.18137,4.24713
0.9568,-4.00533,9.57640,5.58783
0.9945,-4.07954,9.50218,7.36904
0.9945,-2.19778,9.59196,6.12650
1.0131,-1.28803,9.88404,4.17411
1.0539,-2.40128,10.14858,4.19805
1.0539,-3.37209,10.26111,5.41904
1.0717,-3.70966,9.78109,5.85477
