time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:36:06:883, 
0.0481,-0.66201,7.88879,5.78784
0.1052,-0.61279,7.79617,5.91731
0.1620,-0.48714,7.67685,6.08268
0.2184,-0.33094,7.67412,6.09662
0.2747,-0.16055,7.59020,6.20754
0.3314,0.00006,7.54175,6.26836
0.3892,0.12252,7.45108,6.37470
0.4453,0.23286,7.30298,6.54085
0.5024,0.36266,7.30890,6.52831
0.5595,0.44141,7.39160,6.42961
0.6162,0.48495,7.44576,6.36363
0.6733,0.36447,7.39870,6.42626
0.7306,0.04256,7.55311,6.25452
0.7930,-0.33800,7.84160,5.87924
0.8432,-0.85864,8.13354,5.41098
0.9014,-1.29547,8.39340,4.90337
0.9567,-1.49651,8.55156,4.56089
1.0132,-1.61437,8.65682,4.31551
1.0717,-1.78455,8.63036,4.30147
1.1268,-1.97069,8.80164,3.84939
1.1853,-1.95090,8.94134,3.52375
1.2418,-1.80010,9.01799,3.40674
1.2982,-1.68334,9.11987,3.18820
1.3619,-1.56619,9.21944,2.95284
1.4108,-1.40124,9.27230,2.86903
1.4680,-1.31810,9.32272,2.74223
1.5238,-1.25475,9.35837,2.64893
1.5813,-1.12578,9.39812,2.56485
1.6381,-1.03076,9.39865,2.60256
1.6946,-1.06682,9.42076,2.50629
1.7522,-1.08170,9.41407,2.52500
1.8081,-1.11163,9.43200,2.44376
1.8664,-1.11848,9.46663,2.30268
1.9217,-1.11622,9.51008,2.11726
1.9784,-1.13829,9.54473,1.94235
2.0348,-1.09949,9.57716,1.79988
2.0923,-1.02108,9.60513,1.69387
2.1582,-0.96741,9.62314,1.62161
2.2069,-0.96359,9.63812,1.53249
2.2665,-0.92490,9.64726,1.49842
2.3208,-0.97788,9.65131,1.43745
2.3765,-1.01184,9.66109,1.34534
2.4340,-1.06549,9.66475,1.27586
2.4901,-1.07270,9.66747,1.24892
2.5516,-1.04881,9.67201,1.23397
2.6034,-1.03188,9.67840,1.19760
2.6608,-1.04741,9.68212,1.15317
2.7178,-1.01181,9.69248,1.09659
2.7739,-0.95554,9.69997,1.08073
2.8310,-0.88809,9.70211,1.11838
2.8868,-0.79984,9.70894,1.12567
2.9585,-0.71078,9.71000,1.17521
3.0038,-0.61790,9.70800,1.24231
3.0576,-0.55438,9.69753,1.34942
3.1157,-0.54978,9.68664,1.42731
3.1704,-0.57976,9.68363,1.43582
3.2269,-0.62115,9.68006,1.44256
3.2857,-0.65493,9.67136,1.48532
3.3430,-0.70659,9.66313,1.51495
