time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:36:06:883, 
0.0661,0.04845,-0.59177,-0.54964
0.1344,-0.35517,-1.03776,-0.62032
0.1989,-0.09044,-0.79607,-0.27874
0.2685,-0.16606,-0.61292,-0.12020
0.3314,-0.17588,-0.42262,0.04121
0.4069,-0.28953,-0.17715,0.16801
0.4732,-0.37428,-0.24128,0.12225
0.5397,0.23478,0.12691,0.37446
0.6061,0.20778,0.26381,0.53329
0.6729,-0.08256,0.58254,0.32086
0.7383,0.38275,1.18719,0.32427
0.8116,0.82844,1.90696,0.58029
0.8701,0.79166,2.29082,0.49729
0.9369,0.69960,2.29590,0.52877
1.0028,0.26015,1.50978,0.62878
1.0703,-0.16023,1.24020,0.30591
1.1353,0.48562,1.86259,0.54638
1.2027,0.22802,1.73735,0.85252
1.2673,0.07296,1.29109,0.80233
1.3347,0.26254,1.28980,0.64473
1.4017,0.14907,0.83542,0.56412
1.4686,0.20712,0.48441,0.31558
1.5337,0.16829,0.42449,0.24011
1.6002,0.01419,0.31364,0.31164
1.6652,0.05884,0.20607,0.15092
1.7340,-0.02024,0.24995,-0.00969
1.7974,0.03186,0.29040,0.07556
1.8734,0.19709,0.26875,0.06509
1.9398,0.31662,0.06417,0.01574
2.0067,0.29410,-0.01708,-0.01639
2.0719,0.20746,0.11944,0.16908
2.1387,0.11231,0.01900,0.16260
2.2058,0.11402,0.32915,0.08163
2.2701,0.02582,0.23424,0.12792
2.3383,0.06426,0.24518,-0.05763
2.4038,0.15644,0.34896,-0.02190
2.4690,-0.00333,0.33186,-0.00285
2.5356,-0.01347,0.34890,0.08782
2.6024,0.00599,0.33121,0.08971
2.6704,0.03207,0.35827,0.04706
2.7345,0.00174,0.42021,0.13338
2.8009,-0.07760,0.28157,0.14065
2.8675,-0.07841,0.18311,0.18033
2.9335,-0.04778,0.12539,0.16066
3.0004,-0.12774,0.17257,0.16176
3.0743,-0.10722,0.15051,0.06117
3.1327,-0.10981,-0.09482,-0.03452
3.1979,0.02217,-0.19610,-0.11450
3.2749,-0.03310,-0.33308,-0.12277
3.3422,-0.04536,-0.49334,-0.16362
3.4062,-0.14905,-0.77342,-0.35717
3.4723,-0.17093,-0.62402,-0.23644
3.5391,-0.25616,-0.57189,-0.00863
3.6053,-0.30375,-0.55241,-0.00011
3.6707,-0.25007,-0.43854,-0.10741
3.7385,-0.25933,-0.32069,-0.11642
3.8038,-0.18031,-0.10405,-0.10751
3.8697,-0.00252,0.01524,-0.02893
3.9362,-0.01549,0.25568,-0.17033
4.0027,0.28143,0.24921,-0.45857
4.0681,0.55834,0.10121,-0.58760
4.1358,0.16320,0.07736,-0.11678
4.2011,-0.04079,0.03042,0.06436
4.2681,0.08786,-0.01888,-0.15250
4.3342,0.13299,-0.08456,-0.52941
4.4004,0.21119,-0.15921,-0.51862
4.4668,0.16369,-0.09018,-0.21090
4.5352,0.05042,-0.08771,-0.09016
4.5986,-0.06160,-0.03363,-0.12060
4.6664,-0.22727,0.04858,-0.04435
4.7402,-0.12526,0.08879,-0.00671
4.8072,-0.07795,0.20819,0.02816
4.8735,-0.14942,0.28511,-0.09004
4.9392,-0.25345,0.28854,-0.07542
5.0058,-0.15140,0.44228,-0.00011
5.0741,0.17158,0.28721,-0.14525
5.1374,-0.05025,0.20863,-0.04906
5.2049,-0.14522,0.03605,0.11346
5.2705,0.02784,-0.16509,0.23686
5.3364,0.02184,-0.29822,-0.00058
5.4031,0.01220,-0.38696,-0.07402
5.4684,0.22323,-0.37433,0.10439
5.5353,0.59824,-0.43820,-0.00216
5.6014,0.52357,-0.53705,-0.31322
5.6682,0.06204,-0.58851,-0.34518
5.7334,-0.04853,-0.56586,-0.20643
5.7998,0.24814,-0.70444,-0.32535
5.8656,0.23325,-0.79669,-0.40422
5.9318,0.26463,-0.91464,-0.37129
5.9982,0.02585,-0.81551,-0.07781
6.0648,0.00980,-0.57440,0.32712
6.1316,-0.04245,-0.38105,0.01832
6.2071,0.09376,-0.34595,0.01708
6.2721,0.06962,-0.31859,0.14759
6.3389,-0.07989,-0.16070,0.19897
6.4062,-0.13883,-0.22209,0.10679
6.4706,-0.13971,-0.13810,0.16526
6.5378,-0.03106,-0.09804,0.12090
6.6039,0.05318,-0.15092,-0.12718
6.6694,0.02492,-0.14270,-0.17411
6.7362,0.05684,-0.06556,-0.00228
6.8034,0.01386,-0.06213,0.12591
6.8681,0.06502,-0.07079,0.08572
6.9349,0.17366,-0.07164,0.09886
7.0024,0.17629,-0.15659,0.01532
7.0680,0.10797,-0.11795,0.14017
7.1335,0.12259,-0.12552,0.21346
7.2022,0.17667,-0.14855,0.19371
7.2660,0.12204,-0.15023,0.05721
7.3330,0.09978,-0.18980,-0.14917
7.3984,0.14462,-0.00426,-0.00248
7.4648,0.19546,0.07471,0.01498
7.5311,0.39623,-0.21436,-0.04608
7.6066,0.29575,-0.07403,0.03438
7.6729,0.25875,0.05870,0.10714
7.7393,0.37786,-0.11973,0.17133
7.8056,0.27305,-0.14346,0.05622
7.8711,0.06903,-0.16171,0.00154
7.9385,-0.00889,-0.05701,0.02959
8.0040,-0.08553,0.07210,0.03143
8.0698,-0.10495,0.03790,0.03456
8.1363,-0.00373,0.00245,0.03330
8.2030,-0.12554,-0.05036,0.04874
8.2682,-0.10533,-0.06015,0.09246
8.3358,-0.03811,0.00553,-0.00423
8.4015,0.00446,-0.04652,0.01267
8.4672,-0.08005,0.03968,-0.00460
8.5337,-0.07360,0.03157,-0.00557
8.6003,-0.05985,0.01615,-0.00599
8.6664,-0.14448,-0.10651,-0.02480
8.7333,-0.18293,-0.05438,-0.03211
8.7995,-0.03407,0.01974,0.02659
8.8656,-0.02493,0.02964,0.01771
8.9315,-0.03087,0.03751,0.02461
8.9977,-0.03328,0.04920,0.02591
9.0893,-0.03546,0.05170,0.02730
9.1394,-0.03863,0.04888,0.02814
9.2115,-0.03660,0.03911,0.02625
9.2730,-0.05916,0.05135,0.03173
9.3395,-0.03917,0.08213,0.03042
9.4055,-0.02881,0.04239,0.03861
9.4723,-0.03084,0.00361,0.00643
9.5374,0.00618,-0.01949,0.00448
9.6042,0.01585,-0.06506,-0.00506
9.6686,0.03789,-0.12602,-0.00855
9.7359,0.01569,-0.12595,0.01033
9.8028,-0.01400,-0.05624,0.03648
9.8690,-0.00125,0.00154,0.03452
9.9343,0.00985,0.00692,0.02936
10.0010,0.00463,0.01601,0.01860
10.0669,-0.00222,0.06548,0.02338
10.1339,-0.01604,0.18568,0.02864
10.1995,-0.06640,0.25491,0.06562
10.2661,-0.04744,0.28499,0.08543
10.3327,0.00975,0.21989,0.08560
10.3986,-0.01112,0.19245,0.08016
10.4643,-0.04133,0.07620,0.05483
10.5531,-0.05491,0.01139,0.00400
10.6098,-0.07589,-0.04375,0.03288
10.6822,-0.03552,-0.06618,0.02443
10.7399,0.04762,-0.01671,-0.06060
10.8084,0.03614,0.17833,-0.07268
10.8724,-0.00099,0.21953,0.04780
10.9374,-0.01258,0.14763,0.05351
11.0054,0.03640,0.06666,-0.00021
11.0692,0.04438,-0.01049,-0.00082
11.1362,0.01445,-0.02246,-0.01194
11.2037,-0.01945,-0.02050,0.02935
11.2680,0.00287,0.02766,0.00982
11.3354,-0.04249,0.07441,-0.01885
11.4023,-0.04604,0.07138,-0.00354
11.4676,0.00436,0.06281,-0.02218
11.5338,0.07872,0.03515,-0.04918
11.5997,0.05451,0.04649,-0.03856
11.6662,0.01798,0.07656,0.00315
11.7338,-0.02013,0.08932,0.03966
11.7980,-0.05008,0.07116,0.03934
11.8652,-0.02374,0.09521,-0.01170
11.9406,0.01891,0.04472,-0.01974
12.0160,0.03109,-0.00672,-0.03359
12.0748,0.01059,-0.07810,-0.02711
12.1492,0.01271,-0.14430,-0.01895
12.2056,0.00458,-0.16800,-0.01562
12.2806,-0.01243,-0.14869,-0.00411
12.3379,-0.02486,-0.05345,0.00922
12.4111,-0.02038,0.02542,0.02809
12.4698,-0.04855,0.04269,0.01606
12.5512,-0.03543,0.05517,0.01063
12.6031,-0.01109,0.05048,-0.01003
12.6690,-0.00870,0.02952,-0.01247
12.7353,-0.01555,0.03546,0.01874
12.8009,-0.01749,0.04208,0.02208
12.8672,-0.01056,0.02457,0.00775
12.9356,0.00629,0.02020,-0.01930
12.9996,0.01002,-0.00817,-0.01938
13.0665,-0.01461,-0.04809,0.00381
13.1324,-0.03118,-0.12105,0.01909
13.1983,-0.03585,-0.13887,-0.03536
13.2649,-0.00699,-0.06796,-0.03376
13.3314,0.00101,0.06490,-0.01613
13.4070,-0.02647,0.11637,0.03912
13.4735,-0.00956,0.10200,0.01668
13.5410,0.01531,0.08642,-0.02812
13.6068,-0.00444,0.05972,-0.02070
13.6717,-0.00527,0.03469,-0.01060
13.7388,0.00199,-0.00503,0.00672
13.8059,0.00071,-0.01766,-0.00211
13.8706,0.00591,-0.01468,-0.01609
13.9378,0.01264,-0.00901,-0.00824
14.0135,0.01473,-0.00602,0.00115
14.0700,0.01127,-0.01290,0.01155
14.1516,0.01044,-0.01715,0.00586
14.2019,0.00872,-0.01919,0.00306
14.2669,0.01684,-0.00909,-0.00001
14.3347,0.01872,-0.00099,-0.00236
14.3999,0.00799,-0.01181,0.00745
14.4679,0.00341,-0.01782,0.00709
14.5332,0.00708,-0.02509,0.01132
14.5997,0.00933,0.00251,-0.01482
