time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:36:06:883, 
0.0481,0.88342,0.28089,-0.04004
0.1052,0.90021,0.19438,-0.33355
0.1620,0.57467,0.13645,-1.10141
0.2185,-0.12457,0.03773,0.49070
0.2750,0.07704,0.30514,-0.29803
0.3314,-0.11857,0.12977,-0.43722
0.3901,-0.80634,0.55381,0.26823
0.4455,-0.60010,0.97608,-1.16842
0.5025,-1.27144,0.35778,0.03766
0.5595,-1.94144,-0.07980,1.22272
0.6172,-1.87950,-0.29374,-0.80422
0.6732,-1.34304,0.30135,-1.03617
0.7306,-1.11359,0.49939,-0.63682
0.7927,-0.42176,0.42856,0.11062
0.8439,-0.64964,0.02275,-0.56066
0.9014,1.36126,-0.10989,-0.93640
0.9606,0.09918,-0.44505,0.83170
1.0137,-1.00320,0.43575,0.60787
1.0717,-0.72853,0.98693,1.56743
1.1273,-1.17456,1.19154,1.27710
1.1852,-1.66094,-0.28912,0.81950
1.2418,-1.39766,-0.95777,1.81097
1.2978,-0.32169,-0.25546,1.29589
1.3619,0.89061,-0.96371,1.76307
1.4109,0.19017,-0.97760,1.75519
1.4680,0.37517,-0.58134,1.24292
1.5243,0.66420,-0.39585,1.18670
1.5812,0.31033,-0.20120,0.49052
1.6394,-0.10928,0.30582,-0.22447
1.6947,-0.32470,0.52348,-0.31267
1.7522,-0.18551,0.06075,-0.91301
1.8081,-0.97617,-0.05731,-1.13943
1.8667,-0.55766,0.05494,-0.87609
1.9222,-0.13798,0.25049,-0.71612
1.9794,-0.35832,0.86070,-0.25386
2.0363,-0.78142,0.77606,-0.37674
2.0936,-0.92971,-0.22935,-0.79521
2.1582,-0.64155,-0.62885,-1.04703
2.2058,-0.65268,-0.28828,-0.48875
2.2665,-0.93364,0.13718,-0.57009
2.3195,0.07845,0.51752,-0.71472
2.3766,-0.08143,0.11803,-0.12690
2.4340,-0.49612,-0.00174,-0.23203
2.4901,-0.33463,-0.03019,-0.90648
2.5516,-0.49671,0.06275,-0.60220
2.6034,-0.31813,0.07853,-0.26402
2.6608,-0.15044,0.25514,0.00270
2.7181,-0.03854,0.20587,-0.25615
2.7738,-0.08064,-0.01014,-0.11616
2.8309,0.02117,0.00884,-0.17172
2.8869,-0.02324,-0.04694,0.03574
2.9445,0.07901,0.10759,0.07486
3.0014,0.12388,0.03940,0.03413
3.0577,0.30857,-0.01609,0.46036
3.1158,0.56838,-0.04591,0.12163
3.1712,0.58079,-0.08287,0.18862
3.2275,0.25665,0.10139,0.28880
3.2858,0.00435,0.13267,-0.01245
3.3432,0.04607,0.10590,-0.12676
3.4000,0.31057,-0.11285,-0.15712
3.4573,0.34375,-0.17614,-0.30290
3.5133,-0.40214,-0.09749,-0.14032
3.5701,-0.52091,0.25955,-0.42221
3.6249,-0.15469,0.36692,-0.34713
3.6839,-0.02274,0.21049,-0.20561
3.7398,-0.10476,-0.00406,-0.22833
3.7962,0.01994,-0.05220,-0.24100
3.8531,-0.02533,-0.06190,-0.18766
3.9089,0.10329,-0.39837,-0.05052
3.9662,0.85534,-0.75149,0.39969
4.0254,1.59300,-0.68247,0.38198
4.0801,1.43343,-0.08403,0.39673
4.1373,0.56001,-0.60501,0.62913
4.1918,-0.14063,-0.71221,0.22556
4.2496,-0.35139,-0.28945,-0.36555
4.3063,-0.03114,-0.05349,-0.48451
4.3656,0.27536,0.27287,-0.61340
4.4210,-0.10934,0.13294,-0.46468
4.4761,-0.54048,0.54729,-0.02605
4.5353,-0.34870,0.55739,-0.07369
4.5902,0.02113,0.38036,-0.25175
4.6509,0.05516,0.28254,-0.40274
4.7058,0.08029,0.55712,-0.41094
4.7623,0.11360,0.32600,-0.40716
4.8250,-0.27172,0.09651,-0.02535
