time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:36:06:883, 
0.0315,-12.38074,-25.76126,-29.28708
0.0800,-13.30820,-25.87437,-27.91156
0.1297,-13.46568,-25.74245,-29.26532
0.2291,-14.53530,-25.07964,-28.34241
0.2791,-15.55892,-25.92122,-27.65985
0.3314,-17.48390,-25.97816,-27.14465
0.4300,-18.60975,-25.93979,-27.68161
0.4792,-18.54084,-23.73454,-27.49298
0.5303,-18.87029,-24.33194,-27.43097
0.6301,-18.29748,-23.89645,-28.65622
0.6806,-19.02000,-23.26465,-28.62589
0.7313,-18.41860,-21.85170,-28.95047
0.8308,-15.34479,-23.92473,-29.84949
0.8804,-13.17439,-26.31668,-29.28598
0.9307,-6.68955,-27.20792,-29.70499
1.0301,-4.60151,-26.26212,-30.09430
1.0792,-2.92730,-27.25130,-30.91858
1.1296,0.16812,-27.38161,-30.88950
1.2333,2.18999,-28.71692,-29.74121
1.2813,4.21699,-28.96960,-30.18826
1.3320,4.58694,-29.07310,-30.92758
1.4315,5.75760,-29.25816,-28.24295
1.4879,5.95552,-30.52919,-27.87787
1.5290,5.37526,-30.23656,-27.21866
1.6320,6.64540,-30.95981,-27.77625
1.6802,5.51226,-30.07864,-27.34677
1.7292,6.68336,-31.19569,-26.77322
1.8305,6.94648,-31.44748,-27.62839
1.8917,7.46481,-31.47699,-25.38495
1.9297,7.33506,-31.77524,-24.65417
2.0321,7.11331,-30.68532,-25.07846
2.0807,6.95425,-32.35603,-23.49258
2.1331,8.51229,-31.91307,-23.75592
2.2307,7.35958,-32.67722,-23.61554
2.2913,7.87871,-32.94830,-23.02115
2.3321,8.41040,-32.36081,-21.69727
2.4315,8.62960,-32.98991,-21.72968
2.4798,9.71587,-33.53441,-22.98352
2.5311,10.63605,-33.35388,-22.31912
2.6309,10.29389,-34.25642,-21.73630
2.6819,9.42707,-33.56160,-21.44287
2.7305,10.33479,-34.64409,-20.65027
2.8310,11.71114,-32.69269,-21.77417
2.8798,12.03646,-32.43358,-20.22314
2.9308,11.70396,-33.58357,-21.09290
3.0305,11.10784,-34.07648,-20.86966
3.0799,11.39654,-34.23712,-20.93436
3.1302,11.10872,-33.63208,-22.57596
3.2293,10.99088,-34.22003,-21.76205
3.2799,10.51337,-34.23309,-22.12308
3.3313,9.62246,-32.95467,-23.29993
3.4309,9.25793,-32.26379,-23.10403
3.4799,8.27039,-30.89641,-23.92896
3.5299,9.13047,-31.72359,-24.39706
3.6293,7.12918,-32.25925,-25.84790
3.6826,7.30260,-30.90187,-26.16879
3.7322,6.72924,-30.20482,-26.45648
3.8312,5.97798,-29.75240,-26.23529
3.8879,6.26405,-29.56079,-27.05002
3.9298,6.56611,-29.59854,-27.80301
4.0333,8.20212,-29.38361,-27.49753
4.0801,9.91765,-30.35530,-26.06329
4.1306,10.35640,-30.82362,-24.58240
4.2311,10.18148,-31.09805,-25.78476
4.2895,10.59148,-31.08177,-25.74866
4.3296,12.25759,-31.68050,-25.94806
4.4312,11.37247,-31.19418,-25.04102
4.4799,12.79240,-31.67430,-24.75024
4.5352,12.32912,-30.96172,-25.18661
4.6317,11.25947,-30.48808,-24.01520
4.6909,12.15749,-30.13261,-24.05997
4.7300,13.06438,-29.75249,-25.18304
4.8321,13.38217,-30.51431,-25.72491
4.8797,14.12370,-30.81792,-26.39801
4.9318,14.14963,-29.14867,-23.80664
5.0317,14.22906,-30.43527,-24.24594
5.0902,14.53410,-30.64346,-24.02094
5.1343,13.85762,-29.46635,-24.76404
5.2317,15.61884,-29.38081,-26.05283
5.2805,16.06445,-29.00079,-24.81625
5.3334,14.92414,-29.37784,-24.50229
5.4311,15.03166,-30.06578,-24.54016
5.4898,14.57593,-29.16042,-24.73770
5.5311,12.64169,-32.19650,-24.45160
5.6315,11.98526,-31.80699,-24.46106
5.6795,12.50047,-33.10094,-24.31937
5.7308,12.31332,-32.29649,-23.69037
5.8305,11.16589,-32.02228,-23.35822
5.8822,12.02297,-33.19127,-22.13055
