time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:36:06:883, 
0.0481,6.10527,-53.40838,64.67033
0.1054,6.52508,-53.55553,67.31122
0.1620,5.91236,-52.65414,70.52699
0.2187,4.57883,-51.51959,72.32218
0.2750,3.10710,-51.49393,73.58845
0.3316,1.48152,-50.71308,73.69116
0.3901,-0.00057,-50.26817,73.48292
0.4455,-1.10109,-49.44645,72.76125
0.5029,-2.03888,-48.13301,72.64252
0.5607,-3.17964,-48.18490,71.16528
0.6162,-3.92734,-48.91480,69.60868
0.6729,-4.35786,-49.39869,67.14539
0.7306,-3.24611,-48.97799,65.81458
0.7929,-0.38992,-50.37213,64.25739
0.8432,3.29033,-53.09391,61.61037
0.9006,9.01673,-56.03610,59.25990
0.9567,14.79934,-58.85799,56.47252
1.0140,18.16559,-60.69376,55.00585
1.0717,20.51009,-61.97591,51.52739
1.1277,22.53202,-61.64860,49.52255
1.1853,27.11007,-63.83371,47.92395
1.2419,28.97083,-65.75011,43.79490
1.2995,27.85179,-66.86464,38.48959
1.3621,27.83355,-68.42990,33.87997
1.4125,27.94148,-70.07198,29.35563
1.4680,26.03103,-70.99877,25.15629
1.5238,25.67210,-71.92537,22.92621
1.5817,25.34607,-72.60926,21.01012
1.6382,23.69803,-73.40367,17.74939
1.6947,21.60641,-73.41465,15.21920
1.7522,23.05749,-73.87345,15.74935
1.8081,23.19006,-73.73318,15.19626
1.8668,24.46014,-74.11160,15.61538
1.9222,25.90729,-74.86812,16.34474
1.9794,27.79823,-75.87328,17.96044
2.0351,30.37188,-76.72823,20.70258
2.0923,31.41949,-77.58025,21.49094
2.1583,31.08198,-78.36463,21.30053
2.2069,30.81910,-78.89842,20.84883
2.2665,32.16060,-79.36252,20.83623
2.3196,31.68513,-79.65587,19.78175
2.3766,34.22693,-79.78856,21.29652
2.4340,36.94693,-80.11584,22.99334
2.4917,39.86569,-80.24109,24.65424
2.5516,40.65931,-80.33533,24.42735
2.6034,40.36286,-80.49461,23.08599
2.6608,40.74887,-80.72345,22.25109
2.7179,42.24871,-80.85954,22.59914
2.7747,42.69728,-81.24860,21.96115
2.8310,41.48179,-81.54098,19.72470
2.8881,38.45237,-81.62651,16.01865
2.9585,35.39544,-81.90512,11.93169
3.0014,31.16604,-81.94913,6.94031
3.0577,26.44503,-81.86623,1.24711
3.1159,22.33447,-81.44482,-4.22018
3.1712,21.06594,-81.02703,-5.73953
3.2272,21.98806,-80.91509,-4.46021
3.2857,23.29611,-80.78394,-2.51633
3.3431,23.79442,-80.47193,-0.56468
3.4001,25.00472,-80.18550,2.26354
3.4575,26.33081,-79.37759,6.00316
3.5134,26.29453,-78.78860,7.67462
3.5693,25.00223,-77.96299,9.08456
3.6244,21.53382,-77.19810,7.23489
3.6843,19.97863,-76.46149,7.83714
3.7397,19.16404,-75.75579,8.17785
3.7969,18.67130,-74.87797,8.61765
