time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:44:22:864, 
0.0293,0.03232,8.86774,4.09511
0.0293,0.32560,8.60559,5.54473
0.0507,0.36749,8.53017,6.19712
0.0968,0.14484,8.52538,5.76499
0.0968,0.44051,8.67382,4.89114
0.1077,0.74456,8.76839,4.37881
0.1516,0.74337,8.84021,4.61103
0.1526,0.53388,8.82225,5.10661
0.1630,0.48002,8.85338,5.15449
0.2015,0.55782,8.98864,4.59188
0.2015,0.75654,9.11074,4.13102
0.2207,1.12403,9.06047,4.19805
0.2294,1.45202,8.92999,4.71877
0.2499,1.51068,8.78155,5.16766
0.2787,1.31197,8.62354,5.42024
0.2967,0.92652,8.49666,5.23350
0.3352,0.69908,8.40568,4.65652
0.3352,0.77210,8.45476,3.87724
0.3506,0.97200,8.61397,3.14704
0.3633,1.00552,8.72290,2.90644
0.3914,1.27725,8.86056,3.12909
0.4011,1.35386,8.88211,3.56122
0.4352,1.31197,8.95872,3.65339
0.4515,1.16353,9.11793,3.10275
0.4775,0.94447,9.28072,2.45754
0.4775,0.72421,9.31185,2.67301
0.4959,0.43812,9.18735,3.79106
0.5550,-0.15801,8.94435,4.60744
0.5551,-0.50515,8.99104,4.29860
0.5610,-0.52431,9.26157,2.76638
0.6014,-0.25138,9.19573,2.39410
0.6015,0.01676,9.31903,2.77356
0.6192,-0.04309,9.41958,2.92798
0.6286,-0.15203,9.49859,2.68378
0.6508,-0.01796,9.66617,2.44677
0.6755,0.22983,9.88404,1.87817
0.6969,0.12449,10.02289,1.27965
0.7328,-0.42136,10.19647,1.88775
0.7328,-0.88103,10.20006,2.22891
0.7506,-1.38499,10.18210,2.39649
0.7621,-1.54539,10.17013,2.04097
0.7888,-1.22698,10.23956,1.89732
0.8014,-1.87817,10.26709,3.74437
0.8260,-1.55257,10.39278,3.93590
0.8610,-1.51666,10.56635,1.97992
0.8964,-1.94880,10.58311,0.19153
0.8964,-1.75248,10.33891,-0.71703
0.8964,-2.79511,9.36212,1.11326
0.9512,-3.65459,8.60798,2.48747
0.9545,-3.36730,8.60918,2.25165
0.9545,-3.08480,9.06885,1.79198
1.0021,-2.71970,9.27713,1.29401
1.0022,-2.72808,9.23883,0.79604
1.0161,-2.86214,9.35255,0.12808
1.0290,-2.70892,9.34776,0.49079
1.0511,-2.42522,9.32023,1.11326
1.0730,-2.20736,9.51295,1.00911
1.0962,-2.89806,9.70209,1.70101
1.1289,-2.83222,9.85890,1.51906
1.1289,-2.92798,10.03965,1.12882
1.1524,-3.18176,9.98459,1.03066
1.1623,-2.92918,10.07078,1.15396
1.1857,-2.46832,9.29269,0.87624
1.2008,-2.48029,7.88377,1.63756
1.2294,-2.29474,8.95273,0.66436
1.2434,-1.92366,9.84813,0.45009
1.2962,-2.03977,9.36811,0.55304
1.2963,-2.07090,9.36332,0.45847
1.2963,-2.17264,9.53450,0.40101
1.3511,-2.44916,9.53091,0.33517
1.3511,-2.32946,9.73441,0.04788
1.3511,-2.05055,9.91755,-0.37946
1.4025,-2.51021,9.19334,-0.21188
1.4025,-2.89925,8.33745,-0.17477
1.4135,-3.10754,8.02981,-0.12449
1.4294,-3.07402,8.34224,-0.40819
1.4506,-2.91003,8.59242,-0.91455
1.4717,-2.91122,8.28717,-1.39337
1.4970,-2.81905,8.04178,-1.70101
1.5299,-2.78314,8.06692,-1.88894
1.5299,-2.74364,8.23809,-1.82191
1.5522,-2.96030,7.99988,-1.68185
1.5632,-3.28470,7.72456,-1.29162
1.5849,-2.97467,8.53736,-0.79005
1.6013,-2.94594,9.40761,-0.16878
1.6311,-3.04410,10.14260,0.08260
1.6337,-3.06564,10.26949,0.03591
1.6568,-2.80708,10.38440,-0.09696
1.6978,-2.55450,10.78182,-0.08260
1.6978,-2.78434,11.05714,0.10295
1.7520,-2.98185,11.36958,0.15921
1.7520,-2.96749,11.49287,0.30405
1.7520,-2.86454,11.60300,0.51713
1.7677,-2.65146,11.67482,0.44650
1.8013,-2.46472,11.20319,0.29807
1.8013,-2.05653,10.95420,0.16759
1.8294,-1.47476,12.12611,0.20110
1.8513,-2.44198,9.75954,0.47044
1.8677,-2.25524,9.60632,-0.08140
1.8964,-2.15469,10.03606,-0.12689
1.8987,-2.18940,9.99536,-0.00120
1.9259,-2.00506,10.15218,-0.19512
1.9542,-2.12596,9.80623,-0.28969
1.9612,-2.63949,9.19214,-0.06823
1.9810,-2.91482,9.34058,0.09457
2.0013,-2.83940,9.87446,0.10534
2.0308,-2.80469,10.02768,0.07182
2.0309,-2.92679,9.82059,0.06584
2.0611,-2.82743,9.39564,0.20709
2.0946,-2.71132,9.36332,0.47643
2.0947,-2.22891,9.80264,0.27053
2.1513,-2.16187,9.55365,0.50037
2.1513,-2.36657,9.34058,0.81639
2.1513,-2.13194,9.43275,0.75654
2.1687,-1.79677,9.58597,0.67154
2.2019,-1.78001,9.87446,0.61409
2.2020,-1.64714,9.80982,0.73140
2.2256,-2.09484,9.16820,1.14079
2.2510,-1.73093,9.35374,1.11685
2.2662,-1.59447,9.86847,1.82670
2.2966,-1.81712,10.11507,2.17264
2.2998,-1.77403,9.93910,1.78001
2.3231,-1.87338,9.56562,1.38618
2.3524,-1.53103,9.62547,1.04502
2.3524,-1.72854,9.69490,1.26169
2.3783,-1.68425,9.91037,1.36703
2.4008,-2.18102,9.73800,1.80754
2.4290,-2.04576,9.68174,1.94281
2.4308,-1.87219,9.31664,1.61003
2.4682,-1.44364,9.33938,1.24613
2.4775,-1.29162,9.58477,0.93011
2.4921,-1.35865,9.44831,1.17550
2.5487,-1.71058,9.20052,1.48434
2.5487,-1.66270,9.08082,1.37780
2.5488,-1.66988,9.26157,1.30478
2.5629,-1.93563,9.60512,1.16832
2.6022,-2.07090,9.75116,1.15276
2.6022,-1.69981,10.19287,1.12642
2.6309,-1.55976,10.28625,1.10847
2.6518,-1.60644,10.12464,0.96602
2.6625,-1.67946,9.86488,1.11685
2.6966,-1.85662,9.85172,1.61482
2.6991,-1.84824,9.82059,1.83508
2.7265,-1.49751,9.94030,1.51906
2.7523,-1.38259,10.11028,1.49272
2.7523,-1.44723,10.06240,1.56335
2.7758,-1.57173,9.84094,1.76445
2.8011,-1.17550,10.31976,1.89852
2.8297,-0.62606,10.57952,2.36178
2.8330,-0.92652,10.62142,2.46712
2.8576,-1.09769,10.65733,2.28756
2.8896,-0.94088,10.26949,1.91528
2.8897,-1.07375,9.65899,1.74889
2.9457,-1.06298,9.38247,1.69622
2.9457,-0.79364,9.95706,1.73931
2.9457,-0.76970,10.17372,1.63158
2.9627,-1.22338,9.27594,1.90810
3.0020,-1.48195,8.34224,2.16187
3.0020,-1.27845,9.12750,2.13554
3.0302,-0.60331,10.26470,2.03139
3.0513,-0.28011,10.38560,2.36058
3.0513,-0.45727,10.07796,2.34382
3.0977,-0.74696,9.95466,2.14392
3.1017,-0.54585,10.00733,1.83268
3.1269,-0.90617,9.90917,1.80994
3.1513,-1.10488,9.50697,1.83867
3.1513,-1.18508,9.06286,1.75009
3.1633,-1.04143,9.12032,1.64714
3.2015,-1.11565,8.95632,1.74410
3.2015,-0.48121,8.54813,2.00027
3.2314,0.31482,8.67262,1.89972
3.2544,-0.49558,9.70089,1.55616
3.2879,-0.93729,10.94821,1.34189
3.2879,-1.12882,11.33606,1.48195
3.2960,-1.18987,10.93624,1.48195
3.3438,-1.03066,10.78302,1.33232
3.3439,-0.96602,10.42630,1.22937
3.3668,-1.40294,9.64223,1.22219
3.4012,-1.14199,9.02456,1.25810
3.4012,-1.42209,8.92281,1.25570
3.4275,-1.57292,9.32980,1.18867
3.4288,-1.08692,9.68054,1.31795
3.4518,-0.79843,9.88763,1.46399
3.4776,-0.57937,10.68486,1.06897
3.4938,-0.39503,11.25705,0.86188
3.5272,-0.67992,10.85484,0.92652
3.5510,-0.92173,10.54241,1.08453
3.5511,-0.98996,10.21921,1.18508
3.5624,-1.02946,9.96903,1.10129
3.6007,-0.96243,9.63146,1.15755
3.6007,-1.22099,9.40522,1.42329
3.6307,-1.22099,10.12225,1.24373
3.6574,-1.16473,10.76028,0.78287
3.6845,-1.23296,10.34729,0.86786
3.6845,-1.12642,10.06000,1.12044
3.6957,-0.97560,10.13781,1.07854
3.7404,-1.00672,9.79665,0.98996
3.7404,-1.02946,9.57879,0.77449
3.7510,-0.51713,9.95466,1.18867
3.7974,-0.67514,10.22998,0.69549
3.7974,-0.85589,9.86488,0.03591
3.8291,-0.78048,9.99057,0.09098
