time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:44:22:864, 
0.0507,0.42348,8.61654,4.66329
0.1077,0.39037,8.64276,4.61743
0.1644,0.32980,8.67686,4.55783
0.2207,0.29629,8.71049,4.49555
0.2787,0.18759,8.77282,4.37867
0.3352,0.03175,8.94364,4.02251
0.3914,-0.05390,9.03880,3.80363
0.4514,-0.20464,9.11035,3.62353
0.5053,-0.40038,9.12062,3.58111
0.5627,-0.66155,9.24946,3.19066
0.6224,-0.84979,9.37669,2.74334
0.6761,-0.95741,9.46195,2.39277
0.7335,-0.98336,9.46223,2.38109
0.7888,-0.95654,9.50502,2.21586
0.8609,-0.97655,9.56530,1.92921
0.9022,-1.14517,9.52427,2.03646
0.9590,-1.23407,9.55832,1.81272
1.0166,-1.42481,9.55459,1.68824
1.0730,-1.62201,9.52612,1.67110
1.1289,-1.85584,9.48937,1.63652
1.1857,-2.05223,9.48201,1.43187
1.2434,-1.97396,9.57326,0.79160
1.2988,-1.93334,9.61390,0.07470
1.3591,-1.90810,9.61343,-0.33388
1.4135,-2.02333,9.57861,-0.57159
1.4718,-2.26867,9.52865,-0.47794
1.5299,-2.35363,9.52001,-0.01483
1.5849,-2.29685,9.53383,0.03058
1.6408,-2.21667,9.54336,-0.42548
1.6979,-2.09421,9.56365,-0.56682
1.7545,-2.14716,9.55837,-0.44456
1.8105,-2.33030,9.52014,-0.32719
1.8677,-2.32459,9.52450,-0.22492
1.9260,-2.29272,9.53478,-0.04263
1.9817,-2.29969,9.53142,0.18416
2.0375,-2.23396,9.53870,0.43935
2.0947,-2.14512,9.54821,0.63289
2.1513,-2.06135,9.55663,0.76941
2.2088,-1.99967,9.56590,0.81560
2.2662,-2.04711,9.55480,0.82796
2.3231,-1.99880,9.51836,1.25542
2.3783,-1.83105,9.54759,1.28888
2.4351,-1.68792,9.56473,1.35548
2.4924,-1.60552,9.56336,1.46114
2.5488,-1.51871,9.57103,1.50308
2.6053,-1.52860,9.56663,1.52099
2.6625,-1.52950,9.56375,1.53807
2.7265,-1.36587,9.57963,1.59233
2.7758,-1.24125,9.57657,1.70849
2.8331,-1.14917,9.57993,1.75351
2.8897,-1.05808,9.58937,1.75921
2.9458,-0.99267,9.58735,1.80767
3.0027,-0.87338,9.58828,1.86345
3.0595,-0.81468,9.60102,1.82406
3.1269,-0.85021,9.61544,1.72939
3.1733,-0.84541,9.62977,1.65024
3.2340,-0.87562,9.64516,1.54093
3.2874,-0.95051,9.66036,1.39442
3.3440,-1.02796,9.66650,1.29326
3.4011,-1.03071,9.67473,1.22787
3.4571,-0.89390,9.69704,1.15701
3.5272,-0.87026,9.70665,1.09273
3.5721,-0.92237,9.70551,1.05959
3.6314,-0.93367,9.71358,0.97212
3.6853,-0.91818,9.72155,0.90489
3.7408,-0.87899,9.73339,0.81170
3.7974,-0.86955,9.74318,0.69627
3.8547,-0.86315,9.74320,0.70391
3.9234,-0.83382,9.74249,0.74767
3.9681,-0.80148,9.74335,0.77146
4.0276,-0.78968,9.74291,0.78899
4.0825,-0.78659,9.73805,0.84978
4.1379,-0.82591,9.70771,1.11745
4.1991,-0.79125,9.71114,1.11268
