time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:44:22:864, 
0.0301,-0.34188,-0.44225,-0.16012
0.0968,0.04841,-0.32851,-0.21795
0.1644,0.08051,-0.48619,-0.38201
0.2294,0.11572,-0.56851,-0.37819
0.2967,0.33893,-0.39356,-0.48674
0.3634,0.70347,0.17052,-0.22105
0.4364,0.32933,0.36259,-0.09291
0.4940,0.13993,0.38795,-0.25055
0.5627,0.56637,1.41151,-0.01389
0.6267,0.68901,2.19393,0.32651
0.6937,0.31071,1.53940,0.21732
0.7587,0.02848,0.79764,0.17734
0.8287,0.30242,1.52581,0.37927
0.9013,-0.12068,1.14901,-0.01879
0.9768,0.14777,1.27777,0.11345
1.0337,0.01081,1.28908,-0.05748
1.1005,-0.12178,0.80809,-0.22123
1.1659,-0.00585,0.71213,-0.28967
1.2333,0.75594,0.71950,0.11649
1.2988,1.20000,0.81671,0.13984
1.3731,0.63289,0.74495,0.03949
1.4316,0.29143,0.60701,-0.28840
1.5004,-0.64474,0.53420,-0.38547
1.5633,-0.76367,0.48237,0.01606
1.6338,0.56889,0.23320,0.16846
1.6979,0.34265,0.27032,0.23931
1.7640,-0.22508,0.10805,-0.10760
1.8295,-0.17464,-0.13393,-0.29710
1.8987,-0.14094,-0.23379,0.07228
1.9616,-0.28579,-0.46478,-0.01242
2.0277,-0.36504,-0.44271,0.09551
2.0952,-0.30546,-0.38283,0.15942
2.1590,-0.17869,-0.32689,0.14631
2.2256,0.05635,-0.25713,0.04866
2.3016,-0.37177,-0.29995,-0.11725
2.3681,-0.33638,-0.17710,0.24296
2.4352,-0.02153,-0.18236,0.24858
2.5005,-0.15082,-0.20245,0.13926
2.5667,-0.06866,-0.15109,0.12308
2.6352,-0.03399,-0.18073,-0.08097
2.6992,-0.14616,-0.13838,0.22710
2.7653,-0.23436,-0.04065,0.31161
2.8331,-0.13278,-0.19579,0.22316
2.8970,-0.00161,-0.01964,0.15676
2.9647,-0.10772,0.01994,0.11532
3.0303,-0.05449,0.00085,0.23439
3.1017,0.17944,-0.13624,-0.02359
3.1633,0.15927,0.00315,-0.04222
3.2339,0.16859,0.25341,0.02733
3.2969,0.26747,0.12921,-0.13456
3.3634,0.15393,0.09599,-0.11918
3.4276,0.09396,0.13655,0.13798
3.4969,0.13833,0.19612,0.19917
3.5596,0.05939,-0.01643,-0.09664
3.6271,0.14388,0.03188,-0.02826
3.6919,0.11780,0.17353,0.05271
3.7699,0.18471,0.16670,0.08265
3.8346,0.10273,0.02834,0.01153
3.9013,-0.06503,-0.03233,0.02464
3.9682,-0.04681,-0.05355,0.06176
4.0345,-0.02737,-0.05434,0.03561
4.0985,-0.11200,-0.13388,-0.02461
4.1744,-0.27738,-0.32055,-0.11473
4.2322,-0.03082,-0.02063,-0.00186
4.3012,0.00922,-0.00338,-0.00483
4.3657,-0.01650,0.02353,0.00037
4.4316,-0.03056,0.06124,-0.00233
4.4971,-0.03503,0.05311,0.00005
4.5714,-0.03085,0.04620,-0.00140
4.6308,-0.03481,0.03373,-0.00361
4.6978,-0.02313,0.02461,-0.00297
4.7650,-0.02934,0.00921,0.00278
4.8273,-0.02271,0.00819,-0.00335
4.8939,-0.04726,0.01870,-0.01484
4.9623,-0.09800,0.02303,-0.03480
5.0261,-0.11799,0.04372,-0.03275
5.0937,-0.13381,-0.01372,-0.05209
5.1594,0.03811,-0.13727,0.00813
5.2395,0.10171,-0.13908,0.03692
5.3010,0.11552,-0.08611,0.06689
5.3713,0.15704,-0.01177,0.10004
5.4340,0.14527,0.02423,0.08153
5.5080,0.15189,0.07264,0.09226
5.5663,0.11720,0.08849,0.08673
5.6458,0.05202,0.00767,0.03060
5.6978,0.03795,-0.15515,-0.00016
5.7703,0.02397,-0.27963,-0.03152
5.8317,0.05584,-0.41847,-0.02514
5.9019,0.07104,-0.44719,-0.02579
5.9631,0.09099,-0.38801,-0.02057
6.0330,0.08657,-0.31411,-0.01041
6.0968,0.08909,-0.35411,-0.03414
6.1629,0.05318,-0.35905,-0.02421
6.2307,-0.01912,-0.17659,-0.01401
6.2990,-0.04107,0.02364,-0.01163
6.3600,-0.04772,0.18505,0.01947
6.4269,-0.03463,0.29979,0.01991
6.4930,-0.05121,0.42451,0.02836
6.5587,-0.05841,0.49570,0.03771
6.6257,-0.07618,0.52579,0.05007
6.7014,-0.07069,0.42989,0.04957
6.7675,-0.03764,0.23244,0.02689
6.8339,-0.00586,0.03237,0.01033
6.8998,0.02068,-0.16483,-0.01872
6.9664,0.04273,-0.33772,-0.04366
7.0327,0.03813,-0.53891,-0.06351
7.0983,0.06038,-0.65896,-0.06367
7.1647,0.06636,-0.69324,-0.06281
7.2309,0.02926,-0.61068,-0.05695
7.2963,0.04917,-0.45668,-0.04360
7.3631,0.00208,-0.23813,-0.02472
7.4307,-0.01547,-0.03655,-0.01517
7.5008,-0.06175,0.14090,0.02010
7.5630,-0.07956,0.28308,0.03388
7.6296,-0.07787,0.40026,0.04132
7.6960,-0.08828,0.48959,0.03786
7.7604,-0.09598,0.33231,0.06080
7.8275,0.07785,0.00857,-0.00585
7.8957,0.08918,-0.28208,-0.02122
7.9593,0.04127,-0.47800,-0.01251
8.0271,0.11641,-0.56843,-0.01350
8.0925,0.12756,-0.56437,0.00100
8.1697,0.15060,-0.53856,0.01398
8.2345,0.17087,-0.53298,-0.02202
8.3007,0.08393,-0.59774,-0.03162
8.3669,0.01929,-0.48727,-0.02803
8.4334,-0.01319,-0.03797,0.00272
8.4981,-0.04233,0.39897,0.04939
8.5669,-0.03817,0.69121,0.06505
8.6320,-0.01178,0.60400,0.07731
8.6989,-0.01303,0.49866,0.05685
8.7646,-0.09173,0.46842,0.05175
8.8342,-0.09146,0.18777,0.03905
8.8976,0.06745,-0.52777,-0.12778
8.9684,0.19520,-1.18502,-0.13718
9.0299,0.26091,-1.24991,-0.06008
9.0977,0.33299,-0.94836,0.00387
9.1625,0.31419,-0.38123,0.10466
9.2334,0.06038,0.61586,0.07949
9.2942,-0.13893,1.75796,0.05221
9.3649,-0.14703,2.53973,0.01220
9.4260,-0.49729,3.03212,-0.05084
9.4925,-0.91437,3.25693,0.01936
9.5686,-0.93152,1.72909,0.62868
9.6349,-0.25268,0.01135,0.53979
9.7016,0.60254,-1.42936,0.15056
9.7675,0.92530,-1.32970,-0.70837
9.8334,-0.15884,-1.88205,-0.62677
9.8997,-1.07821,-1.19088,-0.14744
9.9658,0.08699,0.18791,1.11491
10.0349,1.74490,0.05570,0.60884
