time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:44:22:864, 
0.0508,-0.64900,0.27210,-0.87191
0.1085,-0.13386,-0.11987,0.98184
0.1644,0.22046,-0.03775,0.17206
0.2208,0.24533,0.06972,0.46490
0.2781,0.76475,0.20193,-0.13722
0.3352,1.33418,-0.32167,1.16418
0.3914,0.83604,-0.65568,0.41090
0.4515,1.36056,-0.40299,-0.56354
0.5053,1.62461,-0.13080,-0.31581
0.5628,1.19876,-0.09701,0.08500
0.6223,0.39652,-0.33131,0.74196
0.6761,0.90480,-0.17193,0.39641
0.7333,1.07624,0.24157,-0.31385
0.7902,0.32347,0.60765,-0.24685
0.8610,-0.47367,0.55383,0.29271
0.9021,-0.52024,0.84936,0.75867
0.9596,-1.22203,0.12193,-1.34843
1.0166,-1.77945,-0.78879,0.29494
1.0731,-1.12836,-0.30177,-1.14210
1.1295,-0.59391,-0.12974,-0.53034
1.1871,-0.87764,0.34589,-0.11407
1.2438,-0.70372,-0.18497,0.35519
1.3006,-0.24011,-0.58325,0.65325
1.3591,-0.23602,-0.25888,0.75640
1.4144,-0.22930,0.05826,0.46626
1.4722,-0.68849,-1.28369,0.31545
1.5299,-0.55044,-1.17894,-1.12190
1.5852,-0.48055,-1.43725,-1.84738
1.6404,-0.86533,-1.27868,-0.58891
1.6978,-0.91836,0.53754,0.59185
1.7545,-0.56611,1.30929,0.45166
1.8105,-0.54844,1.96732,0.71918
1.8692,0.17852,1.72004,0.46512
1.9261,0.13696,0.50662,0.19714
1.9816,0.22632,0.40123,-0.31843
2.0376,-0.43690,-0.23609,-0.46523
2.0953,-0.68526,0.19616,-0.55363
2.1529,-0.37888,-0.12278,-0.42038
2.2088,-0.15400,-0.25692,-0.08096
2.2667,0.30010,0.04485,-0.09702
2.3231,0.24751,-0.02459,0.28661
2.3796,0.07912,0.13873,0.29590
2.4352,-0.02438,0.08578,-0.06814
2.4921,-0.30352,-0.17483,0.26087
2.5488,0.13773,-0.23178,-0.38926
2.6053,-0.18097,-0.43377,-0.19319
2.6629,-0.29575,0.27595,-0.42080
2.7265,-0.25058,0.28042,-0.49158
2.7759,-0.41717,0.14537,-0.09362
2.8341,-0.28733,0.22936,-0.14147
2.8909,0.21368,0.78509,0.55519
2.9466,-0.02257,0.15530,0.01672
3.0028,0.01217,0.06141,-0.19167
3.0595,-0.42918,-0.80492,0.23035
3.1270,0.43852,0.37360,0.52100
3.1733,0.06462,0.05562,0.16125
3.2340,-0.21830,-0.72506,0.15319
3.2878,0.67925,-1.08773,0.43998
3.3439,0.04471,1.06766,0.12066
3.4026,-0.03676,0.61873,0.05489
3.4571,-0.46681,-0.82451,0.04513
3.5273,-0.08802,-0.07821,0.21065
3.5721,0.35263,1.03621,-0.15629
3.6308,-0.02579,0.14582,0.13885
3.6853,-0.23320,-0.06441,0.30945
3.7409,-0.24524,0.32686,0.12583
3.7981,-0.05729,-0.21892,0.22555
