time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:44:22:864, 
0.0511,3.54403,-21.99857,-35.88879
0.1526,1.50865,-22.61423,-36.81567
0.2015,1.76612,-22.70166,-36.78796
0.2505,0.48111,-23.31456,-35.92255
0.3506,0.47263,-22.35703,-35.83731
0.3998,1.13024,-25.10280,-35.55328
0.4515,2.22287,-25.23145,-34.64792
0.5551,4.43269,-26.07323,-32.92523
0.6014,6.97826,-28.04253,-31.60275
0.6509,9.69172,-28.82950,-28.55380
0.7514,12.01320,-31.31895,-30.28424
0.8014,13.78116,-31.53481,-27.99725
0.8611,15.92279,-31.12282,-27.47366
0.9545,16.40092,-30.67496,-22.90292
1.0022,19.36120,-30.48709,-23.68344
1.0511,20.48682,-30.58168,-23.70038
1.1535,22.63486,-31.49161,-21.81467
1.2009,23.22952,-30.40239,-19.68396
1.2598,24.72105,-32.14017,-17.17325
1.3511,26.36141,-31.90565,-14.80551
1.4024,25.70884,-33.09145,-13.27661
1.4506,25.59411,-34.06799,-11.34338
1.5523,28.68130,-32.25317,-12.50751
1.6012,28.07878,-31.32422,-13.54691
1.6567,28.20679,-32.61417,-11.20984
1.7520,27.16968,-33.63913,-11.40347
1.8006,28.88366,-33.59381,-10.79831
1.8513,28.68896,-32.80853,-10.92206
1.9542,28.60409,-33.94028,-12.29846
2.0013,27.96082,-33.46199,-13.00085
2.0610,27.14189,-33.72884,-14.11105
2.1513,26.28804,-33.25345,-15.90488
2.2020,26.19833,-33.13333,-18.27826
2.2515,24.66043,-33.60594,-18.49020
2.3524,25.60152,-32.57944,-18.29156
2.4008,25.69626,-32.16382,-19.27646
2.4683,24.11757,-32.08195,-20.41562
2.5511,22.64616,-32.94810,-20.02615
2.6021,23.46351,-33.81525,-20.74561
2.6518,23.48441,-32.30377,-20.31186
2.7523,21.74359,-33.53210,-21.34183
2.8011,21.91608,-33.60542,-22.90964
2.8577,20.54031,-33.52921,-24.16879
2.9508,20.25008,-33.43463,-22.72061
3.0020,19.31400,-33.59668,-23.05649
3.0513,20.28240,-32.78441,-23.59665
3.1513,19.02252,-32.88448,-22.41135
3.2015,18.66753,-32.94678,-21.77585
3.2543,19.38368,-32.97699,-22.58929
3.3519,19.95982,-33.19856,-22.01434
3.4016,20.21355,-33.64191,-21.08417
3.4518,20.77384,-34.42055,-20.64896
3.5511,20.54942,-34.54654,-19.59113
3.6007,20.94501,-35.18121,-19.58783
3.6574,20.61691,-35.42865,-19.85876
3.7511,20.49112,-34.46622,-19.38245
3.8006,20.07215,-35.02159,-19.37955
3.8512,19.74514,-36.09448,-18.73007
3.9516,20.53978,-36.02850,-18.86380
4.0013,20.01241,-36.75620,-19.31241
4.0560,19.13747,-35.66594,-19.74509
4.1541,19.18932,-35.76224,-20.68817
4.2008,19.51180,-35.44048,-20.92325
4.2519,19.80042,-35.15321,-20.56989
4.3526,20.02478,-35.07005,-19.22165
4.4017,20.79076,-35.88515,-20.22189
4.4551,21.03997,-36.06702,-19.13940
4.5533,22.14931,-34.32564,-18.36920
4.6027,21.01617,-36.19063,-19.38901
4.6511,21.09605,-35.47842,-20.32166
4.7535,21.75466,-35.16666,-20.02985
4.8012,21.38270,-35.10716,-20.30569
4.8552,20.73197,-35.16460,-20.73532
4.9518,21.15082,-34.71095,-19.64050
5.0025,21.55112,-34.92143,-19.61829
5.0521,21.47978,-33.53485,-20.18372
5.1518,21.06445,-34.18709,-20.87665
5.2020,21.72368,-33.80518,-21.11731
5.2513,21.19608,-34.17319,-20.50662
5.3547,21.37876,-35.36116,-21.30350
5.4021,20.63536,-34.80403,-19.86313
5.4507,19.86276,-35.29643,-19.84821
5.5516,19.90105,-36.53667,-19.96103
5.6017,20.03558,-37.21593,-18.64825
5.6516,20.52354,-36.84863,-18.61853
5.7546,20.39758,-35.64906,-19.31451
5.8010,19.58643,-36.83885,-19.82666
5.8507,20.26640,-36.98596,-20.35849
5.9519,19.40496,-36.02644,-19.52811
6.0013,18.58398,-35.53378,-20.07581
6.0537,18.13407,-35.31099,-20.87509
6.1511,19.70380,-36.04572,-19.84198
6.2003,17.73902,-37.21481,-19.87491
6.2508,16.11906,-36.90758,-21.61761
6.3519,17.76020,-37.68457,-20.44461
6.4007,17.34838,-36.91200,-20.56104
6.4516,18.16639,-35.18979,-21.02545
6.5504,16.87655,-37.55951,-19.89859
6.6004,19.40076,-36.17213,-20.24942
6.6506,18.32394,-35.11929,-19.91245
6.7494,19.99339,-36.30574,-19.95520
6.8004,20.16665,-36.05472,-19.06531
6.8515,20.89110,-36.51424,-18.35522
6.9511,20.40409,-36.37556,-18.60815
7.0005,18.91145,-35.99142,-18.74823
7.0511,20.18886,-37.03973,-18.88190
7.1498,20.29994,-35.86980,-19.50287
7.2008,18.28404,-35.60274,-20.89658
7.2512,17.79202,-35.74223,-21.52625
7.3505,16.68300,-34.51584,-22.53577
7.4017,16.39558,-35.84279,-22.09637
