time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:44:22:864, 
0.0511,-5.77358,-61.74051,-15.84194
0.1085,-5.18890,-61.47903,-12.62587
0.1644,-4.83245,-61.80156,-11.29694
0.2207,-4.13869,-62.22606,-8.71314
0.2787,-3.77080,-62.65076,-6.45649
0.3352,-2.45310,-63.45440,-3.34351
0.3914,-0.45220,-65.78292,-1.77739
0.4515,0.81184,-67.17603,-1.02325
0.5063,3.23242,-68.27909,-0.62432
0.5628,6.37935,-68.44175,1.27168
0.6192,11.71374,-70.59299,1.26628
0.6767,17.21110,-72.97097,-0.37278
0.7333,21.80756,-74.76363,-2.35422
0.7891,22.44006,-74.76998,-3.83929
0.8610,23.34892,-75.75260,-6.64315
0.9034,26.84823,-77.26206,-8.72600
0.9591,29.35053,-76.21716,-9.31049
1.0180,34.24650,-77.07852,-8.38865
1.0731,40.16304,-76.98138,-6.55248
1.1289,44.14591,-76.26244,-4.89331
1.1858,48.59357,-75.38564,-2.14887
1.2442,55.09599,-75.21627,3.01755
1.3006,68.14822,-77.47473,13.66791
1.3568,87.78724,-78.62128,31.03721
1.4139,99.92508,-78.60754,40.98222
1.4725,105.77508,-77.61983,44.94872
1.5299,101.89661,-76.32475,39.86895
1.5852,90.36098,-76.11297,26.39179
1.6412,89.23725,-76.45350,24.64940
1.6979,100.86554,-76.69332,36.25227
1.7548,105.14494,-77.21851,39.86169
1.8109,101.69765,-77.07985,36.13931
1.8682,97.99260,-76.11613,32.73815
1.9260,95.52666,-76.22267,30.93951
1.9826,91.06532,-76.47720,27.74098
2.0376,85.42152,-76.39341,23.88733
2.0949,78.87370,-76.57545,19.02149
2.1542,73.56204,-76.81690,15.14764
2.2104,69.53174,-77.03452,12.40974
2.2673,67.81111,-77.27818,11.83504
2.3231,67.97900,-76.98687,13.28100
2.3799,57.86757,-76.07276,3.80541
2.4365,54.85816,-76.80103,1.56184
2.4925,51.23384,-77.24699,-1.67990
2.5499,47.69554,-77.21076,-4.37285
2.6062,45.29638,-77.41499,-6.06772
