time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:33:19:634, 
0.0341,-1.24373,7.75808,6.04869
0.0380,-1.17071,7.80716,6.16959
0.0673,-0.96362,7.83589,5.57825
0.0951,-0.97320,7.91130,5.32807
0.0951,-1.32035,7.96636,5.42263
0.1338,-1.24852,7.80357,6.20790
0.1338,-1.03784,7.72217,6.63884
0.1518,-1.11086,7.77962,6.62687
0.1789,-1.21740,7.87060,6.31922
0.2002,-1.06897,7.84786,5.96849
0.2083,-0.83315,7.79638,5.68479
0.2345,-0.80083,7.69942,5.87632
0.2644,-0.74576,7.61323,6.22107
0.2644,-0.76252,7.65393,6.14565
0.3120,-0.76611,7.74970,5.96729
0.3120,-0.62486,7.79638,5.91821
0.3225,-0.62247,7.78082,5.75900
0.3782,-0.72421,7.72815,6.02475
0.3782,-0.86786,7.62161,6.63285
0.3788,-0.81639,7.54620,6.91296
0.4006,-0.75294,7.53064,6.58377
0.4352,-0.63204,7.58690,6.36232
0.4352,-0.62247,7.61802,6.24381
0.4679,-0.64282,7.65872,6.25937
0.4917,-0.58177,7.68027,6.30246
0.4917,-0.49199,7.63717,6.29169
0.5346,-0.46086,7.59288,6.35035
0.5347,-0.41657,7.58211,6.32281
0.5493,-0.41179,7.55937,6.19473
0.5778,-0.45488,7.56894,6.21149
0.6004,-0.43812,7.57732,6.20670
0.6060,-0.45368,7.62161,6.06904
0.6357,-0.59613,7.61922,6.10615
0.6619,-0.46206,7.59049,6.39943
0.6619,-0.33158,7.54620,6.50117
0.7097,-0.40221,7.52824,6.36471
0.7097,-0.41538,7.60126,6.25817
0.7200,-0.45368,7.65034,6.22705
0.7766,-0.46326,7.62880,6.19832
0.7767,-0.39862,7.59408,6.35513
0.7768,-0.24420,7.52465,6.64722
0.8006,-0.21068,7.52346,6.58617
0.8343,-0.29447,7.57373,6.30486
0.8343,-0.49318,7.60126,6.17797
0.8679,-0.43573,7.62161,6.27134
0.8950,-0.34834,7.61443,6.43773
0.8950,-0.30285,7.55458,6.44132
0.9354,-0.23702,7.54740,6.29049
0.9355,-0.32440,7.55578,6.18755
0.9468,-0.36749,7.55338,6.30246
0.9741,-0.34595,7.52944,6.47963
0.9840,-0.32799,7.56655,6.47723
1.0051,-0.25856,7.57373,6.32760
1.0354,-0.17357,7.58810,6.25578
1.0605,-0.15562,7.60964,6.28810
1.0606,-0.21667,7.62281,6.37548
1.1076,-0.23462,7.62640,6.44611
1.1076,-0.22385,7.57493,6.39823
1.1169,-0.18315,7.55937,6.36950
1.1739,-0.18075,7.56894,6.28331
1.1740,-0.02993,7.53543,6.06904
1.1740,0.26335,7.29602,6.05587
1.2005,0.29447,7.22300,6.21628
1.2297,0.11851,7.31996,6.48202
1.2297,0.18195,7.51986,6.43055
1.2692,-0.08140,7.64196,6.22107
1.2726,-0.44650,7.72695,6.15882
1.2931,-0.51353,7.83229,6.22825
1.3352,-0.41418,7.90771,6.10735
1.3352,-0.22983,7.89095,6.26057
1.3438,-0.11851,7.83349,6.44252
1.3719,-0.18075,7.82990,6.32641
1.3837,-0.25737,7.86342,6.04271
1.4048,-0.35552,7.89693,5.93856
1.4347,-0.38066,7.89454,5.97806
1.4474,-0.44770,7.80237,6.13368
1.4582,-0.66556,7.72935,6.28092
1.5150,-0.77689,7.81554,6.01398
1.5151,-0.71344,7.96995,5.47291
1.5151,-0.67992,7.97953,5.49446
1.5352,-0.76970,7.87180,6.00201
1.5683,-0.71943,7.82631,6.32880
1.5711,-0.51234,7.87419,6.03911
1.6000,-0.43692,7.86581,5.68120
1.6278,-0.39024,7.84786,5.76619
1.6278,-0.34595,7.85264,6.07263
1.6699,-0.32081,7.79279,6.18994
1.6732,-0.29926,7.83589,6.13727
1.6916,-0.41178,7.84067,6.08939
1.7137,-0.50635,7.90891,5.79731
1.7350,-0.54825,7.96038,5.77098
1.7417,-0.39981,7.95200,6.02595
1.7781,-0.23462,7.93285,6.50477
1.7842,0.04788,8.04178,6.21149
1.7977,0.18674,8.15071,5.01205
1.8355,0.34475,8.06811,4.43986
1.8449,1.02707,7.72097,4.94740
1.8549,0.22983,7.57253,5.63810
1.9122,-0.26335,7.83708,5.75302
1.9122,-0.74935,7.88616,5.87153
1.9122,-1.27127,8.16388,5.52797
1.9392,-0.95525,8.45237,5.28378
1.9691,-0.76372,8.44399,4.48056
1.9691,-0.80561,8.13634,4.55836
1.9998,-0.34834,7.60485,6.58617
2.0253,-0.67753,7.53662,6.16121
2.0253,-1.04383,8.36738,4.00652
2.0671,-1.29760,8.95154,3.20570
2.0696,-1.54060,9.07483,2.90763
2.0899,-0.99595,8.29076,7.29123
2.1104,-1.93204,7.38939,7.61802
2.1351,-3.04290,7.86701,5.62254
2.1388,-1.84465,8.92161,4.49612
2.1759,-1.76325,9.15503,3.91555
2.1843,-2.14990,9.41001,4.87199
2.1971,-2.14870,9.24721,5.01444
2.2354,-2.35340,8.83422,4.23755
2.2355,-2.03139,9.21489,3.57080
2.2532,-1.58370,9.67695,2.42043
2.3095,-0.99116,9.39444,3.18415
2.3095,-2.59281,8.62115,3.34336
2.3101,-3.06923,9.34177,3.17338
2.3394,-2.30552,10.01092,3.02494
2.3668,-2.30432,9.88643,3.22246
2.3669,-2.93157,9.47704,3.16260
2.3839,-2.29235,10.33054,2.14870
2.4228,-2.62633,11.09545,1.30239
2.4228,-2.40248,11.52639,0.64521
2.4681,-2.59999,9.59555,0.83434
2.4711,-2.88968,7.03147,0.69429
2.4916,-2.06611,7.41452,-0.14245
2.5071,-1.81114,8.64988,-0.82716
2.5363,-2.15469,8.16627,-1.42569
2.5364,-2.73526,6.01278,-1.41731
2.5606,-2.75920,4.97254,-1.30478
2.5841,-2.09723,5.72788,-1.62559
2.5930,-2.86813,6.71664,-1.63158
2.6352,-14.38255,3.89161,2.04935
2.6352,-3.23682,12.63845,-1.86859
2.6502,-1.03425,10.99011,-3.51334
2.6682,-0.55184,8.28119,-1.50589
2.7069,1.12882,8.98505,-1.86381
2.7069,0.43453,9.03653,-1.66390
2.7359,-0.26455,8.82106,-1.00672
2.7631,-0.53748,9.16820,-0.48840
2.7632,-0.29687,9.65061,-0.75534
2.7840,-0.56860,9.92114,-1.39815
2.8007,-0.60690,10.54960,-2.15349
2.8199,-1.06537,10.68606,-2.03977
2.8681,-1.40534,10.43468,-1.93204
2.8712,-2.04456,10.26230,-1.69382
2.8777,-2.36178,10.23836,-1.65193
2.9143,-2.76518,10.09472,-1.28922
2.9350,-3.39962,10.07557,-0.78048
2.9351,-3.43912,10.49693,-0.67992
2.9801,-3.38047,11.29177,-0.60690
2.9801,-3.90118,11.37436,0.07781
2.9897,-4.38000,10.71479,0.59493
3.0396,-4.38719,10.71599,0.64760
3.0396,-3.47384,10.87280,0.15083
3.0570,-2.77955,10.46341,-0.04309
3.0679,-2.97347,9.90319,0.40700
3.1039,-3.20091,9.50098,0.83434
3.1040,-3.04170,9.27354,0.65838
3.1345,-2.85736,9.61350,0.58536
3.1615,-2.84060,10.20844,0.52311
3.1642,-2.54134,10.70162,-0.00239
3.1935,-2.44198,9.92234,-0.16639
3.2012,-2.66703,9.26396,0.19632
3.2172,-2.58204,9.77391,0.12689
3.2458,-2.33784,9.96783,-0.22385
3.2669,-2.02421,9.87566,-0.66077
3.2743,-2.27559,10.06719,-0.48959
3.3120,-2.44198,10.08873,-0.74097
3.3403,-2.72329,9.40641,-0.75773
3.3403,-2.87292,9.07842,-0.64401
