time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:33:19:634, 
0.0381,-1.10172,7.69252,5.98178
0.0951,-1.07372,7.68227,6.00003
0.1527,-0.93172,7.64460,6.07144
0.2089,-0.86386,7.63228,6.09692
0.2644,-0.80180,7.62508,6.11438
0.3225,-0.72241,7.59272,6.16435
0.3788,-0.63918,7.56564,6.20669
0.4349,-0.60387,7.55053,6.22859
0.4917,-0.54953,7.54067,6.24553
0.5493,-0.51861,7.55242,6.23397
0.6060,-0.48579,7.55370,6.23507
0.6632,-0.44797,7.54729,6.24565
0.7201,-0.42162,7.54213,6.25371
0.7771,-0.38736,7.53153,6.26869
0.8348,-0.38261,7.53711,6.26227
0.8951,-0.35065,7.53137,6.27103
0.9468,-0.33289,7.53087,6.27260
1.0090,-0.29937,7.54417,6.25829
1.0605,-0.27204,7.54763,6.25536
1.1169,-0.24141,7.56428,6.23649
1.1746,-0.25164,7.58361,6.21256
1.2308,-0.25919,7.60288,6.18865
1.2931,-0.25289,7.61866,6.16948
1.3438,-0.25386,7.64601,6.13551
1.4020,-0.28958,7.69639,6.07059
1.4581,-0.33959,7.73499,6.01872
1.5158,-0.40481,7.76615,5.97440
1.5711,-0.45937,7.79910,5.92734
1.6278,-0.51295,7.79956,5.92235
1.6915,-0.54790,7.82566,5.88466
1.7418,-0.55221,7.83487,5.87199
1.8011,-0.61754,7.89100,5.78974
1.8557,-0.69392,7.88055,5.79533
1.9131,-0.92901,7.93855,5.68214
1.9686,-1.21916,7.98277,5.56412
2.0254,-1.51930,8.10496,5.30770
2.0899,-1.79214,8.02668,5.34145
2.1394,-2.15798,8.27656,4.79709
2.1951,-2.43624,8.46844,4.30356
2.2532,-2.59122,8.74313,3.60743
2.3101,-2.67693,8.94671,2.99347
2.3676,-2.65238,9.18763,2.17319
2.4228,-2.51077,9.44725,0.78475
2.4916,-2.27690,9.52029,-0.59170
2.5370,-2.19114,9.51149,-0.94917
2.5935,-2.01951,9.57059,-0.70418
2.6507,-1.16346,9.72113,-0.56252
2.7082,-1.37461,9.70740,-0.21721
2.7633,-1.72929,9.64823,-0.30272
2.8199,-1.90198,9.61980,-0.11063
2.8942,-2.10088,9.57437,0.29699
2.9351,-2.18942,9.55131,0.38632
2.9897,-2.12310,9.57113,0.23729
3.0570,-2.11160,9.57656,0.03169
3.1039,-2.27718,9.53855,-0.02895
3.1642,-2.12767,9.56579,-0.37283
3.2198,-2.12173,9.54781,-0.71275
3.2743,-1.87272,9.57517,-0.98967
3.3402,-1.69096,9.57031,-1.31157
3.3873,-1.60048,9.56267,-1.47113
3.4482,-1.71946,9.56214,-1.33390
3.5027,-1.85954,9.55499,-1.18939
3.5575,-1.89840,9.54707,-1.19163
3.6175,-1.73172,9.58675,-1.12508
3.6714,-1.65192,9.63249,-0.81030
3.7414,-1.57513,9.65877,-0.63043
3.7847,-1.42465,9.69017,-0.49130
3.8451,-1.42846,9.69510,-0.36740
3.9000,-1.47946,9.68921,-0.31738
3.9566,-1.58162,9.67396,-0.28869
4.0126,-1.60657,9.67061,-0.26207
4.0692,-1.49443,9.68773,-0.29154
4.1277,-1.44062,9.69472,-0.32763
4.1817,-1.44279,9.69306,-0.36520
4.2398,-1.48159,9.68172,-0.48940
4.2961,-1.54003,9.65451,-0.76753
4.3550,-1.47893,9.64906,-0.93748
4.4131,-1.34913,9.66724,-0.94593
4.4657,-1.20415,9.68077,-1.00151
4.5227,-1.15052,9.68350,-1.03755
4.5790,-1.24557,9.66254,-1.11990
4.6358,-2.12672,9.46203,-1.45512
4.6950,-2.24258,9.43836,-1.43477
4.7495,-2.14073,9.46182,-1.43581
4.8065,-2.13001,9.48069,-1.32287
4.8637,-2.08865,9.50058,-1.24373
4.9198,-2.02904,9.51620,-1.22284
4.9771,-1.91456,9.52294,-1.34854
5.0338,-1.86284,9.51680,-1.45972
5.0903,-1.79596,9.51326,-1.56296
5.1470,-1.74927,9.50776,-1.64711
5.2032,-1.76772,9.49903,-1.67749
5.2619,-1.77682,9.49666,-1.68130
5.3176,-1.78791,9.50441,-1.62479
5.3752,-1.80375,9.50376,-1.61102
5.4311,-1.85576,9.49271,-1.61707
5.4869,-1.97752,9.46337,-1.64449
5.5470,-2.06649,9.44558,-1.63739
5.6037,-2.14828,9.43275,-1.60579
5.6590,-2.18248,9.42479,-1.60642
5.7178,-2.22183,9.41849,-1.58931
5.7715,-2.21796,9.41251,-1.62964
5.8281,-2.21780,9.40785,-1.65654
5.8853,-2.21659,9.40155,-1.69351
5.9440,-2.20799,9.39468,-1.74215
