time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:33:19:634, 
0.0459,0.03902,0.08623,0.01292
0.1133,-0.07650,-0.34328,-0.11993
0.1789,-0.05192,-0.43381,-0.05312
0.2449,-0.02208,-0.30577,-0.02257
0.3120,-0.08266,-0.25830,-0.01663
0.3782,-0.16804,-0.32053,-0.04770
0.4438,-0.00672,-0.15369,0.01094
0.5106,-0.00137,-0.16290,0.01177
0.5778,0.02332,-0.07156,0.01477
0.6429,-0.02240,-0.08841,0.00305
0.7098,-0.00881,-0.08622,-0.00236
0.7767,-0.03294,-0.12726,-0.01150
0.8416,0.02734,-0.02570,-0.00834
0.9083,0.00277,-0.09459,-0.01739
0.9741,0.00810,-0.09657,-0.02215
1.0407,0.05171,-0.14230,-0.03002
1.1077,0.04218,-0.13701,-0.04663
1.1746,0.08921,-0.09174,-0.10726
1.2391,0.08222,-0.16950,-0.24498
1.3055,0.11154,-0.16959,-0.20676
1.3720,0.12310,-0.16948,-0.14894
1.4475,0.12383,-0.04642,-0.15401
1.5151,0.14078,0.03973,-0.12152
1.5785,0.03962,-0.03409,-0.07198
1.6456,0.03386,-0.00366,-0.08070
1.7128,0.09502,0.04610,-0.11263
1.7788,0.10710,-0.06796,-0.09935
1.8449,0.07360,0.12189,-0.23635
1.9123,0.14028,0.35096,-0.29028
1.9771,0.15599,0.83606,-0.06066
2.0426,0.36830,0.90094,-0.05620
2.1104,-0.03722,0.95905,-0.14826
2.1759,0.82906,1.67041,0.35620
2.2419,0.89589,1.44179,0.19742
2.3095,1.02083,0.81937,0.14341
2.3745,1.36491,1.06307,0.35101
2.4406,2.46160,1.19759,0.39237
2.5070,1.84911,0.66022,0.40450
2.5735,-0.14319,0.03457,0.26124
2.6394,-0.35608,0.22850,1.27633
2.7069,-0.69816,0.17428,-0.06550
2.7714,0.16728,-0.31798,-0.64286
2.8380,-0.51785,-0.45209,-0.38791
2.9143,-0.46836,-0.63554,-0.36150
2.9801,0.18192,-0.46853,0.01153
3.0570,0.49179,-0.30576,0.15715
3.1121,0.20610,-0.35249,-0.26252
3.1935,0.71895,-0.18841,0.25860
3.2451,0.68968,-0.21633,0.15836
3.3147,0.59123,-0.20170,0.49659
3.3785,0.50918,-0.08382,0.27410
3.4482,-0.16580,0.06698,-0.13393
