time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:33:19:634, 
0.0381,0.05551,-0.05490,-0.04079
0.0952,-0.10610,0.06788,-0.17100
0.1527,-0.14877,0.21691,-0.66261
0.2082,-0.26057,0.06565,0.33795
0.2644,-0.23048,0.14129,-0.18122
0.3225,-0.04124,-0.00081,-0.13499
0.3788,-0.02752,0.15730,-0.36842
0.4352,-0.19342,0.01231,0.23789
0.4918,-0.11432,-0.03481,0.09092
0.5494,-0.04845,0.03162,-0.01110
0.6060,0.06059,-0.04629,-0.00414
0.6625,0.00270,-0.01903,-0.13374
0.7214,-0.03819,-0.01849,0.03074
0.7768,-0.03332,0.00205,-0.03507
0.8349,0.01714,-0.01816,0.08515
0.8950,0.02082,-0.02856,0.03256
0.9486,-0.02647,-0.00075,0.05526
1.0090,-0.00788,-0.05208,-0.04798
1.0606,-0.03650,-0.05460,0.12013
1.1178,0.06147,-0.02053,0.01794
1.1745,0.03999,-0.06353,0.13732
1.2312,0.27835,-0.18301,-0.09077
1.2931,0.45234,-0.29851,0.17918
1.3450,-0.09195,0.04752,0.03493
1.4048,0.03763,0.12195,0.15298
1.4588,0.07794,0.06253,0.03255
1.5151,-0.08949,-0.02790,0.10225
1.5711,-0.26061,0.06427,-0.31120
1.6291,-0.14977,-0.00944,0.14985
1.6916,0.16099,-0.02919,-0.08900
1.7422,0.21282,-0.07649,0.21836
1.8011,0.13780,-0.01529,0.02752
1.8552,0.70012,0.09086,0.06235
1.9125,1.47002,-0.21224,-0.71727
1.9698,0.46706,-0.08079,0.11130
2.0254,0.68857,0.18168,-0.57118
2.0899,1.11407,-0.24339,0.20792
2.1395,0.89417,0.44120,-0.36057
2.1974,0.18013,-0.46852,1.57848
2.2556,0.59149,0.45713,0.96415
2.3103,0.70960,0.22122,0.39133
2.3676,0.45648,-0.14414,1.04255
2.4234,0.01949,0.25946,2.34488
2.4917,-0.13822,1.35821,1.96370
2.5365,-0.30920,-1.57687,1.41914
2.5970,-0.20394,-2.00952,-0.51563
2.6502,-1.41283,-3.90344,-0.95883
2.7082,-4.84459,-0.52469,-0.89386
2.7632,2.06132,-0.85196,-1.37604
2.8205,1.52789,-0.36709,-0.63997
2.8777,1.34699,0.84281,-2.15981
2.9360,0.24731,0.78177,-2.14472
2.9924,-1.07984,0.65862,-1.15364
3.0571,-1.77041,1.52680,-0.00982
3.1048,-1.25871,1.09957,0.28087
3.1642,-0.93371,-0.05444,1.00793
3.2198,-0.61185,0.56892,1.08576
3.2743,-0.67949,0.01959,1.04800
3.3403,-0.51036,0.33633,0.86221
3.3878,-1.06839,-0.10100,0.76656
3.4483,-1.28536,0.55577,0.59968
3.5027,-0.79794,0.68673,-0.18304
3.5575,-0.05000,0.32929,-0.43856
3.6176,0.03955,-0.24649,-0.18221
3.6729,-0.12209,-0.60129,0.22582
3.7415,0.12496,0.20117,-0.01922
3.7857,0.00108,-0.34411,-0.22289
3.8449,0.21099,0.09860,-0.16103
3.9000,0.17958,0.39551,-0.36967
3.9560,-0.05258,0.69475,-0.45173
