time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:33:19:634, 
0.0341,13.17297,-19.28697,-37.60556
0.1338,13.29319,-19.54831,-36.81674
0.1840,14.69299,-18.50591,-37.64645
0.2345,12.52309,-19.64996,-38.71317
0.3354,11.31984,-18.27666,-38.14276
0.3839,11.52488,-18.22356,-38.48938
0.4349,10.69830,-17.84271,-38.58591
0.5347,10.12580,-17.11191,-37.53073
0.5846,9.45330,-17.78694,-38.67413
0.6357,9.96740,-18.26093,-39.16412
0.7347,10.55534,-17.98456,-37.84830
0.7848,9.00240,-16.94717,-40.06653
0.8352,8.70438,-17.36067,-38.93027
0.9355,9.64590,-18.46294,-38.27771
0.9840,8.59347,-17.63049,-40.16000
1.0354,7.78022,-17.59734,-39.72397
1.1365,8.89286,-18.76006,-38.10898
1.1834,8.15301,-17.31227,-39.13934
1.2343,7.22822,-18.13501,-38.72250
1.3352,8.15049,-17.63007,-39.58728
1.3837,8.12135,-19.14188,-38.88089
1.4347,6.83429,-18.86607,-37.74756
1.5388,7.51408,-18.24716,-39.87631
1.5832,6.17577,-20.27216,-38.93304
1.6344,7.08512,-18.85246,-38.57581
1.7350,8.57870,-19.22565,-37.48599
1.7843,7.26088,-19.19701,-37.47110
1.8356,8.33796,-20.09152,-37.37283
1.9356,8.00496,-19.25517,-38.97394
1.9836,10.81919,-20.53329,-37.64883
2.0331,13.33836,-21.33197,-35.58527
2.1351,15.10217,-21.61400,-35.75806
2.1843,17.96597,-22.79436,-33.34103
2.2354,20.71091,-24.14177,-29.95776
2.3359,23.55508,-26.27966,-26.40042
2.3839,23.39114,-29.42686,-24.17694
2.4344,25.64230,-32.93745,-19.44485
2.5363,26.12537,-35.92157,-12.27127
2.5841,24.40694,-37.38213,-11.79639
2.6352,22.17696,-37.72714,-11.85083
2.7391,20.67330,-38.54363,-13.39072
2.7881,21.76751,-36.50253,-13.94260
2.8341,22.75176,-35.49007,-13.99542
2.9360,23.26019,-33.49055,-16.78784
2.9840,23.42582,-35.23326,-19.49243
3.0362,22.51200,-35.02219,-17.56912
3.1345,22.33508,-35.14439,-16.27689
3.1935,22.08908,-36.61159,-15.86475
3.2351,21.56322,-37.12518,-14.33237
3.3403,21.12818,-36.93756,-13.82819
3.3836,20.11933,-38.66710,-12.01181
3.4343,18.90672,-38.88863,-12.00073
3.5344,19.18913,-38.29035,-12.15219
3.5851,20.22044,-38.21156,-12.33090
3.6347,18.49119,-38.47055,-13.30090
3.7415,18.55742,-38.60537,-13.34497
3.7848,18.45623,-38.11098,-13.65616
3.8345,18.03768,-38.74509,-14.74741
3.9357,18.83446,-37.59981,-17.10074
3.9843,18.53629,-38.52509,-15.90137
4.0353,18.55092,-37.32100,-15.70370
4.1393,18.23946,-37.73204,-14.99817
4.1834,17.45618,-37.55724,-14.98636
4.2387,17.95164,-37.73929,-14.68790
4.3349,18.82179,-37.87762,-16.33594
4.3835,17.36441,-37.90349,-13.71872
4.4342,17.75892,-37.97143,-13.03439
4.5344,16.17226,-38.06412,-11.97186
4.5830,16.98431,-39.20192,-13.46698
4.6358,17.71490,-39.65813,-12.66162
4.7335,19.18130,-37.85744,-11.72412
4.7834,18.74701,-39.13648,-13.08185
4.8343,19.08956,-37.93704,-12.30426
4.9336,19.60251,-37.85584,-13.67444
4.9835,17.62946,-38.92999,-13.86346
5.0338,18.18519,-38.70567,-12.37796
5.1336,18.09320,-39.64761,-11.67828
5.1841,17.16692,-39.76788,-11.35217
5.2341,17.75373,-39.44951,-11.79034
5.3337,16.14227,-38.81030,-12.24899
5.3838,15.85960,-39.49778,-11.84009
5.4339,17.25401,-40.07590,-11.96829
5.5352,17.79243,-39.35345,-12.11127
5.5841,16.60930,-38.68561,-11.68842
5.6350,16.39660,-38.60362,-12.74716
5.7335,17.20550,-39.22730,-13.01276
5.7834,17.49049,-38.91895,-11.90631
5.8339,16.80594,-39.44004,-12.23114
5.9342,18.11212,-38.89558,-12.12848
5.9854,18.27516,-38.11939,-12.25812
6.0362,17.85853,-38.11049,-12.01147
6.1358,18.86376,-38.58347,-11.69101
6.1835,18.02799,-38.31657,-11.12909
6.2342,18.01003,-39.10865,-11.84479
6.3341,17.08041,-37.58968,-11.67850
6.3838,17.66882,-37.98341,-12.17749
6.4385,17.85923,-38.47413,-13.20374
6.5379,17.65121,-39.50458,-12.71124
6.5841,17.70901,-38.46722,-11.78632
6.6350,16.38076,-38.80856,-13.17322
6.7337,16.01228,-38.95071,-11.37039
6.7844,16.37695,-39.30531,-13.76730
6.8365,15.89121,-39.00285,-12.72202
6.9406,15.70004,-38.67745,-13.31656
6.9839,16.36565,-39.56865,-14.75177
7.0341,17.10961,-39.22105,-13.45398
7.1348,16.58992,-39.53153,-13.46561
7.1899,17.03983,-38.96296,-13.91516
7.2355,17.45530,-38.51005,-13.73026
7.3384,18.23132,-40.52883,-13.77316
7.3832,18.67369,-38.71047,-12.94205
7.4342,20.19057,-38.35361,-12.26163
7.5343,21.60986,-36.90213,-12.79294
7.5838,23.13586,-36.85760,-11.24567
7.6352,25.48841,-36.38168,-8.28198
7.7398,25.43660,-35.60960,-8.06094
7.7837,26.57490,-36.80345,-7.74948
7.8377,27.51639,-34.56909,-7.30606
7.9339,27.28912,-33.63176,-5.85669
7.9857,28.19009,-35.61588,-7.19992
8.0347,27.19138,-34.95529,-7.18698
8.1388,28.11990,-36.71240,-5.99719
8.1838,26.03584,-36.60590,-7.12851
8.2350,27.03552,-35.90704,-8.33435
8.3346,24.89112,-38.15856,-12.55252
