time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:33:19:634, 
0.0381,10.29094,-51.60439,-21.07687
0.0952,10.43572,-51.66695,-21.05008
0.1527,10.14579,-51.57047,-20.01299
0.2089,8.72448,-51.21777,-19.56188
0.2644,8.06440,-51.10300,-19.35520
0.3239,7.47072,-51.03605,-18.91917
0.3788,6.68406,-50.73634,-18.64562
0.4352,5.87970,-50.48699,-18.24560
0.4925,5.53764,-50.34845,-18.22333
0.5494,5.02839,-50.25831,-18.11668
0.6067,4.75558,-50.36579,-18.11906
0.6632,4.45502,-50.37747,-18.35417
0.7207,4.10248,-50.31883,-18.28437
0.7770,3.85699,-50.27163,-18.55766
0.8352,3.53598,-50.17479,-18.37456
0.8950,3.49627,-50.22576,-18.34148
0.9485,3.20038,-50.17341,-18.35137
1.0091,3.03782,-50.16884,-18.40752
1.0606,2.73873,-50.29030,-18.24732
1.1178,2.49021,-50.32198,-18.02438
1.1745,2.21675,-50.47453,-18.01182
1.2308,2.31954,-50.65235,-17.59186
1.2931,2.39824,-50.83029,-17.01299
1.3444,2.34730,-50.97644,-16.90647
1.4058,2.36929,-51.23089,-15.94846
1.4588,2.73104,-51.70343,-15.44197
1.5157,3.22937,-52.06876,-14.80971
1.5720,3.87626,-52.36593,-13.98264
1.6287,4.43159,-52.68238,-12.61924
1.6916,4.95022,-52.68676,-11.92656
1.7418,5.31926,-52.93908,-11.53852
1.8012,5.37236,-53.02844,-11.68153
1.8557,6.08822,-53.57727,-11.25362
1.9125,6.82798,-53.47451,-11.12749
1.9690,9.28547,-54.04779,-10.18390
2.0254,12.35882,-54.49019,-9.61487
2.0900,15.97352,-55.73843,-9.09389
2.1402,18.54741,-54.93428,-8.84958
2.1971,24.22064,-57.56217,-8.89977
2.2556,29.51413,-59.71652,-8.01724
2.3105,35.68977,-63.06886,-6.24300
2.3668,41.80482,-65.82657,-2.17474
2.4235,50.67105,-69.53358,3.68795
2.4916,72.64317,-74.44032,22.15373
2.5369,104.56737,-76.11987,51.96165
2.5971,113.42165,-75.90695,60.33100
2.6507,109.22321,-77.40300,56.70559
2.7075,115.80319,-82.42760,62.52396
2.7640,98.97952,-81.84159,45.78726
2.8199,99.92943,-79.68733,47.96904
2.8942,93.32890,-78.79756,42.72560
2.9351,81.95380,-77.50467,33.27919
2.9923,79.99326,-76.89671,33.45624
3.0571,83.62286,-77.41757,39.21094
3.1044,89.14015,-77.56410,46.26985
3.1643,90.72840,-76.57181,49.26894
3.2198,99.93888,-77.27526,59.33867
3.2748,108.56866,-76.80663,69.26177
3.3403,117.85486,-77.52636,79.42081
3.3879,127.79847,-77.39561,90.28816
3.4482,132.58862,-77.19260,95.27328
3.5027,127.80312,-77.17870,90.28134
3.5587,122.60365,-76.99182,84.97221
3.6175,122.11655,-76.78769,84.30025
3.6720,123.01131,-77.84357,85.05746
3.7415,116.12906,-79.18589,78.33414
3.7848,111.81329,-80.03737,73.90105
3.8450,109.02726,-81.16033,70.99116
3.8993,104.42393,-81.34966,66.42527
3.9560,102.10782,-81.12411,64.33730
4.0127,100.34430,-80.56406,62.71142
4.0703,99.26475,-80.44527,61.58094
4.1278,101.03889,-81.06803,62.92849
4.1822,102.81255,-81.33521,64.45414
4.2413,104.20453,-81.27082,65.93399
4.2974,108.27962,-80.84481,70.18128
4.3551,116.49091,-79.89445,78.69733
4.4132,122.37023,-79.71438,84.42777
4.4657,125.03600,-80.32732,87.14050
4.5227,129.75072,-80.81000,92.25874
4.5796,132.04468,-80.91031,94.95891
