time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:29:27:823, 
0.0104,0.15442,7.83110,6.03193
0.0400,0.27652,7.74012,6.02954
0.0400,0.48600,7.80476,5.81766
0.0680,0.48241,7.86821,5.75661
0.0777,0.28011,7.88856,5.87991
0.0967,-0.01796,7.97355,6.09418
0.1365,-0.31243,8.03938,6.32401
0.1448,-0.39981,8.01544,6.12291
0.1537,-0.43333,8.05255,6.01876
0.2007,-0.34236,8.06213,6.14445
0.2008,0.00479,8.10283,6.29648
0.2095,0.22145,8.19739,5.81168
0.2504,0.59254,8.16986,5.25026
0.2504,1.18987,8.17704,5.54952
0.2681,1.64475,8.01065,6.23304
0.2991,1.78959,7.75089,6.59933
0.3230,1.38379,7.48994,6.53230
0.3230,0.86786,7.31996,6.05468
0.3438,0.72661,7.14519,5.90145
0.3805,0.88223,7.18589,5.98405
0.3806,0.68112,7.30679,5.86913
0.4000,-0.10414,7.49473,5.55431
0.4369,-0.90138,7.78082,5.21076
0.4369,-1.39097,8.03579,5.10901
0.4656,-1.66270,8.15789,5.54473
0.4770,-1.71896,8.34702,5.66923
0.4938,-1.96316,8.52778,5.29575
0.5333,-2.11519,8.66424,5.25026
0.5457,-1.98112,8.81986,5.25744
0.5723,-1.63756,8.91443,4.89713
0.5998,-1.59806,8.70973,4.82291
0.5999,-1.52624,8.42364,5.12816
0.6071,-1.07974,8.23091,5.70274
0.6499,-0.58296,8.15669,5.74105
0.6500,-0.33637,8.13036,5.25505
0.6672,-0.30525,7.88616,5.60459
0.7014,-0.43213,7.55099,6.58617
0.7236,-0.71703,7.26010,7.14878
0.7236,-0.77210,7.17631,7.00633
0.7450,-0.42615,7.29721,6.26296
0.7781,0.14843,7.51029,5.90504
0.7781,0.28131,7.81673,5.38193
0.8035,-0.08379,8.22732,4.79897
0.8351,-0.53269,8.58165,4.66969
0.8351,-1.01869,8.43800,5.39869
0.8712,-2.48867,8.09804,6.56342
0.8776,-2.03738,8.52299,5.38672
0.8921,-1.00911,9.00899,3.65459
0.9281,-1.01031,9.08561,3.32181
0.9374,0.11133,8.69896,5.30413
0.9598,0.84631,8.01903,7.29482
1.0007,0.66676,7.77484,7.40734
1.0007,0.49438,7.98552,5.70155
1.0045,-0.23462,8.22253,4.47696
1.0501,-1.38858,8.34942,5.22991
1.0502,-1.40174,8.67741,4.84206
1.0622,-1.05939,8.65946,4.21242
1.0998,-0.97200,8.45356,5.08866
1.0999,-1.21979,8.47032,5.32687
1.1191,-1.20303,8.77916,5.31490
1.1445,-1.00792,9.01019,4.97254
1.1761,-0.98158,8.96710,4.57273
1.1761,-1.56813,8.75283,4.64814
1.2031,-1.93922,8.67980,5.12816
1.2324,-2.30552,8.74445,4.95339
1.2324,-2.41924,8.94196,4.43267
1.2693,-2.18701,8.85457,4.46260
1.2783,-2.14392,8.79233,4.23277
1.2889,-1.92007,8.87732,3.91076
1.3378,-1.23655,8.83662,4.24234
1.3379,-0.99595,8.78155,4.36444
1.3455,-1.66749,8.81627,4.42070
1.3999,-2.17145,9.30826,3.92991
1.3999,-2.27799,9.46507,3.76472
1.4029,-2.37495,9.45430,3.57439
1.4502,-1.96915,9.29030,3.68093
1.4503,-2.03020,9.04131,3.57798
1.4590,-2.08287,9.06166,3.67853
1.4773,-1.65911,8.96829,3.70846
1.4996,-1.56335,8.86894,3.73240
1.5156,-1.61123,9.45908,3.75634
1.5441,-2.01224,8.70375,3.53249
1.5742,-0.85828,8.24887,3.42476
1.5742,-0.96362,8.51102,3.04051
1.6020,-1.48554,9.05927,2.51739
1.6106,-1.34429,9.48063,2.94833
1.6289,-1.44364,9.15982,3.22485
1.6495,-1.35147,10.01212,2.35220
1.6773,-1.40294,9.52133,2.84299
1.6861,-1.39337,9.51535,2.44078
1.7355,-1.54778,9.58717,2.65027
1.7355,-1.93802,9.40282,3.02494
1.7425,-2.10920,9.64822,2.74962
1.8001,-2.29833,10.03965,2.41924
1.8001,-2.10202,10.21921,2.17264
1.8013,-2.02660,9.92593,2.13434
1.8500,-2.04336,9.66977,2.43360
1.8501,-2.28277,9.42916,2.32706
1.8572,-2.33784,9.57759,2.35579
1.8777,-2.24686,9.74757,2.29474
1.9003,-2.19180,9.70089,2.11160
1.9131,-2.10561,9.64343,1.90690
1.9442,-2.05533,9.43993,2.10800
1.9705,-2.09364,9.24960,2.29833
1.9705,-2.14511,9.09877,2.45994
1.9994,-2.09005,8.99224,2.43600
2.0110,-2.01823,9.02336,2.30193
2.0269,-1.98830,9.12990,2.22412
2.0503,-1.94640,9.19094,2.19659
2.0723,-1.93683,9.16700,2.32706
2.0834,-2.00386,8.96829,2.50902
2.1439,-1.96316,8.89168,2.55690
