time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:29:27:823, 
0.0400,-0.10755,7.90047,5.80874
0.0967,-0.10652,7.86719,5.85374
0.1545,0.05854,7.86152,5.86203
0.2095,0.28767,7.85235,5.86756
0.2682,0.68165,7.78202,5.92840
0.3245,1.13200,7.76786,5.87786
0.3821,1.41773,7.76641,5.81750
0.4369,1.27347,7.78792,5.82212
0.4938,0.91584,7.82289,5.84243
0.5722,0.43196,7.87609,5.82675
0.6081,0.20329,7.86689,5.85158
0.6646,0.13536,7.86677,5.85371
0.7238,0.12062,7.93039,5.76757
0.7781,-0.05500,8.12595,5.48965
0.8351,-0.32666,8.31517,5.18861
0.8921,-0.34898,8.51147,4.85834
0.9598,-0.36457,8.46254,4.94195
1.0055,-0.73378,8.64807,4.56540
1.0659,-0.96009,8.72668,4.36963
1.1196,-1.14295,8.70863,4.36163
1.1761,-1.43146,8.66712,4.35917
1.2324,-1.58541,8.68984,4.25952
1.2889,-1.66078,8.76418,4.07447
1.3456,-1.68376,8.82893,3.92242
1.4029,-1.59591,8.87644,3.85128
1.4589,-1.49138,8.92138,3.78881
1.5156,-1.37877,9.02296,3.58548
1.5742,-1.28840,9.14754,3.29135
1.6289,-1.27131,9.23019,3.05904
1.6861,-1.41752,9.26328,2.89009
1.7425,-1.56895,9.28749,2.72972
1.8002,-1.71814,9.27132,2.69463
1.8565,-1.85386,9.24680,2.68892
1.9131,-1.92665,9.21866,2.73401
1.9704,-1.95429,9.20470,2.76126
2.0269,-1.94895,9.23658,2.65662
2.0834,-1.95571,9.25170,2.59838
2.1440,-1.95920,9.28434,2.47649
2.1993,-1.96296,9.34121,2.24923
2.2545,-1.97136,9.39553,2.00203
2.3107,-1.98982,9.41781,1.87505
2.3682,-1.99594,9.44193,1.74256
2.4256,-2.22009,9.40340,1.67857
2.4814,-2.50939,9.36739,1.45786
2.5408,-2.74154,9.33194,1.25273
2.5954,-3.01196,9.28122,0.97848
2.6528,-3.31131,9.20408,0.70040
2.7073,-3.54971,9.11901,0.64310
2.7652,-3.56376,9.10922,0.70144
2.8269,-3.59726,9.09611,0.70061
2.8797,-3.69124,9.05562,0.73545
2.9365,-3.78134,9.01854,0.73333
2.9929,-3.66830,9.06629,0.71856
3.0488,-3.42143,9.16438,0.69167
3.1050,-3.29773,9.21842,0.56215
3.1623,-3.22061,9.24703,0.53904
3.2262,-3.07995,9.29551,0.52703
3.2758,-2.93208,9.34630,0.46904
3.3374,-2.81859,9.37604,0.56190
3.3906,-2.70235,9.39700,0.75104
3.4468,-2.55947,9.42384,0.90042
3.5027,-2.39297,9.47222,0.84924
3.5599,-2.39713,9.47994,0.74494
3.6373,-2.47740,9.46359,0.68802
3.6727,-2.48249,9.47221,0.53376
3.7341,-2.40292,9.49649,0.46153
3.7874,-2.34551,9.51342,0.40484
3.8439,-2.20982,9.54339,0.45908
3.9012,-2.06261,9.56499,0.65342
3.9574,-1.88091,9.59920,0.69855
4.0344,-1.64340,9.63705,0.77262
4.0721,-1.54012,9.65516,0.75912
4.1306,-1.65957,9.62872,0.83908
4.1865,-1.76320,9.60062,0.94317
4.2415,-1.72982,9.60280,0.98201
4.2971,-1.66581,9.61780,0.94516
4.3547,-1.65036,9.62539,0.89367
4.4254,-1.66577,9.62911,0.82210
4.4683,-1.69868,9.63356,0.69241
4.5257,-1.72675,9.63506,0.59529
4.5828,-1.62371,9.64815,0.66874
4.6389,-1.56640,9.65776,0.66667
4.6954,-1.46098,9.66808,0.75114
4.7512,-1.42791,9.67048,0.78309
4.8082,-1.40658,9.67049,0.82072
4.8654,-1.40259,9.66917,0.84277
4.9229,-1.37324,9.67070,0.87305
4.9800,-1.35718,9.67148,0.88929
5.0373,-1.32510,9.67253,0.92559
5.1071,-1.29999,9.67397,0.94587
5.1498,-1.32830,9.66908,0.95655
5.2054,-1.33796,9.66361,0.99748
5.2625,-1.29695,9.67049,0.98490
5.3201,-1.25641,9.67770,0.96643
5.3768,-1.16698,9.69036,0.95156
5.4339,-1.06613,9.70415,0.92909
5.4911,-0.97305,9.71302,0.93853
5.5462,-0.87188,9.72504,0.91317
5.6050,-0.75805,9.73864,0.86865
5.6613,-0.68220,9.74910,0.81237
5.7186,-0.65528,9.75176,0.80258
5.7743,-0.68761,9.74955,0.80240
5.8308,-0.72939,9.75155,0.73866
5.8887,-0.78141,9.74770,0.73630
5.9450,-0.84469,9.73553,0.82238
6.0066,-0.87807,9.73030,0.84892
6.0578,-0.87382,9.73358,0.81500
6.1144,-0.93720,9.73513,0.72059
6.1711,-0.66953,9.78357,0.06277
6.2281,-0.59677,9.78843,0.03100
6.2860,-0.79433,9.77356,-0.13000
6.3411,-1.07599,9.74652,0.13388
6.3987,-1.17757,9.72383,0.48042
6.4557,-1.12104,9.72296,0.61452
6.5121,-1.10378,9.73819,0.34596
6.5725,-1.23193,9.70148,-0.73070
6.6259,-1.10679,9.73851,-0.32697
6.6860,-0.93254,9.76125,-0.13691
6.7381,-0.79021,9.77208,-0.22898
6.7961,-0.69131,9.78115,0.14704
6.8525,-0.92865,9.75916,0.25835
6.9097,-1.01327,9.74872,0.32585
6.9667,-1.02735,9.74376,0.41732
7.0228,-0.90333,9.76011,0.30748
7.0793,-0.77827,9.77512,0.10847
7.1367,-1.09159,9.73860,0.37206
7.1938,-1.30629,9.69805,0.64167
7.2510,-1.42552,9.68443,0.59168
7.3058,-1.54534,9.67131,0.49803
7.3640,-1.55872,9.66020,0.64901
7.4201,-1.45926,9.67588,0.64673
7.4867,-1.33089,9.69843,0.58267
7.5349,-1.19401,9.71736,0.56352
7.5904,-1.14475,9.72682,0.49898
7.6497,-1.38221,9.69926,0.42930
7.7033,-1.35642,9.66398,0.96847
7.7607,-1.23571,9.67664,1.00304
7.8194,-0.92160,9.73056,0.79825
7.8778,-0.71082,9.74330,0.85632
7.9333,-0.72112,9.75137,0.74915
7.9878,-0.74391,9.76495,0.51265
8.0445,-0.73972,9.75928,0.61622
8.1028,-0.73532,9.76338,0.55330
8.1739,-0.68495,9.77635,0.35255
8.2159,-0.70559,9.77432,0.36757
8.2753,-0.79053,9.76224,0.49411
8.3292,-0.87335,9.75222,0.54937
8.3850,-0.89921,9.74897,0.56519
8.4425,-0.92348,9.75225,0.45958
8.4982,-0.99201,9.74645,0.43942
8.5706,-1.27097,9.70801,0.55640
8.6123,-1.46005,9.63489,1.09888
8.6728,-1.42680,9.63549,1.13664
8.7266,-1.26618,9.68576,0.86794
8.7828,-1.04805,9.72061,0.76271
8.8391,-0.78046,9.75067,0.69689
8.8957,-0.66513,9.75686,0.72911
8.9530,-0.58816,9.76489,0.68653
9.0089,-0.52146,9.76630,0.71968
9.0709,-0.54250,9.74419,0.96271
9.1241,-0.67231,9.71118,1.18802
9.1802,-0.79886,9.69719,1.22337
9.2366,-0.77371,9.74423,0.78848
9.2935,-0.68488,9.78187,-0.12778
9.3512,-0.61546,9.76690,-0.63192
9.4071,-0.95039,9.74030,-0.62737
9.4642,-1.31081,9.70404,-0.53264
9.5203,-1.35406,9.69881,-0.51957
9.5778,-1.30075,9.70382,-0.56064
9.6344,-1.25034,9.71859,-0.39515
9.6904,-1.47604,9.69158,-0.25478
9.7480,-1.72973,9.64742,-0.32497
9.8033,-1.50300,9.69078,-0.00837
9.8619,-1.41832,9.70337,0.05751
9.9182,-1.40597,9.69886,0.35448
9.9753,-1.33974,9.69430,0.62935
10.0363,-1.45440,9.66411,0.81244
10.0881,-1.72046,9.61464,0.87702
10.1466,-1.63855,9.62646,0.90375
10.2023,-1.49192,9.65176,0.88774
10.2587,-1.36787,9.68064,0.76460
10.3183,-1.23581,9.70441,0.68378
10.3723,-1.16567,9.71157,0.70503
10.4289,-1.08873,9.71325,0.79860
10.4857,-1.00057,9.71776,0.85700
10.5509,-0.92957,9.72145,0.89421
10.6005,-0.86022,9.74192,0.72486
10.6560,-0.85430,9.75445,0.53961
10.7156,-0.86452,9.74647,0.65528
10.7698,-0.86072,9.73925,0.75933
10.8350,-0.83127,9.73961,0.78706
10.8829,-0.74841,9.74305,0.82661
10.9487,-0.69198,9.73835,0.92524
10.9967,-0.68145,9.73159,1.00111
11.0535,-0.68180,9.72665,1.04780
11.1091,-0.67857,9.72277,1.08516
11.1671,-0.70055,9.72339,1.06553
11.2379,-0.73870,9.73669,0.90636
11.2800,-0.71793,9.76610,0.52749
11.3415,-0.59390,9.78857,0.03870
11.3950,-0.52110,9.79252,-0.07342
11.4507,-0.44017,9.79411,0.22804
11.5062,-0.76393,9.77248,0.29230
11.5646,-1.79734,9.62968,0.45743
11.6213,-2.00409,9.54974,0.97794
11.6775,-2.15033,9.44093,1.55412
11.7392,-1.43953,9.56022,1.64325
11.7923,-0.70631,9.70225,1.24014
11.8481,-0.76864,9.76917,0.37815
11.9041,-1.38010,9.69971,-0.42591
11.9616,-1.81298,9.58088,-1.04410
12.0184,-1.72780,9.63967,-0.51165
12.0743,-1.35268,9.70524,0.38589
12.1346,-0.74441,9.72309,1.03819
12.1898,-0.52414,9.69516,1.37824
12.2449,-0.79913,9.76272,0.47016
12.3053,-1.20676,9.72249,-0.43269
12.3586,-1.69794,9.59899,-1.07088
12.4162,-2.14217,9.50156,-1.14102
12.4729,-2.54018,9.47163,-0.07743
12.5340,-2.05646,9.56245,0.70774
12.5869,-1.49865,9.60447,1.29557
12.6428,-0.87374,9.62842,1.64332
12.6997,-0.80358,9.74212,0.78468
12.7563,-1.19455,9.73360,-0.02043
12.8131,-1.69407,9.61314,-0.94234
12.8705,-1.86754,9.55711,-1.15948
12.9305,-2.12570,9.56193,-0.47042
12.9843,-1.83691,9.62915,0.27510
13.0412,-1.27026,9.63533,1.31042
13.1019,-0.69777,9.53418,2.18700
13.1547,-0.66110,9.68474,1.39250
13.2093,-0.84701,9.73835,0.78578
13.2684,-1.06048,9.74876,0.08654
13.3298,-1.44864,9.65528,-0.92057
13.3820,-1.60665,9.58142,-1.33620
13.4379,-1.95984,9.58127,-0.72714
13.4998,-2.13632,9.57038,-0.11997
13.5503,-1.77049,9.63531,0.44341
13.6080,-1.15386,9.62705,1.46935
13.6665,-0.75868,9.64937,1.57621
13.7216,-0.70560,9.73562,0.94349
13.7786,-0.81274,9.76987,0.24399
13.8361,-1.13742,9.71929,-0.64191
13.8975,-1.60178,9.58121,-1.34356
13.9475,-1.90169,9.52170,-1.37519
14.0064,-2.19381,9.53186,-0.70796
14.0626,-2.13579,9.57045,-0.12368
14.1188,-1.58936,9.66265,0.52676
14.1773,-0.98246,9.61867,1.63900
14.2324,-0.61835,9.62388,1.78015
14.2988,-0.57783,9.72929,1.08506
14.3460,-0.70220,9.76977,0.47838
14.4045,-0.98834,9.75404,-0.22875
14.4615,-1.37125,9.66293,-0.95802
14.5162,-1.40621,9.65590,-0.97799
14.5781,-1.60682,9.66080,-0.50743
14.6297,-1.54619,9.68247,0.17160
14.6923,-1.10864,9.70952,0.81645
14.7428,-0.54323,9.64200,1.70502
14.8033,-0.27857,9.61946,1.88649
14.8563,-0.26296,9.68784,1.49899
14.9131,-0.28925,9.76196,0.88925
14.9698,-0.76726,9.77578,-0.12556
15.0270,-1.20671,9.69851,-0.80816
15.0831,-1.39603,9.68739,-0.61320
15.1399,-1.64222,9.66796,-0.06350
15.1966,-1.43980,9.68222,0.59325
15.2549,-0.76392,9.67208,1.42748
15.3107,-0.20607,9.55517,2.19696
15.3673,-0.22645,9.63230,1.82702
15.4247,-0.34627,9.73294,1.14911
15.4807,-0.60644,9.77684,0.46483
15.5378,-1.15158,9.72811,-0.45630
15.5942,-1.51798,9.63294,-1.03567
15.6533,-1.78300,9.62252,-0.63115
15.7069,-1.87115,9.62434,0.20315
15.7647,-0.99622,9.72904,0.72368
15.8214,-0.24693,9.64772,1.74096
15.8783,0.07101,9.55618,2.20108
15.9351,0.06099,9.64195,1.78868
15.9917,-0.02069,9.74420,1.10478
16.0493,-0.35328,9.79818,0.20300
16.1054,-1.00284,9.72328,-0.78901
16.1620,-1.45962,9.64506,-1.00635
16.2187,-1.88325,9.61435,-0.43356
16.2752,-1.96976,9.60129,0.32509
16.3331,-1.25052,9.68944,0.84927
16.3897,-0.44480,9.65401,1.66514
16.4456,-0.04484,9.60245,1.99031
16.5021,-0.08052,9.64009,1.79792
16.5597,-0.23859,9.73629,1.14811
16.6168,-0.46203,9.78934,0.35454
16.6750,-1.03615,9.73632,-0.54850
16.7302,-1.46629,9.64941,-0.95360
16.7869,-1.82653,9.61998,-0.53869
16.8435,-1.81785,9.63399,0.22808
16.9006,-1.20179,9.70444,0.74159
16.9570,-0.40328,9.63858,1.76225
17.0134,-0.08340,9.51074,2.38941
17.0719,-0.07447,9.55736,2.19582
17.1285,-0.15682,9.66890,1.63039
17.1849,-0.30229,9.76014,0.90480
17.2418,-0.93039,9.75687,-0.32891
17.2970,-1.33153,9.66479,-0.99457
17.3545,-1.97443,9.56645,-0.86888
17.4109,-2.16542,9.56393,-0.11217
17.4696,-1.64355,9.65261,0.54424
17.5249,-0.89242,9.72134,0.93250
17.5818,-0.21820,9.65512,1.70334
17.6382,0.07244,9.63583,1.82097
17.6943,0.05354,9.72990,1.22335
17.7560,-0.24372,9.80328,0.08251
17.8088,-0.81692,9.72995,-0.91166
17.8670,-1.32508,9.62463,-1.33457
17.9215,-1.64252,9.62685,-0.89234
17.9792,-1.68643,9.66026,0.07510
18.0359,-1.08051,9.72163,0.70199
18.0920,-0.41067,9.65162,1.68759
18.1529,-0.17280,9.52373,2.33219
18.2051,-0.27766,9.55696,2.18123
18.2627,-0.38109,9.68542,1.48922
18.3194,-0.42277,9.76565,0.78981
18.3761,-0.96221,9.75521,-0.28355
18.4325,-1.24609,9.69335,-0.81030
18.4897,-1.63002,9.65471,-0.54771
18.5453,-1.67951,9.65896,0.23264
18.6030,-0.82375,9.73905,0.80175
18.6602,-0.18584,9.62569,1.86601
18.7169,0.09508,9.53708,2.28154
18.7736,-0.08482,9.65748,1.70183
18.8309,-0.18126,9.78259,0.66212
18.8866,-0.83395,9.73787,-0.80547
18.9440,-1.64716,9.57075,-1.36307
19.0024,-2.14326,9.52824,-0.88848
19.0573,-2.30270,9.53242,-0.03206
19.1142,-1.77658,9.62878,0.54834
19.1712,-0.91867,9.71223,0.99953
19.2276,-0.33571,9.60910,1.92949
19.2841,-0.23083,9.56351,2.15785
19.3406,-0.48826,9.68563,1.45619
19.3972,-0.66086,9.77426,0.44434
19.4542,-1.23467,9.71770,-0.46079
