time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:29:27:823, 
0.0680,-0.01551,0.06232,-0.21701
0.1373,-0.05072,-0.41343,-0.20702
0.2008,-0.00752,-0.87194,-0.05162
0.2671,-0.19574,-1.33879,0.04750
0.3327,-0.09258,-1.61105,-0.22342
0.3991,-0.04515,-1.07536,-0.38036
0.4656,-0.07206,-0.03916,-0.53506
0.5367,0.12143,1.06455,-0.17679
0.6071,0.00031,1.22908,0.30922
0.6721,-0.02382,0.62452,0.36549
0.7385,0.25914,0.34500,0.18753
0.8058,0.71339,0.72044,0.07287
0.8713,0.65696,0.98337,0.18175
0.9374,0.08834,0.32491,0.32497
1.0045,0.51794,1.16496,-0.00512
1.0707,0.38561,0.75411,-0.13170
1.1367,-0.03151,0.64075,-0.09450
1.2032,-0.07771,0.65808,-0.18118
1.2693,0.20119,0.97872,0.21839
1.3357,0.14386,0.83512,0.35358
1.4008,0.10641,0.55204,0.36494
1.4679,0.05286,0.45630,0.42753
1.5340,0.33405,0.46815,0.42684
1.6005,0.58770,0.24945,0.23151
1.6661,0.33163,-0.07349,-0.14195
1.7333,0.30640,0.21864,-0.27249
1.8001,0.07228,0.09657,-0.24115
1.8655,-0.00606,-0.05036,-0.25338
1.9311,-0.11038,-0.06472,-0.13525
1.9973,0.08395,-0.12054,-0.04748
2.0723,0.19257,-0.21291,-0.05517
2.1406,0.19850,-0.11557,-0.04709
2.2052,0.44254,-0.01299,-0.00795
2.2719,0.49256,-0.19840,-0.07907
2.3383,0.36343,-0.37642,-0.11342
2.4042,0.35715,-0.57292,-0.28525
2.4712,0.50264,-0.81011,-0.66457
2.5406,0.61197,-0.73835,-0.54322
2.6022,0.77621,-0.84749,-0.61065
2.6700,0.77425,-0.83567,-0.65573
2.7358,0.25343,-0.71222,-0.33564
2.8044,0.12323,-0.20576,0.01986
2.8682,0.04985,-0.38574,-0.19528
2.9364,0.17963,-0.44765,-0.22584
3.0008,0.06090,-0.10432,0.21840
3.0670,0.05536,0.09421,0.44031
3.1334,0.24874,-0.11763,0.15587
3.2029,0.05457,-0.09151,0.21920
3.2655,0.04202,-0.12452,0.27567
3.3341,-0.10716,-0.10551,0.25235
3.3969,-0.38299,-0.05942,0.22238
3.4652,-0.21135,0.19509,0.30232
3.5396,0.10529,0.13886,0.23027
3.6053,0.16021,-0.15537,-0.13486
3.6727,0.26036,0.00493,-0.03866
3.7377,0.12807,0.08341,0.16076
3.8047,0.14118,-0.24482,0.10345
3.8703,-0.20716,-0.07388,0.28605
3.9376,-0.22685,-0.26542,0.24913
4.0041,-0.01065,-0.08567,0.41245
4.0716,-0.04926,0.08782,0.25344
4.1364,-0.13417,-0.07541,-0.20932
4.2018,-0.17020,-0.06433,-0.12363
4.2694,-0.00991,-0.04132,0.11759
4.3353,0.12951,-0.14288,0.04697
4.4060,0.12608,-0.06002,-0.02204
4.4683,0.20808,0.07265,-0.04755
4.5338,0.23393,-0.21371,-0.04662
4.5989,-0.11304,-0.43395,0.21123
4.6670,0.04669,-0.30064,0.10101
4.7326,-0.12087,-0.11190,0.11915
4.8048,-0.05373,-0.11998,0.01575
4.8653,-0.02382,-0.01494,0.00826
4.9404,-0.05579,0.02317,0.05982
5.0059,-0.06076,0.20073,0.03690
5.0733,-0.09085,0.11283,0.07887
5.1392,0.01359,-0.09097,0.04879
5.2054,-0.05364,-0.40892,0.02491
5.2705,-0.00669,-0.48014,0.04102
5.3377,0.05594,-0.45533,0.06738
5.4030,0.07672,-0.36258,0.11565
5.4723,0.08441,-0.23396,0.12208
5.5372,0.06763,-0.20738,0.13636
5.6050,0.09128,-0.25030,0.17790
5.6682,0.10361,-0.21351,0.10752
5.7360,-0.01394,0.04975,0.01779
5.8011,-0.00275,0.40295,-0.07612
5.8682,0.02309,0.33388,-0.07181
5.9336,-0.16076,-0.07388,-0.11166
6.0064,-0.12820,-0.18980,-0.10522
6.0660,0.01115,-0.15205,-0.08341
6.1328,0.37975,-0.01236,-0.10750
6.1984,0.87162,0.03918,0.57537
6.2652,0.08842,0.84877,-0.25620
6.3314,-0.17992,0.74292,-0.43814
6.4061,-0.65470,0.38715,-0.11066
6.4724,-0.13637,0.25545,0.14310
6.5416,0.76717,-0.67916,-0.04291
6.6051,1.19522,2.44517,-0.21103
6.6715,-1.27905,0.83125,0.25696
6.7385,0.23266,0.58308,0.23786
6.8027,-0.79782,2.04250,0.07152
6.8705,-0.31114,1.19511,-0.43276
6.9372,-0.21125,0.53875,-0.07369
7.0021,-0.18103,1.44014,0.04704
7.0738,0.15176,2.87884,0.32841
7.1368,-0.53903,2.01267,-0.30161
7.2051,-0.58076,0.60402,-0.21475
7.2675,0.07100,0.49465,-0.07462
7.3380,-0.07045,0.38769,-0.07665
7.4003,-0.19970,0.02912,0.13107
7.4709,0.15148,0.06891,0.30880
7.5340,0.09454,-0.31735,0.32557
7.5999,0.17828,-0.32695,0.13955
7.6650,-0.09611,-0.23936,-0.42796
7.7367,-0.68582,-1.12331,0.06564
7.7985,0.37334,-0.25169,0.35758
7.8779,-0.04165,-0.55034,0.29993
7.9385,0.11402,0.12881,-0.08089
8.0057,0.29738,0.62181,-0.01545
8.0718,-0.24113,0.44827,-0.00077
8.1424,0.29105,0.28586,0.09605
8.2046,0.10851,0.44715,0.06198
8.2752,-0.23642,0.45741,-0.03356
8.3365,-0.11390,0.48150,-0.07053
8.4021,-0.01082,0.49479,0.01538
8.4698,0.17814,0.63884,0.04100
8.5366,-0.13172,0.06031,-0.21260
8.6039,-0.68595,-0.87412,-0.51565
8.6699,-0.26067,-0.41854,-0.09061
8.7352,0.35763,0.51630,0.26722
8.8013,0.10921,0.45626,0.41342
8.8673,0.01766,-0.20593,0.39411
8.9329,-0.04713,0.06081,0.17380
8.9997,-0.03486,0.20319,0.13240
9.0671,-0.48292,0.03405,-0.01191
9.1319,-0.47143,0.18422,-0.21186
9.1972,0.02508,0.19841,-0.17186
9.2642,1.22483,0.22727,0.14747
9.3448,1.52470,0.10336,0.11194
9.4082,0.24319,-0.25409,-0.41056
9.4723,-0.12440,0.00692,-0.54900
9.5377,0.07547,-0.28012,-0.02173
9.6042,0.12297,-0.45977,0.15460
9.6702,-0.24009,-1.16617,0.04303
9.7418,0.19917,-0.61723,-0.55554
9.8033,-0.29211,-0.72178,0.26242
9.8695,-0.00417,-1.26285,0.10763
9.9355,-0.70698,0.05265,0.01300
10.0052,-0.27059,-0.81641,-0.07852
10.0684,-0.24580,-0.49522,-0.53740
10.1388,0.02501,-0.27975,-0.09863
10.2022,0.02367,-0.11487,0.24600
10.2670,0.24446,-0.04701,0.22103
10.3332,0.16862,-0.22286,0.23152
10.4045,-0.06476,-0.30640,0.11457
10.4657,-0.11607,-0.34660,0.14897
10.5364,-0.11222,0.47512,0.14899
10.5999,0.16986,0.61984,0.11994
10.6647,0.22335,0.44689,0.07146
10.7400,-0.19870,-0.44397,0.04042
10.8057,-0.04116,-0.56247,-0.00667
10.8735,0.01214,-0.49918,0.08016
10.9486,-0.09316,-0.66856,0.06540
11.0043,-0.09039,-0.68251,-0.02973
11.0710,-0.04902,-0.51384,-0.05820
11.1378,-0.06738,0.00723,-0.02428
11.2056,0.04001,1.33214,0.01888
11.2701,0.28759,2.96623,0.13678
11.3386,0.63819,2.78327,0.17973
11.4021,0.16470,1.18855,0.17519
11.4692,-0.56515,-1.53262,0.33700
11.5361,0.12530,-1.86477,-0.99254
11.6028,-0.11300,-3.04463,-1.17797
11.6671,-0.86800,-1.99484,-0.72424
11.7392,-0.18440,-0.48250,0.81783
11.7999,0.52094,1.58601,1.22211
11.8662,1.30575,2.01201,-0.23790
11.9324,1.19983,1.11351,-1.11811
12.0020,-0.02267,0.70277,0.13636
12.0651,-1.07316,-2.68665,0.43824
12.1328,-0.93039,-1.23541,0.97971
12.2060,-0.39235,-0.75815,0.18732
12.2739,1.43720,3.10092,-0.31323
12.3390,0.92641,2.36941,-0.83876
12.4057,0.58946,1.33396,-1.01039
12.4729,-0.90946,-2.56140,-0.34520
12.5473,-0.76020,-2.67536,0.69323
12.6031,-0.78180,-2.05435,0.76851
12.6742,0.04783,0.76382,0.89258
12.7378,1.13699,2.08750,-0.16531
12.8032,1.30900,2.11845,-0.88838
12.8706,0.45836,1.61270,-0.43726
12.9358,-0.63079,-1.79806,-0.22544
13.0006,-0.96471,-1.30720,0.70781
13.0728,-1.77508,-2.63982,0.61624
13.1347,0.04614,0.29986,0.64147
13.2035,1.04778,1.49962,-0.03957
13.2667,0.89565,1.19982,-0.29723
13.3329,1.54712,2.12439,-0.70311
13.3981,0.14345,1.34380,-0.36178
13.4687,-0.77810,-1.63893,-0.51410
13.5316,-0.53954,-1.04173,0.29427
13.6012,-1.27211,-2.74239,0.78890
13.6722,-0.51135,0.06801,0.80081
13.7396,0.90956,1.83054,0.23944
13.8050,1.07679,1.20572,-0.29317
13.8759,1.24605,2.08812,-0.71779
13.9378,0.53502,0.95639,-0.71168
14.0049,-0.58765,-1.24461,-0.25355
14.0705,-0.70376,-1.08218,0.09445
14.1388,-0.87146,-2.08267,0.92009
14.2022,-1.59584,-2.09768,0.69617
14.2723,0.63714,1.14245,0.61725
14.3371,0.81469,0.69540,-0.20945
14.4044,1.11392,0.91675,-0.37176
14.4678,1.11554,1.48099,-0.62991
14.5353,-0.11737,0.57983,-0.09033
14.6005,-0.68836,-1.21093,-0.22646
14.6667,-0.85536,-1.35064,0.50248
14.7330,-1.25667,-2.69285,0.64249
14.8033,-0.63945,-1.00977,0.44659
14.8644,0.55398,1.02074,0.18450
14.9298,1.12767,0.43186,-0.18491
14.9976,1.59047,2.27268,-0.92083
15.0730,0.17987,1.37421,-0.45513
15.1399,-0.54137,-1.21736,-0.37510
15.2114,-0.87017,-0.92628,0.26682
15.2730,-1.25821,-2.76542,0.85415
15.3379,-0.83621,-1.02893,0.47324
15.4032,0.86099,1.66292,0.18690
15.4701,1.03689,0.92772,-0.24867
15.5369,1.34121,2.27999,-0.79194
15.6050,0.78592,2.52520,-0.83212
15.6697,-0.51580,-1.68536,-0.33330
15.7363,-1.00796,-0.92026,0.48415
15.8009,-0.99980,-2.23609,1.39891
15.8689,-1.46729,-2.01383,0.39892
15.9350,0.46344,0.68623,0.30527
16.0009,1.07193,0.46472,-0.07364
16.0672,1.59052,0.91454,-0.73135
16.1361,1.18304,3.63994,-1.15094
16.2009,-0.26998,-0.35720,-0.74425
16.2667,-1.09447,-0.88644,-0.41365
16.3321,-0.58279,-1.61124,1.07327
16.3968,-1.23484,-2.78290,0.89199
16.4632,-0.43695,-0.64497,0.45866
16.5396,0.64056,0.94747,-0.02615
16.6048,1.12300,0.60467,-0.19720
16.6727,1.48929,2.41931,-0.85705
16.7381,0.55431,2.39264,-0.95660
16.8039,-0.48147,-1.59476,-0.47078
16.8707,-0.96929,-0.70481,0.43205
16.9377,-0.87268,-2.24714,1.12098
17.0023,-1.66356,-2.13819,0.50637
17.0717,0.00856,0.04121,0.18899
17.1358,0.82364,0.65896,-0.02205
17.2018,1.30782,0.77204,-0.34177
17.2679,1.94903,3.02945,-1.06943
17.3366,0.31004,1.75324,-1.09607
17.4024,-0.85775,-1.20055,-0.54893
17.4677,-0.93998,-0.65819,0.80304
17.5335,-0.46928,-2.01446,1.09360
17.6022,-1.21188,-1.92512,0.71177
17.6651,0.11750,0.38791,0.47350
17.7325,1.63822,0.68191,-0.20353
17.7990,1.81858,1.49687,-0.87253
17.8670,0.71100,2.03686,-1.05699
17.9293,-0.57027,-1.35488,-0.38281
18.0053,-1.41812,-0.67535,0.31860
18.0723,-0.79304,-2.17794,0.93906
18.1386,-1.68837,-3.17882,0.16715
18.2048,-0.17014,0.65210,0.20398
18.2714,0.98701,1.01973,-0.00508
18.3372,1.15464,1.16804,-0.13649
18.4025,1.50509,3.90993,-0.84820
18.4697,0.32568,0.99508,-0.71564
18.5358,-1.03461,-1.01742,-0.25585
18.6017,-0.67503,-1.54415,1.31318
18.6748,-1.71139,-2.70063,0.67459
18.7347,-0.58018,-1.27026,0.16080
18.8022,1.25932,1.67080,0.05054
18.8678,2.25846,0.01696,-0.55890
18.9347,1.30532,3.54065,-1.84408
19.0025,-0.48399,-0.13386,-0.97365
19.0684,-1.34963,-0.33114,-0.14041
19.1319,-0.55679,-0.41948,1.09869
19.1994,-1.16836,-2.65242,1.18532
19.2640,-0.98199,-1.63239,0.21283
19.3319,0.64534,1.80752,0.15111
19.4054,1.56123,0.78493,-0.33547
19.4727,1.34430,1.99117,-1.08095
19.5386,0.32723,2.83109,-1.07173
19.6043,-0.42818,-1.60746,-0.55255
19.6710,-0.79137,-0.09213,0.43909
19.7379,-0.16704,-1.31139,1.15477
19.8027,-1.69692,-2.66506,0.86399
19.8703,-0.47955,-1.05132,0.27367
19.9369,1.36155,1.19944,-0.27364
20.0024,1.30815,0.23751,-0.55850
20.0688,0.98046,2.36882,-1.26924
20.1358,0.36219,1.71220,-1.22760
20.2008,-1.00504,-1.84016,-0.35239
20.2680,-0.92527,-1.21405,0.77146
20.3347,-0.51812,-2.38359,1.16728
20.4024,-0.83282,-1.90317,1.06872
20.4664,0.39592,1.16601,0.20787
20.5367,1.50359,1.02088,-0.25954
20.5985,1.46968,1.20604,-0.65664
20.6643,0.71107,2.65900,-1.17752
20.7309,-0.15780,-0.14626,-0.99650
20.7981,-1.21619,0.36011,0.13263
20.8735,-0.65552,-0.93277,0.59981
20.9393,-0.84961,-1.98794,1.44081
21.0046,-1.22242,-1.26989,0.78552
21.0715,0.55545,0.97611,0.28334
21.1376,1.81721,0.89909,-0.60446
21.2035,1.10657,0.84262,-1.17421
21.2707,0.29472,1.46770,-0.93177
21.3366,-0.87094,-1.00003,-0.24826
21.4018,-0.99055,-0.93692,0.55470
21.4686,-0.13107,-1.95266,0.95901
21.5352,-1.39246,-2.94904,1.02457
21.6014,-0.16833,0.36405,0.36362
21.6684,2.01470,1.04189,-0.05658
21.7344,1.88997,1.84978,-1.06381
21.8009,0.52539,1.75836,-1.39351
21.8700,-0.50029,-0.40822,-0.44382
21.9316,-1.45911,-0.29745,0.25382
22.0004,-0.53871,-1.40052,1.02148
22.0654,-1.44546,-2.44327,1.21947
22.1305,-0.89367,-1.32722,0.16126
22.1972,1.26524,1.98978,0.01131
22.2632,1.91479,0.37697,-0.23613
22.3391,1.26438,2.34889,-1.03428
22.4062,0.46724,1.48931,-1.14183
22.4717,-1.06100,-1.18537,-0.23806
22.5382,-1.20281,-0.59781,0.54441
22.6038,-1.34303,-2.45912,1.20382
22.6704,-1.32892,-2.79884,0.25807
22.7365,0.46072,0.96048,-0.13089
22.8023,1.50948,0.87712,0.00174
22.8690,2.22925,2.14949,-1.29028
22.9354,0.66433,3.47569,-1.73590
23.0011,-0.57417,-1.51573,-0.76600
23.0677,-1.20776,0.09961,0.43723
23.1346,-0.49252,-1.07921,1.47114
23.2032,-1.21922,-1.51201,1.16223
23.2669,-0.55639,-0.17502,0.36203
23.3340,1.56533,2.38184,-0.16138
23.4012,1.39672,0.95964,-1.02092
23.4654,0.94188,1.75728,-1.65750
23.5320,0.31243,-0.46914,-0.84886
23.5998,-1.59504,-3.21530,0.57355
23.6633,-0.53130,-1.10647,2.27912
23.7395,-0.84161,-2.33973,1.48088
23.8055,-0.73164,-0.53943,0.32627
23.8721,1.03339,1.75536,-0.15956
23.9396,1.44825,0.77431,-0.49735
24.0040,1.04773,2.24061,-1.33214
24.0709,0.32273,2.65170,-1.55110
24.1371,-0.50720,-1.29156,-1.21004
24.2025,-0.57346,0.04586,0.06054
24.2693,-0.29391,-1.13223,0.59669
24.3367,-0.62182,-2.36662,1.52320
24.4011,-0.45257,-1.26814,1.17096
24.4683,0.63174,0.46433,0.14545
24.5365,1.64816,1.18274,-0.55717
24.6013,0.76287,1.29543,-1.04992
24.6706,0.09748,1.06273,-1.19490
24.7348,-0.50941,-0.62114,-0.40962
24.8024,-0.77459,-0.47842,0.34416
24.8652,-0.48875,-1.51239,0.76009
24.9310,-0.93142,-1.99261,1.49921
24.9986,-0.54229,-0.50996,0.71002
25.0644,0.99005,1.51781,0.20387
25.1315,0.98447,1.45215,-0.37195
25.2066,1.08964,1.40112,-1.16621
25.2722,0.79761,1.56734,-1.80011
25.3385,-0.88692,-3.10022,-0.52533
25.4047,-0.91973,-1.71261,0.81487
25.4719,-0.10945,-1.83773,1.25309
25.5373,-0.93447,-2.27883,1.23526
25.6032,0.10478,0.42396,0.15738
25.6698,1.31386,1.42602,-0.50571
25.7360,1.47677,2.43210,-0.87750
25.8018,0.57407,2.98015,-1.41305
25.8698,-0.28242,-0.42521,-0.94981
25.9340,-0.91986,-0.43620,0.29489
26.0010,-0.51602,-0.70204,1.08514
26.0687,-0.27335,-1.04210,1.85283
26.1374,-0.98778,-1.02043,0.48523
26.2017,0.08769,0.50188,0.57615
26.2657,2.11816,1.70842,-0.84279
26.3312,1.10540,-0.42567,-1.45510
26.3984,0.06777,0.68594,-1.47049
26.4644,-1.01892,-2.00055,-0.45087
26.5336,-0.95749,-1.01229,1.21728
26.5971,-0.37503,-1.88795,1.59446
26.6787,-1.46750,-2.37612,1.43961
26.7392,0.32796,1.32871,0.41411
26.8146,1.34654,1.14492,-0.39144
26.8714,1.18191,1.13726,-0.89600
26.9381,1.39366,3.51170,-1.40716
27.0055,-0.16844,0.05600,-1.18443
27.0709,-1.09013,-1.60616,-0.13031
27.1369,-0.87781,-1.33489,1.50028
27.2026,-0.80303,-2.51806,1.70243
27.2687,-0.19657,-1.77200,-0.15134
27.3351,1.01053,3.06184,-0.17183
27.4065,1.69200,1.73519,-0.47194
27.4689,0.65116,1.53137,-1.66053
27.5350,-0.11536,1.50624,-1.12230
27.6019,-0.66307,-1.41652,-0.10679
27.6706,-0.64705,-1.11608,0.48665
27.7355,-0.65396,-1.94821,1.29351
27.8034,-0.69850,-1.64823,0.98905
27.8650,0.07650,0.65951,0.43535
27.9309,1.36759,0.63400,-0.29244
27.9978,1.52546,1.54668,-0.94716
28.0642,0.65450,1.73338,-1.21052
28.1412,-0.12319,-0.41719,-0.71835
28.2161,-0.82235,-0.74340,0.07432
28.2723,-0.71780,-1.52908,0.71081
28.3452,-0.94736,-2.35910,1.24258
28.4043,-0.96588,-1.36113,0.77143
28.4789,0.55352,1.85263,0.21602
28.5382,1.64076,1.31123,-0.11282
28.6032,1.16872,2.18915,-0.83048
28.6701,1.03221,2.47781,-1.40438
28.7376,-0.32295,-0.97568,-0.69284
28.8008,-1.06166,-1.03148,0.23811
28.8685,-0.39166,-0.97545,1.11636
28.9362,-1.61648,-2.61262,0.91833
29.0009,-0.87086,-2.07201,-0.03666
29.0677,0.99355,1.88818,0.30493
29.1405,1.67304,-0.31120,-0.62705
29.2017,1.15551,2.80499,-1.53744
29.2654,-0.26611,1.86001,-1.37220
29.3329,-0.46747,-0.87438,-0.66301
29.3979,-0.82325,-0.28115,-0.11070
29.4638,-0.77904,-1.46945,0.64265
29.5505,-0.37659,-1.97112,1.49703
29.6060,-0.37601,-0.30265,1.09534
29.6724,0.63036,0.54730,0.31512
29.7386,2.12852,1.47644,-0.87352
29.8056,0.72774,1.73975,-0.97241
29.8708,-0.15518,-0.28261,-0.60203
29.9442,-0.53216,-0.02564,-0.09172
30.0031,-0.47825,-0.67804,0.28033
30.0718,-0.72246,-1.77783,0.82696
30.1356,-1.33613,-2.38552,0.85625
30.2026,-0.11792,-0.31085,0.15700
30.2680,1.30217,1.16299,-0.19669
30.3357,1.37074,1.02783,-0.52297
30.4022,0.70244,2.55988,-0.89200
30.4708,0.33014,0.84098,-1.14542
30.5340,-0.77408,-0.85769,-0.43076
30.6020,-0.70995,-0.81908,0.56299
30.6704,-0.55497,-1.43128,1.02218
30.7327,-0.81550,-1.89003,1.07403
30.7979,-0.28212,0.50513,0.45598
30.8650,0.99962,0.91260,0.03011
30.9299,1.43265,0.28780,-0.47121
31.0068,1.29944,1.95511,-1.34869
31.0727,0.37018,1.44709,-1.25298
31.1389,-0.96074,-1.01429,-0.49329
31.2064,-0.95011,-0.27973,0.58750
31.2758,-0.41475,-1.83316,0.97988
31.3373,-0.62664,-1.42465,1.29506
31.4035,-0.58903,-0.40010,0.52058
31.4703,1.07570,1.36268,0.01171
31.5386,1.88071,1.81130,-0.97587
31.6047,0.65520,1.57227,-1.34210
31.6777,-0.16319,-0.16513,-0.82811
31.7345,-0.83656,-0.99343,0.19453
31.8047,-0.60917,-0.80619,0.91499
31.8701,-0.58336,-1.96487,1.43024
31.9337,-1.17755,-1.41534,0.58694
32.0041,0.00754,0.44848,0.52210
32.0783,1.03456,1.19879,-0.17820
32.1320,0.85360,0.42048,-0.77421
32.1989,0.96338,2.57375,-1.42387
32.2643,-0.31050,0.78817,-0.99562
32.3314,-0.97186,-1.71722,-0.44899
32.3977,-0.52568,-0.78022,0.74642
32.4727,-0.08767,-2.07749,1.32176
32.5395,-0.52338,-1.49601,1.30044
32.6090,0.14745,0.04557,0.61832
32.6719,1.44603,0.98871,-0.40375
32.7399,1.04535,1.61978,-1.05080
32.8037,0.55665,2.15272,-1.36139
32.8712,-0.60872,-0.56522,-0.69997
32.9368,-0.95811,-0.94952,0.11013
33.0018,-0.45385,-1.60860,0.79032
33.0693,-0.91278,-2.56591,1.34393
33.1377,-0.46831,-0.94052,0.46510
33.2019,0.90229,1.44135,-0.02955
33.2686,1.51359,0.65263,-0.27686
33.3351,1.09510,2.05289,-1.05822
33.4045,0.27895,1.50469,-1.12593
33.4677,-0.59209,-1.00920,-0.66766
33.5386,-1.22860,-1.13182,0.27790
33.6064,-0.73276,-1.85920,1.17141
33.6650,-0.67972,-1.99013,0.97374
33.7310,-0.09136,-0.11615,0.33060
33.7985,1.11102,0.72434,-0.22380
33.8756,1.29574,1.21512,-0.76473
33.9400,1.02901,3.24270,-1.23194
34.0054,0.25926,1.23500,-1.38831
34.0716,-0.66033,-0.17812,-0.11834
34.1385,-0.86709,-0.74716,0.61687
34.2034,-0.41425,-1.21049,1.27411
34.2709,-0.93206,-1.33592,1.10977
34.3430,-0.35675,-0.10469,0.22423
34.4026,1.13819,0.94390,-0.06681
34.4711,1.19549,0.59380,-0.95171
34.5363,1.27016,1.19965,-1.41169
34.6039,-0.02179,0.41438,-0.74133
