time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:29:27:823, 
0.0401,0.37569,-0.01041,-0.54744
0.0967,0.41252,-0.10153,0.08638
0.1537,0.18942,0.01907,0.02620
0.2114,-0.67146,0.13088,0.24839
0.2681,-0.72680,0.26518,0.09975
0.3246,-0.00044,0.27700,-0.25650
0.3806,-0.08432,-0.32103,0.52184
0.4372,-0.52121,-0.64297,0.04551
0.4941,-1.72166,-0.11220,-0.59571
0.5723,-2.21687,0.40789,-0.36809
0.6072,-2.11621,0.86980,-0.76336
0.6673,-1.53779,0.52531,-0.68242
0.7237,-0.52975,0.06578,-0.27879
0.7792,-0.58498,-0.86076,1.38091
0.8351,0.33021,-0.83361,0.62403
0.8921,-0.19362,-0.15565,0.06329
0.9598,-1.47780,0.01865,0.22333
1.0052,0.72183,-0.11299,0.70661
1.0658,1.27596,-0.79629,1.46032
1.1190,-0.13193,-0.21019,0.36795
1.1761,0.31078,-0.16558,0.85104
1.2332,0.41233,0.15004,0.43723
1.2895,-0.54614,-0.05148,0.72826
1.3456,-0.38499,-0.06571,0.24488
1.4033,0.31004,-0.14355,0.45712
1.4590,-0.76903,0.40181,-0.06900
1.5157,-0.63506,0.01933,0.02505
1.5722,-0.31004,-0.13955,0.40839
1.6297,0.00434,-0.82278,0.24688
1.6866,0.00512,-0.10905,-0.01788
1.7425,0.20030,0.31293,-0.20865
1.8002,-0.13093,0.18876,0.08865
1.8572,-0.26934,0.71946,-0.47457
1.9142,-0.27424,0.24239,-0.39086
1.9705,-0.20567,0.39154,-0.68717
2.0269,-0.12819,-0.07281,-0.39634
2.0834,-0.05670,-0.29679,-0.30398
2.1441,0.01567,-0.26480,-0.15606
2.1986,0.14900,-0.59606,0.37703
2.2557,0.59766,-0.18493,0.41364
2.3113,0.72267,-0.20014,0.34028
2.3693,0.22246,-0.49769,0.30352
2.4265,-0.17437,-0.23096,0.21713
2.4826,-0.12576,-0.34818,0.03478
2.5407,-0.16582,-0.23831,0.14838
2.5964,-0.30074,0.93316,-0.02691
2.6522,-0.46702,1.70526,0.14474
2.7073,-0.59002,0.64142,0.45910
2.7660,-0.43495,-0.90129,0.63144
2.8269,-0.48086,-1.09710,0.68032
2.8791,-0.06342,0.32766,-0.23286
2.9374,0.28531,0.63993,-0.35859
2.9934,0.24270,0.37084,-0.23432
3.0489,-0.10538,-0.18827,0.27566
3.1060,0.08317,0.48382,-0.19877
3.1623,0.02763,0.32269,-0.03017
3.2263,-0.10668,0.20458,-0.16632
3.2768,0.04253,-0.16298,-0.31676
3.3375,-0.24013,0.08150,-0.02636
3.3907,-0.03451,0.23996,-0.20632
3.4469,-0.24795,-0.35750,0.24476
3.5027,-0.42289,-0.31560,0.29941
3.5600,-0.17230,0.13307,-0.31032
3.6374,-0.37394,0.48571,-0.19017
3.6729,-0.71970,0.34239,0.16888
3.7340,-0.56295,0.07819,-0.06280
3.7873,-0.16807,0.27056,-0.24476
3.8439,-0.12802,-0.03075,0.12857
3.9012,-0.16035,1.02001,-0.60284
3.9574,0.33283,0.44099,0.01020
4.0344,0.29223,-1.12136,0.75342
4.0721,0.16824,0.84454,-0.74499
4.1306,-0.47088,0.51887,-0.07663
4.1853,-0.73559,0.20137,-0.15790
4.2415,-0.72783,0.06910,-0.28135
4.2972,0.21781,-0.45150,0.14263
4.3560,0.04526,-0.20264,0.43608
4.4253,0.04783,0.48026,-0.06824
4.4683,-0.07393,0.14618,0.14845
4.5257,-0.63302,-0.07468,0.44638
4.5828,-1.15496,0.22364,-0.01643
4.6389,-0.35849,-0.29603,-1.14119
4.6954,0.25143,0.25712,0.45704
4.7512,0.09088,-0.00562,-0.26124
4.8260,0.55690,-0.05796,-0.02711
4.8667,-0.16790,0.06195,0.35894
4.9229,-0.21673,0.36213,-0.10728
4.9799,0.33586,0.01127,-0.05508
5.0379,0.18135,0.08204,0.15494
5.1073,-0.14180,0.17917,-0.01722
5.1497,-0.45074,-0.24459,0.05266
5.2067,-0.39100,0.02255,-0.23854
5.2625,-0.10511,0.19795,-0.39824
5.3201,-0.14574,-0.08718,-0.16093
5.3774,0.08888,0.01758,-0.06362
5.4339,0.14165,-0.04332,0.12180
5.4911,0.13870,-0.04804,0.25032
5.5462,0.25807,-0.02851,0.15246
