time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:29:27:823, 
0.0488,-12.14618,-20.94780,-33.69159
0.1003,-10.73021,-20.65483,-33.64365
0.2007,-12.47380,-21.63162,-33.49435
0.2504,-12.52251,-20.70006,-32.84442
0.2991,-16.15789,-20.71465,-32.05173
0.4001,-18.18573,-19.44418,-30.61743
0.4488,-20.55426,-20.44238,-28.76978
0.5003,-18.81688,-22.25986,-28.99991
0.5999,-16.46838,-21.85864,-30.31882
0.6500,-15.56947,-20.86842,-30.43076
0.7007,-14.84200,-21.25703,-30.96973
0.7999,-13.71882,-21.83475,-32.77704
0.8498,-12.13890,-24.49976,-30.52850
0.8998,-10.99949,-24.93190,-30.14386
1.0007,-11.09453,-25.70222,-31.38535
1.0502,-8.26604,-26.54893,-30.31674
1.0999,-6.13550,-28.67754,-29.53256
1.2004,-4.80352,-26.68874,-30.81271
1.2500,-2.89233,-26.78787,-31.18524
1.2998,-1.36086,-27.82080,-30.50992
1.3999,-0.10973,-27.02708,-30.11374
1.4503,0.64666,-27.82166,-31.00836
1.4996,1.51820,-27.93407,-30.81509
1.6020,0.32690,-28.75237,-29.82559
1.6496,-0.16692,-29.48819,-28.71875
1.6994,0.76501,-30.87469,-29.61435
1.8004,1.47759,-30.22459,-26.58325
1.8500,1.81858,-31.99007,-27.78314
1.9002,2.56142,-31.56889,-27.79083
2.0001,2.01653,-31.21843,-27.25693
2.0504,2.65390,-31.31711,-26.93286
2.0996,2.64071,-33.03864,-26.06693
2.2004,1.60757,-32.53023,-26.13690
2.2506,1.71747,-33.31097,-25.94608
2.3024,1.98726,-34.42767,-24.53937
2.4007,1.28933,-34.79150,-22.86050
2.4504,0.90396,-35.81650,-21.97470
2.4993,2.30846,-37.23907,-21.39554
2.5995,1.22029,-38.22189,-19.39798
2.6521,2.83946,-39.72658,-17.40323
2.7007,2.89761,-39.64404,-16.68390
2.8043,2.55918,-40.70629,-14.53391
2.8514,3.23066,-39.53979,-14.19305
2.9002,3.69311,-40.71853,-13.19449
3.0008,1.88791,-41.26269,-13.74811
3.0493,2.22893,-40.12525,-14.84308
3.1021,0.74820,-40.41925,-13.65671
3.2030,-0.85786,-41.54477,-13.64777
3.2503,-0.42416,-41.48874,-12.77759
3.3001,-1.09529,-42.03950,-12.49304
3.3994,-2.39603,-40.85167,-13.16791
3.4496,-2.63506,-41.22604,-13.37430
3.5005,-2.89038,-40.04283,-13.17761
3.6011,-4.07503,-40.68587,-13.17566
3.6500,-2.07731,-40.41040,-14.12756
3.7006,-3.48967,-40.64039,-13.02396
3.7993,-3.51342,-40.07300,-13.28360
3.8491,-4.14871,-40.14653,-13.15674
3.9018,-4.81695,-39.68700,-13.28253
4.0010,-5.95725,-40.79657,-13.44543
4.0512,-7.00547,-40.56171,-13.58926
4.1000,-7.41086,-40.58208,-13.65536
4.1994,-6.90460,-39.01778,-14.14276
4.2505,-5.91727,-38.41654,-14.66989
4.2995,-6.87198,-39.04464,-14.85861
4.4060,-7.65612,-39.25868,-14.32095
4.4509,-7.56807,-37.89941,-12.93698
4.5003,-6.84410,-38.22050,-13.42993
4.5994,-7.82022,-39.36404,-12.52701
4.6498,-8.85048,-39.36440,-11.91785
4.6996,-8.62729,-39.10832,-11.78375
4.8048,-9.66857,-38.63870,-12.23398
4.8522,-9.26014,-38.70807,-12.77557
4.8996,-9.81105,-39.79192,-13.01208
5.0010,-8.39254,-39.63938,-13.34335
5.0496,-9.22264,-39.32896,-14.01718
5.1073,-8.41682,-38.78808,-14.56604
5.2025,-8.93388,-39.67181,-12.44589
5.2506,-9.56776,-38.93838,-13.16599
5.3000,-9.98440,-39.74747,-13.81601
5.4001,-10.21842,-38.08999,-12.26190
5.4516,-11.09972,-39.30037,-12.47189
5.4996,-10.21935,-39.54742,-13.48056
5.6004,-12.31309,-39.04310,-10.60339
5.6512,-12.21776,-39.48245,-11.20212
5.6998,-11.81651,-39.59551,-10.92313
5.8010,-12.17424,-39.13921,-10.29077
5.8496,-11.95304,-39.67134,-11.01868
5.8996,-13.29966,-40.02237,-10.31143
6.0065,-12.49072,-39.62133,-10.59097
6.0508,-12.71489,-39.24251,-11.09711
6.0996,-11.71898,-39.02396,-12.26279
6.1994,-11.70173,-39.34882,-11.71185
6.2503,-13.02303,-40.27297,-8.11618
6.2996,-12.86392,-40.34716,-7.91791
6.4026,-10.30132,-41.24742,-8.39719
6.4523,-9.59425,-41.21168,-9.96033
6.5006,-11.01296,-40.25207,-11.01056
6.6001,-9.81544,-41.69463,-7.19992
6.6499,-7.57464,-40.88406,-11.32126
6.7005,-8.78725,-40.46319,-11.39600
6.7987,-8.38853,-38.32311,-14.54633
6.8519,-5.90186,-37.65851,-16.78592
6.9011,-4.64964,-38.96298,-16.79514
7.0001,-4.37703,-37.08937,-17.77515
7.0501,-1.81871,-38.41750,-20.34344
7.1035,2.20735,-38.38651,-21.47501
7.2012,3.92308,-36.29341,-22.60214
7.2519,5.01585,-36.53581,-23.54800
7.3001,5.36681,-36.25056,-23.55508
7.4003,6.73673,-36.13564,-23.33838
7.4504,5.88832,-35.48372,-23.10498
7.5003,6.56456,-36.59021,-22.36270
7.6029,3.46581,-36.31360,-23.03867
7.6524,3.94551,-36.92855,-22.92725
7.6998,3.24944,-35.75925,-24.93854
7.7993,1.05803,-34.68359,-25.90521
7.8502,0.32755,-35.33049,-23.70547
7.9129,-0.02701,-35.40753,-24.91907
7.9999,0.77577,-35.85849,-23.00449
8.0499,1.07779,-35.67012,-23.77087
8.1013,1.00183,-36.00914,-23.63593
8.2033,2.14625,-36.23299,-21.92459
8.2500,2.64932,-35.84508,-23.12796
8.3063,2.71790,-36.25011,-23.19553
8.3999,3.57130,-35.87312,-24.13657
8.4516,4.52587,-35.97597,-23.84735
8.5009,5.40548,-35.69290,-23.47891
8.6039,6.02997,-36.82786,-22.49069
8.6496,5.07465,-35.24855,-24.71051
8.7049,5.54851,-34.73419,-25.59113
8.8058,6.93860,-36.00143,-23.98517
8.8501,6.10048,-36.33356,-23.89664
8.8995,5.17111,-35.70825,-24.89929
8.9997,4.66239,-36.38467,-23.44034
9.0514,4.98233,-35.80945,-22.76248
9.1066,4.29900,-35.57870,-24.90903
9.2007,5.26419,-35.44821,-25.66986
9.2512,7.63660,-36.00667,-24.97934
9.2999,5.89194,-38.26383,-20.19174
9.4004,5.87609,-39.61746,-17.07358
9.4495,8.09782,-39.61357,-16.06436
9.5042,7.61102,-39.49068,-16.32605
9.6034,9.16080,-39.72639,-16.83289
9.6501,7.60386,-39.42054,-15.96555
9.6992,6.66077,-37.99677,-17.85236
9.7995,7.42627,-39.50284,-17.11404
9.8507,5.86278,-39.07831,-18.55777
9.9014,3.52758,-38.67175,-18.44852
10.0015,3.79309,-37.08620,-21.51563
