time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:29:27:823, 
0.0400,0.09057,-53.39054,38.83984
0.0967,1.06068,-53.67050,38.84468
0.1545,1.04249,-53.34364,39.58183
0.2114,-0.57219,-53.28817,39.85967
0.2682,-2.80682,-53.19860,41.49960
0.3246,-6.55906,-52.51807,42.49606
0.3806,-10.90093,-52.38234,43.45061
0.4369,-13.69607,-52.36843,45.10178
0.4941,-12.33793,-52.57471,47.57289
0.5723,-8.90897,-52.91222,50.08455
0.6072,-4.23979,-53.43079,50.30732
0.6673,-1.98975,-53.34070,48.63429
0.7238,-1.32471,-53.33951,47.05114
0.7785,-1.19812,-53.96660,46.25355
0.8359,0.57406,-55.95686,45.61740
0.8935,3.60243,-57.98522,46.01204
0.9599,4.10855,-60.21883,43.89187
1.0052,4.21911,-59.64817,42.90655
1.0659,9.13080,-61.86723,43.80143
1.1197,12.39212,-62.85740,44.89926
1.1762,14.68402,-62.62713,45.68797
1.2332,18.17914,-62.10421,46.72145
1.2896,20.41542,-62.38936,46.78135
1.3647,22.17612,-63.34166,45.19154
1.4033,23.23214,-64.19753,43.45528
1.4594,22.50831,-64.84277,40.87293
1.5157,21.48594,-65.46779,38.19238
1.5722,21.03392,-66.93858,35.79350
1.6298,21.37792,-68.87385,34.70643
1.6877,22.56730,-70.25707,35.98714
1.7433,26.12687,-70.83759,39.71635
1.8013,29.88883,-71.27317,42.89157
1.8578,32.52224,-70.98113,45.43478
1.9142,34.58417,-70.54635,47.90147
1.9719,35.17223,-70.05849,48.63744
2.0277,35.28908,-69.82084,49.29772
2.0836,36.26457,-70.36777,50.88758
2.1441,36.96748,-70.63254,52.44137
2.1994,38.34826,-71.21594,54.13041
2.2556,41.11212,-72.27675,57.22148
2.3107,44.55769,-73.35093,61.41414
2.3684,46.70095,-73.81148,64.77438
2.4265,48.87730,-74.32484,68.68718
2.4826,52.90777,-73.51218,75.78139
2.5407,59.84493,-72.78635,86.09182
2.5964,65.44216,-72.09966,94.47900
2.6522,72.00285,-71.15950,104.56022
2.7073,78.05701,-69.81025,113.96877
2.7660,79.73116,-68.41620,118.83392
2.8270,78.86511,-68.26125,119.38615
2.8791,78.97899,-68.05533,120.96228
2.9365,78.73176,-67.43073,122.21593
2.9945,79.02461,-66.87280,124.41708
3.0489,78.91703,-67.59373,124.99680
3.1060,78.57124,-69.14853,124.47248
3.1627,80.32600,-70.05447,126.36855
3.2263,80.49838,-70.55029,127.13766
3.2768,80.28990,-71.41974,127.52061
3.3375,80.91157,-72.37473,128.28702
3.3907,78.72562,-72.95805,126.88454
3.4468,74.46827,-73.38094,122.62624
3.5031,70.61819,-73.93826,118.22512
3.5603,70.46088,-74.99367,117.90777
3.6374,72.73672,-75.16892,120.55020
3.6745,74.47906,-74.80022,123.22153
3.7341,77.86559,-74.99355,126.64088
3.7873,79.12762,-75.55157,127.53985
3.8439,80.20709,-75.95334,129.50684
3.9018,78.26404,-76.69409,127.99542
3.9590,72.42213,-77.25398,122.43790
4.0344,69.62554,-78.19390,120.80881
4.0721,64.82019,-79.32861,115.70828
