time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:41:52:592, 
0.0444,-1.73913,8.17643,5.12756
0.1017,-1.47547,8.09517,5.33493
0.1587,-1.30819,7.81549,5.77730
0.2146,-1.08130,7.75319,5.90671
0.2712,-0.81544,7.65363,6.07679
0.3282,-0.69736,7.71982,6.00737
0.3862,-0.67722,7.68821,6.05006
0.4416,-0.69400,7.63764,6.11189
0.5002,-0.61950,7.61105,6.15293
0.5565,-0.46357,7.70871,6.04411
0.6124,-0.46910,7.82664,5.89017
0.6691,-0.34540,7.60723,6.17909
0.7258,-0.49553,6.74538,7.10104
0.7836,-0.48570,5.96427,7.76929
0.8389,-0.38120,6.42156,7.40194
0.8970,-0.19290,6.52332,7.31980
0.9661,0.07133,6.63496,7.22099
1.0097,0.20303,6.66830,7.18769
1.0697,0.18631,6.82956,7.03511
1.1242,0.07786,7.20616,6.65098
1.1805,-0.05788,7.53300,6.27861
1.2374,-0.26368,7.64706,6.13378
1.2939,-0.38006,7.79259,5.94150
1.3542,-0.55788,8.17129,5.39344
1.4065,-0.60562,8.53686,4.78807
1.4637,-0.70720,8.55361,4.74404
1.5268,-0.80163,8.49406,4.83515
1.5783,-0.88966,8.59678,4.63403
1.6363,-0.94020,8.69961,4.42756
1.6921,-1.02857,8.80078,4.20223
1.7484,-1.05079,8.85142,4.08883
1.8127,-1.03389,8.89571,3.99598
1.8611,-1.05366,8.92916,3.91539
1.9238,-1.06232,8.94248,3.88250
1.9765,-1.09314,9.12352,3.42591
2.0319,-1.08040,9.20035,3.21818
2.0892,-1.04721,9.29898,2.93303
2.1454,-1.13809,9.27382,2.97849
2.2118,-1.21466,9.29912,2.86731
2.2593,-1.13525,9.33009,2.79839
2.3180,-1.02827,9.35674,2.75036
2.3768,-1.00008,9.38821,2.65174
2.4295,-0.97124,9.38279,2.68149
2.4859,-1.05511,9.36810,2.70107
2.5428,-1.03929,9.40804,2.56498
2.6107,-1.13067,9.42614,2.45761
2.6577,-1.11211,9.44474,2.39383
2.7132,-1.06698,9.46720,2.32466
2.7736,-1.00610,9.48344,2.28530
2.8266,-0.98509,9.48529,2.28674
2.8830,-0.94673,9.50369,2.22574
2.9404,-0.95233,9.53304,2.09396
2.9962,-0.94790,9.55126,2.01128
3.0547,-1.02579,9.55936,1.93309
3.1114,-1.08103,9.58726,1.75675
3.1704,-0.97048,9.63539,1.54528
3.2241,-0.75369,9.66813,1.45932
3.2807,-0.56356,9.66835,1.54137
3.3374,-0.52123,9.66031,1.60531
3.3944,-0.38530,9.66245,1.63065
3.4517,-0.27789,9.66109,1.66027
3.5084,-0.29714,9.66440,1.63751
3.5648,-0.29741,9.68404,1.51704
3.6209,-0.33429,9.70025,1.40135
3.6787,-0.38093,9.70495,1.35621
3.7354,-0.45217,9.73038,1.13383
3.7916,-0.58463,9.74937,0.88227
3.8496,-0.77213,9.74385,0.79475
3.9057,-0.87715,9.73283,0.82036
3.9630,-0.74970,9.74448,0.80831
4.0192,-0.74287,9.74605,0.79564
4.0781,-0.80301,9.74709,0.72097
4.1317,-0.83625,9.74331,0.73419
4.1930,-0.83100,9.74008,0.78151
4.2467,-0.83712,9.74161,0.75538
4.3030,-0.82091,9.74813,0.68593
4.3592,-0.83663,9.74601,0.69701
4.4161,-0.92083,9.73979,0.67744
4.4732,-0.90394,9.75261,0.48981
4.5300,-0.97021,9.74786,0.45644
4.5919,-1.03875,9.73532,0.56111
4.6438,-0.94882,9.74295,0.58744
4.7005,-0.94691,9.74502,0.55533
4.7579,-1.01362,9.74008,0.52328
4.8143,-1.05239,9.73652,0.51278
4.8753,-1.08780,9.73079,0.54661
4.9267,-1.18932,9.71793,0.56376
4.9889,-1.31254,9.70003,0.59759
5.0418,-1.36769,9.68913,0.64850
5.0977,-1.37923,9.68594,0.67127
5.1544,-1.42142,9.68308,0.62285
5.2110,-1.49651,9.67684,0.53821
5.2745,-1.52722,9.67422,0.49736
5.3255,-1.49617,9.67741,0.52879
5.3839,-1.47620,9.67680,0.59218
5.4416,-1.47043,9.67831,0.58183
5.4964,-1.49599,9.67929,0.49367
5.5526,-1.51806,9.68165,0.36276
5.6085,-1.52908,9.68221,0.29515
5.6759,-1.54508,9.67680,0.37769
5.7216,-1.59218,9.67052,0.34126
5.7802,-1.65779,9.66448,0.14130
5.8356,-1.70722,9.65690,0.00767
5.8923,-1.75331,9.64864,-0.00112
5.9497,-1.75359,9.64857,0.02073
6.0058,-1.78338,9.64284,0.07484
6.0724,-1.77663,9.64374,0.11053
6.1204,-1.79937,9.63929,0.12972
6.1759,-1.89206,9.62086,0.17162
6.2355,-1.91299,9.61439,0.27276
6.2899,-1.94494,9.60235,0.42724
6.3463,-1.91703,9.60297,0.52758
6.4027,-1.95407,9.59477,0.54069
6.4603,-1.95409,9.59322,0.56744
6.5172,-1.92331,9.58790,0.73720
6.5738,-1.92941,9.56767,0.95264
6.6299,-1.92510,9.55877,1.04604
6.6873,-1.89964,9.55782,1.09993
6.7430,-1.85986,9.56302,1.12248
6.8013,-1.90313,9.55189,1.14452
6.8642,-2.02511,9.51405,1.24582
6.9140,-2.08346,9.49253,1.31203
6.9706,-2.14756,9.46920,1.37574
7.0281,-2.17166,9.46104,1.39394
7.0846,-2.19190,9.45677,1.39120
7.1411,-2.19667,9.45631,1.38681
7.1977,-2.19320,9.46818,1.30910
7.2596,-2.24314,9.46110,1.27525
7.3123,-2.30453,9.44973,1.24981
7.3682,-2.39305,9.44191,1.13752
7.4240,-2.48698,9.43135,1.01736
7.4815,-2.47759,9.44379,0.92024
7.5409,-2.49752,9.43674,0.93852
7.5948,-2.45269,9.43770,1.04140
7.6578,-2.30576,9.48327,0.95993
7.7130,-2.23066,9.49830,0.98838
7.7673,-2.15939,9.51060,1.02762
7.8237,-2.04288,9.54470,0.94640
7.8793,-2.00745,9.56285,0.83217
7.9391,-2.01211,9.56758,0.76367
7.9931,-2.07335,9.55604,0.74413
8.0544,-2.05025,9.55353,0.83480
8.1074,-1.97042,9.56081,0.93737
8.1632,-1.91102,9.57666,0.89776
8.2195,-1.85943,9.59001,0.86294
8.2761,-1.84754,9.58798,0.90978
8.3337,-1.79376,9.59192,0.97364
8.3910,-1.63344,9.61943,0.98430
8.4485,-1.40210,9.64902,1.04928
8.5049,-1.36614,9.64961,1.09047
8.5607,-1.33082,9.65012,1.12892
8.6221,-1.24909,9.65274,1.19781
8.6736,-1.12274,9.65463,1.30308
8.7364,-1.10499,9.64394,1.39421
8.7888,-1.01667,9.64091,1.47973
8.8451,-0.95175,9.62620,1.61268
8.9036,-0.98768,9.60746,1.70049
8.9585,-1.00599,9.59185,1.77618
9.0147,-1.06059,9.57673,1.82530
9.0707,-1.11564,9.56859,1.83519
9.1283,-1.11927,9.57253,1.81229
9.1858,-1.10650,9.58249,1.76689
9.2420,-1.11699,9.58659,1.73781
9.3028,-1.13952,9.59018,1.70304
9.3552,-1.12022,9.59640,1.68065
9.4122,-1.08125,9.60701,1.64522
9.4692,-1.09456,9.60760,1.63290
9.5356,-1.08161,9.61767,1.58143
9.5836,-1.11738,9.61950,1.54500
9.6401,-1.14702,9.62092,1.51414
9.6968,-1.16652,9.63166,1.42852
9.7529,-1.17102,9.64163,1.35574
9.8203,-1.14224,9.65368,1.29313
9.8656,-1.13392,9.65873,1.26236
9.9250,-1.12928,9.66081,1.25057
9.9806,-1.12499,9.66349,1.23360
10.0369,-1.12271,9.66518,1.22235
10.0933,-1.14680,9.66346,1.21356
10.1520,-1.12991,9.66964,1.17972
10.2229,-1.12974,9.66900,1.18510
10.2628,-1.06574,9.68391,1.12091
10.3225,-0.98913,9.69218,1.11964
10.3801,-0.93264,9.70035,1.09716
10.4339,-0.90570,9.69794,1.14015
10.4909,-0.88723,9.69237,1.20048
10.5476,-0.91231,9.68423,1.24652
10.6047,-0.97002,9.67840,1.24824
10.6620,-1.03792,9.67802,1.19546
10.7212,-1.09958,9.67471,1.16673
10.7749,-1.13192,9.67476,1.13497
10.8315,-1.11427,9.67694,1.13387
10.8883,-1.09766,9.67749,1.14529
10.9454,-1.08147,9.67833,1.15357
11.0016,-1.08826,9.67951,1.13721
11.0586,-1.10447,9.68077,1.11047
11.1163,-1.14494,9.68134,1.06357
11.1726,-1.27503,9.66768,1.03959
11.2293,-1.35590,9.66073,1.00108
11.2857,-1.38816,9.65388,1.02270
11.3420,-1.40650,9.64950,1.03884
11.3992,-1.42902,9.64512,1.04878
11.4575,-1.45924,9.64893,0.96905
11.5136,-1.52721,9.64051,0.94790
11.5693,-1.52884,9.63811,0.96948
11.6265,-1.51539,9.63693,1.00181
11.6887,-1.47701,9.63952,1.03371
11.7398,-1.48652,9.64455,0.97128
11.7958,-1.26477,9.68775,0.84746
11.8536,-0.92073,9.74165,0.65035
11.9102,-0.88671,9.74756,0.60756
11.9661,-0.87691,9.74769,0.61971
12.0234,-0.87831,9.74758,0.61941
12.0869,-0.87719,9.74842,0.60767
12.1380,-0.87973,9.74851,0.60255
12.1937,-0.87594,9.74849,0.60826
12.2512,-0.87985,9.74771,0.61520
12.3083,-0.88135,9.74781,0.61137
12.3677,-0.94040,9.72857,0.80062
12.4201,-0.93417,9.72675,0.82953
12.4782,-0.93280,9.72200,0.88487
12.5350,-0.94125,9.72347,0.85940
12.6041,-0.94178,9.72447,0.84746
12.6493,-0.95591,9.72334,0.84456
12.7047,-0.97019,9.72258,0.83695
12.7622,-0.97581,9.72285,0.82727
12.8185,-0.97707,9.72383,0.81412
12.8862,-0.97883,9.72464,0.80223
12.9313,-0.97787,9.72230,0.83129
12.9930,-0.96315,9.72040,0.86985
13.0504,-0.94177,9.71742,0.92473
13.1027,-0.92540,9.71509,0.96488
13.1598,-0.91833,9.71359,0.98651
13.2155,-0.93299,9.71130,0.99524
13.2841,-0.94271,9.70999,0.99889
13.3286,-0.94896,9.71002,0.99262
13.3897,-0.95690,9.70846,1.00030
13.4429,-0.96258,9.70682,1.01071
13.4997,-0.96762,9.70478,1.02533
13.5564,-0.97158,9.70360,1.03274
13.6130,-0.97828,9.70363,1.02612
13.6705,-0.98550,9.70469,1.00906
13.7266,-0.98864,9.70514,1.00157
13.7875,-0.99674,9.70469,0.99793
13.8427,-1.00272,9.70447,0.99413
13.8985,-1.01149,9.70383,0.99142
13.9538,-1.01100,9.70474,0.98302
14.0107,-1.01368,9.70551,0.97261
14.0697,-1.00275,9.70619,0.97716
14.1239,-1.00170,9.70494,0.99048
14.1841,-1.04594,9.69453,1.04526
14.2376,-1.09412,9.67692,1.15348
14.2948,-1.12233,9.65893,1.27112
14.3524,-1.13027,9.65771,1.27342
14.4077,-1.28503,9.64898,1.19006
14.4641,-1.43694,9.57062,1.58391
14.5212,-1.49482,9.56883,1.54057
14.5790,-1.33106,9.62093,1.35511
14.6349,-0.99438,9.65905,1.37270
14.6919,-0.78317,9.65032,1.55834
14.7523,-0.83148,9.61835,1.72231
14.8051,-0.87552,9.60139,1.79365
14.8613,-0.86350,9.61405,1.73058
14.9212,-0.78653,9.66065,1.49116
14.9767,-0.65281,9.72254,1.10290
15.0321,-0.59974,9.74347,0.93571
15.0895,-0.69025,9.73724,0.93819
15.1518,-0.62201,9.76777,0.61162
15.2026,-0.80297,9.76725,0.35576
15.2604,-0.99367,9.74536,0.45933
15.3164,-0.94409,9.73885,0.65872
15.3731,-0.88166,9.73504,0.78871
15.4295,-0.98905,9.72929,0.73016
15.4869,-1.03436,9.71153,0.88689
15.5545,-1.01089,9.70567,0.97385
15.5994,-1.07949,9.69280,1.02701
15.6613,-1.01540,9.68048,1.19485
15.7128,-1.01815,9.66941,1.27916
15.7720,-1.06989,9.66530,1.26798
15.8268,-1.10526,9.66158,1.26599
15.8848,-1.11381,9.66145,1.25942
15.9519,-1.10652,9.66736,1.21987
15.9970,-1.11671,9.66799,1.20553
16.0583,-1.09743,9.66854,1.21874
16.1147,-1.06040,9.67223,1.22228
16.1674,-1.06014,9.67182,1.22575
16.2250,-1.06766,9.66881,1.24285
16.2813,-1.04776,9.66843,1.26253
16.3494,-0.94767,9.67523,1.28925
16.3946,-0.85591,9.67773,1.33390
16.4552,-0.77159,9.67898,1.37566
16.5096,-0.75704,9.68214,1.36144
16.5667,-0.75839,9.68127,1.36686
16.6212,-0.78402,9.68037,1.35876
16.6786,-0.79965,9.68200,1.33781
16.7495,-0.78651,9.68445,1.32790
16.7920,-0.77464,9.68400,1.33811
16.8526,-0.74981,9.68768,1.32555
16.9070,-0.71831,9.69107,1.31818
16.9627,-0.69748,9.69063,1.33252
17.0195,-0.66604,9.69120,1.34440
17.0762,-0.63622,9.69190,1.35376
17.1323,-0.62027,9.69103,1.36732
17.1909,-0.61755,9.69213,1.36073
17.2476,-0.56163,9.69492,1.36512
17.3034,-0.54070,9.69538,1.37025
17.3609,-0.53677,9.69216,1.39435
17.4163,-0.55061,9.68931,1.40873
17.4727,-0.60663,9.68834,1.39230
17.5300,-0.64529,9.68510,1.39742
17.5894,-0.65916,9.68438,1.39596
17.6436,-0.65290,9.68140,1.41939
17.6997,-0.61751,9.67960,1.44718
17.7577,-0.59526,9.67651,1.47688
17.8129,-0.59257,9.67460,1.49041
17.8707,-0.61472,9.67194,1.49868
17.9268,-0.60674,9.66989,1.51510
17.9849,-0.60327,9.68362,1.42615
18.0462,-0.40085,9.70048,1.38219
18.0985,-0.24373,9.69318,1.46737
18.1552,-0.13766,9.69851,1.44579
18.2121,-0.33448,9.70348,1.37875
18.2692,-0.65451,9.67743,1.44549
18.3258,-1.20951,9.62840,1.41472
18.3828,-1.85838,9.47884,1.69365
18.4388,-1.67320,9.33663,2.48962
18.4952,-1.18242,9.44534,2.35749
18.5533,-0.83361,9.60409,1.79913
18.6106,-0.49520,9.79259,0.17431
18.6653,-0.73894,9.72028,-1.06792
18.7222,-1.59414,9.66644,-0.43477
18.7804,-1.55874,9.63719,0.93017
18.8365,-0.65347,9.60745,1.85481
18.8929,-0.64861,9.55384,2.11513
18.9497,-0.23877,9.72879,1.20994
19.0066,0.03280,9.73398,-1.19117
19.0633,-0.91752,9.66227,-1.40321
19.1204,-1.56473,9.64840,-0.79395
19.1770,-1.86226,9.62079,0.37780
19.2335,-0.83766,9.60773,1.77769
19.2939,-0.26961,9.55614,2.18585
19.3466,0.00224,9.68841,1.51828
19.4053,0.31567,9.79629,0.32164
19.4602,0.28995,9.64124,-1.76999
19.5186,-0.77165,9.62435,-1.71664
19.5749,-1.35717,9.70936,-0.23847
19.6308,-0.99153,9.70803,0.97029
19.6919,-0.51035,9.54315,2.19960
19.7443,-0.42473,9.60994,1.90763
19.8021,0.00828,9.75090,1.04412
19.8589,0.53159,9.75681,-0.83211
19.9152,-0.21733,9.55254,-2.20730
19.9729,-1.50352,9.61372,-1.21906
20.0284,-1.80960,9.62831,-0.43752
20.0938,-1.28195,9.68253,0.88068
20.1418,-0.67601,9.56090,2.07428
20.2020,0.13487,9.57420,2.11824
20.2563,0.56661,9.76343,0.72445
20.3134,0.09593,9.70991,-1.37068
20.3686,-0.60702,9.58954,-1.96025
20.4260,-1.28147,9.66551,-1.05169
20.4827,-1.20599,9.73192,0.07551
20.5451,-0.67785,9.69665,1.29839
20.5953,-0.09800,9.62203,1.89137
20.6559,0.34194,9.70059,1.39715
20.7102,0.43784,9.79647,-0.08865
20.7666,0.03789,9.71824,-1.31330
20.8232,-0.42344,9.71638,-1.25820
20.8798,-0.82390,9.73301,-0.87184
20.9412,-1.01518,9.74170,0.48893
20.9941,-0.54708,9.67444,1.50874
21.0549,0.09882,9.71042,1.36685
21.1085,0.39660,9.79744,0.15246
21.1639,0.19867,9.65543,-1.70397
21.2205,-0.53164,9.68262,-1.46102
21.2767,-0.74599,9.64270,-1.62241
21.3367,-0.57260,9.76875,-0.64343
21.3909,-0.46138,9.76478,0.77886
21.4499,-0.25590,9.63267,1.82115
21.5044,0.27960,9.66853,1.61608
21.5620,0.20799,9.77468,0.76334
21.6170,-0.03832,9.78538,-0.64440
21.6740,-0.71037,9.59307,-1.90757
21.7305,-0.75166,9.62648,-1.71352
21.7897,-0.60177,9.68625,-1.40882
21.8446,-0.54924,9.77071,-0.63398
21.9020,-0.58860,9.78854,0.09193
21.9589,-0.40982,9.78606,0.48527
22.0140,-0.36758,9.77205,0.73639
22.0710,-0.46200,9.76221,0.81001
22.1404,-0.44511,9.76771,0.75104
22.1864,-0.21371,9.77811,0.71643
22.2426,-0.18208,9.77813,0.72485
22.2999,0.05869,9.79198,0.53309
22.3561,0.43590,9.78607,0.46180
22.4126,0.81535,9.76203,0.45646
22.4692,1.03133,9.74563,0.35973
22.5257,1.07034,9.73982,0.40091
22.5826,1.09260,9.73868,0.36706
22.6396,1.07069,9.74037,0.38628
22.6979,1.02007,9.73904,0.53008
22.7536,0.95028,9.73547,0.69853
22.8099,0.96768,9.72921,0.75920
22.8662,0.89555,9.74143,0.68765
22.9269,0.83544,9.75877,0.48881
22.9805,0.79737,9.77219,0.19734
23.0375,0.67090,9.78344,0.06827
23.0941,0.69301,9.78011,0.19911
23.1508,0.67480,9.77384,0.43245
23.2078,0.65337,9.76297,0.65419
23.2640,0.54380,9.75803,0.80967
23.3247,0.43264,9.76790,0.75582
23.3788,0.30131,9.78598,0.56051
23.4353,0.20649,9.79770,0.36441
23.4920,0.11680,9.80359,0.21536
23.5487,0.03382,9.80636,0.06816
23.6048,0.01828,9.80661,0.01910
23.6617,0.06984,9.80591,0.09777
23.7214,0.09356,9.80548,0.11882
23.7750,0.06814,9.80460,0.18863
23.8332,0.00578,9.80490,0.18539
23.8894,-0.08464,9.80445,0.18992
23.9453,-0.20990,9.80240,0.19842
24.0070,-0.27822,9.80212,0.10734
24.0588,-0.27945,9.80259,0.03988
24.1200,-0.27345,9.80281,0.02394
24.1758,-0.27392,9.80250,0.07928
24.2299,-0.29561,9.80016,0.19969
24.2861,-0.32285,9.79831,0.24360
24.3443,-0.29598,9.79709,0.31583
24.3996,-0.29430,9.79496,0.37746
24.4567,-0.27670,9.79583,0.36826
24.5128,-0.27728,9.79661,0.34648
24.5700,-0.29498,9.79733,0.30942
24.6261,-0.29353,9.79801,0.28839
24.6866,-0.27181,9.79957,0.25486
24.7401,-0.24445,9.80156,0.20022
24.7966,-0.15663,9.79808,0.37887
24.8547,-0.02014,9.78646,0.62871
24.9114,0.05669,9.77987,0.72206
24.9700,-0.05505,9.77514,0.78354
25.0249,-0.07071,9.77846,0.73964
25.0991,-0.16210,9.77656,0.75039
25.1374,-0.31465,9.75763,0.92737
25.2024,-0.42282,9.74938,0.97011
25.2526,-0.57853,9.74233,0.96058
25.3095,-0.70272,9.74381,0.85719
25.3673,-0.91208,9.72941,0.82285
25.4210,-1.16964,9.70121,0.82992
25.4784,-1.45673,9.66639,0.78046
25.5360,-1.66603,9.64212,0.65130
25.6020,-1.91537,9.60249,0.54209
25.6488,-2.22140,9.54143,0.44363
25.7052,-2.51147,9.47506,0.29356
25.7623,-2.71313,9.42259,0.15544
25.8196,-2.89619,9.36922,0.00982
25.8834,-3.05118,9.31910,-0.12289
25.9317,-3.13573,9.28774,-0.27477
25.9938,-3.17325,9.26886,-0.43480
26.0469,-3.20997,9.24948,-0.56005
26.1026,-3.25616,9.23022,-0.60902
26.1596,-3.21908,9.23845,-0.67746
