time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:41:52:592, 
0.0225,-7.08401,-26.28198,-31.55164
0.0726,-6.36891,-24.71799,-32.19003
0.1235,-6.30214,-24.25819,-32.86078
0.2235,-6.30184,-21.52654,-34.26129
0.2721,-6.59397,-19.69037,-35.46783
0.3223,-6.93367,-18.52261,-37.40640
0.4226,-6.23841,-17.86401,-35.29803
0.4731,-4.79267,-16.74707,-38.23557
0.5233,-3.58415,-16.19478,-38.72528
0.6223,-4.03626,-15.66618,-37.41714
0.6727,-3.37227,-15.08524,-38.86771
0.7226,-2.10617,-8.91823,-39.72040
0.8278,-0.29073,-3.98157,-41.44479
0.8725,-1.20768,-6.66228,-41.46689
0.9238,-0.14249,-6.84157,-42.01788
1.0230,-0.87479,-7.54106,-40.59940
1.0733,-0.78318,-8.16864,-40.83133
1.1250,0.66481,-11.17191,-40.23926
1.2278,1.40805,-12.34428,-40.07822
1.2733,3.19911,-13.91074,-40.40015
1.3229,5.27727,-15.50307,-38.48871
1.4225,7.48975,-18.88968,-38.29080
1.4727,8.13342,-19.96759,-36.09009
1.5289,8.93527,-19.10136,-37.57703
1.6233,9.26677,-20.13092,-34.75421
1.6825,10.19775,-21.71944,-35.64667
1.7229,12.01723,-22.13127,-34.07111
1.8233,11.66637,-22.20341,-33.86420
1.8728,12.70957,-23.01274,-32.42365
1.9239,12.95321,-24.73083,-33.15384
2.0229,13.32285,-24.92110,-30.85355
2.0785,14.43821,-25.83690,-30.63315
2.1225,15.18587,-26.40193,-28.77161
2.2241,15.33202,-26.38625,-29.34183
2.2727,15.76145,-27.67595,-28.49045
2.3235,14.89183,-27.82434,-28.07452
2.4231,15.88325,-28.97731,-28.31891
2.4804,16.07373,-28.55879,-28.09009
2.5229,15.00841,-28.44467,-27.40515
2.6227,15.58919,-29.61597,-26.62320
2.6740,15.01530,-28.96034,-27.87061
2.7247,15.62205,-28.22385,-28.41846
2.8227,13.24050,-31.33600,-26.57700
2.8761,13.04289,-30.27292,-27.53137
