time,X_value,Y_value,Z_value
Started:,Dec 05 2019,17:41:52:592, 
0.0444,19.84325,-57.32447,62.19048
0.1017,18.73553,-56.48731,58.73396
0.1587,15.45977,-55.63699,53.97233
0.2146,12.75869,-52.84056,48.27971
0.2712,10.37387,-52.24214,44.44062
0.3282,7.64285,-51.30210,39.78494
0.3863,6.62152,-51.92481,36.12445
0.4418,6.38685,-51.62634,32.97567
0.5002,6.47818,-51.15292,30.16713
0.5577,5.74936,-50.90584,26.24307
0.6131,4.38590,-51.81970,22.94344
0.6701,4.55345,-52.94857,21.25077
0.7258,3.19941,-50.87050,17.55639
0.7840,3.99180,-43.45913,13.71209
0.8393,3.57724,-37.45848,10.11839
0.8970,2.94816,-40.90575,10.00047
0.9662,1.50955,-41.69715,8.24943
1.0097,-0.56595,-42.57676,5.36419
1.0698,-1.61799,-42.84190,3.14990
1.1250,-1.51703,-44.14063,2.03063
1.1810,-0.67072,-47.29235,0.73022
1.2383,0.52813,-50.18822,-0.86327
1.2943,2.46155,-51.24076,-1.47159
1.3543,3.66006,-52.61969,-3.01706
1.4080,5.90553,-56.43294,-3.96047
1.4638,7.20873,-60.51882,-5.51697
1.5289,8.47869,-60.71833,-5.41829
1.5784,9.41355,-60.01464,-5.43554
1.6363,10.86766,-61.23819,-5.11114
1.6921,11.98883,-62.51268,-5.41247
1.7488,13.75380,-63.82225,-5.51182
1.8127,14.41254,-64.50117,-6.11814
1.8616,14.50618,-65.10892,-7.34746
1.9239,15.06185,-65.57749,-7.88428
1.9772,15.30250,-65.76640,-9.31212
2.0319,17.69692,-68.48784,-8.82340
2.0897,18.55780,-69.74723,-9.19493
2.1458,19.64858,-71.48353,-9.27695
2.2118,20.91198,-71.02602,-9.08275
2.2602,22.95864,-71.48596,-8.56835
2.3179,22.08137,-72.06467,-10.16268
2.3733,20.49910,-72.57729,-12.73594
2.4295,20.66350,-73.20232,-13.37113
2.4859,19.91036,-73.09298,-14.21678
2.5435,21.33693,-72.80042,-12.43937
2.6106,22.05706,-73.60783,-11.29239
2.6567,24.70567,-73.98691,-6.88453
2.7132,24.91834,-74.38575,-4.97918
2.7702,24.65443,-74.88091,-3.15414
2.8270,23.76147,-75.24895,-2.38884
2.8833,23.30562,-75.29167,-1.04121
2.9407,23.04285,-75.72119,-0.46770
2.9963,24.45612,-76.43372,1.50999
3.0541,25.23399,-76.89539,2.82509
3.1124,27.95261,-77.10561,5.61441
3.1669,31.60620,-77.85782,8.80464
3.2252,32.12993,-79.27631,8.35914
3.2822,27.31479,-80.35838,2.67277
3.3380,20.08338,-80.36606,-5.27952
3.3948,17.98812,-80.08955,-7.87347
3.4518,13.29446,-80.16227,-13.34563
3.5084,9.50177,-80.11594,-17.80822
3.5651,10.28486,-80.22923,-16.78654
3.6210,11.09182,-80.93011,-15.82785
3.6790,13.41692,-81.55222,-13.22564
3.7359,15.68899,-81.74110,-10.30152
3.7933,21.74202,-82.84966,-3.42048
3.8492,33.53005,-83.80422,9.57211
3.9058,44.17306,-83.51228,21.00278
3.9638,46.91630,-82.96550,25.09871
4.0192,42.84565,-83.54520,21.71272
4.0781,43.03582,-83.62704,22.74607
4.1329,48.08114,-83.68208,28.36562
4.1928,48.71822,-83.48437,29.22575
4.2463,46.75766,-83.31995,27.15707
4.3040,47.93833,-83.39767,27.94392
4.3603,50.11866,-83.73740,29.45564
4.4161,50.20148,-83.62474,28.51526
4.4741,53.65853,-83.30566,30.77059
4.5306,61.54834,-83.98213,37.09969
4.5920,64.80537,-83.72299,39.66084
