time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:15:34:223, 
0.0388,0.78773,6.98530,7.40399
0.1043,1.14455,6.75705,7.99257
0.1707,1.07161,6.77908,6.70834
0.2373,0.60287,6.74878,6.59283
0.3036,0.55824,7.12506,6.35553
0.3692,0.16374,7.69852,6.40723
0.4361,-0.37854,8.07438,6.34500
0.5017,-1.07369,7.42911,6.80716
0.5689,-2.05436,7.13074,6.70306
0.6351,-0.77496,7.56883,6.42878
0.7011,-0.78046,8.09216,5.25636
0.7674,-1.57937,7.74677,5.12916
0.8335,-1.54218,8.40683,4.49048
0.9002,-2.21725,9.30873,4.83269
0.9754,-2.39225,10.23102,3.98291
1.0419,-2.28639,9.58189,3.41734
1.1076,-2.55143,7.80168,3.03374
1.1743,-4.55985,7.78113,2.85624
1.2403,-3.93883,8.50912,3.03130
1.3067,-3.94470,8.78643,2.53945
1.3726,-4.31249,8.25611,2.68630
1.4392,-4.15735,8.71270,2.54696
1.5050,-4.05864,9.30366,2.98225
1.5709,-4.18864,9.78165,1.98896
1.6380,-4.72118,8.86401,1.26344
1.7037,-3.26635,9.31685,0.52170
1.7698,-3.38753,8.37568,0.13284
1.8370,-3.57956,8.72279,0.10685
1.9020,-4.04682,9.29158,-0.13979
1.9689,-3.98176,9.48709,-0.18911
2.0350,-3.73184,9.36647,-0.21057
2.1012,-3.87428,9.35530,-0.28921
2.1677,-3.82171,9.17268,-0.10879
2.2340,-4.42941,8.98146,0.02266
2.3010,-3.56191,9.77634,-0.46275
2.3664,-4.18831,9.36592,-0.68119
2.4426,-4.42461,8.86932,-0.43399
2.5080,-4.06778,9.03594,-0.36823
2.5748,-3.62269,8.74872,-0.36369
2.6409,-2.85467,9.34164,-0.23666
2.7073,-3.12786,9.75307,-0.11319
2.7728,-3.10625,8.89519,0.11513
2.8396,-3.17415,9.36667,0.23108
2.9054,-3.43853,9.39967,0.34024
2.9718,-3.65228,9.93417,0.85404
3.0380,-3.17115,9.76320,0.79583
3.1042,-2.95165,9.52041,1.23028
3.1699,-2.59985,9.42514,0.99071
3.2368,-2.29885,9.90548,0.64975
3.3033,-2.34606,9.99672,0.91755
3.3692,-2.57772,9.48979,1.02617
3.4359,-2.57995,9.46560,1.04500
3.5012,-2.44151,9.47767,1.20504
3.5682,-2.07261,9.25333,1.17788
3.6344,-2.21021,9.46110,1.38614
3.7009,-2.12289,9.91700,1.41972
3.7676,-2.15772,10.21679,0.99553
3.8330,-2.30165,9.24908,1.19763
3.9082,-2.18130,9.59452,1.20053
3.9749,-2.05639,9.82484,1.23642
4.0411,-2.35345,9.66227,1.60970
4.1076,-2.20196,9.92738,1.60907
4.1729,-2.03977,10.40391,1.60757
4.2395,-2.11875,9.72436,1.74663
4.3057,-1.93612,9.44681,1.79371
4.3720,-1.74524,9.61691,1.75969
4.4384,-1.83647,9.05410,1.65488
4.5052,-1.79013,9.55607,1.57454
4.5703,-1.13382,9.68671,1.68984
4.6382,-0.85269,10.64893,1.45533
4.7041,-2.09617,9.65465,1.63057
4.7691,-1.35496,9.46355,1.83322
4.8364,-1.04146,9.98116,1.82324
4.9018,-1.11424,9.86319,1.73556
4.9687,-0.91598,9.49151,1.86632
5.0346,-0.90499,9.10207,1.76071
5.1005,-1.47261,10.93976,1.18510
5.1676,-1.39325,10.09531,1.47658
5.2336,-1.44958,9.49116,1.64091
5.3001,-1.51496,9.89542,1.55140
5.3850,-2.07678,7.06229,1.44869
5.4415,0.19491,13.01642,-0.04344
5.5077,-0.25224,9.93558,0.80765
5.5735,-0.49821,9.84476,0.67386
5.6448,-0.53468,9.90802,0.68381
