time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:15:34:223, 
0.0671,0.03663,-0.46442,-0.44441
0.1331,0.39117,-0.32855,-0.51556
0.2003,0.24390,-0.52654,-0.61968
0.2653,0.24661,-0.51092,-0.49331
0.3316,0.15878,-0.65791,-0.38324
0.3978,0.13188,-0.95517,-0.32018
0.4645,-0.02594,-0.97396,-0.44991
0.5307,-0.16398,-0.56539,-0.60511
0.5966,0.01532,-0.35848,-0.34960
0.6635,0.51141,0.04451,-0.33543
0.7290,0.57109,0.37763,-0.33474
0.7953,0.66331,0.90243,-0.10791
0.8628,0.62993,1.20281,0.02565
0.9291,0.79464,1.61602,0.33007
0.9945,0.44821,1.40682,0.35411
1.0603,0.41984,1.66300,0.29811
1.1268,0.16836,1.26969,0.06100
1.2045,-0.45520,1.41819,0.26414
1.2687,-0.24644,1.22369,0.11866
1.3351,-0.15956,1.75365,0.37493
1.4008,-0.45378,2.05257,0.76777
1.4674,-0.24491,1.71391,0.58806
1.5336,-0.10502,1.79800,0.44784
1.5999,-0.39583,1.72723,0.08417
1.6661,0.22765,1.93210,0.25253
1.7324,-0.15688,1.67599,0.08181
1.7986,0.06765,1.27053,0.28768
1.8656,0.20245,0.97321,0.36011
1.9306,0.06054,0.80341,0.32924
1.9975,-0.09416,0.72406,0.33536
2.0639,-0.10707,0.72653,0.16002
2.1296,-0.10391,0.85960,0.08393
2.1959,-0.13546,0.97014,0.26430
2.2623,-0.19496,1.30031,0.34918
2.3283,-0.24765,1.02260,-0.39326
2.3952,-0.23182,0.76818,-0.29175
2.4612,0.12286,0.61495,-0.01982
2.5269,-0.25437,0.35002,-0.27329
2.5932,-0.06923,0.12114,-0.03384
2.6694,-0.06026,-0.20631,-0.12621
2.7349,0.03579,-0.44262,-0.07872
2.8011,0.30620,-0.72698,-0.15009
2.8679,-0.01658,-0.85154,-0.16706
2.9336,-0.04217,-0.86303,0.10620
3.0004,-0.03011,-0.63707,0.37498
3.0664,0.10607,-0.46014,0.37375
3.1325,-0.00803,-0.28552,0.20184
3.1989,-0.37820,-0.24793,0.08494
3.2652,-0.10353,-0.24151,0.27667
3.3311,0.06793,-0.18980,0.23003
3.3975,-0.17548,-0.16201,0.04667
3.4639,-0.18912,-0.07856,0.12668
3.5297,-0.15495,-0.02438,0.14063
3.5961,-0.18724,-0.05547,0.04834
3.6626,-0.02086,-0.07801,-0.04438
3.7285,0.11142,-0.03274,0.04006
3.7948,0.03592,-0.07062,-0.03316
3.8614,0.00068,-0.06008,0.07147
3.9266,-0.05168,-0.04240,-0.01901
3.9940,-0.14349,-0.08816,-0.04779
4.0600,-0.12045,0.03156,0.10236
4.1355,-0.10565,0.00610,0.07223
4.2011,-0.07868,0.00614,0.02349
4.2682,-0.10348,0.04729,0.09841
4.3342,-0.01690,0.07462,0.18526
4.4002,0.03333,0.08138,0.20424
4.4667,-0.04164,0.14717,0.30589
4.5328,-0.00948,0.03534,0.36128
4.5988,0.13982,-0.31826,0.01587
4.6745,0.12422,-0.68479,-0.24436
4.7328,-0.08250,-0.27136,0.08347
4.7990,-0.06453,-0.10400,0.21048
4.8646,-0.00923,-0.07308,0.14629
