time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:15:34:223, 
0.0197,0.31365,-0.05325,0.09671
0.0762,1.05669,0.12317,0.12297
0.1337,1.43526,-0.20446,1.30781
0.1905,1.65163,-0.26079,0.06709
0.2472,1.19836,-0.51350,0.09088
0.3035,0.96146,-0.40254,-0.31041
0.3611,0.83455,-0.10365,-0.24084
0.4173,0.24511,0.34407,-0.19995
0.4745,-0.35335,0.67076,-0.08274
0.5317,-0.95868,0.35554,-0.04364
0.5879,-1.98163,-0.17591,0.16909
0.6446,-1.65387,-0.10858,0.17292
0.7012,-0.51014,0.24482,-0.27850
0.7586,-0.43689,0.35694,-0.92114
0.8227,-0.81492,-0.19577,-0.63268
0.8711,-0.46158,0.06870,-0.86536
0.9292,-0.41596,0.69978,-0.62258
0.9852,-0.75306,1.12708,0.68689
1.0419,-0.28211,1.54432,-1.04796
1.0991,-0.38694,0.24748,0.06505
1.1556,-0.08932,-1.24305,-0.55246
1.2235,-2.11551,-1.19736,-0.61007
1.2694,-1.36467,-0.52834,-0.34124
1.3259,-0.93038,-0.04503,-0.33639
1.3837,-1.17903,-0.39642,-0.73552
1.4392,-1.07328,-0.60728,-0.03708
1.4974,-1.28983,-0.17458,-0.22685
1.5533,-1.07792,0.20278,0.56585
1.6098,-0.92006,0.81262,-0.37503
1.6668,-1.52213,-0.19628,-0.50042
1.7228,-0.19563,0.16159,-0.67935
1.7796,0.23552,-0.25683,-1.10174
1.8370,0.05443,-0.76041,-0.96288
1.8937,-0.24948,-0.44928,-0.61557
1.9506,-0.80498,0.00755,-0.66443
2.0073,-1.03069,0.00709,-0.58946
2.0646,-0.91315,0.04981,-0.45506
2.1203,-0.84055,-0.14223,-0.52706
2.1772,-0.98735,-0.12564,-0.37072
2.2344,-0.97854,-0.38518,-0.14426
2.2913,-1.67822,-0.44154,0.08196
2.3477,-0.57034,0.35533,-0.27775
2.4036,-0.52175,0.08956,-0.54931
2.4622,-1.26235,-0.49963,-0.19770
2.5179,-0.89311,-0.42317,0.14808
2.5747,-0.23125,-0.22400,-0.01841
2.6314,0.07753,-0.56716,-0.01276
2.6886,0.78620,0.08620,0.12230
2.7451,0.52162,0.53893,0.10261
2.8039,0.76081,-0.21467,0.15813
2.8585,0.72436,0.22506,0.37111
2.9157,0.56379,-0.03799,0.09012
2.9718,0.13963,0.32491,0.32825
3.0295,0.07736,0.72676,0.39503
3.0860,0.19532,0.39966,0.26507
3.1423,0.28535,0.06820,0.65150
3.2004,0.38242,0.18080,0.40565
3.2562,0.64723,0.10637,-0.20055
3.3130,0.54566,0.53259,-0.25232
3.3695,0.33791,0.29504,-0.06888
3.4265,0.07332,-0.10308,-0.01844
3.4833,0.05625,-0.06009,-0.18797
3.5399,-0.01457,-0.06926,-0.05282
3.5982,0.32306,-0.23335,-0.20344
3.6535,0.22635,-0.09648,-0.19937
3.7099,0.24707,0.11316,0.02627
3.7676,0.15464,0.45786,-0.04214
3.8235,0.16607,0.51824,-0.33020
3.8834,0.00530,-0.33100,-0.14730
3.9370,-0.00649,-0.09835,-0.03119
3.9957,0.19720,0.16242,-0.26840
4.0507,0.08410,0.12471,0.06304
4.1080,-0.16890,0.00774,0.13958
4.1644,0.09716,0.43527,-0.02736
4.2209,0.08149,0.77931,0.01068
4.2897,-0.02114,0.09247,0.07438
4.3350,0.12302,-0.25427,0.01802
4.3917,0.07003,-0.21919,0.20616
4.4480,0.06352,0.14297,-0.18545
4.5055,-0.20447,-1.07322,0.12300
4.5617,-0.28765,0.09065,-0.17119
4.6186,0.24821,-0.09315,0.03413
4.6783,0.60996,0.85092,-0.14518
4.7347,-0.39940,0.12459,-0.01063
4.7893,-0.34376,-0.13621,-0.04333
4.8520,-0.06159,-0.50463,0.30613
4.9018,0.17464,0.49381,-0.10616
4.9641,-0.06748,0.02921,0.01294
5.0164,0.06134,-0.31955,0.20549
5.0723,0.43794,-0.77996,0.19004
5.1295,-0.01565,0.60626,-0.17619
5.1858,-0.20091,0.90716,0.06029
5.2537,0.01826,-0.04748,-0.06951
5.3002,-0.15494,-0.26389,0.31537
5.3568,-0.20299,0.09757,0.21099
5.4133,-1.12619,-2.77961,0.59820
5.4694,-0.60343,2.26634,-0.51156
5.5349,1.49149,0.75567,-0.43631
5.5833,0.04478,-0.08246,0.26925
5.6410,0.03706,-0.11828,0.03039
5.6973,-0.07300,-0.04050,0.03614
5.7538,-0.00217,0.06718,0.16563
5.8104,0.02275,0.00537,0.12804
5.8680,-0.15851,0.02723,0.17139
5.9355,0.02236,0.23631,-0.11584
5.9819,-0.00791,0.00493,0.46154
6.0428,0.18615,-0.16983,-0.39998
6.0976,0.01431,-0.00751,0.13059
6.1524,0.06827,-0.05044,0.07655
6.2080,-0.08006,0.07304,-0.03203
6.2671,0.06446,-0.05413,-0.18923
6.3214,0.02782,0.02756,-0.05878
6.3794,-0.11753,0.08771,0.03087
6.4416,0.00936,0.08132,-0.02678
6.4972,-0.06921,0.03720,-0.26966
6.5494,0.24679,-0.00618,-0.25615
6.6052,-0.10975,-0.05489,0.24578
6.6633,-0.15605,-0.24972,-0.26520
6.7194,0.08047,0.04946,-0.20616
6.7771,-0.07791,0.05769,0.56433
6.8333,0.00812,0.08357,0.07949
6.8901,-0.04889,0.02854,0.19872
6.9461,-0.04268,-0.00562,0.17129
7.0038,-0.04076,-0.00472,0.20389
7.0604,-0.07928,0.05121,0.19305
7.1175,0.01399,-0.07215,0.09553
7.1757,-0.02085,-0.01401,0.12669
7.2299,-0.00990,0.01879,0.08365
7.2875,-0.02676,0.01796,0.09923
